<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FAAR.US,D,20160523,000000,27.713,27.767,27.713,27.713,538,0
FAAR.US,D,20160527,000000,27.767,27.786,27.73,27.74,1511,0
FAAR.US,D,20160531,000000,27.833,27.833,27.833,27.833,108,0
FAAR.US,D,20160601,000000,27.638,27.638,27.6,27.6,324,0
FAAR.US,D,20160602,000000,28.76,28.76,27.755,27.755,342,0
FAAR.US,D,20160603,000000,27.703,27.703,27.703,27.703,108,0
FAAR.US,D,20160617,000000,27.757,27.757,27.693,27.693,3018,0
FAAR.US,D,20160620,000000,27.6,27.6,27.6,27.6,538,0
FAAR.US,D,20160621,000000,27.377,27.415,27.377,27.415,430,0
FAAR.US,D,20160623,000000,27.461,27.461,27.461,27.461,215,0
FAAR.US,D,20160627,000000,27.415,27.433,27.415,27.433,215,0
FAAR.US,D,20160705,000000,27.786,27.786,27.786,27.786,215,0
FAAR.US,D,20160711,000000,27.767,27.86,27.767,27.86,324,0
FAAR.US,D,20160713,000000,27.851,28.019,27.777,28.019,538,0
FAAR.US,D,20160719,000000,27.485,27.485,27.485,27.485,645,0
FAAR.US,D,20160725,000000,27.285,27.285,27.221,27.221,215,0
FAAR.US,D,20160726,000000,27.358,27.358,27.358,27.358,1077,0
FAAR.US,D,20160801,000000,27.489,27.489,27.487,27.487,377,0
FAAR.US,D,20160802,000000,27.535,27.535,27.535,27.535,1077,0
FAAR.US,D,20160803,000000,27.489,32.47,27.423,27.628,13716,0
FAAR.US,D,20160805,000000,27.628,27.628,27.628,27.628,215,0
FAAR.US,D,20160808,000000,27.665,27.665,27.665,27.665,699,0
FAAR.US,D,20160809,000000,27.628,27.628,27.628,27.628,708,0
FAAR.US,D,20160810,000000,27.648,27.648,27.554,27.582,2156,0
FAAR.US,D,20160812,000000,27.289,27.289,27.289,27.289,290,0
FAAR.US,D,20160819,000000,26.98,27.025,26.98,26.989,324,0
FAAR.US,D,20160823,000000,27.183,27.183,27.182,27.182,324,0
FAAR.US,D,20160824,000000,27.071,27.109,27.054,27.054,399,0
FAAR.US,D,20160825,000000,27.063,27.063,27.05,27.05,1726,0
FAAR.US,D,20160831,000000,27.09,27.09,27.09,27.09,108,0
FAAR.US,D,20160907,000000,27.025,27.025,27.025,27.025,10370,0
FAAR.US,D,20160929,000000,27.147,27.147,27.147,27.147,287,0
FAAR.US,D,20160930,000000,27.152,27.152,27.152,27.152,862,0
FAAR.US,D,20161003,000000,27.136,27.136,27.136,27.136,215,0
FAAR.US,D,20161007,000000,27.174,27.174,27.174,27.174,108,0
FAAR.US,D,20161010,000000,27.021,27.021,26.981,26.981,970,0
FAAR.US,D,20161101,000000,26.811,26.811,26.811,26.811,230,0
FAAR.US,D,20161102,000000,26.745,26.745,26.745,26.745,130,0
FAAR.US,D,20161104,000000,26.709,26.756,26.658,26.756,1726,0
FAAR.US,D,20161108,000000,26.713,26.713,26.707,26.707,480,0
FAAR.US,D,20161109,000000,26.802,26.802,26.785,26.785,770,0
FAAR.US,D,20161110,000000,26.877,26.877,26.802,26.802,312,0
FAAR.US,D,20161111,000000,26.728,26.728,26.725,26.725,3743,0
FAAR.US,D,20161114,000000,26.705,26.705,26.705,26.705,245,0
FAAR.US,D,20161115,000000,26.785,26.819,26.744,26.781,1356,0
FAAR.US,D,20161116,000000,26.713,26.713,26.699,26.699,500,0
FAAR.US,D,20161118,000000,26.644,26.644,26.644,26.644,269,0
FAAR.US,D,20161121,000000,26.839,26.839,26.785,26.785,1517,0
FAAR.US,D,20161122,000000,26.839,26.896,26.821,26.887,3069,0
FAAR.US,D,20161123,000000,26.941,27.006,26.911,27.006,882,0
FAAR.US,D,20161125,000000,27.099,27.109,27.096,27.109,986,0
FAAR.US,D,20161128,000000,27.22,27.22,27.118,27.211,1856,0
FAAR.US,D,20161129,000000,26.991,27.054,26.991,27.054,1335,0
FAAR.US,D,20161130,000000,26.956,26.956,26.956,26.956,372,0
FAAR.US,D,20161202,000000,27.044,27.044,27.034,27.034,366,0
FAAR.US,D,20161205,000000,27.016,27.016,26.914,26.98,552,0
FAAR.US,D,20161206,000000,26.98,27.025,26.98,27.025,2277,0
FAAR.US,D,20161208,000000,26.726,26.83,26.726,26.83,62945,0
FAAR.US,D,20161209,000000,26.785,26.785,26.785,26.785,2440,0
FAAR.US,D,20161212,000000,26.839,26.839,26.839,26.839,413,0
FAAR.US,D,20161214,000000,26.868,26.868,26.868,26.868,715,0
FAAR.US,D,20161215,000000,26.825,26.839,26.811,26.839,1714,0
FAAR.US,D,20161216,000000,26.775,26.821,26.719,26.785,1704,0
FAAR.US,D,20161219,000000,26.709,26.766,26.669,26.747,23391,0
FAAR.US,D,20161220,000000,26.701,26.719,26.625,26.719,4002,0
FAAR.US,D,20161222,000000,26.719,26.719,26.702,26.709,1845,0
FAAR.US,D,20161223,000000,26.719,26.719,26.701,26.719,1357,0
FAAR.US,D,20161227,000000,26.625,26.701,26.625,26.691,3159,0
FAAR.US,D,20161228,000000,26.691,26.747,26.691,26.747,2353,0
FAAR.US,D,20161229,000000,26.71,26.722,26.71,26.712,1677,0
FAAR.US,D,20161230,000000,26.742,26.742,26.663,26.663,864,0
FAAR.US,D,20170104,000000,26.802,26.802,26.45,26.459,14988,0
FAAR.US,D,20170106,000000,26.395,26.405,26.377,26.405,1764,0
FAAR.US,D,20170109,000000,26.357,26.357,26.21,26.357,8124,0
FAAR.US,D,20170110,000000,26.552,26.589,26.432,26.432,2006,0
FAAR.US,D,20170111,000000,26.663,26.663,26.654,26.654,1003,0
FAAR.US,D,20170112,000000,26.594,26.594,26.594,26.594,239,0
FAAR.US,D,20170117,000000,26.766,26.775,26.647,26.756,3221,0
FAAR.US,D,20170118,000000,26.757,26.785,26.733,26.785,2176,0
FAAR.US,D,20170119,000000,26.794,26.865,26.794,26.865,1785,0
FAAR.US,D,20170120,000000,26.877,27.034,26.857,26.99,25880,0
FAAR.US,D,20170123,000000,26.935,27.025,26.935,27.025,405,0
FAAR.US,D,20170124,000000,27.09,27.09,27.004,27.09,2436,0
FAAR.US,D,20170125,000000,27.082,27.082,27.082,27.082,194,0
FAAR.US,D,20170126,000000,27.054,27.833,26.904,26.904,822,0
FAAR.US,D,20170127,000000,26.896,27.034,26.896,27.016,4236,0
FAAR.US,D,20170130,000000,26.785,26.896,26.785,26.896,448,0
FAAR.US,D,20170131,000000,26.934,26.934,26.811,26.811,421,0
FAAR.US,D,20170201,000000,26.888,26.888,26.888,26.888,108,0
FAAR.US,D,20170202,000000,26.942,26.942,26.858,26.914,7179,0
FAAR.US,D,20170203,000000,26.961,26.988,26.961,26.988,274,0
FAAR.US,D,20170206,000000,27.063,27.063,27.039,27.063,1347,0
FAAR.US,D,20170207,000000,26.868,27.082,26.868,27.044,4460,0
FAAR.US,D,20170208,000000,27.025,27.082,26.995,27.082,3003,0
FAAR.US,D,20170209,000000,26.942,26.961,26.882,26.961,1527,0
FAAR.US,D,20170210,000000,27.016,27.016,26.942,26.942,776,0
FAAR.US,D,20170213,000000,26.896,26.896,26.764,26.764,1282,0
FAAR.US,D,20170214,000000,26.849,26.988,26.839,26.933,6629,0
FAAR.US,D,20170215,000000,26.952,26.952,26.756,26.811,2017,0
FAAR.US,D,20170216,000000,26.834,26.952,26.834,26.911,686,0
FAAR.US,D,20170217,000000,26.858,26.933,26.858,26.933,1670,0
FAAR.US,D,20170221,000000,27.109,27.109,27.028,27.082,1554,0
FAAR.US,D,20170222,000000,26.918,26.989,26.918,26.942,1337,0
FAAR.US,D,20170224,000000,26.887,26.896,26.887,26.896,851,0
FAAR.US,D,20170227,000000,26.997,26.997,26.89,26.89,384,0
FAAR.US,D,20170228,000000,26.933,26.933,26.933,26.933,117,0
FAAR.US,D,20170301,000000,26.933,26.933,26.864,26.914,1913,0
FAAR.US,D,20170302,000000,26.896,26.896,26.785,26.785,341,0
FAAR.US,D,20170306,000000,26.654,26.672,26.58,26.672,4564,0
FAAR.US,D,20170307,000000,26.682,26.682,26.678,26.678,340,0
FAAR.US,D,20170308,000000,26.617,26.625,26.553,26.625,1588,0
FAAR.US,D,20170313,000000,26.794,26.794,26.794,26.794,324,0
FAAR.US,D,20170314,000000,26.756,26.766,26.756,26.766,852,0
FAAR.US,D,20170315,000000,26.794,26.794,26.794,26.794,410,0
FAAR.US,D,20170316,000000,26.868,26.868,26.795,26.795,346,0
FAAR.US,D,20170317,000000,26.914,26.914,26.826,26.826,1023,0
FAAR.US,D,20170320,000000,26.877,26.932,26.877,26.932,1213,0
FAAR.US,D,20170321,000000,26.877,26.877,26.834,26.834,1270,0
FAAR.US,D,20170322,000000,26.904,26.997,26.821,26.997,3519,0
FAAR.US,D,20170323,000000,26.904,26.98,26.904,26.98,591,0
FAAR.US,D,20170324,000000,26.933,26.933,26.825,26.933,1744,0
FAAR.US,D,20170327,000000,26.904,26.904,26.816,26.816,862,0
FAAR.US,D,20170328,000000,26.839,26.839,26.839,26.839,862,0
FAAR.US,D,20170329,000000,26.77,26.952,26.77,26.952,2475,0
FAAR.US,D,20170330,000000,26.914,26.923,26.849,26.923,1389,0
FAAR.US,D,20170331,000000,26.904,26.904,26.894,26.894,240,0
