<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FAB.US,D,20070511,000000,25.824,25.824,25.824,25.824,112,0
FAB.US,D,20070523,000000,26.326,26.326,26.326,26.326,234,0
FAB.US,D,20070525,000000,25.921,25.931,25.921,25.931,1388,0
FAB.US,D,20070601,000000,26.489,26.524,26.489,26.524,2436,0
FAB.US,D,20070604,000000,26.585,26.585,26.585,26.585,112,0
FAB.US,D,20070608,000000,25.568,25.834,25.558,25.834,3599,0
FAB.US,D,20070611,000000,25.848,25.848,25.848,25.848,112,0
FAB.US,D,20070615,000000,26.376,26.376,26.376,26.376,349,0
FAB.US,D,20070619,000000,26.247,26.247,26.247,26.247,1858,0
FAB.US,D,20070621,000000,25.963,26.065,25.963,26.065,2207,0
FAB.US,D,20070622,000000,25.848,25.848,25.816,25.816,579,0
FAB.US,D,20070625,000000,25.766,25.766,25.695,25.695,1388,0
FAB.US,D,20070626,000000,25.603,25.603,25.603,25.603,928,0
FAB.US,D,20070627,000000,25.437,25.437,25.437,25.437,112,0
FAB.US,D,20070629,000000,25.857,25.857,25.857,25.857,697,0
FAB.US,D,20070702,000000,26.025,26.025,26.025,26.025,349,0
FAB.US,D,20070705,000000,26.048,26.145,26.048,26.145,579,0
FAB.US,D,20070706,000000,26.237,26.237,26.237,26.237,349,0
FAB.US,D,20070710,000000,26.025,26.025,26.008,26.008,461,0
FAB.US,D,20070712,000000,26.247,26.247,26.247,26.247,461,0
FAB.US,D,20070716,000000,26.307,26.307,26.307,26.307,349,0
FAB.US,D,20070717,000000,26.471,26.471,26.471,26.471,112,0
FAB.US,D,20070720,000000,26.108,26.17,26.108,26.17,3950,0
FAB.US,D,20070723,000000,26.092,26.092,26.092,26.092,349,0
FAB.US,D,20070726,000000,24.981,24.981,24.981,24.981,1046,0
FAB.US,D,20070727,000000,24.637,24.637,24.637,24.637,928,0
FAB.US,D,20070801,000000,24.24,24.257,23.799,24.126,4299,0
FAB.US,D,20070802,000000,24.292,24.292,24.292,24.292,112,0
FAB.US,D,20070803,000000,23.61,23.61,23.61,23.61,1858,0
FAB.US,D,20070806,000000,23.378,23.378,23.196,23.196,579,0
FAB.US,D,20070807,000000,23.954,24.014,23.954,24.014,1159,0
FAB.US,D,20070808,000000,24.308,24.308,23.785,23.785,2436,0
FAB.US,D,20070809,000000,23.705,23.884,23.661,23.669,8358,0
FAB.US,D,20070810,000000,23.17,23.875,23.17,23.875,2669,0
FAB.US,D,20070814,000000,23.799,23.799,23.799,23.799,234,0
FAB.US,D,20070815,000000,23.351,23.351,22.91,22.91,2436,0
FAB.US,D,20070816,000000,22.689,23.143,22.498,23.109,6963,0
FAB.US,D,20070817,000000,23.912,23.912,23.496,23.496,349,0
FAB.US,D,20070820,000000,23.661,23.661,23.661,23.661,234,0
FAB.US,D,20070821,000000,23.696,23.785,23.669,23.725,31216,0
FAB.US,D,20070822,000000,23.954,23.954,23.875,23.875,12070,0
FAB.US,D,20070823,000000,23.92,23.962,23.92,23.937,9864,0
FAB.US,D,20070824,000000,23.945,24.214,23.945,24.214,1626,0
FAB.US,D,20070827,000000,24.014,24.023,23.962,23.962,3250,0
FAB.US,D,20070828,000000,23.825,23.825,23.619,23.627,6497,0
FAB.US,D,20070829,000000,23.852,23.852,23.852,23.852,234,0
FAB.US,D,20070831,000000,23.996,24.006,23.893,23.929,2787,0
FAB.US,D,20070904,000000,23.902,24.302,23.902,24.302,10327,0
FAB.US,D,20070905,000000,23.996,23.996,23.869,23.869,2787,0
FAB.US,D,20070906,000000,23.791,23.791,23.791,23.791,234,0
FAB.US,D,20070907,000000,23.463,23.463,23.463,23.463,112,0
FAB.US,D,20070913,000000,23.644,23.644,23.644,23.644,461,0
FAB.US,D,20070914,000000,23.334,23.438,23.334,23.438,2088,0
FAB.US,D,20070918,000000,23.506,23.644,23.506,23.644,3133,0
FAB.US,D,20070921,000000,24.375,24.423,24.333,24.423,2669,0
FAB.US,D,20070924,000000,24.277,24.277,24.231,24.231,349,0
FAB.US,D,20070925,000000,23.816,23.816,23.816,23.816,1046,0
FAB.US,D,20070926,000000,24.135,24.135,24.135,24.135,461,0
FAB.US,D,20071002,000000,24.54,24.619,24.54,24.594,7311,0
FAB.US,D,20071004,000000,24.568,24.568,24.568,24.568,579,0
FAB.US,D,20071008,000000,24.705,24.705,24.705,24.705,112,0
FAB.US,D,20071010,000000,24.763,24.763,24.763,24.763,234,0
FAB.US,D,20071011,000000,24.919,24.919,24.664,24.664,461,0
FAB.US,D,20071016,000000,24.179,24.179,24.179,24.179,112,0
FAB.US,D,20071017,000000,23.987,24.087,23.987,24.087,1388,0
FAB.US,D,20071018,000000,24.041,24.041,23.945,23.962,2323,0
FAB.US,D,20071019,000000,23.869,23.869,23.471,23.471,1626,0
FAB.US,D,20071022,000000,23.487,23.487,23.487,23.487,2901,0
FAB.US,D,20071023,000000,23.56,23.586,23.542,23.586,2669,0
FAB.US,D,20071024,000000,23.405,23.422,23.405,23.422,461,0
FAB.US,D,20071029,000000,23.808,23.834,23.808,23.834,4175,0
FAB.US,D,20071030,000000,23.767,23.869,23.767,23.852,928,0
FAB.US,D,20071031,000000,23.767,23.937,23.767,23.937,3250,0
FAB.US,D,20071101,000000,23.534,23.568,23.395,23.405,10561,0
FAB.US,D,20071102,000000,22.966,23.241,22.966,23.241,5572,0
