<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FAD.US,D,20070510,000000,28.754,28.773,28.754,28.773,1867,0
FAD.US,D,20070511,000000,28.773,28.783,28.763,28.783,2387,0
FAD.US,D,20070523,000000,29.5,29.5,29.48,29.48,1143,0
FAD.US,D,20070525,000000,29.043,29.082,29.043,29.082,1561,0
FAD.US,D,20070529,000000,29.119,29.119,29.119,29.119,935,0
FAD.US,D,20070601,000000,29.806,29.815,29.777,29.777,1971,0
FAD.US,D,20070607,000000,29.082,29.082,28.841,28.851,1247,0
FAD.US,D,20070608,000000,28.773,28.773,28.773,28.773,935,0
FAD.US,D,20070614,000000,29.412,29.421,29.412,29.421,727,0
FAD.US,D,20070615,000000,29.767,29.767,29.767,29.767,307,0
FAD.US,D,20070618,000000,29.719,29.719,29.595,29.615,4055,0
FAD.US,D,20070619,000000,29.451,29.595,29.451,29.595,3010,0
FAD.US,D,20070621,000000,29.053,29.374,29.053,29.374,3113,0
FAD.US,D,20070622,000000,29.324,29.324,29.062,29.062,3010,0
FAD.US,D,20070626,000000,29.023,29.023,28.871,28.871,1765,0
FAD.US,D,20070627,000000,28.754,29.082,28.754,29.082,4257,0
FAD.US,D,20070628,000000,29.235,29.295,29.235,29.295,5608,0
FAD.US,D,20070629,000000,29.412,29.412,29.101,29.101,3843,0
FAD.US,D,20070702,000000,29.421,29.421,29.421,29.421,1664,0
FAD.US,D,20070703,000000,29.653,29.662,29.624,29.662,9863,0
FAD.US,D,20070705,000000,29.68,29.719,29.605,29.719,5712,0
FAD.US,D,20070706,000000,29.852,29.921,29.852,29.921,6333,0
FAD.US,D,20070710,000000,29.796,29.815,29.557,29.557,12256,0
FAD.US,D,20070711,000000,29.69,29.69,29.69,29.69,3010,0
FAD.US,D,20070712,000000,29.98,30.183,29.98,30.183,6333,0
FAD.US,D,20070713,000000,30.213,30.327,30.193,30.327,7477,0
