<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FALN.US,D,20160617,000000,19.586,19.593,19.58,19.593,673,0
FALN.US,D,20160620,000000,19.805,19.805,19.764,19.764,5556,0
FALN.US,D,20160621,000000,19.775,19.775,19.775,19.775,1278,0
FALN.US,D,20160622,000000,19.86,19.86,19.851,19.851,506,0
FALN.US,D,20160623,000000,20.017,20.017,19.968,19.971,2151,0
FALN.US,D,20160624,000000,19.634,19.943,19.634,19.664,4787,0
FALN.US,D,20160627,000000,19.452,19.452,19.336,19.336,1090,0
FALN.US,D,20160628,000000,19.58,19.642,19.58,19.642,904,0
FALN.US,D,20160629,000000,19.947,19.947,19.947,19.947,1278,0
FALN.US,D,20160630,000000,20.071,20.071,20.071,20.071,652,0
FALN.US,D,20160701,000000,20.111,20.202,20.111,20.202,396,0
FALN.US,D,20160705,000000,20.083,20.083,20.083,20.083,145,0
FALN.US,D,20160707,000000,20.156,20.156,20.054,20.083,1949,0
FALN.US,D,20160708,000000,20.35,20.35,20.35,20.35,633,0
FALN.US,D,20160711,000000,20.384,20.407,20.384,20.407,2179,0
FALN.US,D,20160712,000000,20.528,20.528,20.496,20.496,3073,0
FALN.US,D,20160713,000000,20.368,20.46,20.33,20.46,1412,0
FALN.US,D,20160714,000000,20.496,20.496,20.494,20.494,717,0
FALN.US,D,20160715,000000,20.413,20.413,20.413,20.413,396,0
FALN.US,D,20160719,000000,20.458,20.458,20.458,20.458,253,0
FALN.US,D,20160720,000000,20.52,20.596,20.52,20.596,1174,0
FALN.US,D,20160721,000000,20.639,20.639,20.537,20.554,1671,0
FALN.US,D,20160722,000000,20.537,20.579,20.537,20.579,2692,0
FALN.US,D,20160727,000000,20.43,20.486,20.43,20.486,7116,0
FALN.US,D,20160728,000000,20.466,20.466,20.466,20.466,484,0
FALN.US,D,20160729,000000,20.414,20.463,20.414,20.463,378,0
FALN.US,D,20160801,000000,20.456,20.456,20.397,20.397,683,0
FALN.US,D,20160802,000000,20.279,20.279,20.27,20.27,394,0
FALN.US,D,20160803,000000,20.424,20.513,20.424,20.513,1788,0
FALN.US,D,20160804,000000,20.625,20.625,20.612,20.625,1779,0
FALN.US,D,20160805,000000,20.725,20.725,20.672,20.672,394,0
FALN.US,D,20160808,000000,20.664,20.767,20.664,20.767,503,0
FALN.US,D,20160809,000000,20.813,20.813,20.779,20.779,1286,0
FALN.US,D,20160810,000000,20.799,20.799,20.784,20.784,7636,0
FALN.US,D,20160811,000000,20.876,20.915,20.87,20.915,7604,0
FALN.US,D,20160812,000000,20.898,20.906,20.898,20.906,252,0
FALN.US,D,20160815,000000,20.861,21.004,20.861,20.974,2900,0
