<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FBZ.US,D,20110502,000000,17.532,17.538,17.45,17.45,2103,0
FBZ.US,D,20110503,000000,17.336,17.336,17.005,17.005,3487,0
FBZ.US,D,20110504,000000,17.095,17.095,16.705,16.705,28514,0
FBZ.US,D,20110505,000000,16.889,16.924,16.631,16.631,1639,0
FBZ.US,D,20110506,000000,17.175,17.217,16.916,17.101,4101,0
FBZ.US,D,20110509,000000,17.164,17.181,17.028,17.181,1486,0
FBZ.US,D,20110510,000000,17.164,17.314,17.131,17.314,7768,0
FBZ.US,D,20110511,000000,16.993,16.998,16.916,16.998,2300,0
FBZ.US,D,20110512,000000,16.865,17.131,16.705,17.131,4190,0
FBZ.US,D,20110513,000000,16.752,16.849,16.608,16.642,9511,0
FBZ.US,D,20110516,000000,16.716,16.849,16.716,16.849,697,0
FBZ.US,D,20110517,000000,16.672,16.752,16.66,16.752,2273,0
FBZ.US,D,20110518,000000,16.871,17.034,16.871,17.034,290677,0
FBZ.US,D,20110520,000000,16.747,17.066,16.747,17.01,1046,0
FBZ.US,D,20110523,000000,16.765,16.799,16.677,16.799,1823,0
FBZ.US,D,20110524,000000,16.916,16.916,16.916,16.916,697,0
FBZ.US,D,20110525,000000,17.015,17.113,17.015,17.085,3487,0
FBZ.US,D,20110526,000000,17.095,17.198,17.095,17.198,697,0
FBZ.US,D,20110527,000000,17.365,17.4,17.365,17.365,1376,0
FBZ.US,D,20110531,000000,17.418,17.754,17.418,17.754,8574,0
FBZ.US,D,20110601,000000,17.509,17.509,17.291,17.291,1100,0
FBZ.US,D,20110602,000000,17.422,17.548,17.341,17.548,3315,0
FBZ.US,D,20110603,000000,17.847,17.847,17.847,17.847,172,0
FBZ.US,D,20110606,000000,17.565,17.565,17.427,17.496,3831,0
FBZ.US,D,20110607,000000,17.514,17.571,17.514,17.514,3315,0
FBZ.US,D,20110608,000000,17.341,17.387,17.244,17.314,2599,0
FBZ.US,D,20110609,000000,17.181,17.329,17.181,17.255,4935,0
FBZ.US,D,20110610,000000,17.005,17.005,16.861,16.861,352,0
FBZ.US,D,20110613,000000,17.108,17.108,16.876,16.916,32164,0
FBZ.US,D,20110615,000000,16.876,16.876,16.831,16.876,1322,0
FBZ.US,D,20110616,000000,16.694,16.725,16.521,16.562,3487,0
FBZ.US,D,20110617,000000,16.672,16.687,16.672,16.687,2839,0
FBZ.US,D,20110620,000000,16.642,16.66,16.613,16.613,1238,0
FBZ.US,D,20110621,000000,16.82,16.82,16.778,16.778,697,0
FBZ.US,D,20110622,000000,16.883,16.883,16.861,16.861,1074,0
FBZ.US,D,20110623,000000,16.46,16.534,16.266,16.46,4812,0
FBZ.US,D,20110627,000000,16.46,16.815,16.46,16.815,10813,0
FBZ.US,D,20110628,000000,16.889,17.034,16.889,17.015,8706,0
FBZ.US,D,20110629,000000,17.192,17.261,17.066,17.261,9766,0
FBZ.US,D,20110630,000000,17.394,17.394,17.255,17.255,7224,0
FBZ.US,D,20110701,000000,17.541,17.629,17.492,17.541,5892,0
FBZ.US,D,20110705,000000,17.43,17.634,17.418,17.422,7781,0
FBZ.US,D,20110706,000000,17.336,17.336,17.192,17.192,7326,0
FBZ.US,D,20110707,000000,17.268,17.268,17.192,17.244,873,0
FBZ.US,D,20110708,000000,16.826,17.159,16.792,16.856,2771,0
FBZ.US,D,20110711,000000,16.694,16.694,16.5,16.5,3306,0
FBZ.US,D,20110712,000000,16.356,16.562,16.356,16.562,697,0
FBZ.US,D,20110713,000000,16.581,16.815,16.581,16.805,4821,0
FBZ.US,D,20110714,000000,16.765,16.765,16.581,16.581,1962,0
FBZ.US,D,20110715,000000,16.465,17.629,16.465,16.574,4668,0
FBZ.US,D,20110719,000000,16.49,16.562,16.34,16.49,1587,0
FBZ.US,D,20110720,000000,16.631,16.631,16.534,16.574,3867,0
FBZ.US,D,20110721,000000,16.721,16.9,16.721,16.843,2577,0
FBZ.US,D,20110722,000000,16.792,16.889,16.733,16.733,4065,0
FBZ.US,D,20110725,000000,16.7,17.072,16.7,17.028,2196,0
FBZ.US,D,20110726,000000,17.09,17.09,16.942,16.942,1434,0
FBZ.US,D,20110727,000000,16.438,16.558,16.301,16.558,11752,0
FBZ.US,D,20110728,000000,16.515,16.598,16.266,16.266,4715,0
FBZ.US,D,20110729,000000,17.468,17.468,16.379,16.747,4394,0
FBZ.US,D,20110801,000000,16.733,16.733,16.591,16.591,6451,0
FBZ.US,D,20110802,000000,16.448,16.448,16.288,16.31,2698,0
