<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FCA.US,D,20110502,000000,22.477,22.477,22.477,22.477,271,0
FCA.US,D,20110504,000000,21.18,21.18,21.143,21.143,2712,0
FCA.US,D,20110506,000000,21.57,21.57,21.57,21.57,1356,0
FCA.US,D,20110509,000000,21.468,21.549,21.387,21.549,2695,0
FCA.US,D,20110511,000000,21.549,21.549,21.549,21.549,131,0
FCA.US,D,20110512,000000,21.237,21.237,21.237,21.237,519,0
FCA.US,D,20110513,000000,20.832,20.832,20.81,20.81,391,0
FCA.US,D,20110516,000000,21.09,21.151,21.011,21.011,1098,0
FCA.US,D,20110517,000000,21.069,21.069,20.943,20.943,461,0
FCA.US,D,20110518,000000,21.57,21.57,21.57,21.57,240,0
FCA.US,D,20110520,000000,21.158,21.158,21.158,21.158,171,0
FCA.US,D,20110523,000000,20.738,20.738,20.605,20.679,2192,0
FCA.US,D,20110524,000000,20.796,20.796,20.67,20.67,406,0
FCA.US,D,20110526,000000,20.824,20.824,20.824,20.824,202,0
FCA.US,D,20110531,000000,21.049,21.141,21.049,21.141,1049,0
FCA.US,D,20110603,000000,20.967,20.967,20.951,20.951,2712,0
FCA.US,D,20110606,000000,20.832,20.832,20.664,20.664,2727,0
FCA.US,D,20110607,000000,20.605,20.605,20.605,20.605,1356,0
FCA.US,D,20110608,000000,20.376,20.435,20.236,20.236,991,0
FCA.US,D,20110613,000000,19.547,19.563,19.379,19.379,21735,0
FCA.US,D,20110614,000000,20.013,20.236,20.013,20.052,2982,0
FCA.US,D,20110615,000000,19.69,19.801,19.654,19.754,10788,0
FCA.US,D,20110616,000000,19.551,19.551,19.551,19.551,406,0
FCA.US,D,20110620,000000,19.46,19.46,19.46,19.46,545,0
FCA.US,D,20110623,000000,19.778,19.778,19.768,19.778,1531,0
FCA.US,D,20110629,000000,20.64,20.64,20.593,20.593,886,0
FCA.US,D,20110630,000000,20.986,20.986,20.943,20.943,5128,0
FCA.US,D,20110707,000000,21.43,21.43,21.43,21.43,803,0
FCA.US,D,20110708,000000,21.486,21.486,21.254,21.254,3037,0
FCA.US,D,20110711,000000,21.049,21.049,20.677,20.677,1202,0
FCA.US,D,20110713,000000,21.056,21.056,20.886,20.886,1364,0
FCA.US,D,20110715,000000,20.444,20.444,20.444,20.444,537,0
FCA.US,D,20110721,000000,20.204,20.204,20.179,20.179,668,0
FCA.US,D,20110725,000000,20.346,20.353,20.339,20.353,1310,0
FCA.US,D,20110728,000000,20.262,20.315,20.262,20.315,926,0
FCA.US,D,20110729,000000,19.956,19.956,19.95,19.95,775,0
FCA.US,D,20110803,000000,19.44,19.543,19.44,19.543,2912,0
FCA.US,D,20110804,000000,19.335,19.335,19.301,19.301,537,0
FCA.US,D,20110805,000000,17.898,18.258,17.861,18.258,2546,0
FCA.US,D,20110809,000000,17.987,17.987,17.636,17.958,2136,0
FCA.US,D,20110810,000000,17.755,17.837,17.38,17.48,3882,0
FCA.US,D,20110812,000000,17.807,17.807,17.536,17.536,403,0
FCA.US,D,20110815,000000,18.377,18.377,18.071,18.093,4199,0
FCA.US,D,20110817,000000,18.195,18.258,18.062,18.062,890,0
FCA.US,D,20110822,000000,16.664,16.856,16.664,16.856,11485,0
FCA.US,D,20110826,000000,16.473,16.512,16.473,16.489,4285,0
FCA.US,D,20110831,000000,17.691,17.691,17.673,17.673,483,0
FCA.US,D,20110902,000000,17.673,17.673,17.562,17.562,2926,0
FCA.US,D,20110912,000000,16.084,16.084,15.95,16.011,1733,0
FCA.US,D,20110913,000000,16.084,16.093,16.084,16.093,402,0
