<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FCAL.US,D,20170627,000000,46.144,46.144,46.134,46.134,537,0
FCAL.US,D,20170628,000000,46.125,46.125,46.125,46.125,203,0
FCAL.US,D,20170706,000000,45.91,45.91,45.91,45.91,975,0
FCAL.US,D,20170712,000000,45.999,45.999,45.984,45.984,598,0
FCAL.US,D,20170717,000000,46.184,46.184,46.184,46.184,303,0
FCAL.US,D,20170718,000000,46.204,46.204,46.204,46.204,100,0
FCAL.US,D,20170720,000000,46.357,46.357,46.35,46.35,203,0
FCAL.US,D,20170724,000000,46.461,46.47,46.461,46.47,15917,0
FCAL.US,D,20170728,000000,46.423,46.423,46.423,46.423,536,0
FCAL.US,D,20170731,000000,46.442,46.442,46.433,46.442,2702,0
FCAL.US,D,20170801,000000,46.415,46.425,46.415,46.425,203,0
FCAL.US,D,20170803,000000,46.494,46.501,46.494,46.501,642,0
FCAL.US,D,20170804,000000,46.494,46.569,46.494,46.563,6278,0
FCAL.US,D,20170807,000000,46.666,46.686,46.636,46.636,2242,0
FCAL.US,D,20170808,000000,46.636,46.636,46.636,46.636,1078,0
FCAL.US,D,20170809,000000,46.666,46.681,46.619,46.619,3189,0
FCAL.US,D,20170815,000000,47.157,47.157,47.157,47.157,267,0
FCAL.US,D,20170816,000000,46.837,46.837,46.813,46.837,1195,0
FCAL.US,D,20170817,000000,46.794,46.809,46.744,46.744,1078,0
FCAL.US,D,20170822,000000,46.777,46.777,46.777,46.777,100,0
FCAL.US,D,20170823,000000,46.876,46.876,46.876,46.876,100,0
FCAL.US,D,20170824,000000,46.837,46.857,46.75,46.75,535,0
FCAL.US,D,20170825,000000,46.784,46.817,46.784,46.817,10161,0
FCAL.US,D,20170829,000000,46.857,46.901,46.857,46.885,4429,0
FCAL.US,D,20170831,000000,47.004,47.004,47.004,47.004,150,0
FCAL.US,D,20170901,000000,46.954,46.994,46.954,46.954,1687,0
FCAL.US,D,20170905,000000,47.004,47.044,47.004,47.044,2372,0
FCAL.US,D,20170907,000000,47.112,47.112,47.112,47.112,585,0
FCAL.US,D,20170911,000000,47.192,47.192,47.092,47.092,3132,0
FCAL.US,D,20170912,000000,47.157,47.169,47.157,47.157,681,0
FCAL.US,D,20170913,000000,47.112,47.157,47.014,47.014,6507,0
FCAL.US,D,20170914,000000,47.083,47.092,47.083,47.092,435,0
FCAL.US,D,20170915,000000,47.083,47.083,47.083,47.083,435,0
FCAL.US,D,20170918,000000,47.019,47.088,47.019,47.019,875,0
FCAL.US,D,20170920,000000,47.054,47.063,46.921,46.921,4050,0
FCAL.US,D,20170921,000000,47.044,47.044,47.044,47.044,533,0
FCAL.US,D,20170926,000000,46.995,47.073,46.995,47.023,1019,0
FCAL.US,D,20170927,000000,46.995,47.011,46.885,46.885,4355,0
FCAL.US,D,20170928,000000,46.93,46.93,46.885,46.885,1065,0
FCAL.US,D,20170929,000000,46.901,46.911,46.878,46.901,6525,0
FCAL.US,D,20171004,000000,46.93,46.93,46.93,46.93,334,0
FCAL.US,D,20171005,000000,46.885,46.893,46.876,46.893,1293,0
FCAL.US,D,20171006,000000,46.822,46.822,46.822,46.822,584,0
FCAL.US,D,20171010,000000,46.911,46.911,46.911,46.911,868,0
FCAL.US,D,20171011,000000,46.94,46.94,46.94,46.94,63876,0
FCAL.US,D,20171013,000000,47.024,47.024,46.91,46.91,1852,0
FCAL.US,D,20171016,000000,47.083,47.083,47.027,47.027,434,0
FCAL.US,D,20171017,000000,47.102,47.102,47.102,47.102,1768,0
FCAL.US,D,20171018,000000,47.157,47.157,47.102,47.102,996,0
FCAL.US,D,20171019,000000,47.2,47.2,47.2,47.2,150,0
FCAL.US,D,20171020,000000,47.148,47.148,47.148,47.148,2906,0
FCAL.US,D,20171023,000000,47.2,47.2,47.2,47.2,140,0
FCAL.US,D,20171024,000000,47.157,47.238,47.157,47.183,2145,0
FCAL.US,D,20171026,000000,47.048,47.091,47.048,47.091,394,0
FCAL.US,D,20171027,000000,47.102,47.102,47.054,47.054,623,0
FCAL.US,D,20171030,000000,46.991,47.073,46.991,47.073,2258,0
FCAL.US,D,20171031,000000,47.09,47.09,47.083,47.083,234,0
FCAL.US,D,20171101,000000,47.102,47.102,47.102,47.102,228,0
FCAL.US,D,20171102,000000,47.004,47.014,47.004,47.014,1070,0
FCAL.US,D,20171103,000000,47.329,47.329,47.329,47.329,326,0
FCAL.US,D,20171106,000000,47.274,47.274,47.274,47.274,284,0
FCAL.US,D,20171107,000000,47.247,47.247,47.247,47.247,249,0
FCAL.US,D,20171110,000000,47.329,47.339,47.329,47.329,740,0
FCAL.US,D,20171115,000000,47.274,47.274,47.274,47.274,100,0
FCAL.US,D,20171120,000000,47.48,47.48,47.48,47.48,120,0
FCAL.US,D,20171122,000000,47.309,47.309,47.278,47.278,918,0
FCAL.US,D,20171127,000000,47.199,47.199,47.199,47.199,301,0
FCAL.US,D,20171128,000000,47.238,47.238,47.238,47.238,195,0
FCAL.US,D,20171129,000000,47.013,47.173,47.013,47.173,1237,0
FCAL.US,D,20171201,000000,47.52,47.52,47.246,47.294,1504,0
FCAL.US,D,20171204,000000,47.385,47.385,47.339,47.385,2101,0
FCAL.US,D,20171205,000000,47.75,47.75,47.481,47.569,1129,0
FCAL.US,D,20171206,000000,47.72,47.73,47.72,47.73,863,0
FCAL.US,D,20171207,000000,47.945,47.945,47.931,47.931,1291,0
FCAL.US,D,20171208,000000,48.187,48.187,47.569,47.569,1667,0
FCAL.US,D,20171211,000000,47.507,47.507,47.507,47.507,394,0
FCAL.US,D,20171213,000000,47.491,47.491,47.32,47.433,8473,0
FCAL.US,D,20171215,000000,47.702,47.72,47.649,47.72,926,0
FCAL.US,D,20171218,000000,47.693,47.693,47.648,47.648,1068,0
FCAL.US,D,20171219,000000,47.481,47.481,47.481,47.481,1068,0
FCAL.US,D,20171221,000000,47.315,47.523,47.298,47.523,1421,0
FCAL.US,D,20171222,000000,47.698,47.754,47.604,47.65,2211,0
FCAL.US,D,20171228,000000,47.925,47.925,47.925,47.925,189,0
FCAL.US,D,20171229,000000,47.565,48.061,47.565,48.061,3054,0
FCAL.US,D,20180102,000000,47.725,47.725,47.725,47.725,141,0
FCAL.US,D,20180103,000000,47.787,47.98,47.787,47.98,717,0
FCAL.US,D,20180104,000000,47.986,47.995,47.986,47.986,2894,0
FCAL.US,D,20180105,000000,47.65,47.829,47.65,47.801,2631,0
FCAL.US,D,20180108,000000,47.764,47.764,47.764,47.764,100,0
FCAL.US,D,20180109,000000,48.077,48.077,47.486,47.486,2398,0
FCAL.US,D,20180110,000000,47.523,48.087,47.354,47.574,6094,0
FCAL.US,D,20180111,000000,47.438,47.446,47.324,47.446,3198,0
FCAL.US,D,20180116,000000,47.468,47.468,47.468,47.468,523,0
FCAL.US,D,20180118,000000,47.486,47.523,47.486,47.501,1688,0
FCAL.US,D,20180119,000000,47.468,47.496,47.368,47.468,934,0
FCAL.US,D,20180122,000000,47.458,47.458,47.383,47.448,612,0
FCAL.US,D,20180123,000000,47.453,47.463,47.357,47.463,1047,0
FCAL.US,D,20180124,000000,47.453,47.463,47.356,47.356,1950,0
FCAL.US,D,20180125,000000,47.374,47.374,47.366,47.366,445,0
FCAL.US,D,20180126,000000,47.329,47.372,47.329,47.372,331,0
FCAL.US,D,20180129,000000,47.274,47.274,47.15,47.15,417,0
FCAL.US,D,20180130,000000,47.199,47.199,47.171,47.199,903,0
FCAL.US,D,20180131,000000,47.089,47.097,47.089,47.097,531,0
FCAL.US,D,20180201,000000,47.08,47.08,46.998,47.08,677,0
FCAL.US,D,20180206,000000,46.974,46.974,46.974,46.974,1054,0
FCAL.US,D,20180207,000000,47.051,47.099,47.051,47.099,240,0
FCAL.US,D,20180208,000000,46.778,46.778,46.778,46.778,256,0
FCAL.US,D,20180212,000000,47.08,47.08,47.08,47.08,2165,0
FCAL.US,D,20180214,000000,46.893,46.893,46.893,46.893,312,0
FCAL.US,D,20180215,000000,46.716,46.716,46.716,46.716,204,0
FCAL.US,D,20180220,000000,45.686,46.936,45.686,46.639,2021,0
FCAL.US,D,20180221,000000,46.529,46.703,46.529,46.684,4534,0
FCAL.US,D,20180226,000000,46.821,48.603,46.821,46.867,3887,0
FCAL.US,D,20180227,000000,46.821,46.821,46.664,46.664,436,0
FCAL.US,D,20180228,000000,46.802,46.834,46.741,46.741,8132,0
FCAL.US,D,20180301,000000,46.867,46.867,46.867,46.867,235,0
