<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FCEF.US,D,20160929,000000,16.375,16.375,16.297,16.297,1848,0
FCEF.US,D,20161003,000000,16.375,16.375,16.375,16.375,1230,0
FCEF.US,D,20161005,000000,16.344,16.344,16.344,16.344,3081,0
FCEF.US,D,20161006,000000,16.375,16.375,16.375,16.375,371,0
FCEF.US,D,20161010,000000,16.444,16.988,16.444,16.606,6167,0
FCEF.US,D,20161011,000000,16.279,16.279,16.279,16.279,618,0
FCEF.US,D,20161012,000000,16.297,16.297,16.18,16.18,6167,0
FCEF.US,D,20161013,000000,16.167,16.182,16.126,16.133,1587,0
FCEF.US,D,20161014,000000,16.133,16.151,16.133,16.151,4002,0
FCEF.US,D,20161017,000000,16.076,16.076,16.076,16.076,928,0
FCEF.US,D,20161018,000000,16.038,16.038,15.998,16.038,4811,0
FCEF.US,D,20161020,000000,16.045,16.125,16.045,16.103,2341,0
FCEF.US,D,20161021,000000,16.143,16.143,16.122,16.122,924,0
FCEF.US,D,20161025,000000,16.209,16.209,16.175,16.175,2616,0
FCEF.US,D,20161026,000000,16.133,17.525,16.112,16.119,12457,0
FCEF.US,D,20161027,000000,16.143,16.143,16.029,16.029,5398,0
FCEF.US,D,20161031,000000,15.946,15.946,15.868,15.926,1142,0
FCEF.US,D,20161102,000000,15.694,15.694,15.694,15.694,2444,0
FCEF.US,D,20161103,000000,15.491,15.534,15.491,15.495,2687,0
FCEF.US,D,20161104,000000,15.438,15.507,15.438,15.453,1781,0
FCEF.US,D,20161107,000000,15.543,15.644,15.507,15.507,3716,0
FCEF.US,D,20161108,000000,15.694,15.694,15.694,15.694,297,0
FCEF.US,D,20161109,000000,15.762,15.808,15.762,15.808,735,0
FCEF.US,D,20161110,000000,15.834,15.834,15.721,15.775,8676,0
FCEF.US,D,20161111,000000,15.661,15.661,15.661,15.661,756,0
FCEF.US,D,20161114,000000,15.652,15.66,15.605,15.605,16988,0
FCEF.US,D,20161115,000000,18.725,18.725,15.737,15.737,2249,0
FCEF.US,D,20161116,000000,15.826,15.826,15.826,15.826,1164,0
FCEF.US,D,20161117,000000,15.857,17.406,15.835,15.865,9819,0
FCEF.US,D,20161118,000000,15.848,15.865,15.848,15.865,15830,0
FCEF.US,D,20161121,000000,15.972,15.972,15.972,15.972,922,0
FCEF.US,D,20161122,000000,16.031,16.054,16.031,16.054,5487,0
FCEF.US,D,20161123,000000,16.038,16.046,16.038,16.046,296,0
FCEF.US,D,20161125,000000,16.126,16.152,16.126,16.144,9004,0
FCEF.US,D,20161128,000000,16.144,16.144,16.111,16.126,2561,0
FCEF.US,D,20161129,000000,16.054,16.054,16.054,16.054,245,0
FCEF.US,D,20161130,000000,16.071,16.071,16.071,16.071,742,0
FCEF.US,D,20161201,000000,16.045,16.045,15.985,15.985,1840,0
FCEF.US,D,20161202,000000,16.008,16.012,16.008,16.012,1111,0
FCEF.US,D,20161205,000000,16.061,16.061,16.061,16.061,1217,0
FCEF.US,D,20161206,000000,16.055,17.664,16.055,16.176,147423,0
FCEF.US,D,20161207,000000,16.184,16.275,16.149,16.275,2176,0
FCEF.US,D,20161208,000000,16.256,16.371,16.188,16.256,12551,0
FCEF.US,D,20161209,000000,16.316,16.316,16.282,16.316,90559,0
FCEF.US,D,20161212,000000,16.211,16.292,16.211,16.25,21339,0
FCEF.US,D,20161213,000000,16.308,16.451,16.277,16.358,11408,0
FCEF.US,D,20161214,000000,16.266,16.351,16.266,16.299,7772,0
FCEF.US,D,20161215,000000,16.3,16.3,16.269,16.3,2899,0
FCEF.US,D,20161216,000000,16.348,16.349,16.325,16.341,18500,0
FCEF.US,D,20161219,000000,16.398,16.406,16.353,16.353,69517,0
FCEF.US,D,20161220,000000,16.415,16.415,16.341,16.415,37540,0
FCEF.US,D,20161221,000000,16.415,16.415,16.4,16.404,10567,0
FCEF.US,D,20161222,000000,16.449,16.449,16.4,16.407,4294,0
FCEF.US,D,20161223,000000,16.424,16.485,16.424,16.481,3050,0
FCEF.US,D,20161227,000000,16.523,16.533,16.489,16.489,2064,0
FCEF.US,D,20161228,000000,16.481,16.481,16.481,16.481,418,0
FCEF.US,D,20161229,000000,16.462,16.486,16.462,16.486,785,0
FCEF.US,D,20161230,000000,16.555,16.572,16.486,16.486,1545,0
FCEF.US,D,20170103,000000,16.564,16.596,16.564,16.596,717,0
FCEF.US,D,20170104,000000,16.735,16.754,16.572,16.587,15542,0
FCEF.US,D,20170105,000000,16.671,16.671,16.631,16.647,5285,0
FCEF.US,D,20170106,000000,16.687,16.736,16.687,16.736,785,0
FCEF.US,D,20170109,000000,16.745,16.754,16.728,16.754,3963,0
FCEF.US,D,20170110,000000,16.762,16.788,16.762,16.788,1666,0
FCEF.US,D,20170111,000000,16.793,16.795,16.793,16.795,1670,0
FCEF.US,D,20170112,000000,16.867,16.867,16.731,16.781,18603,0
FCEF.US,D,20170113,000000,16.791,16.823,16.772,16.803,9421,0
FCEF.US,D,20170117,000000,16.796,16.843,16.796,16.834,2764,0
FCEF.US,D,20170118,000000,16.843,16.843,16.639,16.807,33387,0
FCEF.US,D,20170119,000000,16.834,16.834,16.718,16.75,9223,0
FCEF.US,D,20170120,000000,16.745,16.827,16.745,16.791,13021,0
FCEF.US,D,20170123,000000,16.745,16.824,16.745,16.824,2559,0
FCEF.US,D,20170124,000000,16.868,16.902,16.868,16.898,2608,0
FCEF.US,D,20170125,000000,17.005,17.005,16.953,16.953,5684,0
FCEF.US,D,20170126,000000,17.019,17.042,16.961,17.042,17817,0
FCEF.US,D,20170130,000000,16.936,16.942,16.936,16.942,758,0
FCEF.US,D,20170131,000000,16.987,16.987,16.936,16.987,6643,0
FCEF.US,D,20170201,000000,17.038,17.074,17.032,17.074,4758,0
FCEF.US,D,20170202,000000,17.066,17.093,17.017,17.093,8680,0
FCEF.US,D,20170203,000000,17.112,17.177,17.094,17.177,26204,0
FCEF.US,D,20170206,000000,17.154,17.248,17.154,17.248,4030,0
FCEF.US,D,20170207,000000,17.184,17.184,17.177,17.177,1244,0
FCEF.US,D,20170208,000000,17.116,17.116,17.116,17.116,317,0
FCEF.US,D,20170209,000000,17.18,17.18,17.136,17.136,5408,0
FCEF.US,D,20170210,000000,17.246,17.263,17.226,17.239,15817,0
FCEF.US,D,20170213,000000,17.316,17.316,17.241,17.3,5049,0
FCEF.US,D,20170214,000000,17.282,17.3,17.253,17.3,7660,0
FCEF.US,D,20170215,000000,17.325,17.325,17.277,17.277,3982,0
FCEF.US,D,20170216,000000,17.28,17.282,17.193,17.193,1634,0
FCEF.US,D,20170217,000000,17.25,17.25,17.163,17.24,16672,0
