<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FCVT.US,D,20151106,000000,23.089,23.089,23.089,23.089,1079,0
FCVT.US,D,20151112,000000,22.959,22.959,22.959,22.959,103,0
FCVT.US,D,20151113,000000,23.071,23.081,22.921,23.081,976,0
FCVT.US,D,20151117,000000,22.93,23.708,22.93,23.708,205,0
FCVT.US,D,20151120,000000,22.939,22.939,22.939,22.939,205,0
FCVT.US,D,20151124,000000,22.811,22.811,22.811,22.811,103,0
FCVT.US,D,20151125,000000,22.998,22.998,22.865,22.875,309,0
FCVT.US,D,20151130,000000,22.904,22.904,22.904,22.904,873,0
FCVT.US,D,20151202,000000,23.045,23.045,23.036,23.036,873,0
FCVT.US,D,20151203,000000,22.895,22.895,22.885,22.885,976,0
FCVT.US,D,20151204,000000,22.802,22.821,22.802,22.811,5466,0
FCVT.US,D,20151207,000000,22.904,22.93,22.811,22.811,1744,0
FCVT.US,D,20151210,000000,22.811,22.811,22.639,22.639,2406,0
FCVT.US,D,20151211,000000,22.675,22.675,22.512,22.658,2296,0
FCVT.US,D,20151216,000000,22.722,22.722,22.722,22.722,103,0
FCVT.US,D,20151217,000000,22.722,23.535,22.712,23.535,1079,0
FCVT.US,D,20151218,000000,22.594,22.594,22.433,22.594,1079,0
FCVT.US,D,20151221,000000,22.35,22.442,22.35,22.395,1970,0
FCVT.US,D,20151222,000000,22.36,22.425,22.36,22.425,443,0
FCVT.US,D,20151231,000000,22.59,22.682,22.59,22.59,1308,0
FCVT.US,D,20160104,000000,22.618,22.618,22.544,22.544,1032,0
FCVT.US,D,20160105,000000,22.544,22.544,22.544,22.544,868,0
FCVT.US,D,20160106,000000,22.544,25.686,22.473,22.562,3257,0
FCVT.US,D,20160107,000000,22.39,22.4,22.249,22.249,4463,0
FCVT.US,D,20160108,000000,22.183,22.183,22.03,22.03,204,0
FCVT.US,D,20160111,000000,22.012,22.03,22.002,22.02,1487,0
FCVT.US,D,20160113,000000,21.954,21.954,21.945,21.945,1631,0
FCVT.US,D,20160114,000000,21.756,21.756,21.72,21.72,1073,0
FCVT.US,D,20160119,000000,21.568,21.568,21.568,21.568,1198,0
FCVT.US,D,20160120,000000,21.304,21.401,21.304,21.401,318,0
FCVT.US,D,20160122,000000,21.467,21.467,21.369,21.369,898,0
FCVT.US,D,20160126,000000,21.587,21.587,21.559,21.559,970,0
FCVT.US,D,20160201,000000,21.654,21.673,21.654,21.673,1451,0
FCVT.US,D,20160202,000000,21.523,22.739,21.523,22.739,2015,0
FCVT.US,D,20160203,000000,21.664,21.946,21.664,21.946,559,0
FCVT.US,D,20160204,000000,21.341,21.531,21.341,21.457,867,0
FCVT.US,D,20160205,000000,21.541,21.541,21.541,21.541,102,0
FCVT.US,D,20160208,000000,21.056,21.494,21.056,21.494,525,0
FCVT.US,D,20160211,000000,20.709,20.82,20.493,20.82,7509,0
FCVT.US,D,20160212,000000,20.982,20.982,20.636,20.636,1072,0
FCVT.US,D,20160216,000000,20.801,20.801,20.735,20.735,566,0
FCVT.US,D,20160217,000000,21.487,21.487,21.487,21.487,102,0
FCVT.US,D,20160218,000000,20.727,20.727,20.727,20.727,1072,0
FCVT.US,D,20160223,000000,21.392,21.392,21.392,21.392,436,0
FCVT.US,D,20160225,000000,21.728,21.728,21.728,21.728,918,0
FCVT.US,D,20160229,000000,21.546,21.546,21.546,21.546,102,0
FCVT.US,D,20160309,000000,22.953,24.913,21.911,21.911,3023,0
FCVT.US,D,20160314,000000,22.04,22.04,21.588,21.607,1070,0
FCVT.US,D,20160315,000000,22.252,22.252,22.252,22.252,307,0
FCVT.US,D,20160317,000000,22.095,22.095,22.094,22.094,450,0
FCVT.US,D,20160322,000000,22.32,22.33,22.32,22.33,228,0
FCVT.US,D,20160323,000000,22.176,22.176,22.156,22.156,315,0
FCVT.US,D,20160331,000000,22.281,22.281,22.281,22.281,436,0
FCVT.US,D,20160401,000000,22.224,22.262,22.224,22.262,1412,0
FCVT.US,D,20160405,000000,22.366,22.366,22.366,22.366,576,0
FCVT.US,D,20160413,000000,22.432,22.758,22.432,22.758,1897,0
FCVT.US,D,20160420,000000,22.733,27.389,22.733,27.389,1069,0
FCVT.US,D,20160421,000000,22.748,22.748,22.748,22.748,760,0
FCVT.US,D,20160503,000000,22.508,22.508,22.508,22.508,864,0
FCVT.US,D,20160504,000000,22.37,22.398,21.888,21.888,3716,0
FCVT.US,D,20160506,000000,22.099,22.099,22.099,22.099,270,0
FCVT.US,D,20160510,000000,22.236,22.427,22.236,22.256,1023,0
FCVT.US,D,20160512,000000,22.472,22.472,22.472,22.472,167,0
FCVT.US,D,20160517,000000,22.343,22.362,22.295,22.295,2592,0
FCVT.US,D,20160527,000000,22.749,22.856,22.418,22.711,7669,0
