<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FDIV.US,D,20140818,000000,39.368,39.408,39.248,39.255,7325,0
FDIV.US,D,20140819,000000,39.438,39.506,39.438,39.506,3130,0
FDIV.US,D,20140820,000000,39.522,39.522,39.479,39.479,6449,0
FDIV.US,D,20140822,000000,39.508,39.508,39.498,39.498,1010,0
FDIV.US,D,20140825,000000,39.589,39.605,39.589,39.605,970,0
FDIV.US,D,20140826,000000,39.673,39.673,39.636,39.636,2225,0
FDIV.US,D,20140827,000000,39.705,39.72,39.689,39.72,1270,0
FDIV.US,D,20140828,000000,39.454,39.767,39.438,39.767,3949,0
FDIV.US,D,20140829,000000,39.796,39.832,39.796,39.832,3771,0
FDIV.US,D,20140902,000000,39.916,39.916,39.738,39.756,11015,0
FDIV.US,D,20140903,000000,39.796,39.942,39.78,39.78,20808,0
FDIV.US,D,20140904,000000,39.788,39.788,39.618,39.618,18655,0
FDIV.US,D,20140905,000000,39.651,39.711,39.651,39.711,1547,0
FDIV.US,D,20140908,000000,39.666,39.711,39.522,39.522,10733,0
FDIV.US,D,20140909,000000,39.277,39.605,39.277,39.574,4064,0
FDIV.US,D,20140910,000000,39.559,39.559,39.423,39.438,4235,0
FDIV.US,D,20140911,000000,39.401,39.666,39.401,39.574,42496,0
FDIV.US,D,20140912,000000,39.522,39.522,39.522,39.522,262,0
FDIV.US,D,20140915,000000,39.244,39.285,39.205,39.277,2339,0
FDIV.US,D,20140916,000000,39.153,39.153,39.153,39.153,420,0
FDIV.US,D,20140917,000000,39.368,39.401,39.205,39.214,8347,0
FDIV.US,D,20140918,000000,39.401,39.423,39.401,39.423,1913,0
FDIV.US,D,20140919,000000,39.454,39.506,39.454,39.506,1357,0
FDIV.US,D,20140922,000000,39.408,39.437,39.339,39.345,2470,0
FDIV.US,D,20140923,000000,39.207,39.279,39.207,39.249,4595,0
FDIV.US,D,20140924,000000,39.066,39.15,39.035,39.15,5099,0
FDIV.US,D,20140925,000000,39.002,39.002,38.961,38.961,650,0
FDIV.US,D,20140926,000000,38.836,38.836,38.836,38.836,707,0
FDIV.US,D,20140929,000000,38.965,38.965,38.965,38.965,328,0
FDIV.US,D,20140930,000000,38.886,39.035,38.886,39.004,5126,0
FDIV.US,D,20141001,000000,39.035,39.112,39.035,39.05,1799,0
FDIV.US,D,20141002,000000,38.815,38.9,38.815,38.9,453,0
FDIV.US,D,20141003,000000,39.035,39.05,39.031,39.05,1767,0
FDIV.US,D,20141006,000000,39.004,39.145,39.004,39.112,2100,0
FDIV.US,D,20141007,000000,39,39.043,38.981,39.013,4482,0
FDIV.US,D,20141008,000000,38.807,39.035,38.768,39.035,9900,0
FDIV.US,D,20141009,000000,39.256,39.256,39.021,39.021,872,0
FDIV.US,D,20141010,000000,38.475,38.475,38.388,38.388,917,0
FDIV.US,D,20141013,000000,38.581,38.581,38.476,38.476,723,0
FDIV.US,D,20141014,000000,38.371,38.401,38.323,38.371,5926,0
FDIV.US,D,20141015,000000,38.064,38.281,38.056,38.281,1911,0
FDIV.US,D,20141016,000000,38.635,38.774,38.635,38.774,271,0
FDIV.US,D,20141017,000000,38.815,38.815,38.815,38.815,231,0
FDIV.US,D,20141020,000000,38.988,38.988,38.988,38.988,271,0
FDIV.US,D,20141021,000000,39.158,39.28,39.158,39.28,4499,0
FDIV.US,D,20141022,000000,39.418,39.418,39.271,39.297,2620,0
FDIV.US,D,20141023,000000,39.371,39.371,39.335,39.354,2233,0
FDIV.US,D,20141024,000000,39.387,39.387,39.379,39.379,789,0
FDIV.US,D,20141027,000000,39.396,39.484,39.396,39.484,2658,0
FDIV.US,D,20141028,000000,39.501,39.641,39.501,39.641,598,0
FDIV.US,D,20141029,000000,39.624,41.203,39.619,39.62,2491,0
FDIV.US,D,20141030,000000,39.67,39.67,39.67,39.67,702,0
FDIV.US,D,20141031,000000,39.933,39.933,39.933,39.933,406,0
FDIV.US,D,20141103,000000,40.151,40.208,39.955,40.208,2227,0
FDIV.US,D,20141105,000000,39.83,39.83,39.83,39.83,270,0
FDIV.US,D,20141106,000000,39.806,39.854,39.777,39.815,1956,0
FDIV.US,D,20141107,000000,39.891,39.9,39.891,39.9,1622,0
FDIV.US,D,20141110,000000,39.933,39.94,39.933,39.94,10906,0
FDIV.US,D,20141113,000000,39.839,39.868,39.83,39.868,437,0
FDIV.US,D,20141117,000000,39.854,40.003,39.854,40.003,2248,0
FDIV.US,D,20141118,000000,40.019,40.119,39.94,40.084,2224,0
FDIV.US,D,20141119,000000,40.098,40.098,40.084,40.084,2632,0
FDIV.US,D,20141120,000000,40.067,40.126,40.067,40.09,4209,0
FDIV.US,D,20141121,000000,40.364,40.413,40.271,40.331,4203,0
FDIV.US,D,20141124,000000,40.142,40.151,40.084,40.126,1723,0
FDIV.US,D,20141125,000000,40.142,40.147,40.076,40.084,1478,0
FDIV.US,D,20141126,000000,40.21,40.271,40.192,40.271,4573,0
FDIV.US,D,20141201,000000,39.759,39.759,39.708,39.733,1534,0
FDIV.US,D,20141202,000000,39.677,39.89,39.677,39.89,1797,0
FDIV.US,D,20141203,000000,40.026,40.026,39.958,39.958,1087,0
FDIV.US,D,20141204,000000,39.708,40.026,39.708,40.026,2017,0
FDIV.US,D,20141205,000000,39.998,40.026,39.922,39.962,2801,0
FDIV.US,D,20141208,000000,39.805,39.805,39.608,39.685,2949,0
FDIV.US,D,20141209,000000,39.492,39.721,39.492,39.721,1765,0
