<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FDT.US,D,20110502,000000,42.833,42.833,42.697,42.697,2420,0
FDT.US,D,20110503,000000,42.447,42.574,42.342,42.342,1104,0
FDT.US,D,20110504,000000,41.706,41.706,41.706,41.706,121,0
FDT.US,D,20110505,000000,41.487,41.487,41.308,41.316,691,0
FDT.US,D,20110510,000000,41.831,42.059,41.639,42.059,4378,0
FDT.US,D,20110511,000000,41.511,41.706,40.998,40.998,5890,0
FDT.US,D,20110512,000000,40.981,41.241,40.653,41.038,24227,0
FDT.US,D,20110516,000000,40.36,40.36,40.327,40.327,7226,0
FDT.US,D,20110520,000000,41.12,41.12,40.605,40.605,896,0
FDT.US,D,20110524,000000,39.755,39.863,39.755,39.863,523,0
FDT.US,D,20110525,000000,39.827,39.827,39.827,39.827,736,0
FDT.US,D,20110526,000000,40.309,40.309,40.309,40.309,225,0
FDT.US,D,20110527,000000,40.336,40.53,40.248,40.53,22742,0
FDT.US,D,20110531,000000,41.081,41.395,41.081,41.387,1372,0
FDT.US,D,20110601,000000,41.241,41.241,40.981,40.981,1092,0
FDT.US,D,20110602,000000,40.962,40.981,40.962,40.981,359,0
FDT.US,D,20110603,000000,40.711,41.062,40.711,40.998,2117,0
FDT.US,D,20110606,000000,40.702,40.718,40.393,40.393,1129,0
FDT.US,D,20110607,000000,40.858,40.883,40.733,40.883,2965,0
FDT.US,D,20110608,000000,40.224,40.298,40.224,40.298,5423,0
FDT.US,D,20110609,000000,40.256,40.505,40.256,40.481,1934,0
FDT.US,D,20110610,000000,39.558,39.676,39.55,39.55,1520,0
FDT.US,D,20110613,000000,39.701,39.701,39.701,39.701,631,0
FDT.US,D,20110615,000000,39.202,39.284,39.127,39.127,1479,0
FDT.US,D,20110617,000000,39.322,39.322,39.127,39.176,1639,0
FDT.US,D,20110620,000000,39.023,39.039,39.023,39.039,471,0
FDT.US,D,20110621,000000,39.921,39.921,39.921,39.921,123,0
FDT.US,D,20110622,000000,39.915,39.915,39.915,39.915,127,0
FDT.US,D,20110623,000000,38.85,38.85,38.816,38.816,484,0
FDT.US,D,20110624,000000,39.075,39.075,39.075,39.075,1024,0
FDT.US,D,20110627,000000,39.108,39.273,39.108,39.207,847,0
FDT.US,D,20110628,000000,39.469,39.694,39.469,39.686,611,0
FDT.US,D,20110629,000000,40.154,40.638,40.154,40.638,1120,0
FDT.US,D,20110630,000000,41.221,41.221,41.189,41.198,992,0
FDT.US,D,20110701,000000,40.966,41.758,40.966,41.691,252158,0
FDT.US,D,20110705,000000,41.708,41.879,41.649,41.649,3409,0
FDT.US,D,20110706,000000,41.698,41.698,41.272,41.673,2608,0
FDT.US,D,20110707,000000,41.914,42.136,41.914,42.087,783,0
FDT.US,D,20110708,000000,41.511,41.551,41.409,41.551,12638,0
FDT.US,D,20110711,000000,40.646,41.002,40.204,40.392,7474,0
FDT.US,D,20110712,000000,40.028,40.63,40.028,40.308,9359,0
FDT.US,D,20110713,000000,40.86,41.38,40.727,41.176,6781,0
FDT.US,D,20110714,000000,41.307,41.307,40.743,40.743,1167,0
FDT.US,D,20110715,000000,40.817,40.817,40.817,40.817,239,0
FDT.US,D,20110718,000000,40.144,40.303,40.144,40.303,1727,0
FDT.US,D,20110719,000000,40.77,40.966,40.58,40.606,13393,0
FDT.US,D,20110720,000000,41.387,41.387,41.073,41.214,1460,0
FDT.US,D,20110721,000000,41.865,41.889,41.782,41.858,1532,0
FDT.US,D,20110722,000000,41.914,42.095,41.889,42.095,6428,0
FDT.US,D,20110725,000000,41.775,42.04,41.775,42.04,2572,0
FDT.US,D,20110726,000000,41.825,42.03,41.742,41.998,2594,0
FDT.US,D,20110727,000000,41.551,41.61,41.116,41.116,2898,0
FDT.US,D,20110728,000000,41.026,41.214,40.984,41.116,3180,0
FDT.US,D,20110729,000000,40.878,40.878,40.554,40.778,1445,0
FDT.US,D,20110801,000000,41.387,41.534,39.973,40.097,195815,0
FDT.US,D,20110802,000000,39.973,39.973,38.961,38.961,7098,0
FDT.US,D,20110803,000000,39.182,39.182,38.564,38.901,2247,0
FDT.US,D,20110804,000000,37.444,37.444,36.195,36.195,16038,0
FDT.US,D,20110805,000000,36.577,36.577,35.148,35.684,42184,0
FDT.US,D,20110808,000000,34.405,34.657,33.75,33.75,2977,0
FDT.US,D,20110809,000000,34.647,34.851,33.665,34.571,154346,0
FDT.US,D,20110810,000000,34,34.603,33.509,33.509,14389,0
FDT.US,D,20110811,000000,34.546,35.607,34.546,35.607,6251,0
FDT.US,D,20110812,000000,35.52,35.52,35.496,35.505,729,0
FDT.US,D,20110815,000000,36.187,36.317,36.027,36.087,12192,0
FDT.US,D,20110816,000000,35.838,36.087,35.623,35.83,12316,0
FDT.US,D,20110817,000000,36.647,36.647,35.884,35.884,853,0
FDT.US,D,20110818,000000,34.966,34.966,34.07,34.07,7947,0
FDT.US,D,20110819,000000,33.896,33.896,33.371,33.371,4916,0
FDT.US,D,20110822,000000,33.219,33.219,33.189,33.203,669,0
FDT.US,D,20110823,000000,33.509,33.931,33.509,33.931,691,0
FDT.US,D,20110824,000000,34.162,34.343,33.804,34,17976,0
FDT.US,D,20110825,000000,33.788,33.788,33.651,33.781,621,0
FDT.US,D,20110826,000000,34.034,34.251,34.034,34.251,239,0
FDT.US,D,20110829,000000,35.065,35.229,35.056,35.229,2291,0
FDT.US,D,20110830,000000,35.272,35.478,34.9,35.389,8687,0
FDT.US,D,20110831,000000,36.203,36.333,35.845,35.952,10095,0
FDT.US,D,20110901,000000,35.899,36.227,35.707,35.766,49369,0
FDT.US,D,20110902,000000,35.108,35.243,34.903,34.903,1472,0
FDT.US,D,20110906,000000,33.409,33.772,33.353,33.772,6095,0
FDT.US,D,20110907,000000,34.458,34.53,34.458,34.458,3914,0
FDT.US,D,20110908,000000,34.439,34.439,34.145,34.145,1665,0
FDT.US,D,20110909,000000,32.927,32.976,32.803,32.976,2184,0
FDT.US,D,20110912,000000,32.497,32.497,32.4,32.4,491,0
FDT.US,D,20110913,000000,32.826,33.049,32.826,33.026,1519,0
FDT.US,D,20110914,000000,33.327,33.327,33.327,33.327,144,0
FDT.US,D,20110915,000000,33.469,33.691,33.254,33.691,1981,0
FDT.US,D,20110916,000000,33.674,33.88,33.674,33.88,1848,0
FDT.US,D,20110919,000000,32.553,33.065,32.553,33.065,1696,0
FDT.US,D,20110920,000000,33.172,33.237,33.172,33.237,971,0
FDT.US,D,20110921,000000,32.642,33.577,32.325,32.325,3708,0
FDT.US,D,20110922,000000,30.688,30.688,29.994,30.35,2671,0
FDT.US,D,20110923,000000,30.396,30.785,30.176,30.644,23965,0
FDT.US,D,20110926,000000,29.849,30.359,29.849,30.235,2107,0
FDT.US,D,20110927,000000,31.907,32.159,31.494,31.494,5830,0
FDT.US,D,20110928,000000,31.557,31.557,31.049,31.263,19958,0
FDT.US,D,20110929,000000,31.486,31.55,31.112,31.55,3247,0
FDT.US,D,20110930,000000,30.48,30.48,30.48,30.48,239,0
FDT.US,D,20111003,000000,29.746,29.746,29.056,29.056,526,0
FDT.US,D,20111004,000000,28.31,28.92,28.31,28.496,1922,0
FDT.US,D,20111005,000000,29.181,29.551,29.181,29.551,491,0
FDT.US,D,20111006,000000,30.267,30.44,30.267,30.44,1292,0
FDT.US,D,20111007,000000,30.941,30.941,30.869,30.869,1892,0
FDT.US,D,20111010,000000,31.756,32.12,31.756,32.034,489,0
FDT.US,D,20111011,000000,31.945,32.285,31.907,32.285,1053,0
FDT.US,D,20111012,000000,33.172,34.793,32.958,33.353,2718,0
FDT.US,D,20111013,000000,32.794,32.869,32.76,32.869,849,0
FDT.US,D,20111014,000000,33.127,33.345,33.127,33.345,2214,0
FDT.US,D,20111017,000000,32.72,32.72,32.72,32.72,427,0
FDT.US,D,20111019,000000,32.842,32.842,32.667,32.733,5712,0
FDT.US,D,20111020,000000,32.168,32.466,32.159,32.466,1144,0
FDT.US,D,20111021,000000,33.092,33.092,32.976,33.057,1002,0
FDT.US,D,20111024,000000,33.75,33.905,33.601,33.601,3741,0
FDT.US,D,20111025,000000,33.401,33.409,33.189,33.387,1225,0
FDT.US,D,20111026,000000,33.585,33.585,33.553,33.553,380,0
FDT.US,D,20111027,000000,34.414,35.023,34.414,35.023,5410,0
FDT.US,D,20111028,000000,34.778,34.778,34.778,34.778,570,0
FDT.US,D,20111031,000000,33.566,33.566,33.566,33.566,140,0
FDT.US,D,20111101,000000,32.133,33.101,32.133,33.101,14993,0
FDT.US,D,20111102,000000,32.842,32.894,32.794,32.794,832,0
FDT.US,D,20111103,000000,33.758,33.758,33.469,33.469,577,0
FDT.US,D,20111104,000000,33.241,33.483,33.241,33.483,969,0
FDT.US,D,20111107,000000,33.312,33.691,33.285,33.691,58877,0
FDT.US,D,20111108,000000,33.295,36.267,33.295,33.921,5256,0
FDT.US,D,20111109,000000,32.95,32.95,32.268,32.268,971,0
FDT.US,D,20111110,000000,32.811,32.811,32.252,32.733,2992,0
FDT.US,D,20111111,000000,32.984,32.984,32.984,32.984,364,0
FDT.US,D,20111114,000000,33.092,33.092,32.629,32.742,2617,0
FDT.US,D,20111116,000000,32.449,32.529,32.096,32.096,3560,0
FDT.US,D,20111117,000000,31.666,31.666,31.618,31.618,1017,0
FDT.US,D,20111118,000000,31.985,31.985,31.874,31.953,5107,0
FDT.US,D,20111122,000000,31.058,31.058,31.058,31.058,120,0
FDT.US,D,20111123,000000,30.456,30.456,30.396,30.396,1292,0
FDT.US,D,20111125,000000,30.367,30.367,30.307,30.307,503,0
FDT.US,D,20111128,000000,30.95,30.958,30.95,30.95,1941,0
FDT.US,D,20111129,000000,31.5,31.5,31.005,31.121,7216,0
FDT.US,D,20111130,000000,32.911,32.911,32.457,32.457,633,0
FDT.US,D,20111201,000000,32.497,32.587,32.497,32.529,2528,0
FDT.US,D,20111202,000000,32.479,32.479,32.293,32.293,3127,0
FDT.US,D,20111205,000000,32.894,32.976,32.684,32.835,93133,0
FDT.US,D,20111206,000000,32.35,32.753,32.35,32.712,1404,0
FDT.US,D,20111207,000000,32.562,32.761,32.562,32.594,9354,0
FDT.US,D,20111208,000000,32.251,32.251,31.895,32.066,27868,0
FDT.US,D,20111209,000000,32.417,32.57,32.226,32.226,4991,0
FDT.US,D,20111212,000000,31.74,31.798,31.395,31.642,125068,0
FDT.US,D,20111213,000000,31.74,31.829,31.058,31.058,35515,0
