<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FDTS.US,D,20120228,000000,25.954,25.954,25.954,25.954,120,0
FDTS.US,D,20120313,000000,25.571,25.571,25.473,25.473,3603,0
FDTS.US,D,20120411,000000,24.48,24.619,24.48,24.619,526,0
FDTS.US,D,20120412,000000,24.755,25.161,24.755,25.161,2985,0
FDTS.US,D,20120413,000000,24.936,24.936,24.895,24.895,241,0
FDTS.US,D,20120515,000000,22.206,22.214,21.273,21.656,96166,0
FDTS.US,D,20120516,000000,21.406,21.406,21.406,21.406,411,0
FDTS.US,D,20120604,000000,21.39,21.39,21.39,21.39,120,0
FDTS.US,D,20120613,000000,22.021,22.021,22.021,22.021,289,0
FDTS.US,D,20120615,000000,22.247,22.247,22.247,22.247,1454,0
FDTS.US,D,20120619,000000,22.707,22.707,22.707,22.707,132,0
FDTS.US,D,20120705,000000,22.671,22.671,22.671,22.671,245,0
FDTS.US,D,20120706,000000,22.678,22.678,22.607,22.607,879,0
FDTS.US,D,20120712,000000,22.021,22.021,22.003,22.003,289,0
FDTS.US,D,20120724,000000,21.477,21.477,21.477,21.477,480,0
FDTS.US,D,20120727,000000,22.488,22.528,22.45,22.528,1496,0
FDTS.US,D,20120802,000000,21.698,21.698,21.698,21.698,11269,0
FDTS.US,D,20120809,000000,22.255,22.863,22.255,22.804,480,0
FDTS.US,D,20120810,000000,22.871,22.871,22.871,22.871,547,0
FDTS.US,D,20120813,000000,22.663,22.663,22.607,22.607,480,0
FDTS.US,D,20120828,000000,22.742,22.938,22.742,22.938,261,0
FDTS.US,D,20120917,000000,24.205,24.205,24.122,24.139,2037,0
FDTS.US,D,20120921,000000,24.315,24.315,24.307,24.307,776,0
FDTS.US,D,20120924,000000,24.016,24.244,23.623,24.244,2007,0
FDTS.US,D,20121002,000000,23.999,23.999,23.999,23.999,240,0
