<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FEM.US,D,20110502,000000,22.976,23.085,22.914,22.914,4585,0
FEM.US,D,20110503,000000,22.709,22.715,22.396,22.471,4287,0
FEM.US,D,20110504,000000,22.306,22.306,22.223,22.223,1594,0
FEM.US,D,20110505,000000,22.124,22.14,22.025,22.14,1047,0
FEM.US,D,20110506,000000,22.353,22.361,22.072,22.072,1459,0
FEM.US,D,20110509,000000,22.171,22.313,22.171,22.277,4190,0
FEM.US,D,20110510,000000,22.298,22.404,22.103,22.183,27399,0
FEM.US,D,20110511,000000,22.289,22.289,21.986,21.986,816,0
FEM.US,D,20110512,000000,22.042,22.14,21.884,22.109,12811,0
FEM.US,D,20110513,000000,21.927,22.19,21.497,21.572,27212,0
FEM.US,D,20110516,000000,21.709,21.709,21.572,21.572,830,0
FEM.US,D,20110517,000000,21.528,21.628,21.473,21.61,1315,0
FEM.US,D,20110518,000000,21.723,21.994,21.723,21.918,119907,0
FEM.US,D,20110519,000000,21.927,21.927,21.814,21.905,2770,0
FEM.US,D,20110520,000000,21.723,21.723,21.619,21.678,1326,0
FEM.US,D,20110523,000000,21.283,21.3,21.211,21.283,1417,0
FEM.US,D,20110524,000000,21.522,21.695,21.522,21.619,8126,0
FEM.US,D,20110525,000000,21.558,21.678,21.465,21.642,4826,0
FEM.US,D,20110526,000000,21.723,21.854,21.723,21.854,4279,0
FEM.US,D,20110527,000000,21.964,22.033,21.918,21.959,5937,0
FEM.US,D,20110531,000000,22.296,22.334,22.226,22.334,5562,0
FEM.US,D,20110601,000000,22.313,22.313,22.086,22.086,5949,0
FEM.US,D,20110602,000000,22.26,22.283,22.214,22.245,1283,0
FEM.US,D,20110603,000000,22.19,22.298,22.19,22.298,6509,0
FEM.US,D,20110606,000000,22.155,22.171,21.87,21.87,3699,0
FEM.US,D,20110607,000000,22.243,22.243,22.212,22.234,3662,0
FEM.US,D,20110608,000000,22.015,22.015,21.774,21.873,37785,0
FEM.US,D,20110609,000000,21.873,21.941,21.747,21.941,12787,0
FEM.US,D,20110610,000000,21.615,21.615,21.492,21.501,10595,0
FEM.US,D,20110613,000000,21.465,21.497,21.413,21.443,5026,0
FEM.US,D,20110614,000000,21.709,21.898,21.451,21.669,11088,0
FEM.US,D,20110615,000000,21.226,21.443,21.187,21.291,13982,0
FEM.US,D,20110616,000000,21.16,21.16,20.84,21.084,5967,0
FEM.US,D,20110617,000000,21.146,21.273,21.038,21.206,4291,0
FEM.US,D,20110620,000000,21.034,21.074,20.822,20.892,9051,0
FEM.US,D,20110621,000000,21.362,21.362,21.362,21.362,2403,0
FEM.US,D,20110622,000000,21.341,21.392,21.287,21.287,4199,0
FEM.US,D,20110623,000000,20.932,21.197,20.878,21.197,2682,0
FEM.US,D,20110624,000000,21.173,21.173,21.077,21.113,3398,0
FEM.US,D,20110627,000000,21.355,21.439,21.335,21.439,28262,0
FEM.US,D,20110628,000000,21.349,21.492,21.349,21.492,10802,0
FEM.US,D,20110629,000000,21.539,21.698,21.477,21.477,2032,0
FEM.US,D,20110630,000000,21.876,21.937,21.876,21.937,567,0
FEM.US,D,20110701,000000,22.374,22.374,21.991,22.327,26356,0
FEM.US,D,20110705,000000,22.449,22.449,22.176,22.327,7710,0
FEM.US,D,20110706,000000,22.04,22.221,22.04,22.221,17092,0
FEM.US,D,20110707,000000,22.548,22.548,22.47,22.479,2907,0
FEM.US,D,20110708,000000,22.426,22.426,22.221,22.266,6229,0
FEM.US,D,20110711,000000,21.754,21.896,21.691,21.782,15080,0
