<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FEMB.US,D,20141107,000000,36.19,36.19,36.19,36.19,143,0
FEMB.US,D,20141113,000000,36.426,36.444,36.426,36.444,453,0
FEMB.US,D,20141118,000000,36.527,36.527,36.527,36.527,166,0
FEMB.US,D,20141121,000000,36.824,36.824,36.824,36.824,1024,0
FEMB.US,D,20141125,000000,36.896,36.896,36.878,36.896,438,0
FEMB.US,D,20141202,000000,36.418,36.418,36.418,36.418,316,0
FEMB.US,D,20141204,000000,36.378,36.378,36.378,36.378,273,0
FEMB.US,D,20141205,000000,36.01,36.01,36.003,36.003,418,0
FEMB.US,D,20141216,000000,34.946,34.946,34.946,34.946,143,0
FEMB.US,D,20141218,000000,35.285,35.285,35.271,35.271,1677,0
FEMB.US,D,20141226,000000,35.24,35.24,35.24,35.24,203,0
FEMB.US,D,20150112,000000,35.652,35.652,35.652,35.652,709,0
FEMB.US,D,20150128,000000,36.14,36.147,36.14,36.14,776,0
FEMB.US,D,20150204,000000,35.714,35.714,35.639,35.639,528,0
FEMB.US,D,20150210,000000,35.219,35.219,34.859,34.859,427,0
FEMB.US,D,20150218,000000,35.075,35.075,35.075,35.075,159,0
FEMB.US,D,20150310,000000,33.198,33.198,33.198,33.198,143,0
FEMB.US,D,20150312,000000,33.085,33.085,32.96,32.96,414,0
FEMB.US,D,20150318,000000,33.165,33.165,33.165,33.165,143,0
FEMB.US,D,20150408,000000,34.28,34.28,34.28,34.28,269,0
FEMB.US,D,20150409,000000,34.303,34.303,34.303,34.303,143,0
FEMB.US,D,20150415,000000,33.955,33.955,33.955,33.955,230,0
FEMB.US,D,20150420,000000,33.841,33.908,33.82,33.908,1627,0
FEMB.US,D,20150421,000000,34.139,34.139,34.139,34.139,229,0
FEMB.US,D,20150422,000000,33.63,33.63,33.63,33.63,212,0
FEMB.US,D,20150428,000000,34.333,34.333,34.333,34.333,143,0
FEMB.US,D,20150514,000000,34.145,34.145,34.103,34.103,268,0
FEMB.US,D,20150603,000000,32.933,32.941,32.733,32.941,1879,0
FEMB.US,D,20150604,000000,32.852,32.852,32.852,32.852,143,0
FEMB.US,D,20150612,000000,32.925,32.925,32.683,32.695,4291,0
FEMB.US,D,20150630,000000,32.677,32.677,32.677,32.677,8819,0
FEMB.US,D,20150713,000000,32.843,32.875,32.585,32.663,3479,0
FEMB.US,D,20150715,000000,32.552,32.552,32.535,32.535,643,0
FEMB.US,D,20150720,000000,32.369,32.369,32.197,32.369,1468,0
FEMB.US,D,20150731,000000,32.348,32.348,32.326,32.326,669,0
FEMB.US,D,20150803,000000,32.063,32.063,32.063,32.063,640,0
FEMB.US,D,20150806,000000,31.907,31.907,31.562,31.562,307,0
FEMB.US,D,20150807,000000,31.784,31.875,31.784,31.875,1195,0
FEMB.US,D,20150812,000000,31.784,31.897,31.784,31.784,525,0
FEMB.US,D,20150819,000000,31.614,31.614,31.495,31.495,1062,0
FEMB.US,D,20150820,000000,31.57,31.57,31.57,31.57,143,0
FEMB.US,D,20150824,000000,31.322,31.811,31.316,31.316,1610,0
FEMB.US,D,20150831,000000,31.308,31.308,31.308,31.308,667,0
FEMB.US,D,20150908,000000,31.322,31.322,30.885,31,4770,0
FEMB.US,D,20150914,000000,31,31,31,31,143,0
FEMB.US,D,20150915,000000,31.03,31.513,30.906,31.035,3980,0
FEMB.US,D,20150921,000000,31.057,31.064,31.057,31.064,1589,0
FEMB.US,D,20150922,000000,31.014,31.014,31.014,31.014,143,0
FEMB.US,D,20150923,000000,30.586,30.586,30.586,30.586,143,0
FEMB.US,D,20150925,000000,30.667,30.667,30.667,30.667,1188,0
