<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FEMS.US,D,20120224,000000,23.305,23.305,23.305,23.305,158,0
FEMS.US,D,20120227,000000,23.133,23.133,23.133,23.133,131,0
FEMS.US,D,20120228,000000,23.229,23.229,23.229,23.229,1341,0
FEMS.US,D,20120313,000000,34.711,34.711,34.711,34.711,131,0
FEMS.US,D,20120314,000000,23.352,23.352,23.164,23.164,1775,0
FEMS.US,D,20120316,000000,23.305,23.355,23.305,23.355,2818,0
FEMS.US,D,20120320,000000,22.895,22.895,22.895,22.895,605,0
FEMS.US,D,20120322,000000,22.686,22.686,22.686,22.686,201,0
FEMS.US,D,20120323,000000,22.745,22.745,22.745,22.745,133,0
FEMS.US,D,20120327,000000,22.925,22.925,22.925,22.925,226,0
FEMS.US,D,20120416,000000,21.901,21.901,21.901,21.901,371,0
FEMS.US,D,20120423,000000,21.613,21.613,21.613,21.613,268,0
FEMS.US,D,20120503,000000,22.171,22.171,22.171,22.171,543,0
FEMS.US,D,20120510,000000,21.322,21.322,21.322,21.322,170,0
FEMS.US,D,20120511,000000,21.133,21.133,21.133,21.133,131,0
FEMS.US,D,20120516,000000,20.033,20.033,20.033,20.033,2685,0
FEMS.US,D,20120517,000000,19.93,19.93,19.93,19.93,360,0
FEMS.US,D,20120530,000000,19.646,19.646,19.646,19.646,201,0
FEMS.US,D,20120604,000000,18.925,18.925,18.925,18.925,268,0
FEMS.US,D,20120605,000000,19.162,19.201,19.162,19.201,268,0
FEMS.US,D,20120618,000000,20.229,20.229,20.229,20.229,1073,0
FEMS.US,D,20120621,000000,19.959,19.959,19.959,19.959,251,0
FEMS.US,D,20120622,000000,19.707,19.707,19.707,19.707,131,0
FEMS.US,D,20120627,000000,19.639,19.639,19.639,19.639,268,0
FEMS.US,D,20120702,000000,20.31,20.31,20.279,20.279,268,0
FEMS.US,D,20120705,000000,20.486,20.486,20.486,20.486,201,0
FEMS.US,D,20120808,000000,20.725,20.725,20.725,20.725,2685,0
FEMS.US,D,20120817,000000,20.918,20.918,20.918,20.918,540,0
FEMS.US,D,20120905,000000,20.668,20.668,20.668,20.668,401,0
FEMS.US,D,20120906,000000,20.727,21.293,20.727,21.293,1306,0
FEMS.US,D,20120912,000000,21.295,21.295,21.295,21.295,357,0
FEMS.US,D,20120925,000000,21.947,21.947,21.947,21.947,1332,0
FEMS.US,D,20120926,000000,21.448,21.448,21.448,21.448,735,0
FEMS.US,D,20120927,000000,21.717,21.717,21.717,21.717,2142,0
FEMS.US,D,20121001,000000,22.215,22.215,22.086,22.095,5592,0
FEMS.US,D,20121002,000000,22.064,22.064,22.064,22.064,424,0
FEMS.US,D,20121003,000000,22.078,22.078,22.078,22.078,1063,0
FEMS.US,D,20121009,000000,22.394,22.704,21.035,21.139,1063,0
FEMS.US,D,20121017,000000,22.807,22.807,22.807,22.807,159,0
FEMS.US,D,20121102,000000,23.388,23.388,23.094,23.094,6925,0
FEMS.US,D,20121105,000000,23.213,23.213,23.207,23.213,3729,0
FEMS.US,D,20121107,000000,23.351,23.4,23.351,23.351,4127,0
FEMS.US,D,20121109,000000,23.335,23.335,23.335,23.335,685,0
FEMS.US,D,20121112,000000,23.122,23.122,23.122,23.122,398,0
FEMS.US,D,20121115,000000,22.921,22.921,22.921,22.921,266,0
FEMS.US,D,20121121,000000,23.153,23.153,23.153,23.153,536,0
FEMS.US,D,20121123,000000,23.635,23.635,23.635,23.635,536,0
FEMS.US,D,20121127,000000,23.503,23.503,23.503,23.503,478,0
FEMS.US,D,20121130,000000,23.721,23.721,23.721,23.721,129,0
FEMS.US,D,20121211,000000,24.565,24.565,24.543,24.543,266,0
FEMS.US,D,20121213,000000,24.41,24.482,24.41,24.444,536,0
FEMS.US,D,20121219,000000,25.182,25.182,25.182,25.182,129,0
FEMS.US,D,20121224,000000,25.025,25.025,25.025,25.025,300,0
FEMS.US,D,20121226,000000,25.333,25.333,25.333,25.333,129,0
FEMS.US,D,20121228,000000,25.467,25.467,25.362,25.398,2130,0
FEMS.US,D,20121231,000000,25.919,25.926,25.919,25.926,790,0
FEMS.US,D,20130102,000000,26.562,26.607,26.539,26.607,1041,0
FEMS.US,D,20130103,000000,26.601,26.735,26.412,26.412,3326,0
FEMS.US,D,20130104,000000,26.601,26.607,26.525,26.562,989,0
FEMS.US,D,20130107,000000,26.909,26.909,26.902,26.909,662,0
FEMS.US,D,20130108,000000,26.825,26.825,26.825,26.825,200,0
FEMS.US,D,20130109,000000,27.323,27.337,27.261,27.308,6061,0
FEMS.US,D,20130110,000000,27.29,27.405,27.217,27.352,3729,0
FEMS.US,D,20130111,000000,27.089,27.21,26.902,27.21,7889,0
FEMS.US,D,20130114,000000,27.382,27.382,27.282,27.282,1864,0
FEMS.US,D,20130115,000000,27.185,27.374,27.143,27.177,1153,0
FEMS.US,D,20130117,000000,27.298,27.366,27.298,27.366,481,0
FEMS.US,D,20130118,000000,27.414,27.455,27.323,27.455,4380,0
FEMS.US,D,20130122,000000,27.583,27.583,27.577,27.577,607,0
FEMS.US,D,20130123,000000,27.488,27.502,27.308,27.432,7054,0
FEMS.US,D,20130124,000000,27.523,27.608,27.432,27.508,10520,0
FEMS.US,D,20130125,000000,27.425,27.425,27.095,27.308,6295,0
FEMS.US,D,20130128,000000,27.359,27.508,26.66,27.006,4979,0
FEMS.US,D,20130129,000000,27.24,27.308,26.825,27.308,3304,0
FEMS.US,D,20130131,000000,27.464,27.464,27.464,27.464,129,0
FEMS.US,D,20130201,000000,27.439,27.659,27.439,27.659,5031,0
FEMS.US,D,20130204,000000,26.975,27.382,26.975,26.975,1832,0
FEMS.US,D,20130205,000000,27.735,27.735,27.21,27.366,6228,0
FEMS.US,D,20130206,000000,27.359,27.359,27.359,27.359,217,0
FEMS.US,D,20130207,000000,27.104,27.177,27.104,27.151,2130,0
FEMS.US,D,20130208,000000,27.455,27.479,27.439,27.479,1533,0
FEMS.US,D,20130211,000000,27.479,27.523,27.217,27.473,1312,0
FEMS.US,D,20130212,000000,27.405,27.405,27.405,27.405,161,0
FEMS.US,D,20130213,000000,27.935,27.935,27.629,27.929,9122,0
FEMS.US,D,20130214,000000,28.108,28.206,27.786,28.042,4133,0
FEMS.US,D,20130215,000000,27.883,27.975,27.713,27.756,7035,0
FEMS.US,D,20130219,000000,27.875,27.875,27.875,27.875,797,0
FEMS.US,D,20130220,000000,27.921,27.921,27.645,27.645,2080,0
FEMS.US,D,20130221,000000,27.118,27.583,27.118,27.583,3918,0
FEMS.US,D,20130225,000000,27.414,27.508,27.359,27.359,1841,0
FEMS.US,D,20130226,000000,27.298,27.298,27.298,27.298,266,0
FEMS.US,D,20130227,000000,27.6,27.6,27.523,27.523,797,0
FEMS.US,D,20130228,000000,27.789,27.789,27.766,27.789,943,0
FEMS.US,D,20130301,000000,27.786,27.786,27.749,27.786,3326,0
FEMS.US,D,20130304,000000,27.713,27.744,27.29,27.432,1382,0
FEMS.US,D,20130305,000000,27.765,28.143,27.765,27.952,5905,0
FEMS.US,D,20130306,000000,28.081,28.148,27.992,28.148,3203,0
FEMS.US,D,20130307,000000,28.157,28.157,28.093,28.093,3038,0
FEMS.US,D,20130308,000000,28.143,28.143,28.034,28.034,868,0
FEMS.US,D,20130311,000000,27.883,27.883,27.725,27.725,1140,0
FEMS.US,D,20130312,000000,27.629,27.629,27.629,27.629,735,0
FEMS.US,D,20130313,000000,27.583,27.583,27.425,27.532,929,0
FEMS.US,D,20130314,000000,27.577,27.591,27.561,27.591,1132,0
FEMS.US,D,20130315,000000,27.674,27.793,27.65,27.705,2672,0
FEMS.US,D,20130318,000000,27.425,27.473,27.359,27.439,2696,0
FEMS.US,D,20130319,000000,27.387,27.396,27.15,27.15,1367,0
FEMS.US,D,20130320,000000,27.561,27.6,27.405,27.6,1864,0
FEMS.US,D,20130321,000000,27.464,27.629,27.387,27.387,790,0
FEMS.US,D,20130322,000000,27.54,27.665,27.446,27.556,1540,0
FEMS.US,D,20130325,000000,27.801,27.801,27.477,27.477,2858,0
FEMS.US,D,20130326,000000,27.907,27.907,27.705,27.875,543,0
FEMS.US,D,20130327,000000,27.899,27.921,27.817,27.921,535,0
FEMS.US,D,20130328,000000,27.862,27.883,27.825,27.825,599,0
FEMS.US,D,20130401,000000,27.825,27.944,27.781,27.781,1010,0
FEMS.US,D,20130402,000000,27.899,27.899,27.817,27.825,3788,0
FEMS.US,D,20130403,000000,27.6,27.665,27.373,27.396,2078,0
FEMS.US,D,20130404,000000,27.26,27.454,27.26,27.454,796,0
FEMS.US,D,20130405,000000,27.087,27.289,26.966,27.289,1608,0
FEMS.US,D,20130408,000000,27.253,27.289,27.123,27.289,5446,0
FEMS.US,D,20130409,000000,27.253,27.674,27.253,27.373,535,0
FEMS.US,D,20130410,000000,27.756,27.969,27.756,27.793,3056,0
FEMS.US,D,20130411,000000,28.012,28.012,28.012,28.012,266,0
FEMS.US,D,20130412,000000,27.793,27.825,27.658,27.698,1321,0
FEMS.US,D,20130415,000000,27.68,27.68,27.116,27.116,1963,0
FEMS.US,D,20130416,000000,27.621,27.621,27.495,27.576,2503,0
FEMS.US,D,20130417,000000,27.431,27.431,27.08,27.343,3255,0
FEMS.US,D,20130418,000000,27.495,27.495,27.272,27.297,4019,0
FEMS.US,D,20130419,000000,27.935,27.935,27.719,27.719,1058,0
FEMS.US,D,20130422,000000,28.202,28.202,27.817,27.817,3741,0
FEMS.US,D,20130423,000000,28.134,28.239,28.081,28.207,2353,0
FEMS.US,D,20130424,000000,28.291,28.291,28.148,28.291,753,0
