<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FEP.US,D,20110503,000000,26.111,26.111,26.111,26.111,1134,0
FEP.US,D,20110504,000000,25.89,25.89,25.89,25.89,1115,0
FEP.US,D,20110506,000000,25.602,25.602,25.602,25.602,983,0
FEP.US,D,20110509,000000,25.295,25.295,25.295,25.295,362,0
FEP.US,D,20110510,000000,25.561,25.652,25.561,25.652,20189,0
FEP.US,D,20110512,000000,25.075,25.075,25.057,25.057,393,0
FEP.US,D,20110519,000000,25.065,25.065,25.065,25.065,163,0
FEP.US,D,20110520,000000,24.85,24.884,24.776,24.776,2036,0
FEP.US,D,20110524,000000,24.308,24.308,24.23,24.23,1087,0
FEP.US,D,20110603,000000,24.975,24.975,24.975,24.975,337,0
FEP.US,D,20110607,000000,25.04,25.04,25.031,25.04,19658,0
FEP.US,D,20110614,000000,24.422,24.472,24.422,24.472,4247,0
FEP.US,D,20110616,000000,23.333,23.394,23.333,23.394,24505,0
FEP.US,D,20110628,000000,23.394,23.394,23.394,23.394,153,0
FEP.US,D,20110705,000000,24.686,24.686,24.586,24.602,6312,0
FEP.US,D,20110711,000000,22.98,23.006,22.98,23.006,4009,0
FEP.US,D,20110712,000000,22.734,22.759,22.692,22.701,27298,0
FEP.US,D,20110728,000000,22.717,22.717,22.701,22.701,443,0
FEP.US,D,20110729,000000,22.503,22.503,22.503,22.503,342,0
FEP.US,D,20110803,000000,21.158,21.158,21.158,21.158,239,0
FEP.US,D,20110808,000000,18.932,18.932,18.449,18.449,849,0
FEP.US,D,20110811,000000,19.497,19.497,19.497,19.497,520,0
FEP.US,D,20110815,000000,20.672,20.672,20.622,20.622,1296,0
FEP.US,D,20110816,000000,20.153,20.153,20.088,20.153,239,0
FEP.US,D,20110817,000000,20.365,20.365,20.162,20.162,3500,0
FEP.US,D,20110818,000000,19.107,19.107,19.107,19.107,239,0
FEP.US,D,20110819,000000,19.189,19.189,19.189,19.189,118,0
FEP.US,D,20110824,000000,19.541,19.541,19.541,19.541,1464,0
FEP.US,D,20110902,000000,19.75,19.767,19.708,19.767,7884,0
FEP.US,D,20110908,000000,18.95,18.95,18.95,18.95,676,0
FEP.US,D,20110913,000000,17.772,17.772,17.772,17.772,608,0
FEP.US,D,20110915,000000,18.742,18.901,18.718,18.901,932,0
