<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FEUZ.US,D,20141030,000000,27.432,27.432,27.432,27.432,563,0
FEUZ.US,D,20141103,000000,27.839,27.864,27.83,27.83,2477,0
FEUZ.US,D,20141104,000000,27.803,27.803,27.803,27.803,223,0
FEUZ.US,D,20141106,000000,27.728,27.775,27.713,27.757,4644,0
FEUZ.US,D,20141110,000000,27.794,27.794,27.765,27.765,338,0
FEUZ.US,D,20141111,000000,27.8,27.91,27.8,27.91,293,0
FEUZ.US,D,20141113,000000,27.767,27.767,27.767,27.767,185,0
FEUZ.US,D,20141118,000000,28.299,28.399,28.299,28.399,1295,0
FEUZ.US,D,20141119,000000,28.521,28.521,28.521,28.521,450,0
FEUZ.US,D,20141121,000000,28.391,28.391,28.391,28.391,1530,0
FEUZ.US,D,20141124,000000,28.806,28.899,28.78,28.899,1442805,0
FEUZ.US,D,20141125,000000,29.163,29.169,29.038,29.046,3751,0
FEUZ.US,D,20141126,000000,29.056,29.206,29.056,29.056,2561,0
FEUZ.US,D,20141128,000000,29.065,29.065,28.967,28.967,524,0
FEUZ.US,D,20141201,000000,29.091,29.173,29.065,29.065,10968161,0
FEUZ.US,D,20141202,000000,29.075,29.075,28.923,28.958,54344,0
FEUZ.US,D,20141203,000000,30.45,30.45,28.799,28.886,98707,0
FEUZ.US,D,20141204,000000,28.976,29.118,28.799,28.923,38034,0
FEUZ.US,D,20141205,000000,29.065,29.187,29.038,29.065,49876,0
FEUZ.US,D,20141208,000000,29.18,29.18,28.815,28.832,206338,0
FEUZ.US,D,20141209,000000,28.594,28.738,28.344,28.469,45799,0
FEUZ.US,D,20141210,000000,28.586,28.586,27.757,28.238,53015,0
FEUZ.US,D,20141211,000000,28.415,28.415,27.934,27.934,41532,0
FEUZ.US,D,20141212,000000,28.024,28.024,27.395,27.395,70342,0
FEUZ.US,D,20141215,000000,27.573,27.573,26.772,26.942,1593935,0
FEUZ.US,D,20141216,000000,27.473,27.652,27.039,27.127,45735,0
FEUZ.US,D,20141217,000000,27.369,27.58,26.828,27.501,68186,0
FEUZ.US,D,20141218,000000,27.698,28.017,27.652,27.846,84877,0
FEUZ.US,D,20141219,000000,27.785,27.934,27.573,27.74,89367,0
FEUZ.US,D,20141222,000000,27.827,28.088,27.827,27.881,71229,0
FEUZ.US,D,20141223,000000,27.98,28.155,27.782,27.941,64458,0
FEUZ.US,D,20141224,000000,28.022,28.306,27.897,28.031,56309,0
FEUZ.US,D,20141226,000000,27.97,28.325,27.96,27.97,56063,0
FEUZ.US,D,20141229,000000,27.932,28.112,27.676,28.095,1843848,0
FEUZ.US,D,20141230,000000,27.836,28.031,27.633,27.633,88678,0
FEUZ.US,D,20141231,000000,27.641,27.951,27.277,27.277,144556,0
FEUZ.US,D,20150102,000000,27.57,27.577,26.326,27.322,118275,0
FEUZ.US,D,20150105,000000,26.824,26.983,26.281,26.654,193280,0
FEUZ.US,D,20150106,000000,26.62,26.62,26.13,26.175,89865,0
FEUZ.US,D,20150107,000000,26.442,26.442,26.13,26.344,146601,0
FEUZ.US,D,20150108,000000,26.535,26.783,26.521,26.663,128259,0
FEUZ.US,D,20150109,000000,26.691,26.76,26.389,26.602,154230,0
FEUZ.US,D,20150112,000000,26.521,26.663,26.389,26.521,1619280,0
FEUZ.US,D,20150113,000000,26.728,26.949,26.335,26.672,130555,0
FEUZ.US,D,20150114,000000,26.512,26.76,26.416,26.708,284551,0
FEUZ.US,D,20150115,000000,26.53,26.727,26.493,26.493,129199,0
FEUZ.US,D,20150116,000000,26.557,27.114,26.54,27.072,144587,0
FEUZ.US,D,20150120,000000,27.384,27.384,27.105,27.248,403115,0
FEUZ.US,D,20150121,000000,27.277,27.525,27.215,27.439,133332,0
FEUZ.US,D,20150122,000000,27.439,27.727,27.285,27.552,152558,0
FEUZ.US,D,20150123,000000,27.268,27.479,27.263,27.312,187976,0
FEUZ.US,D,20150126,000000,27.688,27.96,27.56,27.923,1455568,0
FEUZ.US,D,20150127,000000,27.713,27.907,27.516,27.791,101142,0
FEUZ.US,D,20150128,000000,27.828,27.87,27.177,27.248,123216,0
FEUZ.US,D,20150129,000000,27.666,27.951,26.602,27.897,120490,0
FEUZ.US,D,20150130,000000,27.604,27.713,27.439,27.439,110911,0
FEUZ.US,D,20150202,000000,27.331,27.745,27.258,27.666,9787980,0
FEUZ.US,D,20150203,000000,28.138,28.42,28.077,28.404,136436,0
FEUZ.US,D,20150204,000000,28.077,28.155,27.8,27.916,60526,0
FEUZ.US,D,20150205,000000,28.085,28.396,28.085,28.379,59205,0
FEUZ.US,D,20150206,000000,28.077,28.225,27.745,27.836,61027,0
FEUZ.US,D,20150209,000000,27.534,27.661,27.489,27.525,7093,0
FEUZ.US,D,20150210,000000,27.836,28.145,27.836,28.145,61299,0
FEUZ.US,D,20150211,000000,27.996,27.996,27.686,27.819,139473,0
FEUZ.US,D,20150212,000000,28.369,28.674,28.36,28.66,380876,0
FEUZ.US,D,20150213,000000,28.883,28.883,28.555,28.759,26055,0
FEUZ.US,D,20150217,000000,28.787,28.946,28.485,28.805,59129,0
FEUZ.US,D,20150218,000000,28.787,29.035,28.716,28.901,29291,0
FEUZ.US,D,20150219,000000,28.911,29.097,28.883,29.037,13752,0
FEUZ.US,D,20150220,000000,28.866,29.548,28.706,29.355,14586,0
FEUZ.US,D,20150223,000000,29.532,29.542,29.106,29.169,3464,0
FEUZ.US,D,20150224,000000,29.025,29.551,29.025,29.473,41069,0
FEUZ.US,D,20150225,000000,29.347,29.524,29.311,29.347,7113,0
FEUZ.US,D,20150226,000000,29.532,29.532,29.115,29.115,11790,0
FEUZ.US,D,20150227,000000,29.146,29.399,29.146,29.399,2127,0
FEUZ.US,D,20150302,000000,29.418,29.418,29.257,29.418,2027,0
FEUZ.US,D,20150303,000000,29.177,29.194,28.964,28.992,19470,0
FEUZ.US,D,20150304,000000,28.628,28.973,28.628,28.797,8666,0
FEUZ.US,D,20150305,000000,28.893,29.106,28.893,28.992,32527,0
FEUZ.US,D,20150306,000000,28.883,28.883,28.457,28.457,2813,0
FEUZ.US,D,20150309,000000,28.609,28.689,28.537,28.609,11816,0
FEUZ.US,D,20150310,000000,28.209,28.209,27.932,27.932,4052,0
FEUZ.US,D,20150311,000000,28.138,28.262,28.138,28.244,6191,0
FEUZ.US,D,20150312,000000,28.475,28.475,28.262,28.412,4952,0
FEUZ.US,D,20150313,000000,28.253,28.253,28.103,28.201,16768,0
FEUZ.US,D,20150316,000000,28.601,28.857,28.601,28.706,15084,0
FEUZ.US,D,20150317,000000,28.503,28.591,28.42,28.591,6304,0
FEUZ.US,D,20150318,000000,28.429,29.072,28.278,28.964,5516,0
FEUZ.US,D,20150319,000000,28.528,28.636,28.404,28.519,14969,0
FEUZ.US,D,20150320,000000,29.16,29.435,29.081,29.212,9679,0
FEUZ.US,D,20150323,000000,29.524,29.649,29.292,29.445,51774,0
FEUZ.US,D,20150324,000000,29.567,29.595,29.463,29.463,13509,0
FEUZ.US,D,20150325,000000,29.586,29.702,29.347,29.355,28363,0
FEUZ.US,D,20150326,000000,29.001,29.072,28.876,29.072,2141,0
FEUZ.US,D,20150327,000000,29.115,29.177,29.053,29.177,3151,0
FEUZ.US,D,20150330,000000,29.115,29.311,29.081,29.266,11366,0
FEUZ.US,D,20150331,000000,28.901,28.946,28.768,28.768,2587,0
FEUZ.US,D,20150401,000000,29.072,29.219,29.035,29.143,8781,0
FEUZ.US,D,20150402,000000,29.292,29.532,29.292,29.524,4163,0
FEUZ.US,D,20150406,000000,29.532,29.933,29.507,29.772,18347,0
FEUZ.US,D,20150407,000000,29.745,29.899,29.745,29.745,1357,0
FEUZ.US,D,20150408,000000,29.826,29.826,29.816,29.816,223,0
FEUZ.US,D,20150409,000000,29.697,29.764,29.697,29.764,567,0
FEUZ.US,D,20150410,000000,29.745,29.745,29.639,29.639,902,0
FEUZ.US,D,20150413,000000,29.658,29.685,29.516,29.516,5400,0
FEUZ.US,D,20150414,000000,29.629,29.916,29.595,29.807,3936,0
FEUZ.US,D,20150415,000000,29.855,29.951,29.595,29.726,30676,0
FEUZ.US,D,20150416,000000,29.88,30.005,29.745,29.951,18966,0
FEUZ.US,D,20150417,000000,29.409,29.516,29.292,29.292,10691,0
FEUZ.US,D,20150420,000000,29.916,29.916,29.329,29.329,64154,0
FEUZ.US,D,20150421,000000,29.576,29.855,29.567,29.595,3314,0
FEUZ.US,D,20150422,000000,29.465,29.551,29.411,29.551,2235,0
FEUZ.US,D,20150423,000000,29.56,29.772,29.453,29.649,24423,0
FEUZ.US,D,20150424,000000,30.033,30.033,29.693,29.693,1012,0
FEUZ.US,D,20150427,000000,30.005,30.502,30.005,30.049,52900,0
FEUZ.US,D,20150428,000000,29.933,30.273,29.89,30.146,28363,0
FEUZ.US,D,20150429,000000,30.296,30.296,29.491,29.807,20484,0
FEUZ.US,D,20150430,000000,29.899,29.951,29.781,29.916,1351,0
FEUZ.US,D,20150501,000000,29.996,30.058,29.996,30.058,1012,0
FEUZ.US,D,20150504,000000,29.685,30.28,29.685,30.235,2250,0
FEUZ.US,D,20150505,000000,29.969,29.969,29.614,29.614,3041,0
FEUZ.US,D,20150506,000000,29.782,29.986,29.782,29.986,1245,0
FEUZ.US,D,20150507,000000,30.04,30.04,29.878,29.878,300,0
FEUZ.US,D,20150508,000000,30.305,30.68,30.305,30.644,5516,0
FEUZ.US,D,20150511,000000,30.305,30.358,30.263,30.263,1688,0
FEUZ.US,D,20150512,000000,30.244,30.312,30.226,30.296,1587,0
FEUZ.US,D,20150513,000000,30.474,30.796,30.474,30.796,338,0
FEUZ.US,D,20150514,000000,31.14,31.229,30.981,31.229,2141,0
FEUZ.US,D,20150515,000000,31.204,31.293,31.204,31.283,1423,0
FEUZ.US,D,20150518,000000,30.555,31.042,30.555,30.893,2666,0
FEUZ.US,D,20150519,000000,30.947,31.027,30.911,30.991,4276,0
FEUZ.US,D,20150520,000000,30.999,31.027,30.938,31.009,4616,0
FEUZ.US,D,20150521,000000,31.123,31.13,31.123,31.13,4841,0
FEUZ.US,D,20150522,000000,30.911,30.911,30.572,30.741,3492,0
FEUZ.US,D,20150526,000000,30.273,30.273,29.738,29.755,11590,0
FEUZ.US,D,20150527,000000,30.358,30.358,30.358,30.358,223,0
FEUZ.US,D,20150529,000000,30.108,30.108,30.108,30.108,223,0
FEUZ.US,D,20150601,000000,29.807,30.049,29.73,30.049,2141,0
FEUZ.US,D,20150602,000000,30.48,30.529,30.472,30.522,5640,0
FEUZ.US,D,20150603,000000,30.902,30.929,30.902,30.911,902,0
FEUZ.US,D,20150604,000000,30.805,30.805,30.572,30.698,788,0
FEUZ.US,D,20150605,000000,29.604,29.855,29.604,29.604,902,0
FEUZ.US,D,20150608,000000,29.676,29.74,29.595,29.74,1012,0
FEUZ.US,D,20150609,000000,29.247,29.772,29.247,29.772,1762,0
