<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FEX.US,D,20070510,000000,26.559,26.559,26.531,26.531,2263,0
FEX.US,D,20070514,000000,26.559,26.559,26.559,26.559,566,0
FEX.US,D,20070515,000000,26.575,26.575,26.417,26.417,1127,0
FEX.US,D,20070516,000000,26.531,26.531,26.531,26.531,102,0
FEX.US,D,20070517,000000,26.575,26.593,26.575,26.593,2712,0
FEX.US,D,20070518,000000,26.742,26.742,26.742,26.742,678,0
FEX.US,D,20070524,000000,26.866,26.866,26.866,26.866,341,0
FEX.US,D,20070529,000000,26.686,26.706,26.686,26.706,1018,0
FEX.US,D,20070530,000000,26.612,26.645,26.612,26.645,11876,0
FEX.US,D,20070531,000000,26.973,27.009,26.929,26.973,8935,0
FEX.US,D,20070601,000000,27.132,27.132,27.132,27.132,566,0
FEX.US,D,20070604,000000,27.095,27.148,27.095,27.148,3958,0
FEX.US,D,20070605,000000,27.036,27.036,27.036,27.036,450,0
FEX.US,D,20070606,000000,26.752,26.752,26.752,26.752,2829,0
FEX.US,D,20070607,000000,26.4,26.4,26.355,26.355,1244,0
FEX.US,D,20070608,000000,26.284,26.284,26.284,26.284,904,0
FEX.US,D,20070612,000000,26.383,26.425,26.284,26.284,29072,0
FEX.US,D,20070613,000000,26.468,26.503,26.468,26.503,793,0
FEX.US,D,20070614,000000,26.814,26.814,26.814,26.814,450,0
FEX.US,D,20070615,000000,27.053,27.053,26.99,26.99,793,0
FEX.US,D,20070618,000000,27.045,27.045,26.973,26.973,6786,0
FEX.US,D,20070619,000000,26.929,26.929,26.929,26.929,102,0
FEX.US,D,20070620,000000,26.945,26.945,26.593,26.593,904,0
FEX.US,D,20070621,000000,26.549,26.761,26.549,26.761,17080,0
FEX.US,D,20070622,000000,26.706,26.706,26.603,26.63,18439,0
FEX.US,D,20070625,000000,26.67,26.67,26.393,26.393,1018,0
FEX.US,D,20070626,000000,26.407,26.407,26.238,26.238,1696,0
