<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FGM.US,D,20120223,000000,25.776,25.776,25.776,25.776,590,0
FGM.US,D,20120228,000000,26.291,27.046,26.291,26.307,590,0
FGM.US,D,20120229,000000,26.154,26.154,26.108,26.108,943,0
FGM.US,D,20120301,000000,26.336,26.377,26.336,26.377,1180,0
FGM.US,D,20120302,000000,26.207,26.207,26.207,26.207,1277,0
FGM.US,D,20120309,000000,25.734,25.734,25.734,25.734,234,0
FGM.US,D,20120314,000000,26.14,26.14,26.14,26.14,234,0
FGM.US,D,20120316,000000,26.496,26.496,26.496,26.496,374,0
FGM.US,D,20120323,000000,26.589,26.589,26.589,26.589,374,0
FGM.US,D,20120417,000000,25.776,25.776,25.776,25.776,234,0
FGM.US,D,20120418,000000,25.749,25.749,25.749,25.749,340,0
FGM.US,D,20120424,000000,25.238,25.238,25.238,25.238,234,0
FGM.US,D,20120517,000000,23.39,23.45,23.313,23.313,527,0
FGM.US,D,20120523,000000,22.999,23.33,22.999,23.321,18699,0
FGM.US,D,20120524,000000,23.128,23.128,22.958,23.034,2084,0
FGM.US,D,20120525,000000,23.027,23.289,23.027,23.1,61403,0
FGM.US,D,20120529,000000,23.491,23.491,23.346,23.346,1059,0
FGM.US,D,20120530,000000,22.795,22.795,21.99,22.491,21237,0
FGM.US,D,20120605,000000,21.661,21.677,21.661,21.677,260,0
FGM.US,D,20120606,000000,22.495,22.539,22.495,22.539,471,0
FGM.US,D,20120608,000000,22.581,22.581,22.581,22.581,234,0
FGM.US,D,20120611,000000,22.668,22.668,22.668,22.668,234,0
FGM.US,D,20120613,000000,22.544,22.544,22.544,22.544,883,0
FGM.US,D,20120615,000000,22.632,22.985,22.625,22.978,8828,0
FGM.US,D,20120618,000000,22.812,22.889,22.812,22.856,21450,0
FGM.US,D,20120619,000000,23.517,23.56,23.517,23.56,1208,0
FGM.US,D,20120621,000000,23.263,23.263,23.263,23.263,125,0
FGM.US,D,20120625,000000,22.556,22.556,22.504,22.513,538,0
FGM.US,D,20120626,000000,22.399,22.399,22.399,22.399,429,0
FGM.US,D,20120627,000000,22.408,22.408,22.408,22.408,231,0
FGM.US,D,20120629,000000,23.372,23.408,23.328,23.364,2035,0
FGM.US,D,20120703,000000,23.803,23.803,23.597,23.597,464,0
FGM.US,D,20120706,000000,22.735,22.839,22.735,22.751,2143,0
FGM.US,D,20120711,000000,22.83,22.83,22.83,22.83,1160,0
FGM.US,D,20120713,000000,22.866,22.866,22.857,22.857,582,0
FGM.US,D,20120720,000000,23.193,23.193,23.104,23.124,2162,0
FGM.US,D,20120723,000000,23.124,23.124,22.186,22.333,980,0
FGM.US,D,20120725,000000,22.451,22.451,22.382,22.382,231,0
FGM.US,D,20120727,000000,23.354,23.354,23.354,23.354,176,0
FGM.US,D,20120802,000000,23.7,23.7,22.573,22.573,10072,0
FGM.US,D,20120803,000000,23.469,23.776,23.469,23.776,673,0
FGM.US,D,20120807,000000,24.259,24.259,24.259,24.259,187,0
FGM.US,D,20120808,000000,23.846,23.846,23.846,23.846,213,0
FGM.US,D,20120809,000000,23.863,24.121,23.846,24.111,1743,0
FGM.US,D,20120810,000000,24.069,24.069,24.069,24.069,504,0
FGM.US,D,20120813,000000,24.06,24.06,24.06,24.06,420,0
FGM.US,D,20120815,000000,24.148,24.148,23.915,23.915,756,0
FGM.US,D,20120817,000000,24.49,24.654,24.441,24.611,8144,0
FGM.US,D,20120821,000000,24.983,25.051,24.955,24.983,3544,0
FGM.US,D,20120824,000000,24.552,24.552,24.552,24.552,312,0
FGM.US,D,20120827,000000,24.723,24.732,24.716,24.723,699,0
FGM.US,D,20120828,000000,24.716,24.777,24.716,24.767,2413,0
FGM.US,D,20120829,000000,24.723,24.827,24.654,24.827,6159,0
FGM.US,D,20120830,000000,24.433,24.433,24.19,24.209,1337,0
FGM.US,D,20120831,000000,24.611,24.611,24.518,24.568,698,0
FGM.US,D,20120904,000000,24.217,24.319,24.217,24.319,875,0
FGM.US,D,20120905,000000,24.3,24.309,24.225,24.268,4341,0
FGM.US,D,20120906,000000,24.593,24.992,24.593,24.8,10969,0
FGM.US,D,20120907,000000,25.215,25.421,25.215,25.421,4254,0
FGM.US,D,20120910,000000,25.396,25.396,25.131,25.131,1914,0
FGM.US,D,20120911,000000,25.396,25.593,25.396,25.506,3253,0
FGM.US,D,20120912,000000,25.8,25.911,25.714,25.766,2837,0
FGM.US,D,20120913,000000,25.575,25.575,25.575,25.575,115,0
FGM.US,D,20120914,000000,26.653,26.772,26.454,26.618,2087,0
FGM.US,D,20120917,000000,26.391,26.391,26.391,26.391,231,0
FGM.US,D,20120918,000000,26.136,26.154,26.136,26.154,1097,0
FGM.US,D,20120919,000000,26.245,26.315,26.245,26.297,2632,0
FGM.US,D,20120920,000000,25.869,26.059,25.844,25.947,1543,0
FGM.US,D,20120921,000000,26.212,26.255,25.732,25.74,33527,0
