<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FICS.US,D,20201217,000000,30.651,30.651,30.64,30.641,1006,0
FICS.US,D,20201218,000000,30.586,30.586,30.579,30.579,534,0
FICS.US,D,20201221,000000,29.952,30.335,29.952,30.335,341,0
FICS.US,D,20201222,000000,30.291,30.371,30.271,30.348,4507,0
FICS.US,D,20201223,000000,30.491,30.501,30.481,30.481,1048,0
FICS.US,D,20201229,000000,31.049,31.05,31.013,31.013,517,0
FICS.US,D,20201230,000000,31.127,31.127,30.992,30.992,665,0
FICS.US,D,20201231,000000,30.89,30.95,30.881,30.896,4139,0
FICS.US,D,20210105,000000,31.398,31.398,31.37,31.39,3914,0
FICS.US,D,20210106,000000,31.17,31.429,31.17,31.429,592,0
FICS.US,D,20210107,000000,31.349,31.349,31.312,31.312,834,0
FICS.US,D,20210111,000000,31.409,31.409,31.35,31.35,2507,0
FICS.US,D,20210112,000000,31.36,31.511,31.347,31.511,1206,0
FICS.US,D,20210113,000000,31.469,31.539,31.429,31.429,752,0
FICS.US,D,20210114,000000,31.599,31.599,31.555,31.555,521,0
FICS.US,D,20210115,000000,31.3,31.3,31.227,31.227,347,0
FICS.US,D,20210119,000000,31.439,31.448,31.423,31.433,913,0
FICS.US,D,20210120,000000,31.499,31.539,31.499,31.539,1703,0
FICS.US,D,20210121,000000,31.599,31.659,31.559,31.659,625,0
FICS.US,D,20210122,000000,31.659,31.739,31.599,31.617,2569,0
FICS.US,D,20210125,000000,31.678,31.679,31.658,31.672,855,0
FICS.US,D,20210127,000000,31.12,31.24,30.99,30.99,1382,0
FICS.US,D,20210128,000000,31.169,31.34,31.16,31.2,7946,0
FICS.US,D,20210129,000000,30.87,30.87,30.401,30.477,1502,0
FICS.US,D,20210201,000000,30.81,30.81,30.81,30.81,235,0
FICS.US,D,20210202,000000,31.13,31.265,31.13,31.265,1538,0
FICS.US,D,20210203,000000,31.295,31.295,31.291,31.291,100,0
FICS.US,D,20210204,000000,30.99,31.19,30.99,31.176,1903,0
FICS.US,D,20210205,000000,31.29,31.29,31.25,31.25,330,0
FICS.US,D,20210209,000000,31.559,31.559,31.559,31.559,198,0
FICS.US,D,20210210,000000,31.539,31.619,31.53,31.53,3467,0
FICS.US,D,20210212,000000,31.992,32.073,31.992,32.073,617,0
