<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FID.US,D,20130828,000000,13.871,13.886,13.864,13.864,17733,0
FID.US,D,20130829,000000,13.858,13.858,13.858,13.858,6221,0
FID.US,D,20130830,000000,13.949,13.949,13.809,13.858,16576,0
FID.US,D,20130903,000000,13.96,13.96,13.96,13.96,144,0
FID.US,D,20130904,000000,13.953,14.06,13.902,13.96,22127,0
FID.US,D,20130905,000000,13.889,13.889,13.889,13.889,138,0
FID.US,D,20130906,000000,13.983,13.983,13.983,13.983,395,0
FID.US,D,20130909,000000,14.115,14.196,14.115,14.181,7394,0
FID.US,D,20130910,000000,14.235,14.235,14.186,14.186,574,0
FID.US,D,20130911,000000,14.257,14.273,14.257,14.273,11300,0
FID.US,D,20130913,000000,14.271,14.271,14.271,14.271,138,0
FID.US,D,20130916,000000,14.417,14.423,14.417,14.423,2501,0
FID.US,D,20130917,000000,14.487,14.493,14.429,14.458,28313,0
FID.US,D,20130918,000000,14.482,14.908,14.414,14.747,85100,0
FID.US,D,20130919,000000,14.778,14.832,14.661,14.661,14747,0
FID.US,D,20130920,000000,14.754,14.754,14.466,14.564,2240,0
FID.US,D,20130923,000000,14.689,14.689,14.476,14.619,15236,0
FID.US,D,20130924,000000,14.668,14.675,14.619,14.627,3991,0
FID.US,D,20130925,000000,14.668,14.668,14.61,14.61,421,0
FID.US,D,20130926,000000,14.604,14.604,14.604,14.604,1570,0
FID.US,D,20130927,000000,14.588,14.596,14.588,14.596,572,0
FID.US,D,20130930,000000,14.442,14.442,14.442,14.442,281,0
FID.US,D,20131001,000000,14.277,14.58,14.277,14.549,1428,0
FID.US,D,20131002,000000,14.588,14.614,14.542,14.542,3417,0
FID.US,D,20131003,000000,14.556,14.556,14.556,14.556,281,0
FID.US,D,20131004,000000,14.588,14.619,14.52,14.52,14816,0
FID.US,D,20131007,000000,14.614,14.627,14.526,14.526,4842,0
FID.US,D,20131009,000000,14.572,14.572,14.493,14.564,14620,0
FID.US,D,20131011,000000,14.703,14.703,14.627,14.627,1428,0
FID.US,D,20131014,000000,14.675,14.769,14.675,14.769,1990,0
FID.US,D,20131015,000000,14.64,14.64,14.64,14.64,138,0
