<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FINX.US,D,20160915,000000,15.223,15.225,15.223,15.225,200,0
FINX.US,D,20160919,000000,15.196,15.206,15.181,15.196,4335,0
FINX.US,D,20160920,000000,15.076,15.076,15.076,15.076,531,0
FINX.US,D,20160921,000000,15.046,15.046,15.036,15.036,220,0
FINX.US,D,20160922,000000,15.316,15.316,15.316,15.316,1000,0
FINX.US,D,20160923,000000,15.416,15.416,15.258,15.286,4391,0
FINX.US,D,20160929,000000,15.436,15.456,15.336,15.336,4780,0
FINX.US,D,20160930,000000,15.386,15.425,15.386,15.425,450,0
FINX.US,D,20161003,000000,15.536,15.536,15.473,15.516,1340,0
FINX.US,D,20161004,000000,15.43,15.43,15.43,15.43,196,0
FINX.US,D,20161005,000000,15.516,15.516,15.46,15.46,872,0
FINX.US,D,20161006,000000,15.516,15.516,15.366,15.446,1642,0
FINX.US,D,20161007,000000,15.306,15.306,15.246,15.246,200,0
FINX.US,D,20161010,000000,15.336,15.336,15.319,15.319,400,0
FINX.US,D,20161011,000000,15.311,15.311,15.046,15.046,1679,0
FINX.US,D,20161012,000000,14.996,15.106,14.996,15.106,890,0
FINX.US,D,20161013,000000,14.996,14.996,14.986,14.996,6114,0
FINX.US,D,20161018,000000,14.996,14.996,14.996,14.996,100,0
FINX.US,D,20161025,000000,15.186,15.186,15.086,15.086,2661,0
FINX.US,D,20161028,000000,14.853,14.853,14.846,14.846,200,0
FINX.US,D,20161101,000000,14.836,14.846,14.756,14.756,7564,0
FINX.US,D,20161102,000000,14.656,14.656,14.586,14.586,203,0
FINX.US,D,20161104,000000,14.586,14.586,14.547,14.547,400,0
FINX.US,D,20161107,000000,15.036,15.056,15.036,15.056,368,0
FINX.US,D,20161109,000000,14.932,14.983,14.932,14.983,398,0
FINX.US,D,20161111,000000,14.756,14.886,14.756,14.886,6846,0
FINX.US,D,20161114,000000,14.976,14.976,14.796,14.842,2209,0
FINX.US,D,20161115,000000,14.846,14.846,14.846,14.846,1000,0
FINX.US,D,20161116,000000,14.974,14.996,14.944,14.944,2596,0
FINX.US,D,20161117,000000,15.071,15.126,15.066,15.096,2385,0
FINX.US,D,20161118,000000,15.196,15.196,15.196,15.196,338,0
FINX.US,D,20161121,000000,15.126,15.136,15.126,15.136,685,0
FINX.US,D,20161122,000000,15.215,15.236,15.215,15.236,1510,0
FINX.US,D,20161123,000000,15.226,15.226,15.226,15.226,1323,0
FINX.US,D,20161125,000000,15.396,15.396,15.186,15.266,749,0
FINX.US,D,20161128,000000,15.186,15.186,15.156,15.156,205,0
FINX.US,D,20161129,000000,15.236,15.236,15.156,15.156,1237,0
FINX.US,D,20161130,000000,15.046,15.061,14.976,14.986,505,0
FINX.US,D,20161201,000000,14.846,14.846,14.626,14.626,1610,0
FINX.US,D,20161202,000000,14.566,14.566,14.526,14.526,533,0
FINX.US,D,20161205,000000,14.756,14.786,14.711,14.711,1374,0
FINX.US,D,20161206,000000,14.756,14.756,14.544,14.544,960,0
FINX.US,D,20161207,000000,14.576,14.796,14.576,14.796,1288,0
FINX.US,D,20161208,000000,14.796,14.796,14.796,14.796,100,0
FINX.US,D,20161212,000000,14.796,14.796,14.776,14.776,1513,0
FINX.US,D,20161213,000000,14.706,14.706,14.696,14.696,755,0
FINX.US,D,20161214,000000,14.688,14.688,14.688,14.688,172,0
FINX.US,D,20161215,000000,14.756,14.756,14.735,14.756,500,0
FINX.US,D,20161219,000000,14.646,14.686,14.586,14.586,4757,0
