<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FIXD.US,D,20170327,000000,45.614,45.614,45.482,45.605,1984,0
FIXD.US,D,20170328,000000,45.29,45.518,45.29,45.449,5070,0
FIXD.US,D,20170329,000000,45.545,45.545,45.5,45.5,1225,0
FIXD.US,D,20170330,000000,45.508,45.518,45.473,45.49,2755,0
FIXD.US,D,20170331,000000,45.527,45.527,45.48,45.482,25375,0
FIXD.US,D,20170403,000000,45.588,45.679,45.571,45.679,6530,0
FIXD.US,D,20170404,000000,45.698,45.698,45.588,45.588,5183,0
FIXD.US,D,20170405,000000,45.571,45.588,45.518,45.588,5951,0
FIXD.US,D,20170406,000000,45.597,45.597,45.473,45.553,26919,0
FIXD.US,D,20170407,000000,45.622,45.623,45.518,45.518,13416,0
FIXD.US,D,20170410,000000,45.568,45.568,45.537,45.545,6497,0
FIXD.US,D,20170411,000000,45.669,45.789,45.646,45.789,12451,0
FIXD.US,D,20170412,000000,45.789,45.875,45.771,45.771,57075,0
FIXD.US,D,20170413,000000,45.875,45.879,45.875,45.879,582,0
FIXD.US,D,20170417,000000,45.906,45.994,45.799,45.799,7161,0
FIXD.US,D,20170418,000000,45.997,46.068,45.927,45.927,4471,0
FIXD.US,D,20170419,000000,45.943,45.957,45.927,45.937,2152,0
FIXD.US,D,20170420,000000,45.933,45.933,45.911,45.919,103107,0
FIXD.US,D,20170421,000000,45.982,45.982,45.716,45.927,34388,0
FIXD.US,D,20170424,000000,45.771,45.831,45.762,45.831,28443,0
FIXD.US,D,20170425,000000,45.754,45.78,45.722,45.78,31884,0
FIXD.US,D,20170426,000000,45.754,45.809,45.726,45.809,7192,0
FIXD.US,D,20170427,000000,45.77,45.857,45.735,45.857,47453,0
FIXD.US,D,20170428,000000,45.787,45.893,45.762,45.875,12815,0
FIXD.US,D,20170501,000000,45.867,45.867,45.857,45.867,1190,0
FIXD.US,D,20170502,000000,45.981,46.061,45.799,45.799,11378,0
FIXD.US,D,20170503,000000,45.965,46.015,45.919,45.965,10004,0
FIXD.US,D,20170504,000000,45.802,47.634,45.78,45.937,20332,0
FIXD.US,D,20170505,000000,45.893,45.927,45.883,45.889,10892,0
FIXD.US,D,20170508,000000,45.911,45.911,45.862,45.884,4544,0
FIXD.US,D,20170509,000000,45.844,45.844,45.802,45.837,1632,0
FIXD.US,D,20170510,000000,45.911,45.919,45.809,45.818,7231,0
FIXD.US,D,20170511,000000,45.858,45.902,45.735,45.902,4612,0
FIXD.US,D,20170512,000000,46.012,46.023,45.974,46.015,1747,0
FIXD.US,D,20170515,000000,45.401,46.007,45.401,45.99,2762,0
FIXD.US,D,20170516,000000,46.032,46.042,45.97,46.032,3521,0
FIXD.US,D,20170517,000000,46.318,46.318,46.224,46.265,2713,0
FIXD.US,D,20170518,000000,46.246,46.246,46.237,46.237,372,0
FIXD.US,D,20170519,000000,46.171,46.209,46.085,46.209,1005,0
FIXD.US,D,20170522,000000,46.209,46.227,46.053,46.227,3653,0
FIXD.US,D,20170523,000000,46.068,46.226,46.068,46.126,16118,0
FIXD.US,D,20170524,000000,46.16,46.445,46.14,46.236,18083,0
FIXD.US,D,20170525,000000,46.327,46.363,46.188,46.188,21894,0
FIXD.US,D,20170526,000000,46.346,46.382,46.264,46.3,6575,0
FIXD.US,D,20170530,000000,46.392,46.445,46.264,46.264,8495,0
FIXD.US,D,20170531,000000,46.283,46.401,46.255,46.397,3930,0
FIXD.US,D,20170601,000000,46.365,46.365,46.365,46.365,547,0
