<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FJP.US,D,20110503,000000,37.982,37.982,37.744,37.744,227,0
FJP.US,D,20110505,000000,37.619,37.619,37.619,37.619,173,0
FJP.US,D,20110510,000000,38.169,38.169,38.169,38.169,227,0
FJP.US,D,20110512,000000,37.534,37.534,37.534,37.534,113,0
FJP.US,D,20110517,000000,36.368,36.368,36.368,36.368,338,0
FJP.US,D,20110518,000000,37.038,37.038,37.038,37.038,227,0
FJP.US,D,20110523,000000,35.414,35.414,35.414,35.414,216,0
FJP.US,D,20110525,000000,35.616,35.616,35.616,35.616,854,0
FJP.US,D,20110609,000000,36.696,36.696,36.552,36.552,811,0
FJP.US,D,20110610,000000,36.21,36.317,36.2,36.317,1129,0
FJP.US,D,20110615,000000,36.368,36.368,36.333,36.333,306,0
FJP.US,D,20110616,000000,36.262,36.262,36.164,36.164,1614,0
FJP.US,D,20110617,000000,36.309,36.309,36.309,36.309,165,0
FJP.US,D,20110621,000000,36.924,36.995,36.924,36.995,239,0
FJP.US,D,20110622,000000,37.372,37.372,37.234,37.234,1402,0
FJP.US,D,20110624,000000,37.003,37.003,37.003,37.003,567,0
FJP.US,D,20110627,000000,36.942,37.135,36.942,37.135,2269,0
FJP.US,D,20110628,000000,37.09,37.301,37.09,37.301,337,0
FJP.US,D,20110629,000000,37.824,37.824,37.824,37.824,2518,0
FJP.US,D,20110705,000000,38.378,38.378,38.378,38.378,1133,0
FJP.US,D,20110706,000000,38.592,38.601,38.457,38.457,2381,0
FJP.US,D,20110707,000000,38.909,38.909,38.855,38.855,1554,0
FJP.US,D,20110708,000000,38.476,38.502,38.443,38.502,1639,0
FJP.US,D,20110711,000000,37.919,38.141,37.887,38.122,2289,0
FJP.US,D,20110712,000000,38.415,38.451,38.415,38.451,1111,0
FJP.US,D,20110713,000000,42.663,42.663,38.899,38.951,2381,0
FJP.US,D,20110714,000000,38.951,38.951,38.951,38.951,113,0
FJP.US,D,20110715,000000,38.98,38.98,38.951,38.951,1585,0
FJP.US,D,20110718,000000,38.483,38.493,38.483,38.493,1609,0
FJP.US,D,20110720,000000,39.366,39.789,39.358,39.789,3971,0
FJP.US,D,20110721,000000,39.675,39.799,39.412,39.799,3073,0
FJP.US,D,20110722,000000,39.639,39.639,39.604,39.604,293,0
FJP.US,D,20110725,000000,39.614,39.815,39.614,39.754,12839,0
FJP.US,D,20110726,000000,39.639,39.852,39.604,39.852,3537,0
FJP.US,D,20110727,000000,39.331,39.331,39.331,39.331,153,0
FJP.US,D,20110729,000000,38.642,39.111,38.642,39.111,1055,0
FJP.US,D,20110801,000000,39.032,39.032,39.032,39.032,337,0
FJP.US,D,20110802,000000,38.735,42.251,38.735,40.626,1816,0
FJP.US,D,20110803,000000,38.51,38.819,38.219,38.546,3788,0
FJP.US,D,20110805,000000,36.606,36.706,35.804,36.614,5775,0
FJP.US,D,20110808,000000,35.928,36.043,35.671,35.715,7072,0
FJP.US,D,20110809,000000,35.742,36.112,35.007,36.112,979,0
FJP.US,D,20110810,000000,35.883,35.883,35.724,35.724,872,0
FJP.US,D,20110811,000000,36.182,36.182,36.182,36.182,113,0
FJP.US,D,20110812,000000,36.225,36.225,35.979,35.979,3772,0
FJP.US,D,20110815,000000,36.341,36.341,36.21,36.21,1137,0
FJP.US,D,20110817,000000,36.289,36.289,36.164,36.164,1137,0
FJP.US,D,20110818,000000,35.3,35.3,35.106,35.106,732,0
FJP.US,D,20110819,000000,34.983,34.983,34.983,34.983,173,0
FJP.US,D,20110823,000000,34.453,34.453,34.453,34.453,140,0
FJP.US,D,20110824,000000,34.298,34.298,34.298,34.298,188,0
FJP.US,D,20110825,000000,34.084,34.084,34.084,34.084,864,0
FJP.US,D,20110907,000000,35.017,35.017,35.017,35.017,145,0
FJP.US,D,20110908,000000,34.886,34.886,34.886,34.886,152,0
FJP.US,D,20110909,000000,34.217,34.217,34.031,34.031,227,0
FJP.US,D,20110914,000000,34.675,34.771,34.675,34.718,375,0
FJP.US,D,20110919,000000,34.656,34.656,34.515,34.515,4648,0
FJP.US,D,20110921,000000,34.868,34.868,34.868,34.868,288,0
FJP.US,D,20110922,000000,33.812,33.812,33.812,33.812,1173,0
FJP.US,D,20110929,000000,35.572,35.572,35.572,35.572,227,0
FJP.US,D,20111011,000000,34.604,34.656,34.604,34.656,648,0
FJP.US,D,20111018,000000,35.106,35.106,35.106,35.106,701,0
FJP.US,D,20111024,000000,35.275,35.275,35.275,35.275,1133,0
FJP.US,D,20111027,000000,35.275,35.275,35.275,35.275,679,0
FJP.US,D,20111031,000000,34.833,34.833,34.331,34.331,257,0
FJP.US,D,20111101,000000,33.484,33.484,33.484,33.484,113,0
FJP.US,D,20111108,000000,33.829,33.829,33.829,33.829,126,0
FJP.US,D,20111109,000000,33.441,33.441,33.441,33.441,142,0
FJP.US,D,20111122,000000,32.515,32.77,32.515,32.77,890,0
FJP.US,D,20111128,000000,32.462,32.462,32.462,32.462,173,0
FJP.US,D,20111130,000000,33.812,33.889,33.582,33.812,2254,0
FJP.US,D,20111205,000000,33.997,33.997,33.997,33.997,227,0
FJP.US,D,20111207,000000,33.837,33.837,33.837,33.837,361,0
FJP.US,D,20111215,000000,32.805,32.805,32.805,32.805,227,0
FJP.US,D,20111216,000000,32.753,32.788,32.753,32.788,1363,0
FJP.US,D,20111219,000000,32.761,32.761,32.38,32.38,9923,0
FJP.US,D,20111220,000000,33.184,33.291,33.184,33.291,4332,0
FJP.US,D,20111221,000000,32.797,32.797,32.77,32.797,2403,0
FJP.US,D,20111227,000000,32.708,32.938,32.708,32.929,4302,0
FJP.US,D,20111228,000000,34.236,34.236,32.585,32.612,2008,0
FJP.US,D,20111229,000000,33.034,33.034,33.034,33.034,1469,0
FJP.US,D,20120104,000000,33.944,34.103,33.944,34.023,509,0
FJP.US,D,20120105,000000,33.715,33.715,33.715,33.715,413,0
FJP.US,D,20120106,000000,33.071,33.291,33.071,33.291,2630,0
FJP.US,D,20120109,000000,33.273,33.273,33.098,33.098,706,0
FJP.US,D,20120110,000000,33.353,33.353,33.282,33.353,2724,0
FJP.US,D,20120111,000000,33.098,33.203,33.089,33.203,1679,0
FJP.US,D,20120112,000000,33.008,33.043,32.726,32.761,21275,0
FJP.US,D,20120117,000000,32.779,32.894,32.761,32.894,6229,0
FJP.US,D,20120118,000000,33.212,33.229,33.212,33.229,1720,0
FJP.US,D,20120119,000000,33.555,33.555,33.245,33.245,854,0
FJP.US,D,20120120,000000,33.238,33.609,33.238,33.512,1579,0
FJP.US,D,20120123,000000,33.36,33.633,33.353,33.416,963,0
FJP.US,D,20120125,000000,33.625,33.625,33.175,33.31,2269,0
FJP.US,D,20120127,000000,33.821,33.821,33.821,33.821,611,0
