<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FKU.US,D,20120229,000000,23.899,23.954,23.899,23.954,1056,0
FKU.US,D,20120301,000000,23.966,24.015,23.915,24.015,6920,0
FKU.US,D,20120302,000000,23.593,23.777,23.593,23.777,789,0
FKU.US,D,20120306,000000,22.71,22.71,22.71,22.71,4739,0
FKU.US,D,20120307,000000,22.717,22.717,22.717,22.717,130,0
FKU.US,D,20120308,000000,23.503,23.503,23.503,23.503,487,0
FKU.US,D,20120315,000000,23.869,23.915,23.869,23.915,416,0
FKU.US,D,20120321,000000,23.951,23.982,23.951,23.982,453,0
FKU.US,D,20120322,000000,23.869,23.869,23.625,23.625,2100,0
FKU.US,D,20120327,000000,23.852,23.897,23.685,23.685,9340,0
FKU.US,D,20120328,000000,23.784,23.784,23.784,23.784,447,0
FKU.US,D,20120329,000000,23.526,23.526,22.968,22.968,902,0
FKU.US,D,20120330,000000,23.481,23.481,23.481,23.481,393,0
FKU.US,D,20120405,000000,23.18,23.245,23.133,23.169,71669,0
FKU.US,D,20120409,000000,23.111,25.77,23.053,23.133,7396,0
FKU.US,D,20120410,000000,22.574,22.574,22.533,22.533,598,0
FKU.US,D,20120411,000000,22.946,22.946,22.946,22.946,388,0
FKU.US,D,20120412,000000,23.411,23.496,23.411,23.496,6469,0
FKU.US,D,20120413,000000,22.946,23.021,22.876,22.959,8404,0
FKU.US,D,20120416,000000,23.103,23.103,23.096,23.096,365,0
FKU.US,D,20120418,000000,23.575,23.593,23.559,23.559,1809,0
FKU.US,D,20120419,000000,23.518,23.643,23.518,23.643,8240,0
FKU.US,D,20120420,000000,23.869,23.897,23.869,23.897,901,0
FKU.US,D,20120423,000000,23.417,23.441,23.417,23.441,528,0
FKU.US,D,20120425,000000,23.79,23.79,23.79,23.79,260,0
FKU.US,D,20120426,000000,24.212,24.212,24.134,24.134,939,0
FKU.US,D,20120427,000000,24.238,24.238,24.232,24.238,2285,0
FKU.US,D,20120430,000000,23.906,23.977,23.906,23.977,914,0
FKU.US,D,20120503,000000,24.087,24.087,23.982,23.982,959,0
FKU.US,D,20120504,000000,23.346,23.488,23.306,23.356,3559,0
FKU.US,D,20120507,000000,23.532,23.532,23.532,23.532,393,0
FKU.US,D,20120509,000000,22.839,22.839,22.627,22.786,1581,0
FKU.US,D,20120510,000000,23.069,23.069,23.069,23.069,130,0
FKU.US,D,20120511,000000,23.176,23.298,23.014,23.111,17553,0
FKU.US,D,20120514,000000,22.724,22.724,22.724,22.724,332,0
FKU.US,D,20120517,000000,22.816,22.816,21.91,21.91,2128,0
FKU.US,D,20120518,000000,21.676,21.72,21.41,21.499,3115,0
FKU.US,D,20120525,000000,21.621,21.621,21.483,21.491,1334,0
FKU.US,D,20120530,000000,21.41,21.41,21.087,21.087,24241,0
FKU.US,D,20120531,000000,21.163,21.227,21.163,21.227,918,0
FKU.US,D,20120604,000000,20.844,20.867,20.616,20.827,56614,0
FKU.US,D,20120605,000000,20.836,20.899,20.733,20.816,20879,0
FKU.US,D,20120606,000000,21.177,21.546,21.153,21.536,31130,0
FKU.US,D,20120607,000000,21.991,22.347,21.832,21.832,11686,0
FKU.US,D,20120608,000000,21.429,21.699,21.423,21.671,12215,0
FKU.US,D,20120611,000000,21.845,21.845,21.527,21.591,47679,0
FKU.US,D,20120612,000000,21.655,21.79,21.43,21.79,53464,0
FKU.US,D,20120613,000000,21.453,21.683,21.376,21.394,53485,0
FKU.US,D,20120614,000000,21.43,21.676,21.354,21.646,47023,0
FKU.US,D,20120615,000000,21.798,22.038,21.699,21.891,68242,0
FKU.US,D,20120618,000000,21.872,22.047,21.836,21.934,110859,0
FKU.US,D,20120619,000000,22.186,22.404,22.147,22.354,31940,0
FKU.US,D,20120620,000000,22.574,22.816,22.427,22.611,87743,0
FKU.US,D,20120621,000000,22.483,22.577,22.015,22.015,36791,0
FKU.US,D,20120622,000000,21.982,22.015,21.883,22,51242,0
FKU.US,D,20120625,000000,21.507,21.678,21.444,21.57,117679,0
FKU.US,D,20120626,000000,21.692,21.832,21.519,21.793,52790,0
FKU.US,D,20120627,000000,21.692,21.814,21.615,21.814,10529,0
FKU.US,D,20120628,000000,21.562,21.968,21.361,21.785,23660,0
FKU.US,D,20120629,000000,22.635,22.635,22.329,22.394,50425,0
FKU.US,D,20120702,000000,22.646,22.727,22.13,22.437,5069,0
FKU.US,D,20120705,000000,22.552,22.577,22.437,22.552,1168,0
FKU.US,D,20120706,000000,22.442,22.442,22.442,22.442,171,0
FKU.US,D,20120709,000000,22.361,22.361,22.361,22.361,521,0
