<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FLN.US,D,20110503,000000,22.566,22.566,22.218,22.218,542,0
FLN.US,D,20110506,000000,22.245,22.245,22.218,22.218,859,0
FLN.US,D,20110509,000000,22.147,22.147,22.147,22.147,134,0
FLN.US,D,20110510,000000,22.417,22.417,22.069,22.262,39448,0
FLN.US,D,20110511,000000,22.209,22.209,21.879,21.879,271,0
FLN.US,D,20110516,000000,21.827,22.011,21.827,21.975,2622,0
FLN.US,D,20110517,000000,21.737,21.737,21.737,21.737,405,0
FLN.US,D,20110518,000000,22.092,22.092,22.092,22.092,3686,0
FLN.US,D,20110519,000000,22.076,22.161,22.076,22.161,3793,0
FLN.US,D,20110520,000000,22.057,22.107,22.057,22.092,809,0
FLN.US,D,20110523,000000,21.649,21.721,21.547,21.721,6635,0
FLN.US,D,20110526,000000,22.231,22.262,22.231,22.262,758,0
FLN.US,D,20110527,000000,22.328,22.484,22.289,22.447,7910,0
FLN.US,D,20110531,000000,22.793,22.793,22.793,22.793,222,0
FLN.US,D,20110601,000000,22.381,22.456,22.381,22.456,2978,0
FLN.US,D,20110602,000000,22.581,22.646,22.581,22.616,3117,0
FLN.US,D,20110603,000000,23.081,23.081,22.992,22.992,981,0
FLN.US,D,20110607,000000,22.807,22.807,22.786,22.786,576,0
FLN.US,D,20110609,000000,22.417,22.417,22.411,22.411,312,0
FLN.US,D,20110615,000000,21.951,21.99,21.951,21.951,466,0
FLN.US,D,20110616,000000,21.729,21.775,21.729,21.775,314,0
FLN.US,D,20110617,000000,21.721,21.737,21.332,21.332,8512,0
FLN.US,D,20110623,000000,21.271,21.457,21.216,21.449,1217,0
FLN.US,D,20110624,000000,21.553,21.553,21.541,21.541,1760,0
FLN.US,D,20110628,000000,21.729,21.886,21.729,21.886,572,0
FLN.US,D,20110630,000000,22.289,22.431,22.289,22.431,813,0
FLN.US,D,20110701,000000,22.72,22.72,22.72,22.72,134,0
FLN.US,D,20110705,000000,22.675,22.675,22.675,22.675,247,0
FLN.US,D,20110708,000000,22.064,22.115,22.064,22.115,405,0
FLN.US,D,20110711,000000,21.721,21.729,21.672,21.672,1739,0
FLN.US,D,20110712,000000,21.627,21.627,21.589,21.589,4600,0
FLN.US,D,20110713,000000,21.664,21.99,21.664,21.79,1039,0
