<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FMB.US,D,20140519,000000,42.407,42.407,42.322,42.322,13469,0
FMB.US,D,20140520,000000,42.346,42.415,42.339,42.339,7855,0
FMB.US,D,20140521,000000,42.353,42.415,42.322,42.322,12964,0
FMB.US,D,20140522,000000,42.303,42.312,42.278,42.312,6035,0
FMB.US,D,20140523,000000,42.331,42.372,42.331,42.363,6602,0
FMB.US,D,20140527,000000,42.346,42.387,42.331,42.346,15352,0
FMB.US,D,20140528,000000,42.372,42.372,42.339,42.346,3077,0
FMB.US,D,20140529,000000,42.331,42.333,42.327,42.331,8038,0
FMB.US,D,20140530,000000,42.331,42.346,42.331,42.346,427,0
FMB.US,D,20140602,000000,42.294,42.294,42.294,42.294,204,0
FMB.US,D,20140603,000000,42.285,42.285,42.285,42.285,204,0
FMB.US,D,20140604,000000,42.2,42.2,42.2,42.2,685,0
FMB.US,D,20140605,000000,42.157,42.157,42.064,42.123,2704,0
FMB.US,D,20140606,000000,42.271,42.285,42.233,42.242,8048,0
FMB.US,D,20140609,000000,42.19,42.495,42.19,42.294,11386,0
FMB.US,D,20140610,000000,42.2,42.2,42.072,42.072,1308,0
FMB.US,D,20140611,000000,42.157,42.157,42.072,42.092,10470,0
FMB.US,D,20140612,000000,42.072,42.072,42.072,42.072,1166,0
FMB.US,D,20140613,000000,42.022,42.072,41.973,42.072,1904,0
FMB.US,D,20140616,000000,42.072,42.415,42.072,42.415,21771,0
FMB.US,D,20140617,000000,42.445,42.445,42.233,42.445,1435,0
FMB.US,D,20140618,000000,42.445,42.445,42.331,42.339,3294,0
FMB.US,D,20140619,000000,42.057,42.089,42.014,42.014,9274,0
FMB.US,D,20140620,000000,42.006,42.006,41.967,41.967,2146,0
FMB.US,D,20140623,000000,42.006,42.495,41.983,42.014,3936,0
FMB.US,D,20140624,000000,42.454,42.454,42.022,42.191,4352,0
FMB.US,D,20140626,000000,42.538,42.629,42.538,42.54,1925,0
FMB.US,D,20140630,000000,42.454,42.454,42.454,42.454,397,0
FMB.US,D,20140702,000000,42.158,42.158,42.158,42.158,376,0
FMB.US,D,20140703,000000,42.437,42.464,42.437,42.464,741,0
FMB.US,D,20140709,000000,42.14,42.14,42.049,42.049,1060,0
FMB.US,D,20140711,000000,42.106,42.175,42.106,42.175,1105,0
FMB.US,D,20140714,000000,42.175,42.175,42.175,42.175,326,0
FMB.US,D,20140717,000000,42.354,42.354,42.354,42.354,102,0
FMB.US,D,20140718,000000,42.354,42.415,42.354,42.415,1533,0
FMB.US,D,20140721,000000,42.43,42.471,42.328,42.388,3047,0
FMB.US,D,20140722,000000,42.521,42.521,42.521,42.521,202,0
FMB.US,D,20140729,000000,42.617,42.625,42.541,42.541,2188,0
FMB.US,D,20140730,000000,42.565,42.565,42.565,42.565,1160,0
FMB.US,D,20140801,000000,42.617,42.753,42.617,42.67,3176,0
FMB.US,D,20140804,000000,42.565,42.581,42.565,42.581,5273,0
FMB.US,D,20140805,000000,42.591,42.591,42.591,42.591,618,0
FMB.US,D,20140807,000000,42.922,42.922,42.846,42.846,1160,0
FMB.US,D,20140811,000000,42.687,42.714,42.67,42.687,3270,0
FMB.US,D,20140812,000000,42.573,42.73,42.573,42.73,988,0
FMB.US,D,20140813,000000,42.73,42.73,42.73,42.73,327,0
FMB.US,D,20140814,000000,42.673,42.695,42.673,42.695,951,0
FMB.US,D,20140815,000000,42.706,42.963,42.706,42.963,461,0
FMB.US,D,20140818,000000,42.764,42.851,42.764,42.851,405,0
FMB.US,D,20140819,000000,42.866,42.866,42.723,42.808,3209,0
FMB.US,D,20140820,000000,42.895,42.917,42.866,42.866,477,0
FMB.US,D,20140821,000000,42.877,42.877,42.734,42.862,4681,0
FMB.US,D,20140822,000000,42.926,42.926,42.926,42.926,374,0
FMB.US,D,20140825,000000,42.86,42.987,42.86,42.987,694,0
FMB.US,D,20140827,000000,43.091,43.099,43.091,43.091,2705,0
FMB.US,D,20140905,000000,43.065,43.065,42.995,42.995,678,0
