<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FMHI.US,D,20171103,000000,45.539,45.812,45.539,45.665,7081,0
FMHI.US,D,20171107,000000,45.812,45.812,45.811,45.811,665,0
FMHI.US,D,20171108,000000,45.693,45.764,45.683,45.764,3284,0
FMHI.US,D,20171109,000000,45.757,45.764,45.745,45.757,6491,0
FMHI.US,D,20171113,000000,45.713,45.713,45.646,45.646,18647,0
FMHI.US,D,20171114,000000,45.764,45.764,45.764,45.764,1294,0
FMHI.US,D,20171115,000000,45.764,45.764,45.764,45.764,451,0
FMHI.US,D,20171117,000000,45.831,45.831,45.821,45.821,1864,0
FMHI.US,D,20171120,000000,45.858,45.858,45.85,45.85,665,0
FMHI.US,D,20171121,000000,45.836,45.836,45.836,45.836,333,0
FMHI.US,D,20171207,000000,46.238,46.281,46.238,46.281,868,0
FMHI.US,D,20171208,000000,46.135,46.154,45.862,45.862,1657,0
FMHI.US,D,20171213,000000,46.126,46.126,46.126,46.126,436,0
FMHI.US,D,20171214,000000,46.108,46.328,46.035,46.201,2691,0
FMHI.US,D,20171215,000000,46.164,46.164,46.164,46.164,333,0
FMHI.US,D,20171218,000000,46.144,46.199,46.144,46.199,1793,0
FMHI.US,D,20171220,000000,45.951,45.951,45.929,45.929,263,0
FMHI.US,D,20171221,000000,46.067,46.067,46.067,46.067,100,0
FMHI.US,D,20171222,000000,46.039,46.048,46.039,46.048,261,0
FMHI.US,D,20171227,000000,46.214,46.443,46.214,46.243,1131,0
FMHI.US,D,20171228,000000,46.195,46.195,46.194,46.194,550,0
FMHI.US,D,20171229,000000,46.16,46.16,46.16,46.16,123,0
FMHI.US,D,20180102,000000,46.553,48.889,46.1,46.243,21668,0
FMHI.US,D,20180103,000000,46.305,46.315,46.305,46.305,13452,0
FMHI.US,D,20180105,000000,46.305,46.305,46.286,46.286,1408,0
FMHI.US,D,20180108,000000,46.296,46.296,46.278,46.278,864,0
FMHI.US,D,20180109,000000,46.426,46.47,46.243,46.243,21616,0
FMHI.US,D,20180110,000000,46.1,46.104,46.1,46.104,432,0
FMHI.US,D,20180111,000000,46.076,46.076,46.076,46.076,100,0
FMHI.US,D,20180112,000000,46.1,46.1,46.012,46.1,977,0
FMHI.US,D,20180117,000000,46.031,46.031,46.031,46.031,232,0
FMHI.US,D,20180122,000000,46.057,46.104,45.712,46.104,10488,0
FMHI.US,D,20180123,000000,46.274,46.274,46.249,46.274,4359,0
FMHI.US,D,20180124,000000,46.211,46.211,46.192,46.192,431,0
FMHI.US,D,20180126,000000,46.136,46.136,46.136,46.136,100,0
FMHI.US,D,20180129,000000,46.012,46.175,46.012,46.048,7598,0
FMHI.US,D,20180130,000000,45.835,45.835,45.828,45.835,471,0
