<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FNK.US,D,20110503,000000,18.045,18.045,18.019,18.019,37658,0
FNK.US,D,20110504,000000,17.919,17.993,17.919,17.993,1615,0
FNK.US,D,20110509,000000,18.098,18.116,18.098,18.116,617,0
FNK.US,D,20110510,000000,18.281,18.281,18.272,18.272,436,0
FNK.US,D,20110511,000000,18.079,18.079,18.036,18.036,1709,0
FNK.US,D,20110512,000000,18.291,18.291,18.291,18.291,329,0
FNK.US,D,20110516,000000,18.036,18.036,18.036,18.036,272,0
FNK.US,D,20110517,000000,17.79,17.79,17.79,17.79,11383,0
FNK.US,D,20110518,000000,17.852,17.911,17.852,17.911,1048,0
FNK.US,D,20110519,000000,17.967,18.07,17.967,18.07,1166,0
FNK.US,D,20110520,000000,18.15,18.15,17.937,17.937,1219,0
FNK.US,D,20110523,000000,17.78,17.78,17.746,17.746,514,0
FNK.US,D,20110524,000000,17.712,17.712,17.58,17.58,2753,0
FNK.US,D,20110526,000000,17.799,17.799,17.799,17.799,424,0
FNK.US,D,20110527,000000,17.919,17.967,17.919,17.967,817,0
FNK.US,D,20110531,000000,18.116,18.116,18.055,18.079,36359,0
FNK.US,D,20110601,000000,18.088,18.088,17.739,17.739,2138,0
FNK.US,D,20110603,000000,17.277,17.605,17.277,17.439,9329,0
FNK.US,D,20110607,000000,17.367,17.367,17.277,17.277,454,0
FNK.US,D,20110608,000000,17.267,17.267,17.164,17.191,2053,0
FNK.US,D,20110609,000000,17.277,17.277,17.277,17.277,984,0
FNK.US,D,20110613,000000,16.974,16.974,16.974,16.974,107,0
FNK.US,D,20110615,000000,17.234,17.234,17.234,17.234,107,0
FNK.US,D,20110616,000000,17.2,17.306,17.037,17.037,4737,0
FNK.US,D,20110617,000000,17.343,17.343,17.139,17.139,4764,0
FNK.US,D,20110620,000000,17.242,17.242,17.242,17.242,289,0
FNK.US,D,20110621,000000,17.148,17.49,17.148,17.466,72279,0
FNK.US,D,20110622,000000,17.421,17.498,17.421,17.439,63543,0
FNK.US,D,20110623,000000,17.102,17.36,17.102,17.325,7384,0
FNK.US,D,20110624,000000,17.234,17.234,17.234,17.234,4668,0
FNK.US,D,20110627,000000,17.277,17.277,17.191,17.227,892,0
FNK.US,D,20110629,000000,17.605,17.657,17.605,17.632,7911,0
FNK.US,D,20110630,000000,17.778,17.778,17.762,17.762,538,0
FNK.US,D,20110701,000000,17.937,17.967,17.937,17.967,1663,0
FNK.US,D,20110705,000000,17.993,17.993,17.993,17.993,1141,0
FNK.US,D,20110706,000000,18.098,18.098,18.088,18.088,396,0
FNK.US,D,20110707,000000,18.281,18.281,18.263,18.281,1025,0
FNK.US,D,20110708,000000,18.098,18.098,18.07,18.07,685,0
FNK.US,D,20110712,000000,17.825,17.825,17.825,17.825,1141,0
FNK.US,D,20110713,000000,17.937,17.937,17.834,17.834,963,0
FNK.US,D,20110714,000000,17.746,17.746,17.746,17.746,923,0
FNK.US,D,20110718,000000,17.36,17.482,17.227,17.315,6026,0
FNK.US,D,20110720,000000,17.64,17.64,17.64,17.64,327,0
FNK.US,D,20110722,000000,17.844,17.844,17.844,17.844,520,0
FNK.US,D,20110725,000000,17.78,17.78,17.764,17.771,6313,0
FNK.US,D,20110726,000000,17.657,17.657,17.625,17.625,323,0
FNK.US,D,20110727,000000,17.129,17.129,17.129,17.129,570,0
FNK.US,D,20110801,000000,16.755,16.818,16.71,16.765,29824,0
FNK.US,D,20110802,000000,16.692,16.692,16.464,16.464,2028,0
FNK.US,D,20110803,000000,16.103,16.103,16.103,16.103,118,0
FNK.US,D,20110804,000000,15.417,15.417,15.417,15.417,107,0
FNK.US,D,20110805,000000,15.18,15.304,14.881,15.304,16361,0
FNK.US,D,20110808,000000,14.681,14.681,14.232,14.356,7998,0
FNK.US,D,20110809,000000,14.416,14.452,14.416,14.426,1816,0
FNK.US,D,20110810,000000,14.391,14.681,14.302,14.337,11069,0
FNK.US,D,20110811,000000,14.574,14.89,14.574,14.89,1863,0
FNK.US,D,20110812,000000,15.039,15.039,14.907,14.907,570,0
FNK.US,D,20110815,000000,15.154,15.358,15.154,15.358,3213,0
FNK.US,D,20110816,000000,15.205,15.224,15.18,15.18,1252,0
FNK.US,D,20110817,000000,15.46,15.46,15.103,15.18,5583,0
FNK.US,D,20110822,000000,14.206,14.206,14.151,14.161,4954,0
FNK.US,D,20110824,000000,14.838,14.838,14.794,14.794,4281,0
FNK.US,D,20110826,000000,14.784,14.784,14.784,14.784,409,0
FNK.US,D,20110829,000000,15.304,15.314,15.304,15.304,5419,0
FNK.US,D,20110830,000000,15.52,15.52,15.52,15.52,634,0
FNK.US,D,20110831,000000,15.839,15.839,15.618,15.735,3891,0
FNK.US,D,20110901,000000,15.663,15.794,15.46,15.46,1017,0
FNK.US,D,20110906,000000,14.452,14.459,14.452,14.452,4020,0
FNK.US,D,20110907,000000,15.059,15.224,15.059,15.224,230,0
FNK.US,D,20110912,000000,14.478,14.478,14.478,14.478,107,0
FNK.US,D,20110915,000000,15.45,15.497,15.45,15.497,366,0
FNK.US,D,20110916,000000,15.513,15.513,15.513,15.513,1351,0
FNK.US,D,20110921,000000,14.811,14.897,14.654,14.698,14884,0
FNK.US,D,20110922,000000,14.064,14.064,13.879,13.959,18761,0
FNK.US,D,20110923,000000,13.987,14.143,13.978,14.089,23044,0
FNK.US,D,20110926,000000,14.116,14.143,14.116,14.125,1796,0
FNK.US,D,20110928,000000,14.564,14.564,14.346,14.364,3805,0
FNK.US,D,20110929,000000,14.283,14.283,14.267,14.267,4639,0
FNK.US,D,20110930,000000,14.259,14.259,14.251,14.251,678,0
FNK.US,D,20111004,000000,13.529,13.695,13.443,13.485,3746,0
FNK.US,D,20111005,000000,14.24,14.24,14.206,14.206,253,0
FNK.US,D,20111006,000000,14.488,14.654,14.488,14.654,30234,0
FNK.US,D,20111007,000000,14.767,14.767,14.593,14.628,1300,0
FNK.US,D,20111010,000000,14.979,14.979,14.979,14.979,535,0
FNK.US,D,20111013,000000,15.18,15.205,15.068,15.068,1663,0
FNK.US,D,20111018,000000,15.47,15.47,15.47,15.47,107,0
FNK.US,D,20111019,000000,15.52,15.52,15.314,15.314,127493,0
FNK.US,D,20111020,000000,15.128,15.128,15.128,15.128,570,0
FNK.US,D,20111024,000000,16.311,16.393,16.311,16.375,3107,0
FNK.US,D,20111025,000000,16.375,16.375,15.947,15.947,42938,0
FNK.US,D,20111026,000000,16.086,16.086,16.086,16.086,967,0
FNK.US,D,20111027,000000,16.865,17.164,16.779,17.155,27387,0
FNK.US,D,20111028,000000,17.001,17.096,16.875,17.018,3341,0
FNK.US,D,20111031,000000,16.57,16.802,16.449,16.449,15242,0
FNK.US,D,20111101,000000,15.998,15.998,15.998,15.998,414,0
FNK.US,D,20111102,000000,16.329,16.329,16.086,16.243,106229,0
