<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FNX.US,D,20070510,000000,27.219,27.33,27.211,27.244,14670,0
FNX.US,D,20070511,000000,27.3,27.357,27.3,27.32,16859,0
FNX.US,D,20070514,000000,27.367,27.367,27.272,27.272,13139,0
FNX.US,D,20070515,000000,27.3,27.403,27.253,27.394,5697,0
FNX.US,D,20070516,000000,27.191,27.191,27.08,27.118,7226,0
FNX.US,D,20070517,000000,27.377,27.419,27.367,27.411,12042,0
FNX.US,D,20070518,000000,27.403,27.582,27.403,27.582,9635,0
FNX.US,D,20070521,000000,27.802,27.802,27.802,27.802,3282,0
FNX.US,D,20070522,000000,27.83,27.941,27.83,27.941,7118,0
FNX.US,D,20070523,000000,27.932,27.932,27.914,27.914,877,0
FNX.US,D,20070524,000000,27.76,27.76,27.377,27.377,16098,0
FNX.US,D,20070525,000000,27.51,27.556,27.51,27.556,14124,0
FNX.US,D,20070529,000000,27.713,27.802,27.637,27.646,21893,0
FNX.US,D,20070530,000000,27.713,27.821,27.713,27.821,655,0
FNX.US,D,20070531,000000,28.139,28.139,28.139,28.139,655,0
FNX.US,D,20070604,000000,28.296,28.351,28.296,28.315,9635,0
FNX.US,D,20070605,000000,28.231,28.251,28.231,28.251,2300,0
FNX.US,D,20070607,000000,27.802,27.802,27.802,27.802,331,0
FNX.US,D,20070608,000000,27.211,27.377,27.211,27.377,12592,0
FNX.US,D,20070612,000000,27.517,27.517,27.244,27.244,986,0
FNX.US,D,20070614,000000,27.811,27.811,27.793,27.793,2628,0
FNX.US,D,20070615,000000,28.059,28.083,28.059,28.083,1423,0
FNX.US,D,20070618,000000,27.993,27.993,27.993,27.993,1203,0
FNX.US,D,20070619,000000,27.984,27.984,27.84,27.949,655,0
FNX.US,D,20070620,000000,27.932,27.984,27.61,27.61,1423,0
FNX.US,D,20070621,000000,27.713,27.84,27.713,27.84,331,0
FNX.US,D,20070622,000000,27.627,27.656,27.627,27.656,440,0
FNX.US,D,20070626,000000,27.32,27.32,27.32,27.32,101,0
FNX.US,D,20070627,000000,27.08,27.565,27.08,27.565,1316,0
FNX.US,D,20070629,000000,27.785,27.793,27.565,27.565,1316,0
FNX.US,D,20070702,000000,27.811,27.896,27.793,27.858,16098,0
FNX.US,D,20070705,000000,27.974,28.083,27.923,27.923,3831,0
FNX.US,D,20070706,000000,28.269,28.269,28.231,28.241,33062,0
FNX.US,D,20070709,000000,28.287,28.333,28.166,28.324,2955,0
FNX.US,D,20070710,000000,28.205,28.205,27.867,27.867,655,0
FNX.US,D,20070711,000000,27.886,27.984,27.886,27.965,2955,0
FNX.US,D,20070712,000000,28.278,28.451,28.278,28.451,4927,0
FNX.US,D,20070713,000000,28.433,28.443,28.404,28.404,655,0
FNX.US,D,20070716,000000,28.433,28.468,28.333,28.333,2078,0
FNX.US,D,20070718,000000,28.075,28.231,28.075,28.231,765,0
FNX.US,D,20070719,000000,28.371,28.404,28.361,28.371,15656,0
