<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FNY.US,D,20110502,000000,20.436,20.436,20.436,20.436,261,0
FNY.US,D,20110504,000000,20.191,20.191,19.931,19.931,834,0
FNY.US,D,20110505,000000,20.074,20.074,20.074,20.074,275,0
FNY.US,D,20110506,000000,19.912,19.912,19.912,19.912,513,0
FNY.US,D,20110509,000000,19.939,20.191,19.939,20.163,1888,0
FNY.US,D,20110510,000000,20.319,20.319,20.319,20.319,389,0
FNY.US,D,20110511,000000,20.386,20.386,20.269,20.269,570,0
FNY.US,D,20110512,000000,20.064,20.309,20.064,20.309,608,0
FNY.US,D,20110513,000000,20.124,20.124,20.124,20.124,100,0
FNY.US,D,20110517,000000,19.543,19.601,19.543,19.601,10912,0
FNY.US,D,20110518,000000,19.679,19.784,19.679,19.784,902,0
FNY.US,D,20110519,000000,20.044,20.104,20.005,20.005,695,0
FNY.US,D,20110520,000000,19.766,19.957,19.766,19.892,1139,0
FNY.US,D,20110523,000000,19.533,19.533,19.456,19.456,791,0
FNY.US,D,20110524,000000,19.496,19.496,19.496,19.496,316,0
FNY.US,D,20110525,000000,19.639,19.639,19.406,19.639,306,0
FNY.US,D,20110526,000000,19.62,19.902,19.62,19.882,1347,0
FNY.US,D,20110527,000000,19.966,20.005,19.966,20.005,824,0
FNY.US,D,20110531,000000,20.163,20.163,20.005,20.035,10113,0
FNY.US,D,20110601,000000,20.015,20.015,19.639,19.639,7791,0
FNY.US,D,20110602,000000,19.611,19.748,19.611,19.748,456,0
FNY.US,D,20110603,000000,19.339,19.571,19.329,19.513,8286,0
FNY.US,D,20110607,000000,19.221,19.221,19.202,19.202,772,0
FNY.US,D,20110608,000000,18.97,18.97,18.951,18.951,989,0
FNY.US,D,20110609,000000,19,19.086,19,19.086,1870,0
FNY.US,D,20110615,000000,18.815,18.815,18.815,18.815,618,0
FNY.US,D,20110616,000000,18.796,18.806,18.593,18.593,2643,0
FNY.US,D,20110617,000000,18.835,18.835,18.718,18.718,1548,0
FNY.US,D,20110620,000000,18.883,18.912,18.883,18.912,1289,0
FNY.US,D,20110621,000000,19.359,19.359,19.359,19.359,298,0
FNY.US,D,20110622,000000,19.339,19.406,19.339,19.406,532,0
FNY.US,D,20110623,000000,19.202,19.416,19.202,19.416,383,0
FNY.US,D,20110624,000000,19.32,19.32,19.32,19.32,410,0
FNY.US,D,20110627,000000,19.339,19.456,19.281,19.446,2011,0
FNY.US,D,20110628,000000,19.533,19.748,19.533,19.748,818,0
FNY.US,D,20110629,000000,19.756,19.966,19.756,19.957,2407,0
FNY.US,D,20110630,000000,20.094,20.153,20.094,20.153,623,0
FNY.US,D,20110701,000000,20.279,20.465,20.269,20.416,112375,0
FNY.US,D,20110705,000000,20.534,20.534,20.534,20.534,332,0
FNY.US,D,20110706,000000,20.622,20.699,20.622,20.699,2669,0
FNY.US,D,20110707,000000,20.882,20.998,20.882,20.928,191432,0
FNY.US,D,20110708,000000,20.651,20.794,20.651,20.794,12146,0
FNY.US,D,20110711,000000,20.651,20.651,20.279,20.279,1010,0
FNY.US,D,20110712,000000,20.309,20.339,20.201,20.201,7316,0
FNY.US,D,20110713,000000,20.494,20.554,20.309,20.329,3815,0
FNY.US,D,20110714,000000,20.465,20.504,19.957,20.114,16874,0
FNY.US,D,20110715,000000,20.104,20.153,20.044,20.153,1462,0
FNY.US,D,20110718,000000,20.153,20.153,19.804,19.921,20137,0
FNY.US,D,20110719,000000,20.269,20.426,20.22,20.406,4880,0
FNY.US,D,20110720,000000,20.22,20.299,20.163,20.25,4140,0
FNY.US,D,20110721,000000,20.416,20.416,20.339,20.386,2398,0
FNY.US,D,20110722,000000,20.406,20.554,20.329,20.484,8164,0
FNY.US,D,20110725,000000,20.426,20.474,20.299,20.299,2220,0
FNY.US,D,20110726,000000,20.173,20.183,20.173,20.183,677,0
FNY.US,D,20110727,000000,19.601,19.601,19.601,19.601,116,0
FNY.US,D,20110728,000000,19.62,19.63,19.533,19.533,1647,0
FNY.US,D,20110729,000000,19.416,19.416,19.406,19.406,559,0
FNY.US,D,20110801,000000,19.339,19.339,19.076,19.251,11709,0
FNY.US,D,20110802,000000,19.231,19.29,18.825,18.825,618,0
FNY.US,D,20110803,000000,18.738,18.806,18.573,18.806,13417,0
FNY.US,D,20110804,000000,18.447,18.447,17.689,17.689,30811,0
FNY.US,D,20110805,000000,17.727,17.737,16.969,17.378,299023,0
FNY.US,D,20110808,000000,16.836,16.836,16.223,16.302,6883,0
FNY.US,D,20110809,000000,16.564,16.584,16.037,16.465,26428,0
FNY.US,D,20110810,000000,16.682,16.892,16.682,16.883,3329,0
FNY.US,D,20110811,000000,16.818,17.359,16.584,17.359,2307,0
FNY.US,D,20110812,000000,17.679,17.679,17.339,17.583,3694,0
FNY.US,D,20110815,000000,17.873,17.873,17.583,17.853,50578,0
FNY.US,D,20110816,000000,17.689,17.689,17.456,17.456,545,0
FNY.US,D,20110817,000000,17.533,17.533,17.29,17.369,5533,0
FNY.US,D,20110818,000000,16.524,16.524,16.445,16.445,6885,0
FNY.US,D,20110819,000000,16.203,16.435,16.203,16.35,2259,0
FNY.US,D,20110822,000000,16.164,16.164,16.164,16.164,1153,0
FNY.US,D,20110823,000000,16.465,16.845,16.465,16.781,4771,0
FNY.US,D,20110824,000000,16.883,16.892,16.883,16.892,2592,0
FNY.US,D,20110825,000000,16.781,16.781,16.702,16.702,7124,0
FNY.US,D,20110826,000000,17.195,17.195,17.195,17.195,1030,0
FNY.US,D,20110830,000000,17.971,18,17.883,17.941,57807,0
FNY.US,D,20110831,000000,18.195,18.195,17.805,17.961,2657,0
FNY.US,D,20110901,000000,18.117,18.117,17.669,17.669,83977,0
FNY.US,D,20110902,000000,17.253,17.253,17.147,17.224,15424,0
FNY.US,D,20110907,000000,17.428,17.63,17.428,17.573,11599,0
FNY.US,D,20110908,000000,17.503,17.747,17.408,17.428,13914,0
FNY.US,D,20110909,000000,17.31,17.418,16.892,16.979,9709,0
FNY.US,D,20110912,000000,16.921,16.921,16.921,16.921,1030,0
FNY.US,D,20110913,000000,17.378,17.503,17.138,17.408,10720,0
FNY.US,D,20110914,000000,17.319,18,17.319,17.766,17995,0
FNY.US,D,20110915,000000,17.853,18.039,17.708,17.981,6768,0
FNY.US,D,20110916,000000,18.068,18.068,17.941,17.941,1698,0
FNY.US,D,20110919,000000,17.63,17.941,17.63,17.883,22259,0
FNY.US,D,20110920,000000,18.087,18.087,18.087,18.087,1339,0
FNY.US,D,20110921,000000,17.484,17.563,17.319,17.349,10221,0
FNY.US,D,20110922,000000,16.397,16.407,16.283,16.36,23473,0
FNY.US,D,20110923,000000,16.554,16.574,16.485,16.574,6612,0
FNY.US,D,20110926,000000,16.855,16.855,16.855,16.855,187,0
FNY.US,D,20110928,000000,16.827,16.855,16.809,16.855,3041,0
FNY.US,D,20110929,000000,17.204,17.204,16.662,16.692,2989,0
FNY.US,D,20110930,000000,16.416,16.416,16.416,16.416,762,0
FNY.US,D,20111003,000000,16.223,16.223,15.554,15.554,6310,0
FNY.US,D,20111004,000000,15.261,15.769,15.261,15.769,1109,0
FNY.US,D,20111006,000000,16.751,16.751,16.751,16.751,824,0
FNY.US,D,20111007,000000,16.818,16.921,16.672,16.921,12924,0
FNY.US,D,20111010,000000,17.233,17.233,17.233,17.233,213,0
FNY.US,D,20111011,000000,17.29,17.29,17.214,17.261,1351,0
FNY.US,D,20111012,000000,17.659,17.659,17.583,17.583,1222,0
FNY.US,D,20111014,000000,17.805,17.805,17.805,17.805,306,0
FNY.US,D,20111017,000000,17.476,17.476,17.476,17.476,301,0
FNY.US,D,20111018,000000,17.573,17.573,17.438,17.553,3297,0
FNY.US,D,20111019,000000,17.659,17.747,17.466,17.513,114235,0
FNY.US,D,20111020,000000,17.428,17.476,17.398,17.476,17624,0
FNY.US,D,20111021,000000,17.844,17.873,17.805,17.805,13869,0
FNY.US,D,20111024,000000,18.313,18.399,18.303,18.39,8566,0
FNY.US,D,20111025,000000,18.186,18.313,18,18,40591,0
FNY.US,D,20111026,000000,18.136,18.195,17.991,18.136,10034,0
FNY.US,D,20111027,000000,18.603,19.01,18.573,18.874,9197,0
FNY.US,D,20111028,000000,18.845,18.893,18.738,18.815,6576,0
FNY.US,D,20111031,000000,18.525,18.757,18.497,18.497,24939,0
FNY.US,D,20111101,000000,17.961,18.186,17.796,17.903,27223,0
FNY.US,D,20111102,000000,18.146,18.293,18,18.244,3486,0
FNY.US,D,20111103,000000,18.351,18.583,18.351,18.583,513,0
FNY.US,D,20111104,000000,18.38,18.583,18.273,18.563,15236,0
FNY.US,D,20111107,000000,18.244,18.515,18.244,18.515,74639,0
FNY.US,D,20111108,000000,18.649,18.718,18.293,18.718,3921,0
FNY.US,D,20111109,000000,18.097,18.467,18,18.019,4202,0
FNY.US,D,20111110,000000,17.981,18.019,17.981,18,2767,0
FNY.US,D,20111111,000000,18.428,18.428,18.428,18.428,2339,0
