<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FPA.US,D,20110503,000000,23.303,23.303,23.303,23.303,393,0
FPA.US,D,20110504,000000,23.205,23.205,22.901,22.901,694,0
FPA.US,D,20110505,000000,22.768,22.792,22.617,22.617,655,0
FPA.US,D,20110509,000000,23.1,23.1,23.1,23.1,309,0
FPA.US,D,20110512,000000,22.776,22.776,22.776,22.776,155,0
FPA.US,D,20110513,000000,22.807,22.807,22.457,22.457,784,0
FPA.US,D,20110516,000000,22.54,22.54,22.54,22.54,132,0
FPA.US,D,20110518,000000,22.944,22.944,22.944,22.944,3535,0
FPA.US,D,20110519,000000,22.76,22.862,22.76,22.807,21495,0
FPA.US,D,20110520,000000,22.768,22.951,22.768,22.768,784,0
FPA.US,D,20110526,000000,22.527,22.654,22.527,22.654,1198,0
FPA.US,D,20110531,000000,23.355,23.355,23.355,23.355,393,0
FPA.US,D,20110602,000000,23.431,23.431,23.431,23.431,434,0
FPA.US,D,20110603,000000,23.268,23.268,23.189,23.189,784,0
FPA.US,D,20110606,000000,23.116,23.116,23.029,23.029,1174,0
FPA.US,D,20110608,000000,22.818,22.818,22.719,22.719,1954,0
FPA.US,D,20110609,000000,22.818,22.834,22.682,22.682,3013,0
FPA.US,D,20110615,000000,22.394,22.631,22.394,22.394,1866,0
FPA.US,D,20110621,000000,22.385,22.534,22.385,22.534,1208,0
FPA.US,D,20110622,000000,22.54,22.54,22.534,22.534,719,0
FPA.US,D,20110623,000000,22.12,22.12,22.12,22.12,432,0
FPA.US,D,20110627,000000,22.436,22.436,22.436,22.436,652,0
FPA.US,D,20110628,000000,22.465,22.641,22.465,22.641,780,0
FPA.US,D,20110629,000000,23.127,23.127,23.087,23.087,652,0
FPA.US,D,20110701,000000,23.726,23.726,23.726,23.726,652,0
FPA.US,D,20110705,000000,23.742,23.742,23.632,23.632,1019,0
FPA.US,D,20110707,000000,23.992,23.992,23.976,23.976,1213,0
FPA.US,D,20110708,000000,23.815,23.815,23.798,23.798,1037,0
FPA.US,D,20110711,000000,23.379,23.379,23.379,23.379,652,0
FPA.US,D,20110712,000000,23.176,23.176,23.121,23.121,585,0
FPA.US,D,20110718,000000,23.386,23.386,23.31,23.31,269,0
FPA.US,D,20110719,000000,23.609,23.609,23.524,23.524,973,0
FPA.US,D,20110720,000000,23.672,23.702,23.632,23.632,2436,0
FPA.US,D,20110721,000000,23.942,24.008,23.933,24.008,4810,0
FPA.US,D,20110722,000000,24.138,24.138,24.138,24.138,432,0
FPA.US,D,20110725,000000,24.033,24.046,23.968,24.008,3705,0
FPA.US,D,20110726,000000,24.132,24.194,24.132,24.194,2991,0
FPA.US,D,20110727,000000,24.125,24.125,23.954,23.954,7204,0
FPA.US,D,20110728,000000,24.21,24.21,24.017,24.095,2086,0
FPA.US,D,20110729,000000,24.001,24.001,24.001,24.001,1037,0
FPA.US,D,20110801,000000,24.033,24.033,24.033,24.033,496,0
FPA.US,D,20110802,000000,23.679,23.679,23.679,23.679,131,0
FPA.US,D,20110803,000000,23.018,23.018,23.018,23.018,131,0
FPA.US,D,20110804,000000,22.102,22.102,21.732,21.732,2536,0
FPA.US,D,20110805,000000,21.703,22.617,20.904,22.617,7212,0
FPA.US,D,20110808,000000,20.274,20.327,19.477,19.477,7904,0
FPA.US,D,20110809,000000,19.989,19.989,19.675,19.675,256,0
FPA.US,D,20110811,000000,20.502,20.502,19.798,20.502,256,0
FPA.US,D,20110815,000000,20.75,20.948,20.75,20.758,8610,0
FPA.US,D,20110816,000000,20.758,20.834,20.758,20.834,907,0
FPA.US,D,20110817,000000,21.334,21.334,20.98,20.98,1889,0
FPA.US,D,20110818,000000,20.296,20.296,20.296,20.296,1298,0
FPA.US,D,20110822,000000,18.989,19.004,18.989,19.004,1792,0
FPA.US,D,20110824,000000,19.727,19.727,19.727,19.727,209,0
FPA.US,D,20110825,000000,19.528,19.528,19.428,19.428,336,0
FPA.US,D,20110826,000000,19.42,19.758,19.42,19.758,1208,0
FPA.US,D,20110829,000000,20.696,20.696,20.696,20.696,523,0
FPA.US,D,20110830,000000,20.509,20.517,20.509,20.517,651,0
FPA.US,D,20110901,000000,21.082,21.481,21.082,21.481,1909,0
FPA.US,D,20110902,000000,20.658,20.658,20.658,20.658,532,0
FPA.US,D,20110906,000000,19.696,19.806,19.667,19.806,5632,0
FPA.US,D,20110907,000000,20.473,20.849,20.404,20.666,7422,0
FPA.US,D,20110909,000000,19.79,19.79,19.79,19.79,1561,0
