<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FPXE.US,D,20181008,000000,18.366,18.452,18.366,18.452,732,0
FPXE.US,D,20181009,000000,18.222,18.357,18.222,18.357,716,0
FPXE.US,D,20181015,000000,17.589,17.589,17.589,17.589,103,0
FPXE.US,D,20181016,000000,18.068,18.068,18.068,18.068,210,0
FPXE.US,D,20181017,000000,17.973,17.973,17.973,17.973,210,0
FPXE.US,D,20181023,000000,17.234,17.253,17.234,17.253,542,0
FPXE.US,D,20181026,000000,16.888,16.888,16.888,16.888,210,0
FPXE.US,D,20181031,000000,17.224,17.224,17.224,17.224,103,0
FPXE.US,D,20181101,000000,17.589,17.589,17.589,17.589,210,0
FPXE.US,D,20181102,000000,17.647,17.647,17.647,17.647,210,0
FPXE.US,D,20181105,000000,17.569,17.569,17.569,17.569,211,0
FPXE.US,D,20181106,000000,17.608,17.608,17.608,17.608,210,0
FPXE.US,D,20181107,000000,17.896,17.896,17.896,17.896,210,0
FPXE.US,D,20181108,000000,17.752,17.752,17.752,17.752,103,0
FPXE.US,D,20181112,000000,17.35,17.35,17.156,17.156,325,0
FPXE.US,D,20181114,000000,17.281,17.281,17.281,17.281,103,0
FPXE.US,D,20181115,000000,17.214,17.214,17.214,17.214,326,0
FPXE.US,D,20181120,000000,16.466,16.466,16.426,16.426,313,0
FPXE.US,D,20181123,000000,16.64,16.64,16.64,16.64,103,0
FPXE.US,D,20181127,000000,16.81,16.81,16.81,16.81,211,0
FPXE.US,D,20181128,000000,17.031,17.031,17.031,17.031,210,0
FPXE.US,D,20181129,000000,16.975,16.975,16.975,16.975,103,0
FPXE.US,D,20181204,000000,16.63,16.63,16.63,16.63,104,0
FPXE.US,D,20181206,000000,16.61,16.61,16.61,16.61,220,0
FPXE.US,D,20181207,000000,16.426,16.426,16.426,16.426,110,0
FPXE.US,D,20181221,000000,15.774,15.774,15.774,15.774,429,0
FPXE.US,D,20181226,000000,15.9,15.9,15.9,15.9,104,0
FPXE.US,D,20181227,000000,15.91,15.91,15.91,15.91,220,0
FPXE.US,D,20190108,000000,16.714,16.714,16.714,16.714,105,0
FPXE.US,D,20190110,000000,16.907,16.907,16.907,16.907,211,0
FPXE.US,D,20190117,000000,16.946,16.946,16.946,16.946,103,0
FPXE.US,D,20190123,000000,17.165,17.165,17.165,17.165,103,0
FPXE.US,D,20190124,000000,17.147,17.147,17.147,17.147,210,0
FPXE.US,D,20190128,000000,17.194,17.194,17.194,17.194,103,0
FPXE.US,D,20190204,000000,17.492,17.492,17.492,17.492,104,0
FPXE.US,D,20190208,000000,17.301,17.301,17.301,17.301,213,0
FPXE.US,D,20190212,000000,17.512,17.512,17.512,17.512,103,0
FPXE.US,D,20190213,000000,17.482,17.482,17.482,17.482,103,0
FPXE.US,D,20190215,000000,17.723,17.723,17.723,17.723,181,0
FPXE.US,D,20190221,000000,17.808,17.808,17.808,17.808,105,0
FPXE.US,D,20190222,000000,17.856,17.856,17.856,17.856,103,0
FPXE.US,D,20190301,000000,18.183,18.183,18.183,18.183,103,0
FPXE.US,D,20190307,000000,17.836,17.836,17.836,17.836,103,0
FPXE.US,D,20190308,000000,17.924,17.924,17.924,17.924,109,0
FPXE.US,D,20190321,000000,18.664,18.664,18.664,18.664,103,0
FPXE.US,D,20190401,000000,18.588,18.588,18.588,18.588,220,0
FPXE.US,D,20190408,000000,18.703,18.703,18.703,18.703,103,0
FPXE.US,D,20190416,000000,18.828,18.828,18.828,18.828,103,0
FPXE.US,D,20190423,000000,18.733,18.733,18.733,18.733,103,0
FPXE.US,D,20190425,000000,18.742,18.742,18.742,18.742,103,0
FPXE.US,D,20190503,000000,18.962,18.962,18.962,18.962,226,0
FPXE.US,D,20190510,000000,18.934,18.934,18.934,18.934,209,0
FPXE.US,D,20190514,000000,18.597,18.597,18.597,18.597,148,0
FPXE.US,D,20190515,000000,18.713,18.791,18.713,18.791,253,0
FPXE.US,D,20190516,000000,18.924,18.924,18.924,18.924,103,0
FPXE.US,D,20190521,000000,18.857,18.857,18.857,18.857,209,0
FPXE.US,D,20190522,000000,18.857,18.857,18.857,18.857,103,0
FPXE.US,D,20190523,000000,18.703,18.703,18.703,18.703,103,0
FPXE.US,D,20190530,000000,18.791,18.791,18.791,18.791,209,0
FPXE.US,D,20190604,000000,18.914,18.914,18.914,18.914,230,0
FPXE.US,D,20190605,000000,18.972,18.972,18.972,18.972,209,0
FPXE.US,D,20190606,000000,19.059,19.059,19.059,19.059,209,0
FPXE.US,D,20190610,000000,19.358,19.358,19.358,19.358,103,0
FPXE.US,D,20190611,000000,19.38,19.407,19.38,19.407,209,0
FPXE.US,D,20190612,000000,19.387,19.387,19.387,19.387,105,0
FPXE.US,D,20190613,000000,19.425,19.445,19.425,19.445,312,0
