<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FPXI.US,D,20141111,000000,27.96,28.175,27.96,28.175,793,0
FPXI.US,D,20141113,000000,28.175,28.175,28.175,28.175,8042,0
FPXI.US,D,20141114,000000,28.065,28.065,28.065,28.065,323,0
FPXI.US,D,20141117,000000,28.007,28.007,27.979,27.979,761,0
FPXI.US,D,20141118,000000,27.981,27.981,27.979,27.979,965,0
FPXI.US,D,20141120,000000,28.007,28.007,27.979,27.979,669,0
FPXI.US,D,20141121,000000,28.41,28.41,28.278,28.278,1180,0
FPXI.US,D,20141124,000000,28.455,28.455,28.455,28.455,353,0
FPXI.US,D,20141125,000000,28.557,28.557,28.557,28.557,526,0
FPXI.US,D,20141201,000000,27.988,28.437,27.988,28.121,611,0
FPXI.US,D,20141202,000000,28.205,28.205,28.205,28.205,399,0
FPXI.US,D,20141203,000000,28.112,28.112,28.094,28.1,8260,0
FPXI.US,D,20141204,000000,28.214,28.214,28.214,28.214,214,0
FPXI.US,D,20141205,000000,28.122,28.122,28.122,28.122,118,0
FPXI.US,D,20141208,000000,27.812,27.812,27.382,27.757,835,0
FPXI.US,D,20141209,000000,27.597,27.597,27.597,27.597,155,0
FPXI.US,D,20141210,000000,27.456,27.476,27.456,27.476,1824,0
FPXI.US,D,20141211,000000,27.206,27.206,27.11,27.11,453,0
FPXI.US,D,20141212,000000,27.058,27.058,26.99,26.99,323,0
FPXI.US,D,20141215,000000,26.583,26.583,26.534,26.563,640,0
FPXI.US,D,20141216,000000,26.608,26.608,26.608,26.608,2146,0
FPXI.US,D,20141217,000000,26.608,26.608,26.496,26.496,1606,0
FPXI.US,D,20141218,000000,26.815,26.877,26.815,26.877,1330,0
FPXI.US,D,20141222,000000,26.988,26.988,26.988,26.988,105,0
FPXI.US,D,20141224,000000,27.419,27.419,26.991,26.991,325,0
FPXI.US,D,20141229,000000,27.093,27.131,27.093,27.121,7836,0
FPXI.US,D,20141230,000000,27.111,27.121,27.067,27.067,536,0
FPXI.US,D,20141231,000000,27.16,27.16,27.031,27.031,8110,0
FPXI.US,D,20150105,000000,26.601,26.601,26.601,26.601,227,0
FPXI.US,D,20150109,000000,26.592,26.592,26.592,26.592,429,0
FPXI.US,D,20150112,000000,26.422,26.422,26.422,26.422,267,0
FPXI.US,D,20150113,000000,26.341,26.341,26.341,26.341,640,0
FPXI.US,D,20150116,000000,26.033,26.033,26.033,26.033,107,0
FPXI.US,D,20150121,000000,26.2,26.2,26.199,26.199,1007,0
FPXI.US,D,20150122,000000,26.246,26.294,26.246,26.294,965,0
FPXI.US,D,20150128,000000,26.359,26.36,26.246,26.246,1714,0
FPXI.US,D,20150129,000000,25.927,25.942,25.927,25.942,495,0
FPXI.US,D,20150130,000000,25.862,25.882,25.788,25.882,75057,0
FPXI.US,D,20150202,000000,25.798,25.836,25.798,25.836,218,0
FPXI.US,D,20150204,000000,26.294,26.294,26.275,26.294,3604,0
FPXI.US,D,20150209,000000,26.116,26.116,26.025,26.025,1224,0
FPXI.US,D,20150210,000000,26.713,26.713,26.04,26.04,651,0
FPXI.US,D,20150211,000000,26.07,26.07,25.965,26.07,1942,0
FPXI.US,D,20150212,000000,26.413,26.459,26.413,26.459,771,0
FPXI.US,D,20150217,000000,26.751,26.759,26.751,26.759,808,0
FPXI.US,D,20150218,000000,26.954,26.963,26.954,26.963,1698,0
FPXI.US,D,20150219,000000,26.981,26.981,26.981,26.981,176,0
FPXI.US,D,20150220,000000,27.031,27.031,27.011,27.011,1350,0
FPXI.US,D,20150224,000000,27.274,27.274,27.274,27.274,686,0
FPXI.US,D,20150225,000000,27.383,27.395,27.383,27.395,811,0
FPXI.US,D,20150227,000000,27.663,27.663,27.663,27.663,107,0
FPXI.US,D,20150302,000000,27.635,27.635,27.635,27.635,105,0
FPXI.US,D,20150303,000000,27.227,27.227,27.227,27.227,536,0
FPXI.US,D,20150304,000000,27.093,27.14,27.093,27.14,640,0
FPXI.US,D,20150306,000000,27.14,27.14,27.121,27.121,214,0
FPXI.US,D,20150309,000000,26.797,26.797,26.787,26.787,640,0
FPXI.US,D,20150311,000000,26.36,26.36,26.36,26.36,323,0
FPXI.US,D,20150313,000000,26.442,26.487,26.236,26.422,8471,0
FPXI.US,D,20150316,000000,26.703,26.703,26.703,26.703,2253,0
FPXI.US,D,20150317,000000,26.302,26.787,26.302,26.759,3216,0
FPXI.US,D,20150323,000000,27.682,27.682,27.673,27.673,857,0
FPXI.US,D,20150324,000000,27.644,27.859,27.625,27.635,1927,0
FPXI.US,D,20150331,000000,27.413,27.432,27.394,27.394,1924,0
