<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FSZ.US,D,20120227,000000,26.045,26.045,26.045,26.045,389,0
FSZ.US,D,20120228,000000,25.995,25.995,25.995,25.995,267,0
FSZ.US,D,20120229,000000,26.149,26.207,26.149,26.207,1074,0
FSZ.US,D,20120301,000000,26.162,26.364,26.162,26.355,10895,0
FSZ.US,D,20120302,000000,25.98,26.133,25.98,26.133,715,0
FSZ.US,D,20120307,000000,25.362,25.459,25.362,25.386,638,0
FSZ.US,D,20120308,000000,25.889,25.889,25.889,25.889,322,0
FSZ.US,D,20120314,000000,25.894,25.894,25.542,25.542,477,0
FSZ.US,D,20120315,000000,26.295,26.38,26.295,26.38,384,0
FSZ.US,D,20120316,000000,26.668,26.668,26.668,26.668,297,0
FSZ.US,D,20120319,000000,26.723,26.723,26.723,26.723,147,0
FSZ.US,D,20120321,000000,26.3,26.3,26.3,26.3,414,0
FSZ.US,D,20120322,000000,25.771,25.939,25.771,25.812,3245,0
FSZ.US,D,20120323,000000,25.963,26.057,25.963,26.057,635,0
FSZ.US,D,20120327,000000,26.316,26.409,26.065,26.065,9514,0
FSZ.US,D,20120328,000000,25.855,25.855,25.812,25.812,464,0
FSZ.US,D,20120329,000000,25.526,25.526,25.526,25.526,236,0
FSZ.US,D,20120402,000000,25.98,26.264,25.98,26.264,279,0
FSZ.US,D,20120405,000000,25.233,25.285,25.159,25.159,65532,0
FSZ.US,D,20120409,000000,25.184,25.353,25.133,25.133,358,0
FSZ.US,D,20120410,000000,25.168,25.343,24.715,24.715,2927,0
FSZ.US,D,20120411,000000,25.058,25.058,24.998,24.998,714,0
FSZ.US,D,20120412,000000,25.452,25.695,25.452,25.552,5984,0
FSZ.US,D,20120413,000000,25.1,25.327,24.95,25.075,6279,0
FSZ.US,D,20120416,000000,25.125,25.125,25.125,25.125,152,0
FSZ.US,D,20120417,000000,25.467,25.467,25.467,25.467,236,0
FSZ.US,D,20120418,000000,25.362,25.459,25.362,25.411,1635,0
FSZ.US,D,20120419,000000,25.402,25.467,25.402,25.467,13027,0
FSZ.US,D,20120420,000000,25.72,25.78,25.72,25.78,1728,0
FSZ.US,D,20120423,000000,25.024,25.024,25.015,25.015,1188,0
FSZ.US,D,20120424,000000,25.226,25.319,25.226,25.319,1188,0
FSZ.US,D,20120425,000000,25.705,25.712,25.627,25.712,1210,0
FSZ.US,D,20120426,000000,25.687,25.804,25.654,25.804,1089,0
FSZ.US,D,20120427,000000,25.939,25.955,25.939,25.955,2376,0
FSZ.US,D,20120430,000000,25.831,25.858,25.712,25.858,856,0
FSZ.US,D,20120501,000000,26.081,26.09,26.074,26.09,1188,0
FSZ.US,D,20120502,000000,25.746,25.746,25.712,25.712,954,0
FSZ.US,D,20120503,000000,25.618,25.618,25.618,25.618,153,0
FSZ.US,D,20120504,000000,25.184,25.226,25.133,25.142,3243,0
FSZ.US,D,20120508,000000,24.874,24.891,24.874,24.891,833,0
FSZ.US,D,20120509,000000,24.386,24.478,24.37,24.478,737,0
FSZ.US,D,20120511,000000,24.554,24.554,24.53,24.53,2058,0
FSZ.US,D,20120515,000000,23.589,23.589,23.589,23.589,118,0
FSZ.US,D,20120516,000000,23.48,23.521,23.48,23.521,714,0
FSZ.US,D,20120517,000000,23.412,23.412,23.311,23.311,902,0
FSZ.US,D,20120518,000000,23.379,23.388,23.244,23.302,4728,0
FSZ.US,D,20120522,000000,23.825,23.825,23.806,23.806,1073,0
FSZ.US,D,20120525,000000,23.136,23.136,23.108,23.118,752,0
FSZ.US,D,20120530,000000,22.807,22.841,22.624,22.647,21372,0
FSZ.US,D,20120605,000000,22.091,22.091,22.091,22.091,236,0
FSZ.US,D,20120612,000000,22.775,22.824,22.775,22.824,440,0
FSZ.US,D,20120614,000000,23.058,23.058,23.058,23.058,118,0
FSZ.US,D,20120615,000000,23.197,23.215,23.096,23.215,3576,0
FSZ.US,D,20120619,000000,23.631,23.717,23.598,23.673,3604,0
FSZ.US,D,20120625,000000,21.627,22.805,21.627,22.805,397,0
FSZ.US,D,20120626,000000,22.91,23.052,22.91,23.052,445,0
FSZ.US,D,20120629,000000,23.806,23.841,23.775,23.783,1988,0
FSZ.US,D,20120703,000000,24.119,24.154,24.119,24.154,585,0
FSZ.US,D,20120706,000000,23.428,23.428,23.378,23.428,715,0
FSZ.US,D,20120709,000000,23.291,23.291,23.291,23.291,116,0
FSZ.US,D,20120720,000000,23.564,23.564,23.513,23.513,1212,0
FSZ.US,D,20120723,000000,22.822,22.865,22.822,22.865,599,0
FSZ.US,D,20120725,000000,23.052,23.052,23.052,23.052,155,0
FSZ.US,D,20120727,000000,23.831,23.831,23.831,23.831,175,0
FSZ.US,D,20120801,000000,23.831,23.831,23.831,23.831,703,0
FSZ.US,D,20120803,000000,23.88,24.018,23.871,24.018,2176,0
FSZ.US,D,20120806,000000,24.248,24.248,24.248,24.248,377,0
FSZ.US,D,20120807,000000,24.282,24.282,24.282,24.282,142,0
FSZ.US,D,20120808,000000,24.3,24.3,24.3,24.3,306,0
FSZ.US,D,20120809,000000,24.393,24.393,24.393,24.393,351,0
FSZ.US,D,20120810,000000,24.315,24.333,24.29,24.29,700,0
FSZ.US,D,20120813,000000,24.324,24.324,24.308,24.308,469,0
FSZ.US,D,20120814,000000,24.47,24.47,24.426,24.435,703,0
FSZ.US,D,20120817,000000,24.615,24.623,24.615,24.623,336,0
FSZ.US,D,20120824,000000,24.776,24.776,24.776,24.776,361,0
FSZ.US,D,20120829,000000,24.717,24.717,24.717,24.717,314,0
FSZ.US,D,20120830,000000,24.418,24.47,24.418,24.47,579,0
FSZ.US,D,20120904,000000,24.791,24.791,24.791,24.791,178,0
FSZ.US,D,20120905,000000,24.781,24.781,24.661,24.661,633,0
FSZ.US,D,20120911,000000,25.816,25.816,25.816,25.816,251,0
FSZ.US,D,20120912,000000,26.08,26.08,26.08,26.08,140,0
FSZ.US,D,20120913,000000,26.449,26.559,26.449,26.559,1172,0
FSZ.US,D,20120914,000000,26.893,26.918,26.857,26.857,533,0
FSZ.US,D,20120917,000000,26.856,26.856,26.856,26.856,233,0
