<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FTA.US,D,20070511,000000,25.051,25.051,25.051,25.051,116,0
FTA.US,D,20070517,000000,25.249,25.249,25.249,25.249,597,0
FTA.US,D,20070522,000000,25.541,25.541,25.541,25.541,241,0
FTA.US,D,20070523,000000,25.485,25.494,25.485,25.494,2513,0
FTA.US,D,20070524,000000,25.415,25.415,25.415,25.415,2397,0
FTA.US,D,20070605,000000,25.575,25.575,25.548,25.558,2273,0
FTA.US,D,20070606,000000,25.266,25.293,25.266,25.293,716,0
FTA.US,D,20070608,000000,24.981,24.999,24.981,24.999,480,0
FTA.US,D,20070612,000000,24.848,24.848,24.848,24.848,116,0
FTA.US,D,20070613,000000,24.981,24.981,24.981,24.981,241,0
FTA.US,D,20070614,000000,25.351,25.351,25.351,25.351,241,0
FTA.US,D,20070615,000000,25.583,25.583,25.575,25.575,1438,0
FTA.US,D,20070618,000000,25.518,25.518,25.518,25.518,116,0
FTA.US,D,20070620,000000,25.383,25.383,25.133,25.133,716,0
FTA.US,D,20070621,000000,25.334,25.334,25.334,25.334,356,0
FTA.US,D,20070622,000000,25.172,25.182,25.172,25.182,1553,0
FTA.US,D,20070626,000000,24.885,24.885,24.885,24.885,480,0
FTA.US,D,20070629,000000,25.172,25.201,25.172,25.201,1794,0
FTA.US,D,20070702,000000,25.284,25.284,25.266,25.266,241,0
FTA.US,D,20070706,000000,25.494,25.525,25.494,25.525,52899,0
FTA.US,D,20070710,000000,25.242,25.242,25.242,25.242,1676,0
FTA.US,D,20070711,000000,25.149,25.266,25.149,25.266,6822,0
FTA.US,D,20070716,000000,25.819,25.836,25.702,25.702,5385,0
FTA.US,D,20070717,000000,25.766,25.766,25.678,25.678,1077,0
FTA.US,D,20070719,000000,25.702,25.702,25.696,25.696,480,0
FTA.US,D,20070720,000000,25.518,25.518,25.375,25.398,7423,0
FTA.US,D,20070723,000000,25.503,25.503,25.485,25.485,716,0
FTA.US,D,20070724,000000,25.158,25.158,24.821,24.821,2153,0
FTA.US,D,20070725,000000,24.981,24.981,24.623,24.813,597,0
FTA.US,D,20070726,000000,24.474,24.492,23.915,24.09,14362,0
FTA.US,D,20070727,000000,23.937,24.047,23.937,24.005,4909,0
FTA.US,D,20070730,000000,23.971,23.971,23.971,23.971,241,0
FTA.US,D,20070731,000000,24.13,24.13,24.13,24.13,241,0
FTA.US,D,20070801,000000,23.706,23.729,23.496,23.496,1794,0
FTA.US,D,20070802,000000,23.767,23.767,23.767,23.767,1314,0
FTA.US,D,20070806,000000,22.927,23.379,22.927,23.379,12688,0
FTA.US,D,20070807,000000,23.554,23.554,23.554,23.554,5985,0
FTA.US,D,20070808,000000,23.587,23.587,23.587,23.587,2153,0
FTA.US,D,20070809,000000,23.139,23.139,23.139,23.139,959,0
FTA.US,D,20070810,000000,23.033,23.033,23,23,1794,0
FTA.US,D,20070813,000000,23.47,23.47,23.47,23.47,356,0
FTA.US,D,20070815,000000,22.911,22.911,22.652,22.652,597,0
FTA.US,D,20070816,000000,22.127,22.127,21.932,21.932,597,0
FTA.US,D,20070817,000000,22.927,23.033,22.92,22.92,836,0
FTA.US,D,20070820,000000,23.23,23.23,23.23,23.23,356,0
FTA.US,D,20070821,000000,23.145,23.178,23.145,23.178,716,0
FTA.US,D,20070822,000000,23.496,23.496,23.496,23.496,356,0
FTA.US,D,20070823,000000,23.52,23.52,23.52,23.52,480,0
FTA.US,D,20070827,000000,23.554,23.602,23.554,23.602,4426,0
FTA.US,D,20070828,000000,23.213,23.213,23.213,23.213,356,0
FTA.US,D,20070904,000000,23.671,23.671,23.671,23.671,1314,0
FTA.US,D,20070905,000000,23.402,23.402,23.354,23.354,356,0
FTA.US,D,20070906,000000,23.402,23.461,23.329,23.461,3231,0
FTA.US,D,20070910,000000,22.844,22.844,22.844,22.844,1077,0
FTA.US,D,20070911,000000,23.076,23.076,23.076,23.076,597,0
FTA.US,D,20070912,000000,23.061,23.061,23.061,23.061,116,0
FTA.US,D,20070913,000000,23.213,23.213,23.17,23.17,6226,0
FTA.US,D,20070914,000000,23.101,23.101,23.101,23.101,716,0
FTA.US,D,20070917,000000,23.178,23.178,23.162,23.162,1438,0
FTA.US,D,20070919,000000,24.105,24.105,24.018,24.018,1438,0
FTA.US,D,20070920,000000,24.047,24.047,23.864,23.864,5627,0
FTA.US,D,20070921,000000,23.971,23.981,23.946,23.946,2153,0
FTA.US,D,20070924,000000,23.837,23.837,23.655,23.655,12928,0
FTA.US,D,20070925,000000,23.568,23.568,23.568,23.568,3467,0
FTA.US,D,20070926,000000,23.712,23.813,23.628,23.681,2397,0
FTA.US,D,20070927,000000,23.854,23.854,23.828,23.828,2635,0
FTA.US,D,20070928,000000,23.777,23.777,23.777,23.777,116,0
FTA.US,D,20071001,000000,24.037,24.037,24.037,24.037,356,0
FTA.US,D,20071003,000000,24.072,24.072,24.072,24.072,959,0
FTA.US,D,20071004,000000,24.097,24.097,24.097,24.097,116,0
FTA.US,D,20071008,000000,24.363,24.363,24.271,24.271,959,0
FTA.US,D,20071009,000000,24.278,24.278,24.278,24.278,1077,0
FTA.US,D,20071010,000000,24.316,24.396,24.271,24.396,1553,0
FTA.US,D,20071011,000000,24.492,24.517,24.483,24.483,1200,0
FTA.US,D,20071012,000000,24.322,24.322,24.322,24.322,116,0
FTA.US,D,20071015,000000,24.876,24.876,24.018,24.018,12688,0
FTA.US,D,20071018,000000,23.602,23.663,23.602,23.645,2513,0
FTA.US,D,20071019,000000,23.577,23.577,23.364,23.364,2397,0
FTA.US,D,20071023,000000,23.153,23.153,23.153,23.153,1077,0
FTA.US,D,20071024,000000,23.145,23.213,23.145,23.213,2397,0
FTA.US,D,20071025,000000,23.153,23.153,23.153,23.153,356,0
FTA.US,D,20071026,000000,23.386,23.386,23.386,23.386,356,0
FTA.US,D,20071029,000000,23.637,23.637,23.61,23.61,3830,0
FTA.US,D,20071030,000000,23.514,23.514,23.505,23.505,2153,0
