<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FTAG.US,D,20100312,000000,130.28,130.28,129.72,129.72,48,0
FTAG.US,D,20100315,000000,128.77,128.77,126.42,126.42,115,0
FTAG.US,D,20100316,000000,129.06,129.36,128.94,129.36,307,0
FTAG.US,D,20100317,000000,131.89,133.48,131.89,132.9,2407,0
FTAG.US,D,20100318,000000,132.36,132.66,131.02,131.02,979,0
FTAG.US,D,20100319,000000,131.61,131.61,128.62,128.62,659,0
FTAG.US,D,20100322,000000,127.29,129.5,127.29,129.5,2368,0
FTAG.US,D,20100323,000000,129.81,131.2,129.19,130.83,1948,0
FTAG.US,D,20100324,000000,128.71,128.71,127.47,128.36,2165,0
FTAG.US,D,20100325,000000,128.06,128.71,127.42,127.42,1118,0
FTAG.US,D,20100326,000000,127.6,128.4,127.6,127.78,342,0
FTAG.US,D,20100329,000000,127.6,130.91,127.6,130.91,414,0
FTAG.US,D,20100330,000000,131.72,131.85,131.61,131.85,314,0
FTAG.US,D,20100331,000000,132.9,135.94,131.52,133.01,9206,0
FTAG.US,D,20100401,000000,135.59,137.38,135.59,137.22,2463,0
FTAG.US,D,20100405,000000,138.4,140.59,137.71,139.79,2048,0
FTAG.US,D,20100406,000000,139.36,147.56,139.15,141.21,6234,0
FTAG.US,D,20100407,000000,141.37,142.1,140.56,140.87,1676,0
FTAG.US,D,20100408,000000,140.18,140.68,138.34,140.68,12487,0
FTAG.US,D,20100409,000000,142.42,143.15,142,143.1,5481,0
FTAG.US,D,20100412,000000,143.19,144.17,142.49,142.49,1129,0
FTAG.US,D,20100413,000000,142,142,139.02,140.35,1884,0
FTAG.US,D,20100414,000000,142.75,143.86,142.45,143.66,3019,0
FTAG.US,D,20100415,000000,143.41,144.17,143.41,143.91,3435,0
FTAG.US,D,20100416,000000,142.49,142.49,138.23,139.79,4062,0
FTAG.US,D,20100419,000000,138.72,138.72,136.26,138.4,1252,0
FTAG.US,D,20100420,000000,141.17,141.46,140.77,140.77,805,0
FTAG.US,D,20100421,000000,140.21,140.59,139.67,139.96,594,0
FTAG.US,D,20100422,000000,137.54,139.33,136.78,138.72,1721,0
FTAG.US,D,20100423,000000,139.02,141.08,138.81,141.03,1622,0
FTAG.US,D,20100426,000000,141.17,143.63,141.17,142.95,984,0
FTAG.US,D,20100427,000000,141.87,141.87,138.52,138.52,1976,0
FTAG.US,D,20100428,000000,138.34,138.34,137.01,137.79,543,0
FTAG.US,D,20100429,000000,139.15,140.68,139.07,139.07,3347,0
FTAG.US,D,20100430,000000,141.81,141.81,138.08,138.08,647,0
FTAG.US,D,20100503,000000,139.59,139.59,137.62,138.13,6648,0
FTAG.US,D,20100504,000000,134.13,134.13,128.15,128.45,3754,0
FTAG.US,D,20100505,000000,124.7,124.87,122.08,123.77,1522,0
FTAG.US,D,20100506,000000,122.68,126.72,116.28,120.83,4919,0
FTAG.US,D,20100507,000000,119.07,119.07,110.42,115.11,2408,0
FTAG.US,D,20100510,000000,131.89,131.89,123.77,126.01,1142,0
FTAG.US,D,20100511,000000,123.99,124.7,123,124.7,2241,0
FTAG.US,D,20100512,000000,127.34,129.19,126.64,128.89,2199,0
FTAG.US,D,20100513,000000,129.11,129.5,127.05,127.74,7624,0
FTAG.US,D,20100514,000000,126.08,126.08,121.14,121.14,784,0
FTAG.US,D,20100517,000000,120.71,120.96,117.57,118.82,2007,0
FTAG.US,D,20100518,000000,121.32,121.32,116.97,117.28,2585,0
FTAG.US,D,20100519,000000,114.77,114.77,110.11,112.49,5267,0
FTAG.US,D,20100520,000000,108.02,108.02,102.4,103.78,7183,0
FTAG.US,D,20100521,000000,101.98,108.99,101.98,107.98,2323,0
FTAG.US,D,20100524,000000,110.06,110.9,109.76,109.97,799,0
FTAG.US,D,20100525,000000,103.28,106.76,102.02,106.76,2359,0
FTAG.US,D,20100526,000000,111.25,112.35,109.71,109.71,1768,0
FTAG.US,D,20100527,000000,114.99,117.28,114.99,117.28,1805,0
FTAG.US,D,20100528,000000,116.72,116.72,114.77,115.15,386,0
FTAG.US,D,20100601,000000,114.26,115.33,112.87,113.16,1245,0
FTAG.US,D,20100602,000000,113.31,115.58,113.2,115.49,1156,0
FTAG.US,D,20100603,000000,117.19,117.19,113.59,113.68,577,0
FTAG.US,D,20100604,000000,112.25,112.25,108.06,108.06,839,0
FTAG.US,D,20100607,000000,105.81,107,105.69,105.69,883,0
FTAG.US,D,20100608,000000,104.89,105.81,104.89,105.81,232,0
FTAG.US,D,20100609,000000,108.24,109.22,107.51,107.98,369,0
FTAG.US,D,20100610,000000,112.45,112.45,110.9,112.27,1098,0
FTAG.US,D,20100611,000000,110.42,111.15,110.42,111.15,116,0
FTAG.US,D,20100614,000000,112.57,113.49,112.27,112.27,158,0
FTAG.US,D,20100615,000000,114.44,115.36,113.99,115.36,731,0
FTAG.US,D,20100616,000000,114.61,114.85,114.61,114.73,115,0
FTAG.US,D,20100617,000000,117.07,117.07,114.77,114.77,655,0
FTAG.US,D,20100618,000000,115.33,117.49,115.33,117.41,360,0
FTAG.US,D,20100621,000000,121.57,121.91,117.79,117.79,1560,0
FTAG.US,D,20100622,000000,116.32,117.23,115.58,115.58,1388,0
FTAG.US,D,20100623,000000,114.7,115.63,113.82,114.81,471,0
FTAG.US,D,20100625,000000,110.2,111.93,110.2,111.93,94,0
FTAG.US,D,20100628,000000,112.11,112.27,112.06,112.06,128,0
FTAG.US,D,20100629,000000,109.92,109.92,105.78,105.78,2049,0
FTAG.US,D,20100630,000000,104.77,104.84,103.78,103.78,849,0
FTAG.US,D,20100701,000000,102.36,102.36,101.6,101.6,330,0
FTAG.US,D,20100702,000000,103.6,104.48,102.61,103.1,9561,0
FTAG.US,D,20100706,000000,107.51,107.89,104.84,105.51,589,0
FTAG.US,D,20100707,000000,103.14,105.89,103.14,105.89,507,0
FTAG.US,D,20100708,000000,107.46,107.72,107.04,107.55,213,0
FTAG.US,D,20100709,000000,107.89,107.89,107.89,107.89,21,0
FTAG.US,D,20100712,000000,107.67,107.72,107.04,107.72,116,0
FTAG.US,D,20100713,000000,110.28,110.28,110.28,110.28,21,0
FTAG.US,D,20100714,000000,110.45,110.45,108.68,108.68,138,0
FTAG.US,D,20100715,000000,109.13,109.13,107.55,107.84,218,0
FTAG.US,D,20100716,000000,108.02,108.02,104.84,105.21,849,0
FTAG.US,D,20100719,000000,103.32,103.73,103.06,103.06,407,0
FTAG.US,D,20100720,000000,105.89,106.18,105.89,106.18,185,0
FTAG.US,D,20100721,000000,107.18,107.18,105.33,105.33,353,0
FTAG.US,D,20100722,000000,109.31,109.76,108.36,109.52,235,0
FTAG.US,D,20100723,000000,111.64,111.8,110.85,111.8,307,0
FTAG.US,D,20100726,000000,111.71,113.82,111.71,113.82,279,0
FTAG.US,D,20100727,000000,114.61,114.65,113.82,113.82,163,0
FTAG.US,D,20100729,000000,113.99,114.03,113.95,113.99,291,0
FTAG.US,D,20100730,000000,113.68,114.26,113.54,113.82,693,0
FTAG.US,D,20100802,000000,116.04,117.79,116.04,117.11,2074,0
FTAG.US,D,20100803,000000,116.12,116.9,116.04,116.85,561,0
FTAG.US,D,20100804,000000,117.15,117.31,117.15,117.31,48,0
FTAG.US,D,20100805,000000,116.51,116.51,116.51,116.51,94,0
FTAG.US,D,20100806,000000,115.15,115.83,115.11,115.11,377,0
FTAG.US,D,20100809,000000,115.02,115.02,115.02,115.02,47,0
FTAG.US,D,20100810,000000,114.44,114.44,113.59,113.82,331,0
FTAG.US,D,20100811,000000,110.85,110.85,107.09,107.89,1445,0
FTAG.US,D,20100812,000000,107.64,108.24,107.35,108.24,683,0
