<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FTC.US,D,20070511,000000,28.224,28.234,28.224,28.234,1165,0
FTC.US,D,20070523,000000,28.688,28.688,28.688,28.688,1380,0
FTC.US,D,20070524,000000,28.64,28.64,28.406,28.406,2334,0
FTC.US,D,20070605,000000,28.895,28.895,28.895,28.895,205,0
FTC.US,D,20070606,000000,28.591,28.63,28.591,28.63,1380,0
FTC.US,D,20070607,000000,28.359,28.359,28.121,28.121,1165,0
FTC.US,D,20070608,000000,28.282,28.359,28.282,28.32,5086,0
FTC.US,D,20070611,000000,28.359,28.359,28.359,28.359,100,0
FTC.US,D,20070612,000000,28.102,28.102,28.102,28.102,100,0
FTC.US,D,20070618,000000,28.943,28.943,28.831,28.87,7208,0
FTC.US,D,20070619,000000,28.726,28.744,28.726,28.744,1380,0
FTC.US,D,20070620,000000,28.764,28.764,28.47,28.47,532,0
FTC.US,D,20070621,000000,28.63,28.63,28.62,28.62,1380,0
FTC.US,D,20070622,000000,28.423,28.432,28.423,28.432,2120,0
FTC.US,D,20070625,000000,28.515,28.515,28.515,28.515,1057,0
FTC.US,D,20070626,000000,28.121,28.121,28.066,28.066,1591,0
FTC.US,D,20070629,000000,28.495,28.495,28.33,28.33,637,0
FTC.US,D,20070702,000000,28.534,28.534,28.505,28.505,205,0
FTC.US,D,20070703,000000,28.65,28.65,28.65,28.65,532,0
FTC.US,D,20070705,000000,28.86,28.86,28.86,28.86,100,0
FTC.US,D,20070706,000000,28.971,29.16,28.971,29.085,19606,0
FTC.US,D,20070709,000000,29.057,29.057,29.057,29.057,4345,0
FTC.US,D,20070710,000000,28.812,28.812,28.679,28.679,312,0
FTC.US,D,20070711,000000,28.688,28.802,28.688,28.744,2543,0
FTC.US,D,20070712,000000,29.112,29.298,29.112,29.298,2334,0
FTC.US,D,20070713,000000,29.345,29.345,29.345,29.345,3391,0
FTC.US,D,20070716,000000,29.392,29.451,29.355,29.355,6570,0
FTC.US,D,20070717,000000,29.441,29.441,29.288,29.288,637,0
FTC.US,D,20070718,000000,29.252,29.252,29.206,29.206,1800,0
FTC.US,D,20070719,000000,29.517,29.517,29.498,29.498,3710,0
FTC.US,D,20070720,000000,29.288,29.288,29.047,29.131,7521,0
FTC.US,D,20070724,000000,28.915,28.915,28.591,28.591,1800,0
FTC.US,D,20070725,000000,28.63,28.659,28.505,28.659,1165,0
FTC.US,D,20070726,000000,28.312,28.35,27.868,27.97,10493,0
FTC.US,D,20070727,000000,27.868,28.102,27.648,27.648,15366,0
FTC.US,D,20070730,000000,27.648,27.886,27.648,27.886,423,0
FTC.US,D,20070731,000000,28.009,28.009,28.009,28.009,312,0
FTC.US,D,20070801,000000,27.631,27.668,27.243,27.384,32001,0
FTC.US,D,20070802,000000,27.886,27.886,27.886,27.886,532,0
FTC.US,D,20070803,000000,27.76,27.76,27.374,27.374,1487,0
FTC.US,D,20070806,000000,26.951,27.121,26.951,27.121,10811,0
FTC.US,D,20070807,000000,27.621,27.711,27.517,27.685,17380,0
FTC.US,D,20070808,000000,27.933,27.933,27.933,27.933,100,0
FTC.US,D,20070809,000000,27.356,27.461,27.18,27.18,4764,0
FTC.US,D,20070810,000000,26.705,26.922,26.705,26.922,2222,0
FTC.US,D,20070813,000000,27.479,27.479,27.451,27.451,850,0
FTC.US,D,20070814,000000,27.316,27.316,26.866,26.886,3391,0
FTC.US,D,20070815,000000,26.734,26.734,26.63,26.669,3710,0
FTC.US,D,20070816,000000,25.952,25.952,25.431,25.932,4242,0
FTC.US,D,20070817,000000,26.32,26.81,26.281,26.81,12292,0
FTC.US,D,20070820,000000,26.763,26.763,26.61,26.61,312,0
FTC.US,D,20070821,000000,26.801,27.082,26.791,27.018,2650,0
FTC.US,D,20070822,000000,27.26,27.26,27.26,27.26,10596,0
FTC.US,D,20070823,000000,27.422,27.422,27.306,27.365,1695,0
FTC.US,D,20070824,000000,27.488,27.556,27.47,27.556,1380,0
FTC.US,D,20070827,000000,27.701,27.701,27.536,27.631,5724,0
FTC.US,D,20070828,000000,26.886,26.886,26.886,26.886,1380,0
FTC.US,D,20070829,000000,27.018,27.018,27.018,27.018,1165,0
FTC.US,D,20070830,000000,27.488,27.507,27.461,27.461,3710,0
FTC.US,D,20070831,000000,27.751,27.858,27.741,27.741,1591,0
FTC.US,D,20070904,000000,28.066,28.179,28.018,28.149,6361,0
FTC.US,D,20070905,000000,27.868,27.868,27.77,27.78,1273,0
FTC.US,D,20070907,000000,27.631,27.658,27.566,27.566,3072,0
FTC.US,D,20070910,000000,27.288,27.384,27.288,27.384,1165,0
FTC.US,D,20070911,000000,27.741,27.858,27.721,27.858,1165,0
FTC.US,D,20070912,000000,27.999,27.999,27.999,27.999,100,0
FTC.US,D,20070913,000000,28.018,28.018,27.989,27.989,312,0
FTC.US,D,20070917,000000,27.97,27.97,27.895,27.895,1380,0
FTC.US,D,20070918,000000,27.96,28.87,27.96,28.534,1800,0
FTC.US,D,20070919,000000,28.999,29.067,28.924,28.924,1909,0
FTC.US,D,20070920,000000,28.933,28.943,28.792,28.86,19074,0
FTC.US,D,20070921,000000,28.999,28.999,28.953,28.953,1057,0
FTC.US,D,20070924,000000,28.764,28.764,28.726,28.726,2010,0
FTC.US,D,20070925,000000,28.534,28.717,28.534,28.717,1487,0
FTC.US,D,20070926,000000,28.971,28.971,28.821,28.85,3919,0
FTC.US,D,20070927,000000,29.085,29.16,29.085,29.16,2859,0
FTC.US,D,20070928,000000,29.16,29.16,29.077,29.077,312,0
FTC.US,D,20071001,000000,29.151,29.151,29.151,29.151,10596,0
FTC.US,D,20071002,000000,29.489,29.489,29.365,29.47,4663,0
FTC.US,D,20071003,000000,29.402,29.402,29.262,29.298,2334,0
FTC.US,D,20071004,000000,29.327,29.327,29.233,29.327,637,0
FTC.US,D,20071005,000000,29.595,29.595,29.575,29.595,850,0
FTC.US,D,20071008,000000,29.736,29.736,29.698,29.698,850,0
FTC.US,D,20071009,000000,29.817,29.846,29.782,29.846,2010,0
FTC.US,D,20071010,000000,29.951,30.026,29.893,30.026,532,0
FTC.US,D,20071011,000000,30.169,30.207,30.169,30.198,532,0
FTC.US,D,20071012,000000,29.997,30.026,29.933,29.988,2010,0
FTC.US,D,20071015,000000,29.923,30.054,29.736,29.826,19394,0
FTC.US,D,20071016,000000,29.756,29.756,29.756,29.756,100,0
FTC.US,D,20071017,000000,29.671,29.671,29.643,29.643,1273,0
FTC.US,D,20071018,000000,29.726,29.883,29.698,29.883,1909,0
FTC.US,D,20071019,000000,29.355,29.461,29.288,29.288,5724,0
FTC.US,D,20071022,000000,28.981,28.981,28.933,28.953,1380,0
FTC.US,D,20071023,000000,29.402,29.422,29.214,29.422,4663,0
FTC.US,D,20071024,000000,29.345,29.345,29.067,29.252,1800,0
FTC.US,D,20071025,000000,29.412,29.451,29.392,29.451,1909,0
FTC.US,D,20071026,000000,29.688,29.688,29.517,29.613,2859,0
FTC.US,D,20071029,000000,29.809,29.875,29.756,29.782,2439,0
FTC.US,D,20071030,000000,29.756,29.792,29.671,29.746,5934,0
FTC.US,D,20071031,000000,29.716,29.997,29.716,29.969,4028,0
FTC.US,D,20071101,000000,29.707,29.765,29.345,29.345,10811,0
FTC.US,D,20071102,000000,29.422,29.47,29.197,29.47,8799,0
FTC.US,D,20071105,000000,29.16,29.537,29.16,29.537,9220,0
FTC.US,D,20071106,000000,29.585,29.585,29.431,29.461,4028,0
FTC.US,D,20071107,000000,29.671,29.671,29.252,29.279,11766,0
FTC.US,D,20071108,000000,29.233,29.233,29.038,29.095,2650,0
FTC.US,D,20071109,000000,28.698,28.933,28.562,28.562,10703,0
FTC.US,D,20071112,000000,28.406,28.442,28.018,28.018,1909,0
FTC.US,D,20071113,000000,28.262,28.61,28.244,28.61,14626,0
FTC.US,D,20071114,000000,28.924,28.924,28.61,28.61,4345,0
FTC.US,D,20071115,000000,28.495,28.534,28.205,28.312,3604,0
FTC.US,D,20071116,000000,28.432,28.432,28.262,28.32,4132,0
FTC.US,D,20071119,000000,28.292,28.33,27.979,27.979,1165,0
FTC.US,D,20071120,000000,28.432,28.432,27.77,28.169,15472,0
FTC.US,D,20071121,000000,27.914,28.102,27.668,27.8,6673,0
FTC.US,D,20071126,000000,28.34,28.34,27.858,27.858,2650,0
FTC.US,D,20071127,000000,27.8,27.943,27.8,27.943,1165,0
FTC.US,D,20071128,000000,28.515,28.515,28.515,28.515,205,0
FTC.US,D,20071129,000000,28.943,29.047,28.85,28.953,1273,0
FTC.US,D,20071130,000000,29.252,29.252,28.981,28.981,1909,0
FTC.US,D,20071203,000000,28.999,28.999,28.999,28.999,100,0
FTC.US,D,20071204,000000,28.86,28.86,28.86,28.86,951,0
FTC.US,D,20071205,000000,29.206,29.206,29.187,29.197,742,0
FTC.US,D,20071206,000000,29.317,29.392,29.317,29.392,423,0
FTC.US,D,20071207,000000,29.643,29.643,29.643,29.643,100,0
FTC.US,D,20071210,000000,29.782,29.782,29.746,29.782,742,0
FTC.US,D,20071211,000000,29.817,29.903,29.103,29.103,13990,0
FTC.US,D,20071212,000000,29.726,29.726,29.262,29.262,2650,0
FTC.US,D,20071213,000000,29.057,29.308,29.057,29.262,3072,0
FTC.US,D,20071214,000000,29.121,29.288,28.999,28.999,18969,0
FTC.US,D,20071217,000000,28.735,28.735,28.406,28.415,18755,0
FTC.US,D,20071218,000000,28.479,28.543,28.205,28.543,5511,0
FTC.US,D,20071219,000000,28.562,28.679,28.534,28.534,2756,0
FTC.US,D,20071220,000000,28.688,28.792,28.591,28.764,2222,0
FTC.US,D,20071221,000000,29.077,29.187,29.077,29.16,1057,0
FTC.US,D,20071224,000000,29.355,29.355,29.345,29.345,7103,0
FTC.US,D,20071226,000000,29.365,29.48,29.365,29.48,3497,0
FTC.US,D,20071227,000000,29.242,29.242,29.095,29.095,3287,0
FTC.US,D,20071228,000000,29.317,29.317,29.151,29.178,1695,0
FTC.US,D,20071231,000000,29.067,29.095,28.86,28.86,30310,0
FTC.US,D,20080102,000000,28.999,29.018,28.495,28.562,3179,0
FTC.US,D,20080103,000000,28.744,28.86,28.688,28.688,5193,0
FTC.US,D,20080104,000000,28.149,28.196,27.924,27.924,3497,0
FTC.US,D,20080107,000000,27.924,27.979,27.639,27.668,5405,0
FTC.US,D,20080108,000000,27.96,28.085,27.47,27.47,2859,0
FTC.US,D,20080109,000000,27.461,27.693,27.197,27.693,8267,0
FTC.US,D,20080110,000000,27.648,28.018,27.648,27.989,14302,0
FTC.US,D,20080111,000000,27.648,27.648,27.384,27.488,51926,0
FTC.US,D,20080114,000000,27.668,27.829,27.631,27.829,7841,0
FTC.US,D,20080115,000000,27.497,27.556,27.034,27.073,9431,0
FTC.US,D,20080116,000000,26.782,27.053,26.689,26.951,4980,0
FTC.US,D,20080117,000000,26.489,26.556,25.75,25.75,43978,0
FTC.US,D,20080118,000000,26.066,26.076,25.544,25.703,17059,0
FTC.US,D,20080122,000000,24.883,25.61,24.883,25.496,11656,0
FTC.US,D,20080123,000000,24.772,25.656,24.401,25.656,26601,0
FTC.US,D,20080124,000000,25.759,25.952,25.759,25.952,54363,0
FTC.US,D,20080125,000000,26.395,26.395,25.75,25.836,7417,0
FTC.US,D,20080128,000000,25.703,26.046,25.703,26.046,9322,0
FTC.US,D,20080129,000000,26.187,26.187,25.998,26.149,17592,0
FTC.US,D,20080130,000000,25.978,26.528,25.969,26.32,129177,0
FTC.US,D,20080131,000000,25.6,26.422,25.6,26.33,30414,0
FTC.US,D,20080201,000000,26.471,26.744,26.405,26.724,31686,0
FTC.US,D,20080204,000000,26.734,26.744,26.601,26.601,4874,0
FTC.US,D,20080205,000000,26.102,26.102,26.007,26.085,3179,0
FTC.US,D,20080206,000000,25.875,25.969,25.477,25.477,30732,0
FTC.US,D,20080207,000000,25.553,25.6,25.516,25.6,15155,0
FTC.US,D,20080208,000000,25.904,25.904,25.63,25.846,12610,0
FTC.US,D,20080211,000000,25.806,26.14,25.806,26.094,41861,0
FTC.US,D,20080212,000000,26.236,26.395,26.066,26.066,49914,0
FTC.US,D,20080213,000000,26.508,26.508,26.291,26.451,11766,0
FTC.US,D,20080214,000000,26.498,26.537,26.179,26.179,109042,0
FTC.US,D,20080215,000000,26.017,26.14,25.988,26.14,5934,0
FTC.US,D,20080219,000000,26.564,26.564,26.245,26.245,2439,0
FTC.US,D,20080220,000000,26.216,26.61,26.187,26.61,2969,0
FTC.US,D,20080221,000000,26.591,26.591,26.216,26.216,9962,0
FTC.US,D,20080222,000000,26.216,26.359,25.942,26.359,51290,0
FTC.US,D,20080225,000000,26.33,26.772,26.32,26.772,17488,0
FTC.US,D,20080226,000000,26.801,26.904,26.763,26.904,6673,0
FTC.US,D,20080227,000000,26.819,26.837,26.819,26.837,951,0
FTC.US,D,20080228,000000,26.744,26.81,26.639,26.782,7733,0
FTC.US,D,20080229,000000,26.349,26.359,25.913,25.913,4449,0
FTC.US,D,20080303,000000,26.036,26.121,25.904,26.121,41009,0
FTC.US,D,20080304,000000,26.036,26.085,25.703,25.703,8581,0
FTC.US,D,20080305,000000,25.998,26.359,25.998,26.187,7103,0
FTC.US,D,20080306,000000,25.75,25.806,25.75,25.75,37620,0
FTC.US,D,20080307,000000,25.496,25.562,25.142,25.363,61040,0
FTC.US,D,20080310,000000,25.261,25.261,24.829,24.829,29991,0
FTC.US,D,20080311,000000,25.373,25.516,24.987,25.516,7208,0
FTC.US,D,20080312,000000,25.74,25.74,25.572,25.572,10703,0
FTC.US,D,20080313,000000,25.123,25.816,25.085,25.759,2120,0
FTC.US,D,20080314,000000,25.778,25.778,25.223,25.223,3287,0
FTC.US,D,20080317,000000,24.567,24.997,24.567,24.706,951,0
FTC.US,D,20080318,000000,25.308,25.74,25.308,25.74,25750,0
FTC.US,D,20080319,000000,25.516,25.516,25.036,25.036,2439,0
FTC.US,D,20080320,000000,24.867,25.213,24.867,25.213,742,0
FTC.US,D,20080324,000000,25.694,25.998,25.694,25.836,11167,0
FTC.US,D,20080325,000000,26.056,26.102,26.046,26.085,2222,0
FTC.US,D,20080326,000000,26.036,26.111,25.969,25.998,16107,0
FTC.US,D,20080327,000000,26.076,26.076,25.855,25.962,37179,0
FTC.US,D,20080328,000000,25.855,25.855,25.63,25.63,1380,0
FTC.US,D,20080331,000000,25.544,25.74,25.544,25.731,4663,0
FTC.US,D,20080401,000000,26.387,26.479,26.387,26.479,637,0
FTC.US,D,20080402,000000,26.591,26.679,26.461,26.591,5086,0
FTC.US,D,20080403,000000,26.581,26.601,26.498,26.581,1380,0
FTC.US,D,20080404,000000,26.639,26.998,26.61,26.837,13990,0
FTC.US,D,20080407,000000,26.951,26.951,26.744,26.772,1057,0
FTC.US,D,20080408,000000,26.697,26.763,26.649,26.649,4557,0
FTC.US,D,20080409,000000,26.581,26.669,25.759,26.368,32639,0
FTC.US,D,20080410,000000,26.414,26.62,26.414,26.61,3072,0
FTC.US,D,20080411,000000,26.451,26.451,26.102,26.169,3287,0
FTC.US,D,20080414,000000,26.179,26.179,26.179,26.179,2010,0
FTC.US,D,20080416,000000,26.387,26.81,26.387,26.81,10654,0
FTC.US,D,20080417,000000,26.876,26.876,26.782,26.782,1221,0
FTC.US,D,20080418,000000,27.432,27.432,27.356,27.356,1099,0
FTC.US,D,20080421,000000,27.297,27.384,27.17,27.384,2816,0
FTC.US,D,20080422,000000,27.26,27.316,27.121,27.121,11972,0
FTC.US,D,20080423,000000,27.233,27.233,27.053,27.053,4687,0
FTC.US,D,20080424,000000,26.989,27.16,26.989,27.16,582,0
FTC.US,D,20080425,000000,27.189,27.441,27.17,27.356,2172,0
FTC.US,D,20080428,000000,27.488,27.527,27.451,27.451,6838,0
FTC.US,D,20080429,000000,27.16,27.306,27.16,27.243,24338,0
FTC.US,D,20080430,000000,27.279,27.356,27.141,27.141,8114,0
FTC.US,D,20080501,000000,27.034,27.197,26.961,27.189,13147,0
FTC.US,D,20080502,000000,27.527,27.527,27.243,27.356,26002,0
FTC.US,D,20080505,000000,27.413,27.432,27.316,27.394,9814,0
FTC.US,D,20080506,000000,27.47,27.741,27.413,27.711,26362,0
FTC.US,D,20080507,000000,27.751,27.751,27.233,27.233,4847,0
FTC.US,D,20080508,000000,27.297,27.432,27.27,27.422,27256,0
FTC.US,D,20080509,000000,27.233,27.288,27.121,27.288,6224,0
