<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FTCS.US,D,20060711,000000,17.045,17.171,16.964,17.171,288358,0
FTCS.US,D,20060712,000000,17.129,17.129,16.972,16.972,13823,0
FTCS.US,D,20060713,000000,16.931,16.931,16.704,16.712,15678,0
FTCS.US,D,20060714,000000,16.824,16.824,16.626,16.739,22297,0
FTCS.US,D,20060717,000000,16.672,16.672,16.585,16.585,4179,0
FTCS.US,D,20060718,000000,16.618,16.618,16.539,16.539,3717,0
FTCS.US,D,20060719,000000,16.712,16.948,16.712,16.948,12080,0
FTCS.US,D,20060720,000000,16.997,16.997,16.877,16.877,3600,0
FTCS.US,D,20060721,000000,16.618,16.618,16.593,16.593,93606,0
FTCS.US,D,20060724,000000,16.824,16.979,16.824,16.979,11615,0
FTCS.US,D,20060725,000000,17.045,17.162,16.997,17.162,16836,0
FTCS.US,D,20060726,000000,17.102,17.28,17.102,17.28,2091,0
FTCS.US,D,20060727,000000,17.342,17.351,17.129,17.129,6737,0
FTCS.US,D,20060728,000000,17.212,17.307,17.212,17.307,581,0
FTCS.US,D,20060731,000000,17.376,17.427,17.376,17.402,5460,0
FTCS.US,D,20060801,000000,17.289,17.289,17.248,17.248,3253,0
FTCS.US,D,20060802,000000,17.393,17.489,17.351,17.376,8480,0
FTCS.US,D,20060803,000000,17.239,17.358,17.239,17.358,103823,0
FTCS.US,D,20060804,000000,17.427,17.427,17.222,17.222,54468,0
FTCS.US,D,20060807,000000,17.23,17.239,17.171,17.239,22529,0
FTCS.US,D,20060808,000000,17.203,17.203,17.038,17.055,4179,0
FTCS.US,D,20060809,000000,17.186,17.212,17.092,17.092,5342,0
FTCS.US,D,20060810,000000,17.055,17.162,17.045,17.137,4066,0
FTCS.US,D,20060811,000000,16.988,17.102,16.964,17.045,79550,0
FTCS.US,D,20060814,000000,17.146,17.154,17.024,17.031,4994,0
FTCS.US,D,20060815,000000,17.212,17.265,17.146,17.265,5110,0
FTCS.US,D,20060816,000000,17.299,17.385,17.299,17.385,3135,0
FTCS.US,D,20060817,000000,17.385,17.393,17.342,17.385,5110,0
FTCS.US,D,20060818,000000,17.307,17.41,17.307,17.385,3486,0
FTCS.US,D,20060821,000000,17.324,17.351,17.324,17.342,4644,0
FTCS.US,D,20060822,000000,17.385,17.385,17.358,17.358,10914,0
FTCS.US,D,20060823,000000,17.248,17.257,17.239,17.257,3018,0
FTCS.US,D,20060824,000000,17.274,17.28,17.274,17.28,1278,0
FTCS.US,D,20060825,000000,17.324,17.324,17.324,17.324,239,0
FTCS.US,D,20060828,000000,17.444,17.452,17.444,17.452,697,0
FTCS.US,D,20060829,000000,17.368,17.499,17.368,17.499,1047,0
FTCS.US,D,20060830,000000,17.567,17.567,17.462,17.489,3135,0
FTCS.US,D,20060831,000000,17.523,17.523,17.489,17.489,1510,0
FTCS.US,D,20060901,000000,17.586,17.643,17.567,17.634,3832,0
FTCS.US,D,20060905,000000,17.625,17.736,17.625,17.718,2321,0
