<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FTGC.US,D,20131025,000000,29.044,29.112,29.044,29.092,5863,0
FTGC.US,D,20131028,000000,28.937,28.937,28.907,28.907,309,0
FTGC.US,D,20131029,000000,28.858,28.858,28.839,28.839,669,0
FTGC.US,D,20131030,000000,28.907,28.907,28.791,28.791,5041,0
FTGC.US,D,20131101,000000,28.324,28.324,28.265,28.275,694,0
FTGC.US,D,20131104,000000,28.129,28.139,28.099,28.099,15941,0
FTGC.US,D,20131105,000000,28.091,28.139,28.091,28.139,861,0
FTGC.US,D,20131106,000000,28.236,28.236,28.197,28.197,3704,0
FTGC.US,D,20131107,000000,28.236,28.236,28.158,28.158,1748,0
FTGC.US,D,20131111,000000,28.285,28.314,28.285,28.314,720,0
FTGC.US,D,20131113,000000,28.255,28.255,28.255,28.255,1110,0
FTGC.US,D,20131114,000000,28.051,28.207,28.051,28.203,616,0
FTGC.US,D,20131115,000000,28.294,28.294,28.236,28.236,823,0
FTGC.US,D,20131118,000000,28.333,28.333,28.333,28.333,205,0
FTGC.US,D,20131121,000000,28.333,28.333,28.333,28.333,353,0
FTGC.US,D,20131122,000000,28.469,28.469,28.469,28.469,720,0
FTGC.US,D,20131125,000000,28.43,28.518,28.43,28.518,5858,0
FTGC.US,D,20131126,000000,28.558,28.567,28.558,28.567,2495,0
FTGC.US,D,20131127,000000,28.45,28.489,28.45,28.489,2573,0
FTGC.US,D,20131129,000000,28.567,28.645,28.567,28.645,2057,0
FTGC.US,D,20131202,000000,28.694,28.694,28.694,28.694,337,0
FTGC.US,D,20131203,000000,28.518,28.518,28.518,28.518,103,0
FTGC.US,D,20131204,000000,28.761,28.761,28.703,28.703,365,0
FTGC.US,D,20131205,000000,28.558,28.654,28.558,28.654,2011,0
FTGC.US,D,20131206,000000,28.731,28.731,28.731,28.731,103,0
FTGC.US,D,20131209,000000,28.858,28.927,28.858,28.927,1132,0
FTGC.US,D,20131211,000000,29.168,29.169,29.092,29.169,3187,0
FTGC.US,D,20131212,000000,29.15,29.15,29.149,29.15,591,0
FTGC.US,D,20131217,000000,29.295,29.295,29.295,29.295,925,0
FTGC.US,D,20131218,000000,29.412,29.412,29.354,29.354,5086,0
FTGC.US,D,20131219,000000,29.354,29.354,29.295,29.295,15941,0
FTGC.US,D,20131223,000000,29.743,29.743,29.51,29.557,2263,0
FTGC.US,D,20131224,000000,29.675,29.743,29.675,29.743,240,0
FTGC.US,D,20131227,000000,29.557,29.557,29.557,29.557,205,0
FTGC.US,D,20131230,000000,29.51,29.52,29.472,29.472,925,0
FTGC.US,D,20131231,000000,29.217,29.217,29.215,29.215,1074,0
FTGC.US,D,20140102,000000,28.975,28.975,28.829,28.829,6481,0
FTGC.US,D,20140103,000000,28.848,28.952,28.712,28.952,68122,0
FTGC.US,D,20140106,000000,29.072,29.078,29.071,29.078,1870,0
FTGC.US,D,20140107,000000,29.072,29.072,28.937,28.937,3895,0
FTGC.US,D,20140109,000000,28.703,28.703,28.548,28.548,980,0
FTGC.US,D,20140110,000000,28.985,28.985,28.731,28.731,47025,0
FTGC.US,D,20140113,000000,28.816,29.014,28.816,28.975,12992,0
FTGC.US,D,20140114,000000,29.082,29.13,29.082,29.122,5796,0
FTGC.US,D,20140115,000000,29.188,29.188,29.188,29.188,103,0
FTGC.US,D,20140116,000000,29.412,29.412,29.276,29.286,1336,0
FTGC.US,D,20140117,000000,29.122,29.159,29.102,29.102,840,0
FTGC.US,D,20140121,000000,28.994,28.999,28.917,28.999,57420,0
FTGC.US,D,20140122,000000,29.247,29.304,29.247,29.304,1955,0
FTGC.US,D,20140123,000000,29.51,29.51,29.5,29.5,925,0
FTGC.US,D,20140124,000000,29.849,29.849,29.849,29.849,720,0
FTGC.US,D,20140127,000000,29.84,29.84,29.577,29.577,3478,0
FTGC.US,D,20140128,000000,29.781,29.83,29.733,29.83,1205,0
FTGC.US,D,20140129,000000,29.967,29.996,29.967,29.996,1107,0
FTGC.US,D,20140130,000000,30.277,30.277,30.277,30.277,205,0
FTGC.US,D,20140131,000000,30.151,30.2,30.064,30.132,18914,0
FTGC.US,D,20140203,000000,30.559,30.569,30.559,30.569,6171,0
FTGC.US,D,20140204,000000,30.619,30.784,30.579,30.764,11245,0
FTGC.US,D,20140205,000000,30.783,30.968,30.783,30.968,1088,0
FTGC.US,D,20140206,000000,31.143,31.143,30.832,30.871,4467,0
FTGC.US,D,20140207,000000,31.076,31.24,31.007,31.153,2052017,0
FTGC.US,D,20140210,000000,31.26,31.395,30.958,31.017,41301,0
FTGC.US,D,20140211,000000,31.072,31.299,31.072,31.222,13487,0
FTGC.US,D,20140212,000000,31.425,31.493,31.299,31.405,11438,0
FTGC.US,D,20140213,000000,31.309,31.526,31.309,31.512,18116,0
FTGC.US,D,20140214,000000,31.726,31.902,31.619,31.806,14003,0
FTGC.US,D,20140218,000000,32.213,32.495,32.105,32.495,10161,0
FTGC.US,D,20140219,000000,32.524,32.805,32.475,32.64,31031,0
FTGC.US,D,20140220,000000,32.708,35.237,32.203,32.738,18292,0
FTGC.US,D,20140221,000000,32.758,32.904,32.65,32.748,7738,0
FTGC.US,D,20140224,000000,49.432,49.432,32.884,33.021,10473,0
FTGC.US,D,20140225,000000,32.874,33.039,32.728,32.874,13624,0
FTGC.US,D,20140226,000000,32.758,32.805,32.64,32.795,7904,0
FTGC.US,D,20140227,000000,32.922,32.961,32.786,32.786,4721,0
FTGC.US,D,20140228,000000,32.855,32.932,32.855,32.864,7036,0
FTGC.US,D,20140303,000000,33.185,33.505,33.185,33.486,30515,0
FTGC.US,D,20140304,000000,33.292,33.292,33.132,33.176,46389,0
FTGC.US,D,20140305,000000,33.204,33.443,33.127,33.36,10666,0
FTGC.US,D,20140306,000000,33.332,33.477,33.332,33.399,57049,0
FTGC.US,D,20140307,000000,33.419,33.477,33.399,33.477,15785,0
FTGC.US,D,20140310,000000,33.529,33.685,33.38,33.399,31948,0
FTGC.US,D,20140311,000000,33.622,33.64,33.39,33.448,15741,0
FTGC.US,D,20140312,000000,33.185,33.389,33.185,33.312,7522,0
FTGC.US,D,20140313,000000,33.37,33.37,33.166,33.2,5670,0
