<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FTHI.US,D,20140113,000000,14.862,14.862,14.824,14.824,1064,0
FTHI.US,D,20140115,000000,14.915,14.915,14.909,14.909,2080,0
FTHI.US,D,20140117,000000,14.902,14.902,14.855,14.855,2950,0
FTHI.US,D,20140122,000000,14.902,14.915,14.902,14.915,1493,0
FTHI.US,D,20140123,000000,14.803,14.803,14.803,14.803,2429,0
FTHI.US,D,20140124,000000,14.658,14.658,14.658,14.658,660,0
FTHI.US,D,20140127,000000,14.534,14.534,14.534,14.534,2011,0
FTHI.US,D,20140128,000000,14.536,14.536,14.536,14.536,1336,0
FTHI.US,D,20140129,000000,14.478,14.478,14.414,14.414,1064,0
FTHI.US,D,20140130,000000,14.497,14.497,14.497,14.497,381,0
FTHI.US,D,20140131,000000,14.375,14.375,14.375,14.375,100,0
FTHI.US,D,20140203,000000,14.166,14.166,14.166,14.166,7266,0
FTHI.US,D,20140205,000000,14.143,14.16,14.136,14.136,2686,0
FTHI.US,D,20140207,000000,14.343,14.358,14.343,14.358,5375,0
FTHI.US,D,20140210,000000,14.396,14.396,14.396,14.396,558,0
FTHI.US,D,20140212,000000,14.521,14.521,14.505,14.513,2077,0
FTHI.US,D,20140213,000000,14.54,14.549,14.517,14.517,966,0
FTHI.US,D,20140214,000000,14.628,14.652,14.628,14.652,1606,0
FTHI.US,D,20140218,000000,14.652,14.652,14.634,14.644,6422,0
FTHI.US,D,20140219,000000,14.607,14.607,14.573,14.582,4376,0
FTHI.US,D,20140221,000000,14.674,14.674,14.643,14.643,1084,0
FTHI.US,D,20140224,000000,14.699,14.719,14.691,14.691,4227,0
FTHI.US,D,20140225,000000,14.699,14.699,14.683,14.683,3278,0
FTHI.US,D,20140226,000000,14.699,14.699,14.699,14.699,737,0
FTHI.US,D,20140227,000000,14.713,14.713,14.713,14.713,404,0
FTHI.US,D,20140228,000000,14.844,14.844,14.843,14.843,1875,0
FTHI.US,D,20140303,000000,14.706,14.727,14.699,14.713,10775,0
FTHI.US,D,20140304,000000,14.886,14.886,14.876,14.886,2232,0
FTHI.US,D,20140305,000000,14.858,14.858,14.853,14.858,13285,0
FTHI.US,D,20140306,000000,14.881,14.886,14.881,14.881,2346,0
FTHI.US,D,20140307,000000,14.87,14.87,14.845,14.845,1781,0
FTHI.US,D,20140310,000000,14.886,14.886,14.855,14.855,2366,0
FTHI.US,D,20140311,000000,14.827,14.827,14.827,14.827,4123,0
FTHI.US,D,20140312,000000,14.827,14.835,14.827,14.835,3802,0
FTHI.US,D,20140313,000000,14.835,14.835,14.751,14.751,4812,0
FTHI.US,D,20140317,000000,14.844,14.844,14.792,14.835,1401,0
FTHI.US,D,20140318,000000,14.9,14.913,14.858,14.897,4787,0
FTHI.US,D,20140320,000000,14.853,14.886,14.818,14.886,2502,0
FTHI.US,D,20140324,000000,14.827,14.827,14.808,14.808,2651,0
FTHI.US,D,20140325,000000,14.906,14.906,14.906,14.906,552,0
FTHI.US,D,20140326,000000,14.943,14.943,14.894,14.906,3348,0
