<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FTLB.US,D,20140110,000000,16.115,16.116,16.115,16.116,8949,0
FTLB.US,D,20140115,000000,16.116,16.142,16.116,16.142,1366,0
FTLB.US,D,20140117,000000,16.108,16.108,16.108,16.108,1177,0
FTLB.US,D,20140121,000000,16.1,16.1,16.074,16.074,4218,0
FTLB.US,D,20140122,000000,16.157,16.157,16.142,16.142,1122,0
FTLB.US,D,20140127,000000,15.643,15.683,15.643,15.683,2656,0
FTLB.US,D,20140129,000000,15.605,15.637,15.605,15.622,61369,0
FTLB.US,D,20140203,000000,15.527,15.527,15.527,15.527,4964,0
FTLB.US,D,20140206,000000,15.419,15.419,15.419,15.419,9321,0
FTLB.US,D,20140210,000000,15.571,15.605,15.571,15.605,992,0
FTLB.US,D,20140212,000000,15.706,15.706,15.697,15.697,1048,0
FTLB.US,D,20140218,000000,15.836,15.836,15.836,15.836,1244,0
FTLB.US,D,20140219,000000,15.818,15.818,15.776,15.776,1183,0
FTLB.US,D,20140221,000000,15.878,15.878,15.864,15.864,2463,0
FTLB.US,D,20140224,000000,15.894,15.894,15.894,15.894,550,0
FTLB.US,D,20140225,000000,15.871,15.886,15.863,15.886,6958,0
FTLB.US,D,20140226,000000,15.894,15.894,15.894,15.894,707,0
FTLB.US,D,20140227,000000,15.913,15.913,15.913,15.913,397,0
FTLB.US,D,20140303,000000,15.932,15.932,15.841,15.904,14147,0
FTLB.US,D,20140304,000000,16.087,16.087,16.07,16.087,2256,0
FTLB.US,D,20140305,000000,16.049,16.054,16.049,16.054,763,0
FTLB.US,D,20140306,000000,16.07,16.079,16.07,16.079,832,0
FTLB.US,D,20140307,000000,16.054,16.054,16.054,16.054,511,0
FTLB.US,D,20140311,000000,16.027,16.027,16.027,16.027,377,0
FTLB.US,D,20140313,000000,15.982,15.982,15.94,15.94,1245,0
FTLB.US,D,20140317,000000,16.039,16.039,15.956,16.027,857,0
FTLB.US,D,20140321,000000,16.096,16.096,16.096,16.096,7427,0
FTLB.US,D,20140324,000000,15.925,15.925,15.925,15.925,390,0
FTLB.US,D,20140326,000000,16.061,16.061,16.061,16.061,1851,0
FTLB.US,D,20140328,000000,16.087,16.105,15.973,15.989,4555,0
FTLB.US,D,20140331,000000,16.173,16.187,16.173,16.187,3163,0
FTLB.US,D,20140401,000000,16.187,16.204,16.105,16.204,2690,0
FTLB.US,D,20140404,000000,16.297,16.297,16.164,16.187,2068,0
FTLB.US,D,20140409,000000,16.07,16.187,16.07,16.17,3452,0
FTLB.US,D,20140410,000000,16.035,16.035,16.019,16.019,2476,0
FTLB.US,D,20140411,000000,15.931,15.939,15.931,15.939,528,0
FTLB.US,D,20140414,000000,15.945,16.035,15.945,15.945,752,0
FTLB.US,D,20140415,000000,15.989,15.989,15.989,15.989,1234,0
FTLB.US,D,20140421,000000,16.263,16.263,16.263,16.263,2102,0
FTLB.US,D,20140423,000000,16.292,16.301,16.292,16.301,1117,0
FTLB.US,D,20140425,000000,16.212,16.22,16.212,16.212,984,0
FTLB.US,D,20140501,000000,16.31,16.31,16.31,16.31,1234,0
FTLB.US,D,20140502,000000,16.301,16.301,16.292,16.301,2808,0
FTLB.US,D,20140505,000000,16.285,16.285,16.277,16.277,619,0
FTLB.US,D,20140506,000000,16.238,16.238,16.199,16.199,1480,0
FTLB.US,D,20140508,000000,16.238,16.238,16.238,16.238,1232,0
FTLB.US,D,20140509,000000,16.191,16.191,16.091,16.091,376,0
FTLB.US,D,20140513,000000,16.37,16.37,16.31,16.355,3454,0
FTLB.US,D,20140514,000000,16.349,16.349,16.349,16.349,1232,0
FTLB.US,D,20140515,000000,16.182,16.191,16.158,16.191,7960,0
FTLB.US,D,20140516,000000,16.049,16.049,16.049,16.049,1756,0
FTLB.US,D,20140521,000000,16.211,16.236,16.174,16.227,43429,0
FTLB.US,D,20140522,000000,16.275,16.338,16.211,16.255,144099,0
FTLB.US,D,20140523,000000,16.29,16.29,16.197,16.275,17703,0
FTLB.US,D,20140527,000000,16.299,16.308,16.299,16.299,751,0
FTLB.US,D,20140528,000000,16.338,16.355,16.322,16.322,979,0
FTLB.US,D,20140529,000000,16.369,16.413,16.322,16.329,6323,0
FTLB.US,D,20140603,000000,16.377,16.377,16.377,16.377,1139,0
FTLB.US,D,20140604,000000,16.369,16.396,16.369,16.396,6999,0
FTLB.US,D,20140605,000000,16.421,16.421,16.421,16.421,1229,0
FTLB.US,D,20140606,000000,16.498,16.532,16.455,16.498,11924,0
FTLB.US,D,20140609,000000,16.49,16.579,16.473,16.49,46524,0
FTLB.US,D,20140610,000000,16.455,16.564,16.455,16.516,55934,0
FTLB.US,D,20140611,000000,16.473,16.516,16.446,16.482,36924,0
FTLB.US,D,20140612,000000,16.711,16.711,16.382,16.421,59116,0
FTLB.US,D,20140613,000000,16.389,16.516,16.389,16.482,30607,0
FTLB.US,D,20140616,000000,16.473,16.538,16.437,16.437,50644,0
FTLB.US,D,20140617,000000,16.473,16.522,16.473,16.473,12589,0
FTLB.US,D,20140618,000000,16.516,16.669,16.498,16.597,32368,0
FTLB.US,D,20140619,000000,16.606,16.718,16.578,16.64,39024,0
FTLB.US,D,20140620,000000,16.639,16.718,16.624,16.669,44077,0
FTLB.US,D,20140623,000000,16.639,16.694,16.597,16.678,35899,0
FTLB.US,D,20140624,000000,16.684,16.755,16.543,16.614,56113,0
FTLB.US,D,20140625,000000,16.536,16.725,16.536,16.676,46079,0
FTLB.US,D,20140627,000000,16.709,16.709,16.53,16.614,10368,0
FTLB.US,D,20140630,000000,16.623,16.701,16.614,16.701,22315,0
FTLB.US,D,20140701,000000,16.654,16.769,16.654,16.769,2370,0
FTLB.US,D,20140702,000000,16.803,16.803,16.725,16.74,850,0
FTLB.US,D,20140703,000000,16.863,16.863,16.769,16.82,14822,0
FTLB.US,D,20140707,000000,16.654,16.829,16.654,16.654,24568,0
FTLB.US,D,20140708,000000,16.769,16.769,16.769,16.769,130,0
FTLB.US,D,20140709,000000,16.731,16.793,16.731,16.793,2048,0
FTLB.US,D,20140710,000000,16.731,16.731,16.731,16.731,446,0
FTLB.US,D,20140711,000000,16.812,16.812,16.716,16.716,2483,0
FTLB.US,D,20140714,000000,16.812,16.812,16.74,16.74,1595,0
FTLB.US,D,20140715,000000,16.803,16.803,16.803,16.803,892,0
FTLB.US,D,20140716,000000,16.731,16.748,16.646,16.7,40162,0
FTLB.US,D,20140717,000000,16.654,16.689,16.604,16.661,2824,0
FTLB.US,D,20140718,000000,16.701,16.748,16.568,16.7,133239,0
FTLB.US,D,20140721,000000,16.614,16.631,16.614,16.623,448,0
FTLB.US,D,20140722,000000,16.785,16.785,16.63,16.674,5738,0
FTLB.US,D,20140723,000000,16.667,16.667,16.652,16.652,3428,0
FTLB.US,D,20140724,000000,16.682,16.738,16.652,16.674,30985,0
FTLB.US,D,20140725,000000,16.592,16.661,16.583,16.602,16971,0
FTLB.US,D,20140730,000000,16.534,16.534,16.44,16.528,3874,0
FTLB.US,D,20140731,000000,16.341,16.341,16.341,16.341,3540,0
FTLB.US,D,20140801,000000,16.356,16.356,16.302,16.331,2069,0
FTLB.US,D,20140804,000000,16.341,16.364,16.317,16.364,10403,0
FTLB.US,D,20140805,000000,16.371,16.379,16.364,16.371,9935,0
FTLB.US,D,20140806,000000,16.37,16.399,16.364,16.399,5892,0
FTLB.US,D,20140807,000000,16.399,16.399,16.399,16.399,2202,0
FTLB.US,D,20140808,000000,16.323,16.356,16.323,16.356,2150,0
FTLB.US,D,20140811,000000,16.502,16.502,16.477,16.477,3149,0
FTLB.US,D,20140813,000000,16.502,16.502,16.502,16.502,4393,0
FTLB.US,D,20140814,000000,16.558,16.568,16.558,16.568,1266,0
FTLB.US,D,20140815,000000,16.496,16.496,16.496,16.496,587,0
FTLB.US,D,20140818,000000,16.622,16.622,16.576,16.576,3173,0
FTLB.US,D,20140819,000000,16.636,16.667,16.636,16.667,1272,0
FTLB.US,D,20140820,000000,16.661,16.683,16.661,16.683,1093,0
FTLB.US,D,20140821,000000,16.671,16.721,16.671,16.721,4303,0
FTLB.US,D,20140822,000000,16.705,16.714,16.705,16.714,4123,0
FTLB.US,D,20140826,000000,16.766,16.799,16.744,16.799,6723,0
FTLB.US,D,20140828,000000,16.714,16.714,16.714,16.714,602,0
FTLB.US,D,20140902,000000,16.758,16.758,16.758,16.758,1276,0
FTLB.US,D,20140903,000000,16.758,16.817,16.758,16.817,1221,0
FTLB.US,D,20140904,000000,16.869,16.869,16.852,16.852,809,0
FTLB.US,D,20140905,000000,16.825,16.877,16.825,16.877,1425,0
FTLB.US,D,20140908,000000,16.809,16.847,16.809,16.809,2563,0
FTLB.US,D,20140911,000000,16.843,16.843,16.843,16.843,862,0
