<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FTRI.US,D,20100312,000000,21.87,21.87,21.354,21.49,4570,0
FTRI.US,D,20100315,000000,21.383,21.383,21.059,21.059,1418,0
FTRI.US,D,20100316,000000,21.631,21.631,21.631,21.631,141,0
FTRI.US,D,20100317,000000,21.962,22.125,21.914,22.018,7669,0
FTRI.US,D,20100318,000000,21.835,21.877,21.497,21.623,2994,0
FTRI.US,D,20100319,000000,21.42,21.42,20.918,20.959,2128,0
FTRI.US,D,20100322,000000,20.932,21.131,20.663,21.131,1224,0
FTRI.US,D,20100323,000000,21.433,21.524,21.187,21.467,6883,0
FTRI.US,D,20100324,000000,21.42,21.42,21.166,21.166,1844,0
FTRI.US,D,20100325,000000,21.174,21.269,21.065,21.065,8500,0
FTRI.US,D,20100326,000000,21.87,21.87,21.037,21.131,3207,0
FTRI.US,D,20100329,000000,21.604,21.651,21.604,21.644,5315,0
FTRI.US,D,20100330,000000,21.914,21.914,21.727,21.819,31871,0
FTRI.US,D,20100331,000000,21.998,22.061,21.531,21.926,8956,0
FTRI.US,D,20100401,000000,22.504,22.78,22.504,22.774,3691,0
FTRI.US,D,20100405,000000,23.048,23.231,22.899,23.148,11825,0
FTRI.US,D,20100406,000000,23.204,23.283,22.987,23.222,12225,0
FTRI.US,D,20100407,000000,23.12,23.12,22.864,22.93,80719,0
FTRI.US,D,20100408,000000,22.478,22.864,22.355,22.844,4675,0
FTRI.US,D,20100409,000000,23.211,23.338,23.197,23.33,19981,0
FTRI.US,D,20100412,000000,23.197,23.583,23.197,23.469,23323,0
FTRI.US,D,20100413,000000,23.368,23.368,22.922,23.048,20911,0
FTRI.US,D,20100414,000000,23.267,23.628,23.267,23.628,16369,0
FTRI.US,D,20100415,000000,23.505,23.909,23.486,23.826,9432,0
FTRI.US,D,20100416,000000,25.406,25.406,22.708,22.95,9331,0
FTRI.US,D,20100419,000000,22.864,22.864,22.303,22.493,5801,0
FTRI.US,D,20100420,000000,23.014,23.156,22.857,22.857,3187,0
FTRI.US,D,20100421,000000,22.872,22.872,22.287,22.287,1912,0
FTRI.US,D,20100422,000000,22.23,22.23,21.796,22.159,4444,0
FTRI.US,D,20100423,000000,22.052,22.237,22.052,22.198,1065,0
FTRI.US,D,20100426,000000,22.892,23.036,22.814,22.814,7395,0
FTRI.US,D,20100427,000000,22.309,22.556,21.826,21.841,9862,0
FTRI.US,D,20100428,000000,22.061,22.061,21.637,21.734,12329,0
FTRI.US,D,20100429,000000,22.838,22.838,21.826,21.933,4865,0
FTRI.US,D,20100430,000000,21.617,21.877,21.298,21.328,11830,0
FTRI.US,D,20100503,000000,21.214,21.328,20.868,21.101,8818,0
FTRI.US,D,20100504,000000,20.683,20.683,19.832,19.859,20567,0
FTRI.US,D,20100505,000000,19.554,19.759,18.899,19.525,6758,0
FTRI.US,D,20100506,000000,19.613,19.64,17.65,18.927,13812,0
FTRI.US,D,20100507,000000,18.993,18.993,17.289,18.495,11396,0
FTRI.US,D,20100510,000000,20.092,20.503,20.069,20.196,3365,0
FTRI.US,D,20100511,000000,19.739,20.023,19.259,19.745,2871,0
FTRI.US,D,20100512,000000,20.189,20.234,20.134,20.226,7013,0
FTRI.US,D,20100513,000000,20.281,20.573,20.149,20.211,22983,0
FTRI.US,D,20100514,000000,20.077,20.077,19.252,19.252,2339,0
FTRI.US,D,20100517,000000,19.07,19.07,17.875,18.64,19110,0
FTRI.US,D,20100518,000000,19.18,19.18,18.249,18.398,17416,0
FTRI.US,D,20100519,000000,18.2,18.2,17.474,18.044,13411,0
FTRI.US,D,20100520,000000,17.319,17.319,16.711,16.865,11345,0
FTRI.US,D,20100521,000000,16.91,17.826,16.583,17.787,9657,0
FTRI.US,D,20100524,000000,17.946,17.946,17.657,17.657,4062,0
FTRI.US,D,20100525,000000,17.141,17.488,16.583,17.41,7290,0
FTRI.US,D,20100526,000000,17.918,18.044,17.818,17.927,7560,0
FTRI.US,D,20100527,000000,18.298,18.835,18.298,18.835,1481,0
FTRI.US,D,20100528,000000,19.007,19.007,18.632,18.692,4004,0
FTRI.US,D,20100601,000000,18.215,18.666,18.093,18.133,1558,0
FTRI.US,D,20100602,000000,18.363,18.85,18.363,18.746,3404,0
FTRI.US,D,20100603,000000,18.842,18.842,18.333,18.53,2264,0
FTRI.US,D,20100604,000000,17.722,17.826,17.313,17.313,3858,0
FTRI.US,D,20100607,000000,17.098,17.177,16.81,16.818,2998,0
FTRI.US,D,20100608,000000,17.129,17.133,17.015,17.071,2369,0
FTRI.US,D,20100609,000000,17.754,17.911,17.327,17.327,10553,0
FTRI.US,D,20100610,000000,17.94,18.242,17.94,18.18,5675,0
FTRI.US,D,20100611,000000,18.2,18.45,17.735,18.257,5868,0
FTRI.US,D,20100614,000000,18.632,18.864,18.53,18.53,20731,0
FTRI.US,D,20100615,000000,18.842,19.062,18.842,19.062,2195,0
FTRI.US,D,20100616,000000,19.168,19.168,18.796,18.984,4529,0
FTRI.US,D,20100617,000000,18.82,18.961,18.746,18.746,1418,0
FTRI.US,D,20100618,000000,18.85,18.961,18.724,18.78,19521,0
FTRI.US,D,20100621,000000,19.308,19.613,19.055,19.203,5130,0
FTRI.US,D,20100622,000000,19.203,19.203,18.537,18.537,12622,0
FTRI.US,D,20100623,000000,18.298,18.512,18.235,18.504,2648,0
FTRI.US,D,20100624,000000,18.208,18.208,17.974,17.983,4961,0
FTRI.US,D,20100625,000000,18.022,18.165,17.983,18.165,6839,0
FTRI.US,D,20100628,000000,18.265,18.265,18.03,18.03,2592,0
FTRI.US,D,20100629,000000,17.289,17.289,16.739,16.739,8936,0
FTRI.US,D,20100630,000000,16.956,17.012,16.202,16.259,13347,0
FTRI.US,D,20100701,000000,16.23,16.325,15.978,16.318,16761,0
FTRI.US,D,20100702,000000,16.59,16.663,16.236,16.5,7786,0
FTRI.US,D,20100706,000000,16.889,17.284,16.684,16.777,23110,0
FTRI.US,D,20100707,000000,16.832,17.503,16.832,17.381,16787,0
FTRI.US,D,20100708,000000,17.537,17.616,17.418,17.616,5235,0
FTRI.US,D,20100709,000000,17.74,18.279,17.74,18.279,3257,0
FTRI.US,D,20100712,000000,18.304,18.304,17.832,18.074,5301,0
FTRI.US,D,20100713,000000,18.292,18.547,18.279,18.381,3388,0
FTRI.US,D,20100714,000000,18.567,18.567,18.411,18.411,1575,0
FTRI.US,D,20100715,000000,18.172,18.172,17.997,18.08,1878,0
FTRI.US,D,20100716,000000,17.657,17.657,17.594,17.644,3117,0
