<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FTSL.US,D,20130506,000000,37.912,37.912,37.881,37.883,4519,0
FTSL.US,D,20130507,000000,37.944,37.944,37.881,37.883,13768,0
FTSL.US,D,20130508,000000,37.912,37.912,36.873,37.874,129565,0
FTSL.US,D,20130509,000000,37.883,37.883,37.865,37.874,13437,0
FTSL.US,D,20130510,000000,38.295,38.295,37.844,37.859,15523,0
FTSL.US,D,20130513,000000,37.975,37.975,37.873,37.874,32187,0
FTSL.US,D,20130514,000000,37.883,37.883,37.874,37.874,2337,0
FTSL.US,D,20130515,000000,37.874,37.874,37.828,37.852,3393,0
FTSL.US,D,20130516,000000,38.412,38.412,37.85,37.852,3604,0
FTSL.US,D,20130517,000000,37.852,37.852,37.844,37.844,9450,0
FTSL.US,D,20130520,000000,37.852,37.852,37.852,37.852,7400,0
FTSL.US,D,20130521,000000,38.036,38.036,37.989,37.995,5028,0
FTSL.US,D,20130522,000000,38.056,38.056,37.872,37.941,8858,0
FTSL.US,D,20130523,000000,38.026,38.026,37.948,37.973,21312,0
FTSL.US,D,20130524,000000,37.994,37.995,37.994,37.995,6738,0
FTSL.US,D,20130528,000000,37.988,37.988,37.895,37.964,16226,0
FTSL.US,D,20130529,000000,37.924,38.017,37.924,37.981,24485,0
FTSL.US,D,20130530,000000,37.964,37.964,37.924,37.964,27837,0
FTSL.US,D,20130531,000000,38.017,38.159,37.952,38.159,29242,0
FTSL.US,D,20130603,000000,38.098,38.098,37.88,38.04,41333,0
FTSL.US,D,20130604,000000,38.002,38.017,37.993,38.01,8621,0
FTSL.US,D,20130605,000000,37.984,37.988,37.973,37.985,6848,0
FTSL.US,D,20130606,000000,37.973,37.973,37.932,37.932,5380,0
FTSL.US,D,20130607,000000,37.941,37.941,37.795,37.81,9148,0
FTSL.US,D,20130610,000000,37.903,37.91,37.903,37.91,4052,0
FTSL.US,D,20130611,000000,37.956,37.956,37.944,37.944,351,0
FTSL.US,D,20130612,000000,37.849,37.91,37.701,37.701,70580,0
FTSL.US,D,20130613,000000,38.036,38.036,37.74,37.74,26507,0
FTSL.US,D,20130614,000000,37.956,37.956,37.643,37.787,6653,0
FTSL.US,D,20130617,000000,37.863,37.863,37.736,37.83,12898,0
FTSL.US,D,20130618,000000,37.872,37.887,37.689,37.857,25505,0
FTSL.US,D,20130619,000000,37.903,37.917,37.849,37.863,18372,0
FTSL.US,D,20130620,000000,38.404,38.404,37.605,37.766,55292,0
FTSL.US,D,20130621,000000,37.594,37.742,37.546,37.632,53806,0
FTSL.US,D,20130624,000000,37.607,37.607,37.426,37.607,14690,0
FTSL.US,D,20130625,000000,37.719,37.719,37.521,37.562,5862,0
FTSL.US,D,20130626,000000,37.483,37.578,37.483,37.562,13442,0
FTSL.US,D,20130627,000000,37.578,37.578,37.42,37.578,13605,0
FTSL.US,D,20130628,000000,37.578,37.586,37.565,37.586,5475,0
FTSL.US,D,20130701,000000,37.639,37.639,37.462,37.462,4656,0
FTSL.US,D,20130702,000000,37.703,37.703,37.594,37.594,6979,0
FTSL.US,D,20130703,000000,37.639,37.672,37.639,37.672,1276,0
FTSL.US,D,20130705,000000,38.31,38.31,37.645,37.702,4384,0
FTSL.US,D,20130708,000000,37.897,37.897,37.647,37.672,9577,0
FTSL.US,D,20130709,000000,37.672,37.731,37.672,37.719,4512,0
FTSL.US,D,20130710,000000,37.704,37.704,37.687,37.687,1617,0
FTSL.US,D,20130711,000000,37.697,37.71,37.681,37.703,10330,0
FTSL.US,D,20130712,000000,37.813,37.828,37.79,37.828,1761,0
FTSL.US,D,20130715,000000,37.891,37.92,37.891,37.905,6311,0
FTSL.US,D,20130716,000000,37.913,37.976,37.873,37.874,30400,0
FTSL.US,D,20130717,000000,37.827,37.827,37.783,37.813,27788,0
FTSL.US,D,20130718,000000,38.662,38.662,37.852,37.874,141720,0
FTSL.US,D,20130719,000000,37.967,37.967,37.896,37.897,55306,0
FTSL.US,D,20130722,000000,37.952,37.952,37.913,37.931,32404,0
FTSL.US,D,20130723,000000,38.085,38.118,38.072,38.118,101074,0
FTSL.US,D,20130724,000000,37.97,37.97,37.931,37.962,67852,0
FTSL.US,D,20130725,000000,37.999,37.999,37.963,37.986,63952,0
FTSL.US,D,20130726,000000,38.033,38.033,37.97,37.992,70185,0
FTSL.US,D,20130729,000000,37.884,37.992,37.884,37.992,55646,0
FTSL.US,D,20130730,000000,37.999,37.999,37.933,37.939,12735,0
FTSL.US,D,20130731,000000,37.962,37.962,37.877,37.962,103841,0
FTSL.US,D,20130801,000000,37.97,37.97,37.86,37.954,89853,0
FTSL.US,D,20130802,000000,37.97,37.97,37.934,37.939,13295,0
FTSL.US,D,20130805,000000,37.922,37.939,37.922,37.939,34853,0
FTSL.US,D,20130806,000000,37.948,37.962,37.846,37.853,105158,0
FTSL.US,D,20130807,000000,37.888,37.908,37.86,37.904,14337,0
FTSL.US,D,20130808,000000,37.908,37.908,37.877,37.9,43713,0
FTSL.US,D,20130809,000000,37.948,37.948,37.885,37.893,12027,0
FTSL.US,D,20130812,000000,37.929,37.929,37.9,37.916,8632,0
FTSL.US,D,20130813,000000,37.954,37.954,37.9,37.922,49126,0
FTSL.US,D,20130814,000000,37.939,37.939,37.918,37.922,30941,0
FTSL.US,D,20130815,000000,37.948,37.948,37.893,37.908,36685,0
FTSL.US,D,20130816,000000,37.929,37.929,37.922,37.929,28044,0
FTSL.US,D,20130819,000000,37.948,37.948,37.883,37.883,39128,0
FTSL.US,D,20130820,000000,37.908,37.908,37.893,37.908,222711,0
FTSL.US,D,20130821,000000,37.975,37.983,37.863,37.881,55322,0
FTSL.US,D,20130822,000000,37.833,38.089,37.833,37.881,90545,0
FTSL.US,D,20130823,000000,37.863,37.863,37.85,37.857,25440,0
FTSL.US,D,20130826,000000,37.748,37.818,37.728,37.765,16662,0
FTSL.US,D,20130827,000000,37.756,37.802,37.603,37.802,56160,0
FTSL.US,D,20130828,000000,37.756,37.845,37.756,37.818,27308,0
FTSL.US,D,20130829,000000,37.833,37.833,37.81,37.833,47945,0
FTSL.US,D,20130830,000000,37.85,37.85,37.778,37.832,8434,0
FTSL.US,D,20130903,000000,37.787,37.85,37.787,37.841,11185,0
FTSL.US,D,20130904,000000,37.857,37.863,37.817,37.841,13605,0
FTSL.US,D,20130905,000000,37.746,37.817,37.746,37.817,204491,0
FTSL.US,D,20130906,000000,37.857,37.857,37.708,37.818,68417,0
FTSL.US,D,20130909,000000,37.716,37.873,37.716,37.826,52348,0
FTSL.US,D,20130910,000000,37.904,37.904,37.828,37.888,15333,0
FTSL.US,D,20130911,000000,37.888,37.904,37.841,37.904,71605,0
FTSL.US,D,20130912,000000,37.904,37.909,37.857,37.904,4640,0
FTSL.US,D,20130913,000000,37.918,37.924,37.902,37.924,21103,0
FTSL.US,D,20130916,000000,37.975,37.975,37.896,37.951,53662,0
FTSL.US,D,20130917,000000,38.011,38.011,37.911,37.991,62382,0
FTSL.US,D,20130918,000000,37.983,38.037,37.944,38.037,18051,0
FTSL.US,D,20130919,000000,38.081,38.081,38.014,38.043,35746,0
FTSL.US,D,20130920,000000,38.212,38.219,38.088,38.096,67098,0
FTSL.US,D,20130923,000000,38.096,38.17,38.095,38.155,92440,0
FTSL.US,D,20130924,000000,38.14,38.147,38.073,38.147,18453,0
FTSL.US,D,20130925,000000,38.122,38.122,38.037,38.049,27422,0
FTSL.US,D,20130926,000000,38.089,38.089,37.997,37.997,22481,0
FTSL.US,D,20130927,000000,38.011,38.011,37.966,37.983,15981,0
FTSL.US,D,20130930,000000,37.993,38.019,37.918,37.943,31679,0
FTSL.US,D,20131001,000000,37.934,37.934,37.91,37.924,52306,0
FTSL.US,D,20131002,000000,37.943,37.966,37.915,37.943,44882,0
FTSL.US,D,20131003,000000,37.983,37.983,37.934,37.943,35731,0
FTSL.US,D,20131004,000000,37.951,37.975,37.924,37.934,10914,0
FTSL.US,D,20131007,000000,37.895,38.019,37.864,38.011,23689,0
FTSL.US,D,20131008,000000,38.004,38.004,37.943,37.966,18062,0
FTSL.US,D,20131009,000000,38.162,38.162,37.934,37.983,51189,0
FTSL.US,D,20131010,000000,38.043,38.043,37.958,38.004,42357,0
FTSL.US,D,20131011,000000,38.029,38.029,37.983,37.997,60815,0
FTSL.US,D,20131014,000000,37.991,37.991,37.943,37.991,26505,0
FTSL.US,D,20131015,000000,37.991,38.073,37.991,38.067,110182,0
FTSL.US,D,20131016,000000,38.049,38.073,37.997,38.043,39933,0
FTSL.US,D,20131017,000000,38.059,38.073,37.983,38.073,79910,0
FTSL.US,D,20131018,000000,38.067,38.096,38.034,38.096,32326,0
FTSL.US,D,20131021,000000,38.147,38.147,38.089,38.122,76274,0
FTSL.US,D,20131022,000000,38.073,38.116,38.029,38.059,75751,0
FTSL.US,D,20131023,000000,38.037,38.073,37.997,38.059,57695,0
FTSL.US,D,20131024,000000,38.073,38.073,38.043,38.073,49637,0
FTSL.US,D,20131025,000000,38.081,38.089,38.019,38.081,66526,0
FTSL.US,D,20131028,000000,38.155,38.155,38.067,38.102,161118,0
FTSL.US,D,20131029,000000,38.116,38.122,38.067,38.122,108240,0
FTSL.US,D,20131030,000000,38.17,38.17,38.089,38.122,62625,0
FTSL.US,D,20131031,000000,38.202,38.202,38.122,38.179,53534,0
FTSL.US,D,20131101,000000,38.212,38.212,38.116,38.17,32099,0
FTSL.US,D,20131104,000000,38.179,38.212,38.116,38.179,24555,0
FTSL.US,D,20131105,000000,38.179,38.231,38.13,38.192,15844,0
FTSL.US,D,20131106,000000,38.212,38.212,38.131,38.196,95276,0
FTSL.US,D,20131107,000000,38.187,38.202,38.14,38.196,29003,0
FTSL.US,D,20131108,000000,38.14,38.219,38.14,38.212,31185,0
FTSL.US,D,20131111,000000,38.202,38.212,38.179,38.179,91341,0
FTSL.US,D,20131112,000000,38.202,38.212,38.17,38.199,40216,0
FTSL.US,D,20131113,000000,38.202,38.212,38.17,38.196,36564,0
FTSL.US,D,20131114,000000,38.196,38.196,38.155,38.17,38193,0
FTSL.US,D,20131115,000000,38.212,38.212,38.179,38.196,21053,0
FTSL.US,D,20131118,000000,38.243,38.243,38.202,38.212,90305,0
FTSL.US,D,20131119,000000,38.234,38.243,38.17,38.219,47947,0
FTSL.US,D,20131120,000000,38.25,38.25,38.208,38.226,159346,0
FTSL.US,D,20131121,000000,38.304,38.333,38.217,38.217,29407,0
FTSL.US,D,20131122,000000,38.247,38.247,38.198,38.231,40932,0
FTSL.US,D,20131125,000000,38.247,38.247,38.217,38.238,20723,0
FTSL.US,D,20131126,000000,38.262,38.28,38.231,38.238,53104,0
FTSL.US,D,20131127,000000,38.231,38.262,38.231,38.255,22015,0
FTSL.US,D,20131129,000000,38.288,38.288,38.255,38.271,8796,0
FTSL.US,D,20131202,000000,38.28,38.288,38.231,38.231,18523,0
FTSL.US,D,20131203,000000,38.28,38.28,38.231,38.262,33937,0
FTSL.US,D,20131204,000000,38.271,38.28,38.231,38.262,44741,0
FTSL.US,D,20131205,000000,38.271,38.28,38.238,38.26,32178,0
FTSL.US,D,20131206,000000,38.255,38.262,38.217,38.255,22015,0
FTSL.US,D,20131209,000000,38.271,38.271,38.217,38.271,32511,0
FTSL.US,D,20131210,000000,38.271,38.28,38.231,38.271,78882,0
FTSL.US,D,20131211,000000,38.28,38.296,38.238,38.271,18392,0
FTSL.US,D,20131212,000000,38.288,38.288,38.255,38.288,25517,0
