<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FTSM.US,D,20140825,000000,55.131,55.131,55.131,55.131,1306,0
FTSM.US,D,20140826,000000,55.131,55.131,55.131,55.131,593,0
FTSM.US,D,20140828,000000,55.116,55.116,55.116,55.116,175,0
FTSM.US,D,20140902,000000,55.131,55.131,55.131,55.131,1305,0
FTSM.US,D,20140903,000000,55.096,55.129,55.096,55.129,699,0
FTSM.US,D,20140904,000000,55.096,55.131,55.096,55.096,699,0
FTSM.US,D,20140905,000000,55.15,55.15,55.15,55.15,75,0
FTSM.US,D,20140908,000000,55.15,55.15,55.131,55.131,1001,0
FTSM.US,D,20140911,000000,55.131,55.131,55.131,55.131,18468,0
FTSM.US,D,20140912,000000,55.114,55.114,55.066,55.066,4747,0
FTSM.US,D,20140915,000000,55.114,55.114,55.114,55.114,150,0
FTSM.US,D,20140919,000000,55.114,55.114,55.114,55.114,679,0
FTSM.US,D,20140922,000000,55.131,55.131,55.131,55.131,1198,0
FTSM.US,D,20140923,000000,55.037,55.074,55.037,55.074,100,0
FTSM.US,D,20140926,000000,55.148,55.148,55.112,55.112,182,0
FTSM.US,D,20140929,000000,55.074,55.084,55.074,55.074,174,0
FTSM.US,D,20140930,000000,55.129,55.129,55.094,55.094,100,0
FTSM.US,D,20141001,000000,55.112,55.112,55.037,55.037,150,0
FTSM.US,D,20141003,000000,55.06,55.129,55.06,55.06,362,0
FTSM.US,D,20141006,000000,55.129,55.129,55.119,55.119,802,0
FTSM.US,D,20141010,000000,55.201,55.201,55.148,55.148,49316,0
FTSM.US,D,20141013,000000,55.074,55.148,55.074,55.148,1198,0
FTSM.US,D,20141015,000000,55.074,55.112,55.074,55.112,2135,0
FTSM.US,D,20141016,000000,55.074,55.165,55.074,55.165,434,0
FTSM.US,D,20141023,000000,55.152,55.169,55.152,55.152,5202,0
FTSM.US,D,20141028,000000,55.169,55.169,55.116,55.116,10181028,0
FTSM.US,D,20141029,000000,55.134,55.152,55.099,55.133,43543,0
FTSM.US,D,20141030,000000,55.098,55.152,55.048,55.152,71592,0
FTSM.US,D,20141031,000000,55.116,55.186,55.098,55.1,54428,0
FTSM.US,D,20141103,000000,55.169,55.335,55.133,55.186,19683414,0
FTSM.US,D,20141104,000000,55.136,55.186,55.098,55.133,137151,0
FTSM.US,D,20141105,000000,55.156,55.186,55.099,55.116,91978,0
FTSM.US,D,20141106,000000,55.116,55.175,55.098,55.152,53654,0
FTSM.US,D,20141107,000000,55.169,55.186,55.116,55.165,77953,0
FTSM.US,D,20141110,000000,55.123,55.169,55.116,55.116,147817,0
FTSM.US,D,20141111,000000,55.16,55.169,55.116,55.169,175984,0
FTSM.US,D,20141112,000000,55.133,55.169,55.116,55.151,85636,0
FTSM.US,D,20141113,000000,55.107,55.142,55.107,55.123,67704,0
FTSM.US,D,20141114,000000,55.142,55.152,55.123,55.142,85735,0
FTSM.US,D,20141117,000000,55.172,55.172,55.133,55.133,118344,0
FTSM.US,D,20141118,000000,55.123,55.169,55.107,55.152,162495,0
FTSM.US,D,20141119,000000,55.123,55.16,55.123,55.123,135911,0
FTSM.US,D,20141120,000000,55.116,55.162,55.116,55.133,142686,0
FTSM.US,D,20141121,000000,55.175,55.175,55.113,55.113,149656,0
FTSM.US,D,20141124,000000,55.113,55.158,55.104,55.104,820172,0
FTSM.US,D,20141125,000000,55.132,55.151,55.113,55.12,100687,0
FTSM.US,D,20141126,000000,55.113,55.167,55.113,55.167,112107,0
FTSM.US,D,20141128,000000,55.158,55.167,55.113,55.113,61047,0
FTSM.US,D,20141201,000000,55.137,55.158,55.095,55.137,5823380,0
FTSM.US,D,20141202,000000,55.167,55.167,55.13,55.158,104405,0
FTSM.US,D,20141203,000000,55.13,55.167,55.12,55.167,88560,0
FTSM.US,D,20141204,000000,55.15,55.15,55.13,55.13,69313,0
FTSM.US,D,20141205,000000,55.12,55.15,55.12,55.15,63857,0
FTSM.US,D,20141208,000000,55.12,55.145,55.113,55.12,9280069,0
FTSM.US,D,20141209,000000,55.13,55.158,55.12,55.12,99813,0
FTSM.US,D,20141210,000000,55.14,55.141,55.117,55.12,50077,0
FTSM.US,D,20141211,000000,55.13,55.15,55.113,55.12,41433,0
FTSM.US,D,20141212,000000,55.133,55.133,55.104,55.113,51855,0
FTSM.US,D,20141215,000000,55.14,55.158,55.12,55.15,771061,0
FTSM.US,D,20141216,000000,55.13,55.152,55.13,55.13,39695,0
FTSM.US,D,20141217,000000,55.139,55.158,55.113,55.12,40878,0
FTSM.US,D,20141218,000000,55.13,55.14,55.095,55.108,60576,0
FTSM.US,D,20141219,000000,55.057,55.13,55.057,55.095,72078,0
FTSM.US,D,20141222,000000,55.075,55.15,55.075,55.12,675708,0
FTSM.US,D,20141223,000000,55.085,55.13,55.065,55.095,74358,0
FTSM.US,D,20141224,000000,55.113,55.14,55.065,55.075,84672,0
FTSM.US,D,20141226,000000,55.075,55.15,55.065,55.075,31111,0
FTSM.US,D,20141229,000000,55.075,55.126,55.047,55.057,12773994,0
FTSM.US,D,20141230,000000,55.037,55.14,55.037,55.057,60768,0
FTSM.US,D,20141231,000000,55.14,55.14,55.029,55.037,45849,0
FTSM.US,D,20150102,000000,55.057,55.13,55.047,55.13,22639,0
FTSM.US,D,20150105,000000,55.104,55.12,55.104,55.113,34577,0
FTSM.US,D,20150106,000000,55.075,55.13,55.075,55.104,18523,0
FTSM.US,D,20150107,000000,55.12,55.15,55.095,55.095,18888,0
FTSM.US,D,20150108,000000,55.132,55.132,55.095,55.095,17485,0
FTSM.US,D,20150109,000000,55.095,55.144,55.095,55.104,31040,0
FTSM.US,D,20150112,000000,55.158,55.158,55.088,55.113,694688,0
FTSM.US,D,20150113,000000,55.104,55.14,55.104,55.113,16458,0
FTSM.US,D,20150114,000000,55.14,55.158,55.104,55.104,34069,0
FTSM.US,D,20150115,000000,55.111,55.175,55.111,55.113,21718,0
FTSM.US,D,20150116,000000,55.113,55.14,55.095,55.12,23295,0
FTSM.US,D,20150120,000000,55.171,55.184,55.12,55.184,4376268,0
FTSM.US,D,20150121,000000,55.142,55.184,55.113,55.175,4228660,0
FTSM.US,D,20150122,000000,55.155,55.202,55.12,55.193,93764,0
FTSM.US,D,20150123,000000,55.158,55.184,55.14,55.15,261253,0
FTSM.US,D,20150126,000000,55.121,55.167,55.116,55.158,755153,0
FTSM.US,D,20150127,000000,55.13,55.167,55.13,55.13,90082,0
FTSM.US,D,20150128,000000,55.14,55.202,55.12,55.15,294439,0
