<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FTXD.US,D,20161110,000000,19.203,19.205,19.203,19.205,735,0
FTXD.US,D,20161116,000000,20.051,20.051,19.513,19.513,907,0
FTXD.US,D,20161117,000000,20.185,20.185,19.549,19.557,999,0
FTXD.US,D,20161118,000000,19.604,19.614,19.604,19.614,1684,0
FTXD.US,D,20161122,000000,20.099,20.099,20.099,20.099,469,0
FTXD.US,D,20161123,000000,20.243,20.253,20.186,20.186,539,0
FTXD.US,D,20161125,000000,20.888,20.888,20.165,20.165,748,0
FTXD.US,D,20161128,000000,20.021,20.021,20.021,20.021,635,0
FTXD.US,D,20161130,000000,19.798,19.798,19.798,19.798,211,0
FTXD.US,D,20161201,000000,19.807,19.807,19.807,19.807,907,0
FTXD.US,D,20161202,000000,19.787,19.827,19.787,19.787,315,0
FTXD.US,D,20161209,000000,21.219,21.219,20.47,20.47,1959,0
FTXD.US,D,20161215,000000,20.299,20.299,20.214,20.262,973,0
FTXD.US,D,20161219,000000,19.994,20.003,19.985,19.985,7161,0
FTXD.US,D,20161221,000000,19.999,20.047,19.981,19.981,526,0
FTXD.US,D,20161222,000000,19.276,19.284,19.276,19.284,211,0
FTXD.US,D,20161223,000000,19.289,19.289,19.289,19.289,211,0
FTXD.US,D,20170106,000000,18.736,18.746,18.736,18.746,314,0
FTXD.US,D,20170112,000000,18.458,18.67,18.458,18.67,572,0
FTXD.US,D,20170113,000000,18.707,18.783,18.707,18.726,810,0
FTXD.US,D,20170117,000000,18.936,18.936,18.822,18.822,9876,0
FTXD.US,D,20170118,000000,18.582,18.68,18.543,18.641,6832,0
FTXD.US,D,20170127,000000,17.991,18.024,17.981,17.981,15979,0
FTXD.US,D,20170209,000000,18.628,18.793,18.628,18.793,16760,0
FTXD.US,D,20170214,000000,18.781,18.781,18.781,18.781,278,0
FTXD.US,D,20170215,000000,18.879,18.897,18.86,18.897,721,0
FTXD.US,D,20170216,000000,18.877,18.877,18.764,18.774,6603,0
FTXD.US,D,20170221,000000,19.18,19.181,19.079,19.105,7987,0
FTXD.US,D,20170222,000000,19.019,19.019,18.973,18.973,695,0
FTXD.US,D,20170228,000000,18.936,18.936,18.783,18.936,21627,0
FTXD.US,D,20170303,000000,18.877,18.877,18.872,18.872,211,0
FTXD.US,D,20170307,000000,18.535,18.553,18.449,18.449,2696,0
FTXD.US,D,20170309,000000,18.553,18.553,18.553,18.553,101,0
FTXD.US,D,20170310,000000,18.602,18.611,18.572,18.611,735,0
FTXD.US,D,20170315,000000,18.492,18.492,18.492,18.492,244,0
FTXD.US,D,20170317,000000,18.696,18.696,18.696,18.696,211,0
FTXD.US,D,20170330,000000,18.424,18.807,18.424,18.807,1242,0
FTXD.US,D,20170331,000000,18.81,18.818,18.81,18.818,417,0
FTXD.US,D,20170410,000000,18.819,18.819,18.819,18.819,524,0
FTXD.US,D,20170424,000000,18.997,19.008,18.988,18.988,629,0
FTXD.US,D,20170425,000000,19.056,19.075,19.056,19.075,2407,0
FTXD.US,D,20170501,000000,19.112,19.13,19.112,19.122,555,0
FTXD.US,D,20170510,000000,19.333,19.35,19.333,19.35,1047,0
FTXD.US,D,20170511,000000,19.257,19.284,19.257,19.284,6487,0
FTXD.US,D,20170515,000000,19.046,19.046,19.046,19.046,499,0
FTXD.US,D,20170516,000000,19.112,19.112,19.008,19.008,240,0
FTXD.US,D,20170517,000000,18.735,18.735,18.735,18.735,111,0
FTXD.US,D,20170606,000000,19.176,19.176,19.176,19.176,101,0
FTXD.US,D,20170613,000000,19.017,19.017,19.017,19.017,102,0
FTXD.US,D,20170616,000000,18.482,18.482,18.482,18.482,6332,0
FTXD.US,D,20170621,000000,18.487,18.487,18.487,18.487,552,0
FTXD.US,D,20170622,000000,18.399,18.399,18.399,18.399,100,0
FTXD.US,D,20170703,000000,18.65,18.65,18.65,18.65,271,0
FTXD.US,D,20170705,000000,18.563,18.563,18.515,18.515,277,0
FTXD.US,D,20170710,000000,18.059,18.059,17.985,18.02,1509,0
FTXD.US,D,20170712,000000,18.267,18.267,18.267,18.267,136,0
FTXD.US,D,20170717,000000,18.601,18.601,18.601,18.601,9357,0
FTXD.US,D,20170721,000000,18.538,18.538,18.538,18.538,100,0
FTXD.US,D,20170728,000000,18.891,18.891,18.891,18.891,100,0
FTXD.US,D,20170814,000000,18.718,18.732,18.718,18.732,547,0
FTXD.US,D,20170815,000000,18.525,18.525,18.525,18.525,209,0
FTXD.US,D,20170821,000000,18.457,18.457,18.428,18.428,415,0
FTXD.US,D,20170822,000000,18.542,18.542,18.542,18.542,100,0
FTXD.US,D,20170824,000000,18.363,18.363,18.363,18.363,126,0
FTXD.US,D,20170829,000000,18.276,18.276,18.219,18.219,483,0
FTXD.US,D,20170830,000000,18.16,18.16,18.16,18.16,572,0
FTXD.US,D,20170831,000000,18.286,18.286,18.249,18.249,1071,0
FTXD.US,D,20170905,000000,18.457,18.457,18.457,18.457,182,0
FTXD.US,D,20170906,000000,18.525,18.642,18.525,18.641,769,0
FTXD.US,D,20170907,000000,18.853,18.881,18.841,18.881,1181,0
FTXD.US,D,20170908,000000,18.672,18.672,18.672,18.672,209,0
FTXD.US,D,20170911,000000,18.825,18.825,18.825,18.825,132,0
FTXD.US,D,20170912,000000,19.045,19.045,18.997,18.997,16321,0
FTXD.US,D,20170913,000000,19.101,19.101,19.101,19.101,100,0
FTXD.US,D,20170914,000000,19.035,19.035,19.016,19.016,380,0
FTXD.US,D,20170915,000000,19.073,19.128,19.073,19.128,726,0
FTXD.US,D,20170919,000000,18.997,18.997,18.997,18.997,126,0
FTXD.US,D,20170920,000000,18.96,18.96,18.96,18.96,209,0
FTXD.US,D,20170927,000000,19.079,19.117,19.079,19.117,208,0
FTXD.US,D,20170929,000000,19.116,19.116,19.116,19.116,1569,0
FTXD.US,D,20171003,000000,19.048,19.048,19.048,19.048,204,0
FTXD.US,D,20171010,000000,19.04,19.04,19.001,19.001,4170,0
FTXD.US,D,20171011,000000,18.966,18.966,18.966,18.966,590,0
FTXD.US,D,20171012,000000,18.79,18.944,18.79,18.934,3389,0
FTXD.US,D,20171016,000000,18.885,18.885,18.82,18.82,698,0
FTXD.US,D,20171017,000000,18.924,18.924,18.875,18.875,1059,0
FTXD.US,D,20171018,000000,18.944,18.954,18.944,18.954,770,0
FTXD.US,D,20171019,000000,18.805,18.805,18.693,18.693,785,0
FTXD.US,D,20171023,000000,19.186,19.186,19.144,19.144,490,0
FTXD.US,D,20171025,000000,19.164,19.164,19.164,19.164,155,0
FTXD.US,D,20171027,000000,18.856,18.856,18.856,18.856,208,0
FTXD.US,D,20171030,000000,18.805,18.824,18.805,18.824,519,0
FTXD.US,D,20171101,000000,18.914,18.914,18.914,18.914,270,0
FTXD.US,D,20171102,000000,18.82,18.82,18.82,18.82,111,0
FTXD.US,D,20171103,000000,18.997,18.997,18.997,18.997,123,0
FTXD.US,D,20171109,000000,18.751,18.798,18.751,18.798,574,0
FTXD.US,D,20171113,000000,19.164,19.164,19.164,19.164,159,0
FTXD.US,D,20171114,000000,19.173,19.173,19.173,19.173,1140,0
FTXD.US,D,20171115,000000,19.059,19.059,19.059,19.059,762,0
FTXD.US,D,20171116,000000,19.221,19.221,19.221,19.221,155,0
FTXD.US,D,20171120,000000,19.456,19.589,19.456,19.589,3705,0
FTXD.US,D,20171121,000000,19.608,19.608,19.438,19.493,2017,0
FTXD.US,D,20171122,000000,19.542,19.637,19.513,19.637,2320,0
FTXD.US,D,20171124,000000,19.638,19.658,19.573,19.579,1166,0
FTXD.US,D,20171127,000000,19.638,19.638,19.599,19.599,517,0
FTXD.US,D,20171128,000000,19.911,19.911,19.911,19.911,100,0
FTXD.US,D,20171129,000000,20.199,20.257,20.092,20.257,803,0
FTXD.US,D,20171130,000000,20.333,20.497,20.333,20.343,4280,0
FTXD.US,D,20171201,000000,20.342,20.342,19.975,19.975,515,0
FTXD.US,D,20171206,000000,20.507,20.517,20.507,20.517,2017,0
FTXD.US,D,20171207,000000,20.561,20.561,20.561,20.561,239,0
FTXD.US,D,20171213,000000,20.631,20.631,20.631,20.631,258,0
FTXD.US,D,20171215,000000,20.655,20.655,20.655,20.655,416,0
FTXD.US,D,20171218,000000,21.038,21.038,21.038,21.038,262,0
FTXD.US,D,20171221,000000,21.043,21.043,21.043,21.043,100,0
FTXD.US,D,20171222,000000,20.97,20.97,20.97,20.97,258,0
FTXD.US,D,20171227,000000,20.952,20.97,20.952,20.952,1037,0
FTXD.US,D,20171228,000000,20.912,20.96,20.912,20.96,3280,0
FTXD.US,D,20171229,000000,20.939,20.96,20.771,20.771,4644,0
FTXD.US,D,20180102,000000,20.872,20.996,20.872,20.996,936,0
FTXD.US,D,20180103,000000,21.069,21.143,21.069,21.143,4778,0
FTXD.US,D,20180104,000000,20.977,21.064,20.977,21.064,1529,0
FTXD.US,D,20180110,000000,21.337,21.443,21.268,21.395,3410,0
FTXD.US,D,20180117,000000,21.966,21.966,21.966,21.966,938,0
FTXD.US,D,20180118,000000,22.096,22.096,22.096,22.096,556,0
FTXD.US,D,20180119,000000,22.381,22.381,22.23,22.381,4469,0
FTXD.US,D,20180122,000000,22.645,22.645,22.645,22.645,2888,0
FTXD.US,D,20180123,000000,22.739,22.784,22.739,22.784,846,0
FTXD.US,D,20180124,000000,22.919,22.919,22.629,22.629,1085,0
FTXD.US,D,20180125,000000,22.671,22.769,22.671,22.72,2544,0
FTXD.US,D,20180126,000000,22.857,22.885,22.807,22.885,4684,0
FTXD.US,D,20180129,000000,23.177,23.177,23.026,23.08,7844,0
FTXD.US,D,20180130,000000,22.652,22.79,22.652,22.658,1110,0
FTXD.US,D,20180201,000000,22.032,22.537,22.032,22.48,1095,0
FTXD.US,D,20180202,000000,22.157,22.157,21.907,21.932,722,0
FTXD.US,D,20180205,000000,20.996,20.996,20.996,20.996,191,0
FTXD.US,D,20180206,000000,20.096,21.298,20.096,21.298,8918,0
FTXD.US,D,20180207,000000,21.727,21.727,21.532,21.532,301,0
FTXD.US,D,20180209,000000,20.637,20.637,20.637,20.637,227,0
FTXD.US,D,20180212,000000,21.044,21.062,21.044,21.062,622,0
FTXD.US,D,20180213,000000,21.064,21.064,21.064,21.064,159,0
FTXD.US,D,20180214,000000,21.563,21.563,21.563,21.563,257,0
FTXD.US,D,20180216,000000,21.966,21.996,21.907,21.907,2759,0
FTXD.US,D,20180220,000000,21.481,21.481,21.385,21.385,1077,0
FTXD.US,D,20180221,000000,21.525,21.531,21.405,21.405,667,0
FTXD.US,D,20180222,000000,21.442,21.442,21.395,21.414,1214,0
FTXD.US,D,20180223,000000,21.462,21.582,21.462,21.582,606,0
FTXD.US,D,20180226,000000,21.567,21.567,21.567,21.567,399,0
FTXD.US,D,20180227,000000,21.927,21.927,21.927,21.927,100,0
FTXD.US,D,20180228,000000,21.5,21.627,21.5,21.627,1770,0
FTXD.US,D,20180305,000000,21.405,21.405,21.405,21.405,277,0
FTXD.US,D,20180307,000000,21.283,21.283,21.283,21.283,532,0
FTXD.US,D,20180308,000000,21.158,21.158,21.158,21.158,1573,0
FTXD.US,D,20180309,000000,20.901,20.93,20.901,20.93,3367,0
FTXD.US,D,20180312,000000,21.084,21.109,21.084,21.109,252,0
FTXD.US,D,20180313,000000,21.026,21.026,21.026,21.026,117,0
FTXD.US,D,20180314,000000,20.905,20.905,20.905,20.905,865,0
FTXD.US,D,20180316,000000,20.921,20.935,20.921,20.935,373,0
FTXD.US,D,20180322,000000,20.463,20.463,20.384,20.384,567,0
FTXD.US,D,20180327,000000,20.346,20.346,20.346,20.346,242,0
FTXD.US,D,20180328,000000,20.017,20.086,20.017,20.086,253,0
FTXD.US,D,20180329,000000,20.262,20.262,20.262,20.262,1092,0
FTXD.US,D,20180402,000000,20.222,20.222,19.675,19.765,2641,0
FTXD.US,D,20180404,000000,20.232,20.232,20.232,20.232,413,0
FTXD.US,D,20180405,000000,20.377,20.377,20.377,20.377,259,0
FTXD.US,D,20180406,000000,20.184,20.184,20.184,20.184,339,0
FTXD.US,D,20180411,000000,20.28,20.285,20.28,20.285,257,0
FTXD.US,D,20180425,000000,20.401,20.401,20.392,20.392,344,0
FTXD.US,D,20180426,000000,20.565,20.565,20.565,20.565,257,0
FTXD.US,D,20180514,000000,20.883,20.883,20.883,20.883,781,0
FTXD.US,D,20180515,000000,20.874,20.874,20.874,20.874,235,0
FTXD.US,D,20180516,000000,21.066,21.172,21.036,21.172,4883,0
FTXD.US,D,20180517,000000,21.368,21.387,21.368,21.378,2782,0
FTXD.US,D,20180522,000000,20.855,20.855,20.841,20.841,743,0
FTXD.US,D,20180524,000000,20.87,20.87,20.87,20.87,851,0
FTXD.US,D,20180531,000000,20.971,20.971,20.971,20.971,1135,0
FTXD.US,D,20180607,000000,22.329,22.348,22.329,22.348,3939,0
FTXD.US,D,20180613,000000,22.532,22.532,22.532,22.532,1610,0
FTXD.US,D,20180614,000000,22.483,22.483,22.483,22.483,100,0
FTXD.US,D,20180615,000000,22.464,22.474,22.464,22.474,382,0
FTXD.US,D,20180619,000000,22.569,22.653,22.562,22.653,928,0
FTXD.US,D,20180620,000000,22.87,22.87,22.87,22.87,50144,0
FTXD.US,D,20180621,000000,22.964,22.964,22.913,22.913,329,0
FTXD.US,D,20180622,000000,22.932,22.932,22.932,22.932,135,0
FTXD.US,D,20180625,000000,22.535,22.535,22.535,22.535,136,0
FTXD.US,D,20180626,000000,22.47,22.552,22.47,22.552,620,0
FTXD.US,D,20180629,000000,22.26,22.26,22.26,22.26,274,0
FTXD.US,D,20180702,000000,21.717,21.932,21.717,21.932,375,0
FTXD.US,D,20180705,000000,22.268,22.268,22.268,22.268,467,0
FTXD.US,D,20180706,000000,22.262,22.262,22.262,22.262,9646,0
FTXD.US,D,20180710,000000,22.659,22.659,22.659,22.659,649,0
FTXD.US,D,20180718,000000,22.591,22.591,22.591,22.591,214,0
FTXD.US,D,20180724,000000,22.669,22.669,22.555,22.555,811,0
FTXD.US,D,20180731,000000,22.515,22.515,22.486,22.486,875,0
FTXD.US,D,20180801,000000,22.213,22.213,22.106,22.106,1755,0
FTXD.US,D,20180802,000000,22.239,22.239,22.239,22.239,1304,0
FTXD.US,D,20180806,000000,22.582,22.6,22.582,22.6,9057,0
FTXD.US,D,20180816,000000,23.001,23.001,23.001,23.001,110,0
FTXD.US,D,20180817,000000,23.223,23.223,23.223,23.223,4115,0
FTXD.US,D,20180820,000000,23.63,23.637,23.63,23.637,762,0
FTXD.US,D,20180821,000000,23.634,23.634,23.634,23.634,406,0
FTXD.US,D,20180822,000000,23.993,24.007,23.967,23.967,879,0
FTXD.US,D,20180823,000000,23.903,23.903,23.903,23.903,414,0
FTXD.US,D,20180824,000000,24.099,24.099,23.933,23.989,1552,0
FTXD.US,D,20180828,000000,23.943,23.943,23.886,23.886,510,0
FTXD.US,D,20180829,000000,23.863,23.863,23.863,23.863,515,0
FTXD.US,D,20180830,000000,23.807,23.835,23.807,23.835,500,0
FTXD.US,D,20180831,000000,23.875,23.973,23.875,23.973,390,0
FTXD.US,D,20180904,000000,23.963,24.069,23.963,24.062,806,0
FTXD.US,D,20180905,000000,24.012,24.079,23.995,23.995,2119,0
FTXD.US,D,20180907,000000,23.983,24.117,23.983,24.108,1085,0
FTXD.US,D,20180910,000000,24.105,24.105,24.105,24.105,352,0
FTXD.US,D,20180911,000000,24.275,24.294,24.226,24.226,1112,0
FTXD.US,D,20180912,000000,24.342,24.342,24.235,24.235,411,0
FTXD.US,D,20180913,000000,24.123,24.123,24.123,24.123,410,0
FTXD.US,D,20180914,000000,23.903,23.953,23.903,23.904,1235,0
FTXD.US,D,20180917,000000,23.796,23.796,23.735,23.735,377,0
FTXD.US,D,20180918,000000,23.858,23.858,23.858,23.858,823,0
FTXD.US,D,20180920,000000,23.788,23.832,23.788,23.832,1606,0
FTXD.US,D,20180921,000000,24.012,24.012,23.894,23.894,4741,0
FTXD.US,D,20180924,000000,23.913,23.918,23.663,23.663,10616,0
FTXD.US,D,20180925,000000,23.69,23.69,23.69,23.69,308,0
