<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FTXG.US,D,20161026,000000,18.623,18.692,18.621,18.687,11485,0
FTXG.US,D,20161027,000000,18.505,18.51,18.505,18.51,1788,0
FTXG.US,D,20161028,000000,18.623,18.723,18.623,18.723,42955,0
FTXG.US,D,20161031,000000,18.781,18.81,18.743,18.743,22057,0
FTXG.US,D,20161101,000000,18.844,18.844,18.686,18.733,4556,0
FTXG.US,D,20161102,000000,18.819,18.819,18.79,18.79,11643,0
FTXG.US,D,20161103,000000,18.713,18.713,18.525,18.528,105135,0
FTXG.US,D,20161104,000000,18.444,18.463,18.396,18.396,7763,0
FTXG.US,D,20161107,000000,18.701,18.702,18.668,18.676,2205,0
FTXG.US,D,20161108,000000,18.902,19.096,18.902,19.023,22355,0
FTXG.US,D,20161109,000000,18.491,18.696,18.491,18.651,12166,0
FTXG.US,D,20161110,000000,19.156,19.156,18.041,18.041,2654,0
FTXG.US,D,20161111,000000,17.984,18.013,17.885,17.885,2288,0
FTXG.US,D,20161114,000000,17.911,18.071,17.911,18.044,1702,0
FTXG.US,D,20161115,000000,18.163,18.163,18.163,18.163,373,0
FTXG.US,D,20161116,000000,18.163,18.207,18.163,18.207,3120,0
FTXG.US,D,20161117,000000,18.129,18.229,18.119,18.208,5024,0
FTXG.US,D,20161118,000000,18.196,18.208,18.154,18.201,6614,0
FTXG.US,D,20161121,000000,18.032,18.172,18.032,18.143,557,0
FTXG.US,D,20161122,000000,18.257,18.286,18.237,18.276,11198,0
FTXG.US,D,20161123,000000,18.256,18.256,18.246,18.246,240,0
FTXG.US,D,20161125,000000,18.229,18.305,18.181,18.305,2819,0
FTXG.US,D,20161128,000000,18.256,18.286,18.256,18.286,289,0
FTXG.US,D,20161130,000000,18.246,18.246,18.032,18.081,18024,0
FTXG.US,D,20161201,000000,17.833,17.834,17.831,17.834,1148,0
FTXG.US,D,20161202,000000,17.834,17.968,17.834,17.834,1130,0
FTXG.US,D,20161205,000000,17.96,17.96,17.96,17.96,278,0
FTXG.US,D,20161206,000000,18.066,18.088,18.066,18.087,773,0
FTXG.US,D,20161207,000000,18.236,18.236,18.236,18.236,208,0
FTXG.US,D,20161208,000000,18.463,18.473,18.444,18.462,3157,0
FTXG.US,D,20161209,000000,18.596,18.596,18.589,18.589,539,0
FTXG.US,D,20161212,000000,18.734,18.819,18.734,18.79,3504,0
FTXG.US,D,20161213,000000,18.931,18.931,18.839,18.867,3780,0
FTXG.US,D,20161214,000000,18.858,18.858,18.66,18.66,1509,0
FTXG.US,D,20161215,000000,18.723,18.875,18.723,18.781,8142,0
FTXG.US,D,20161216,000000,19.456,19.456,18.781,18.873,1382,0
FTXG.US,D,20161219,000000,18.79,18.828,18.785,18.827,7174,0
FTXG.US,D,20161220,000000,18.705,18.705,18.705,18.705,218,0
FTXG.US,D,20161222,000000,18.763,18.763,18.763,18.763,204,0
FTXG.US,D,20161223,000000,18.762,18.77,18.762,18.77,466,0
FTXG.US,D,20161227,000000,18.942,18.942,18.942,18.942,257,0
FTXG.US,D,20161228,000000,18.781,18.848,18.733,18.733,6045,0
FTXG.US,D,20161229,000000,18.742,18.782,18.742,18.781,9525,0
FTXG.US,D,20161230,000000,18.66,18.757,18.66,18.757,1859,0
FTXG.US,D,20170103,000000,18.8,18.848,18.771,18.848,38941,0
FTXG.US,D,20170104,000000,18.922,18.922,18.922,18.922,108,0
FTXG.US,D,20170105,000000,18.867,18.881,18.867,18.881,1012,0
FTXG.US,D,20170106,000000,19.004,19.004,18.819,18.819,554,0
FTXG.US,D,20170110,000000,18.519,18.519,18.473,18.473,429,0
FTXG.US,D,20170111,000000,18.5,18.5,18.5,18.5,16339,0
FTXG.US,D,20170112,000000,18.463,18.493,18.424,18.493,550,0
FTXG.US,D,20170113,000000,18.322,18.519,18.322,18.519,10179,0
FTXG.US,D,20170118,000000,18.713,18.781,18.709,18.781,4585,0
FTXG.US,D,20170119,000000,18.66,18.687,18.552,18.596,9001,0
FTXG.US,D,20170120,000000,18.696,18.696,18.558,18.558,1322,0
FTXG.US,D,20170123,000000,18.669,18.677,18.614,18.66,2005,0
FTXG.US,D,20170125,000000,18.885,18.942,18.848,18.903,4992,0
FTXG.US,D,20170126,000000,18.867,18.867,18.765,18.765,6473,0
FTXG.US,D,20170127,000000,18.771,18.771,18.733,18.733,1462,0
FTXG.US,D,20170131,000000,18.651,18.651,18.63,18.63,612,0
FTXG.US,D,20170201,000000,18.586,18.614,18.586,18.614,1487,0
FTXG.US,D,20170202,000000,18.828,18.828,18.812,18.812,606,0
FTXG.US,D,20170203,000000,18.858,19.014,18.858,19.004,2333,0
FTXG.US,D,20170206,000000,18.762,18.771,18.762,18.762,2701,0
FTXG.US,D,20170207,000000,18.858,18.858,18.858,18.858,199,0
FTXG.US,D,20170208,000000,18.894,18.894,18.875,18.875,412,0
FTXG.US,D,20170213,000000,19.062,19.166,19.062,19.149,3521,0
FTXG.US,D,20170214,000000,19.092,19.092,19.092,19.092,419,0
FTXG.US,D,20170215,000000,19.301,19.301,19.301,19.301,124,0
FTXG.US,D,20170216,000000,19.486,19.486,19.102,19.113,851,0
FTXG.US,D,20170221,000000,19.277,19.333,19.242,19.268,1845,0
FTXG.US,D,20170222,000000,19.268,19.298,19.243,19.268,1391,0
FTXG.US,D,20170223,000000,19.251,19.333,19.251,19.333,218,0
FTXG.US,D,20170224,000000,19.242,19.242,19.242,19.242,4586,0
FTXG.US,D,20170227,000000,19.197,19.204,19.176,19.204,571,0
FTXG.US,D,20170228,000000,19.412,19.412,19.412,19.412,332,0
FTXG.US,D,20170301,000000,19.455,19.455,19.455,19.455,412,0
FTXG.US,D,20170302,000000,19.449,19.449,19.421,19.421,430,0
FTXG.US,D,20170303,000000,19.372,19.372,19.372,19.372,183,0
FTXG.US,D,20170306,000000,19.319,19.319,19.319,19.319,376,0
FTXG.US,D,20170307,000000,19.524,19.524,19.198,19.198,527,0
FTXG.US,D,20170308,000000,19.159,19.159,19.12,19.121,1428,0
FTXG.US,D,20170309,000000,19.224,19.224,19.224,19.224,1046,0
FTXG.US,D,20170310,000000,19.321,19.321,19.321,19.321,198,0
FTXG.US,D,20170313,000000,19.323,19.323,19.287,19.287,631,0
FTXG.US,D,20170315,000000,19.382,19.58,19.382,19.58,2881,0
FTXG.US,D,20170317,000000,19.59,19.59,19.59,19.59,144,0
FTXG.US,D,20170320,000000,19.439,19.439,19.439,19.439,436,0
FTXG.US,D,20170321,000000,19.439,19.447,19.4,19.447,568,0
FTXG.US,D,20170322,000000,19.458,19.458,19.41,19.444,3210,0
FTXG.US,D,20170323,000000,19.504,19.542,19.494,19.494,2703,0
FTXG.US,D,20170324,000000,19.466,19.485,19.345,19.428,2745,0
FTXG.US,D,20170327,000000,19.361,19.383,19.361,19.383,719,0
FTXG.US,D,20170329,000000,19.504,19.532,19.504,19.532,602,0
FTXG.US,D,20170330,000000,19.475,19.475,19.466,19.466,2516,0
FTXG.US,D,20170331,000000,19.445,19.475,19.445,19.475,656,0
FTXG.US,D,20170405,000000,19.109,19.406,19.109,19.285,659,0
FTXG.US,D,20170406,000000,19.295,19.361,19.275,19.313,830,0
FTXG.US,D,20170407,000000,19.313,19.313,19.313,19.313,244,0
FTXG.US,D,20170410,000000,19.222,19.304,19.222,19.304,665,0
FTXG.US,D,20170411,000000,19.331,19.331,19.32,19.32,1134,0
FTXG.US,D,20170412,000000,19.402,19.402,19.371,19.371,1193,0
FTXG.US,D,20170413,000000,19.361,19.361,19.285,19.285,2220,0
FTXG.US,D,20170417,000000,19.331,19.38,19.331,19.38,236,0
FTXG.US,D,20170419,000000,19.499,19.499,19.499,19.499,116,0
FTXG.US,D,20170420,000000,19.466,19.589,19.466,19.542,2238,0
FTXG.US,D,20170421,000000,19.523,19.523,19.466,19.494,1408,0
FTXG.US,D,20170424,000000,19.295,19.542,19.295,19.542,297,0
FTXG.US,D,20170427,000000,19.361,19.361,19.351,19.351,1178,0
FTXG.US,D,20170501,000000,19.346,19.346,19.346,19.346,304,0
FTXG.US,D,20170502,000000,18.983,18.983,18.983,18.983,126,0
FTXG.US,D,20170503,000000,18.787,18.855,18.769,18.778,3854,0
FTXG.US,D,20170504,000000,18.855,19.002,18.855,18.985,7801,0
FTXG.US,D,20170509,000000,18.984,18.984,18.959,18.959,287,0
FTXG.US,D,20170510,000000,18.929,18.966,18.896,18.966,1263,0
FTXG.US,D,20170511,000000,18.9,18.929,18.835,18.929,1513,0
