<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FTXH.US,D,20161003,000000,19.185,19.213,19.185,19.213,521,0
FTXH.US,D,20161006,000000,19.03,19.03,19.01,19.01,998,0
FTXH.US,D,20161011,000000,18.867,18.867,18.782,18.782,1145,0
FTXH.US,D,20161014,000000,18.359,18.359,18.359,18.359,529,0
FTXH.US,D,20161020,000000,18.379,18.379,18.377,18.377,2239,0
FTXH.US,D,20161021,000000,18.462,18.462,18.462,18.462,1048,0
FTXH.US,D,20161031,000000,17.414,17.414,17.414,17.414,287,0
FTXH.US,D,20161101,000000,17.414,17.414,17.393,17.393,232,0
FTXH.US,D,20161102,000000,17.5,17.5,17.346,17.368,412,0
FTXH.US,D,20161109,000000,17.802,18.263,17.802,18.224,3247,0
FTXH.US,D,20161110,000000,18.511,18.55,18.483,18.521,516,0
FTXH.US,D,20161111,000000,18.549,18.549,18.511,18.521,3212,0
FTXH.US,D,20161115,000000,18.631,18.631,18.631,18.631,1130,0
FTXH.US,D,20161116,000000,18.53,18.53,18.377,18.377,905,0
FTXH.US,D,20161118,000000,18.398,18.406,18.397,18.406,6292,0
FTXH.US,D,20161121,000000,18.363,18.363,18.363,18.363,542,0
FTXH.US,D,20161122,000000,18.282,18.282,18.282,18.282,704,0
FTXH.US,D,20161123,000000,17.724,18.175,17.724,18.175,1059,0
FTXH.US,D,20161128,000000,18.108,18.108,18.098,18.098,3215,0
FTXH.US,D,20161129,000000,18,18,18,18,442,0
FTXH.US,D,20161130,000000,17.933,17.933,17.933,17.933,173,0
FTXH.US,D,20161202,000000,17.587,17.587,17.587,17.587,107,0
FTXH.US,D,20161205,000000,17.848,17.848,17.744,17.744,2088,0
FTXH.US,D,20161207,000000,17.587,17.587,17.376,17.376,1516,0
FTXH.US,D,20161208,000000,18.501,18.501,17.445,17.548,8854,0
FTXH.US,D,20161209,000000,18.254,18.254,17.714,17.714,7951,0
FTXH.US,D,20161212,000000,18.126,18.126,17.734,17.734,314,0
FTXH.US,D,20161213,000000,17.866,17.866,17.866,17.866,438,0
FTXH.US,D,20161214,000000,17.812,17.812,17.656,17.656,1675,0
FTXH.US,D,20161215,000000,17.904,18,17.895,18,2207,0
FTXH.US,D,20161219,000000,17.904,17.904,17.904,17.904,100,0
FTXH.US,D,20161222,000000,17.718,17.718,17.708,17.708,571,0
FTXH.US,D,20161230,000000,17.708,17.708,17.679,17.679,483,0
FTXH.US,D,20170104,000000,18.506,18.506,18.17,18.324,1367,0
FTXH.US,D,20170106,000000,18.457,18.457,18.411,18.411,3262,0
FTXH.US,D,20170109,000000,18.516,18.739,18.516,18.739,6943,0
FTXH.US,D,20170110,000000,18.661,18.661,18.516,18.611,6291,0
FTXH.US,D,20170111,000000,18.556,18.615,18.041,18.041,3038,0
FTXH.US,D,20170112,000000,18.516,18.516,18.068,18.068,5576,0
FTXH.US,D,20170113,000000,18.486,18.486,18.459,18.459,204,0
FTXH.US,D,20170118,000000,18.267,18.277,18.16,18.277,7884,0
FTXH.US,D,20170119,000000,18.393,18.393,18.151,18.151,2178,0
FTXH.US,D,20170120,000000,18.089,18.089,18.089,18.089,270,0
FTXH.US,D,20170123,000000,17.927,17.927,17.83,17.83,334,0
FTXH.US,D,20170126,000000,17.793,17.793,17.793,17.793,100,0
FTXH.US,D,20170130,000000,17.708,17.708,17.679,17.679,270,0
FTXH.US,D,20170131,000000,17.759,18.083,17.759,18.083,495,0
FTXH.US,D,20170203,000000,18.314,18.466,18.314,18.466,2427,0
FTXH.US,D,20170206,000000,18.467,18.503,18.467,18.486,1899,0
FTXH.US,D,20170207,000000,18.516,18.535,18.405,18.407,2256,0
FTXH.US,D,20170208,000000,18.403,18.506,18.398,18.506,1349,0
FTXH.US,D,20170209,000000,18.617,18.617,18.617,18.617,164,0
FTXH.US,D,20170213,000000,18.662,18.709,18.662,18.709,246,0
FTXH.US,D,20170214,000000,18.603,18.603,18.603,18.603,313,0
FTXH.US,D,20170215,000000,18.709,19.242,18.709,19.242,2123,0
FTXH.US,D,20170216,000000,19.395,19.395,19.046,19.085,1867,0
