<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FTXL.US,D,20161005,000000,20.28,20.28,20.262,20.262,721,0
FTXL.US,D,20161006,000000,20.368,20.368,20.252,20.252,1395,0
FTXL.US,D,20161011,000000,19.71,19.71,19.546,19.593,4536,0
FTXL.US,D,20161013,000000,19.399,19.399,19.359,19.359,3561,0
FTXL.US,D,20161014,000000,19.485,19.485,19.485,19.485,2577,0
FTXL.US,D,20161017,000000,19.457,19.457,19.339,19.339,5394,0
FTXL.US,D,20161018,000000,19.603,19.603,19.603,19.603,5155,0
FTXL.US,D,20161019,000000,19.466,19.466,19.466,19.466,100,0
FTXL.US,D,20161020,000000,19.543,19.543,19.543,19.543,100,0
FTXL.US,D,20161025,000000,19.844,19.844,19.844,19.844,100,0
FTXL.US,D,20161026,000000,19.768,19.816,19.758,19.816,10544,0
FTXL.US,D,20161027,000000,19.681,19.739,19.349,19.359,5263,0
FTXL.US,D,20161028,000000,19.514,19.603,19.486,19.514,41131,0
FTXL.US,D,20161031,000000,19.437,19.437,19.419,19.419,19405,0
FTXL.US,D,20161101,000000,19.253,19.333,19.06,19.297,16271,0
FTXL.US,D,20161102,000000,19.389,19.389,19.149,19.149,11941,0
FTXL.US,D,20161103,000000,19.233,19.272,19.099,19.144,87380,0
FTXL.US,D,20161104,000000,19.167,19.263,19.129,19.129,15365,0
FTXL.US,D,20161107,000000,19.399,19.651,19.389,19.651,8265,0
FTXL.US,D,20161108,000000,19.621,19.874,19.573,19.814,21990,0
FTXL.US,D,20161109,000000,19.814,19.903,19.321,19.874,17584,0
FTXL.US,D,20161110,000000,20.892,20.892,19.379,19.548,109498,0
FTXL.US,D,20161111,000000,19.495,19.903,19.485,19.903,2998,0
FTXL.US,D,20161114,000000,20.05,20.069,19.903,19.944,2425,0
FTXL.US,D,20161115,000000,20.069,20.349,20.04,20.349,12223,0
FTXL.US,D,20161116,000000,20.418,20.525,20.302,20.339,26672,0
FTXL.US,D,20161117,000000,20.691,20.793,20.584,20.709,6175,0
FTXL.US,D,20161118,000000,21.223,21.223,20.662,20.825,14924,0
FTXL.US,D,20161121,000000,21.076,21.124,20.907,20.907,4294,0
FTXL.US,D,20161122,000000,21.203,21.347,21.095,21.134,15906,0
FTXL.US,D,20161123,000000,21.587,21.587,21.27,21.357,3121,0
FTXL.US,D,20161125,000000,21.357,21.416,21.357,21.416,2613,0
FTXL.US,D,20161128,000000,21.384,21.416,21.384,21.397,682,0
FTXL.US,D,20161129,000000,21.27,21.337,21.223,21.223,3994,0
FTXL.US,D,20161130,000000,21.213,21.252,21.114,21.114,2082,0
FTXL.US,D,20161201,000000,20.88,20.88,19.903,19.922,1930,0
FTXL.US,D,20161202,000000,20.128,20.194,20.128,20.194,863,0
FTXL.US,D,20161205,000000,20.515,20.525,20.505,20.505,716,0
FTXL.US,D,20161206,000000,20.813,20.911,20.691,20.9,2099,0
FTXL.US,D,20161207,000000,21.01,21.366,21.009,21.366,1557,0
FTXL.US,D,20161208,000000,21.63,21.881,21.537,21.852,4539,0
FTXL.US,D,20161209,000000,21.714,21.81,21.684,21.81,5073,0
FTXL.US,D,20161212,000000,21.552,21.745,21.532,21.669,4922,0
FTXL.US,D,20161213,000000,21.949,22.056,21.862,22.036,13740,0
FTXL.US,D,20161214,000000,21.998,21.998,21.91,21.92,2226,0
FTXL.US,D,20161215,000000,22.405,22.54,22.345,22.365,12143,0
FTXL.US,D,20161216,000000,22.736,22.736,22.114,22.154,29531,0
FTXL.US,D,20161219,000000,22.457,22.493,22.365,22.414,5472,0
FTXL.US,D,20161220,000000,22.541,22.581,22.527,22.536,3788,0
FTXL.US,D,20161221,000000,22.627,22.685,22.587,22.607,5070,0
FTXL.US,D,20161222,000000,22.82,22.82,22.65,22.656,1570,0
FTXL.US,D,20161223,000000,22.656,22.676,22.627,22.627,1483,0
FTXL.US,D,20161227,000000,23.14,23.14,22.908,23.005,12720,0
FTXL.US,D,20161228,000000,22.946,22.946,22.68,22.68,10079,0
FTXL.US,D,20161229,000000,22.522,22.522,22.48,22.48,727,0
FTXL.US,D,20161230,000000,22.548,22.548,22.362,22.362,1821,0
FTXL.US,D,20170103,000000,22.49,22.49,22.228,22.307,39901,0
FTXL.US,D,20170104,000000,22.392,22.467,22.382,22.41,11932,0
FTXL.US,D,20170105,000000,22.878,22.878,22.247,22.262,1599,0
FTXL.US,D,20170106,000000,22.332,22.332,22.293,22.293,728,0
FTXL.US,D,20170109,000000,22.57,22.57,22.525,22.525,3412,0
FTXL.US,D,20170110,000000,22.573,22.587,22.573,22.579,1026,0
FTXL.US,D,20170111,000000,22.676,22.782,22.676,22.676,15248,0
FTXL.US,D,20170112,000000,22.568,22.568,22.313,22.538,565,0
FTXL.US,D,20170113,000000,22.238,22.849,22.238,22.8,14541,0
FTXL.US,D,20170117,000000,22.423,22.423,22.402,22.402,354,0
FTXL.US,D,20170118,000000,22.548,22.715,22.521,22.627,2792,0
FTXL.US,D,20170119,000000,22.754,22.772,22.477,22.478,15802,0
FTXL.US,D,20170120,000000,22.783,22.868,22.685,22.715,5115,0
FTXL.US,D,20170123,000000,22.5,22.617,22.5,22.607,808,0
FTXL.US,D,20170124,000000,22.84,23.087,22.84,23.082,1225,0
FTXL.US,D,20170125,000000,23.743,23.743,23.286,23.411,38380,0
FTXL.US,D,20170126,000000,23.783,23.783,23.176,23.222,7180,0
FTXL.US,D,20170127,000000,23.43,23.558,23.43,23.548,28716,0
FTXL.US,D,20170130,000000,23.636,23.636,23.187,23.382,2261,0
FTXL.US,D,20170131,000000,23.267,23.267,22.956,23.1,5885,0
FTXL.US,D,20170201,000000,23.421,23.421,23.14,23.365,13781,0
FTXL.US,D,20170202,000000,23.267,23.374,23.227,23.287,4719,0
FTXL.US,D,20170203,000000,23.402,23.46,23.402,23.46,5883,0
FTXL.US,D,20170206,000000,23.45,23.45,23.38,23.421,1720,0
FTXL.US,D,20170207,000000,23.558,23.616,23.402,23.499,6567,0
FTXL.US,D,20170208,000000,23.644,23.654,23.48,23.554,4093,0
FTXL.US,D,20170209,000000,23.558,23.616,23.47,23.47,5936,0
FTXL.US,D,20170210,000000,23.48,23.616,23.355,23.548,5425,0
FTXL.US,D,20170213,000000,23.875,23.875,23.649,23.664,5815,0
FTXL.US,D,20170214,000000,23.597,23.654,23.476,23.654,4331,0
FTXL.US,D,20170215,000000,23.713,23.879,23.654,23.85,4260,0
FTXL.US,D,20170216,000000,23.85,23.85,23.607,23.691,6583,0
FTXL.US,D,20170217,000000,23.237,23.86,23.237,23.833,7070,0
FTXL.US,D,20170221,000000,24.132,24.19,24.072,24.189,1625,0
FTXL.US,D,20170222,000000,24.218,24.218,24.1,24.1,6265,0
FTXL.US,D,20170223,000000,24.286,24.286,23.43,23.616,10720,0
FTXL.US,D,20170224,000000,23.307,23.528,23.307,23.528,7436,0
FTXL.US,D,20170227,000000,23.509,23.773,23.48,23.773,4989,0
