<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FTXN.US,D,20161116,000000,19.311,19.311,19.202,19.202,8310,0
FTXN.US,D,20161117,000000,19.429,19.429,19.429,19.429,372,0
FTXN.US,D,20161121,000000,19.641,19.641,19.641,19.641,330,0
FTXN.US,D,20161123,000000,19.87,19.87,19.82,19.833,2246,0
FTXN.US,D,20161130,000000,20.107,20.239,19.996,20.239,2982,0
FTXN.US,D,20161201,000000,21.213,21.213,20.391,20.412,1653,0
FTXN.US,D,20161205,000000,20.717,20.717,20.717,20.717,2955,0
FTXN.US,D,20161206,000000,20.463,20.599,20.463,20.59,2201,0
FTXN.US,D,20161208,000000,20.625,20.648,20.625,20.648,1750,0
FTXN.US,D,20161212,000000,20.746,20.746,20.746,20.746,546,0
FTXN.US,D,20161213,000000,20.902,20.902,20.723,20.902,3810,0
FTXN.US,D,20161214,000000,21.122,21.122,21.122,21.122,461,0
FTXN.US,D,20161215,000000,20.414,20.515,20.414,20.515,600,0
FTXN.US,D,20161219,000000,20.866,20.866,20.454,20.51,8970,0
FTXN.US,D,20161220,000000,20.811,20.811,20.494,20.494,2205,0
FTXN.US,D,20161221,000000,20.558,20.558,20.486,20.486,574,0
FTXN.US,D,20161222,000000,20.575,20.575,20.566,20.566,252,0
FTXN.US,D,20161223,000000,20.74,20.74,20.74,20.74,437,0
FTXN.US,D,20161229,000000,20.319,20.319,20.193,20.193,351,0
FTXN.US,D,20170104,000000,20.494,20.593,20.494,20.593,589,0
FTXN.US,D,20170110,000000,20.135,20.135,20.021,20.021,3168,0
FTXN.US,D,20170117,000000,20.1,20.1,20.054,20.054,1790,0
FTXN.US,D,20170118,000000,20.073,20.073,20.073,20.073,925,0
FTXN.US,D,20170119,000000,20.073,20.073,20.047,20.047,437,0
FTXN.US,D,20170123,000000,19.787,19.787,19.787,19.787,2184,0
FTXN.US,D,20170126,000000,20.337,20.337,20.337,20.337,1010,0
FTXN.US,D,20170130,000000,19.677,19.677,19.677,19.677,763,0
FTXN.US,D,20170202,000000,19.548,19.559,19.537,19.537,611,0
FTXN.US,D,20170203,000000,19.787,19.787,19.764,19.764,502,0
FTXN.US,D,20170206,000000,19.506,19.506,19.506,19.506,982,0
FTXN.US,D,20170213,000000,19.669,19.722,19.669,19.709,4972,0
FTXN.US,D,20170214,000000,19.825,19.825,19.825,19.825,1244,0
FTXN.US,D,20170215,000000,19.825,19.825,19.781,19.781,1704,0
FTXN.US,D,20170216,000000,19.593,19.593,19.593,19.593,417,0
FTXN.US,D,20170221,000000,19.569,19.569,19.569,19.569,109,0
FTXN.US,D,20170222,000000,19.358,19.358,19.325,19.325,437,0
FTXN.US,D,20170223,000000,19.111,19.141,19.111,19.141,1636,0
FTXN.US,D,20170224,000000,19.036,19.036,19.036,19.036,1244,0
FTXN.US,D,20170301,000000,19.706,19.71,19.706,19.71,508,0
FTXN.US,D,20170303,000000,19.401,19.401,19.401,19.401,134,0
FTXN.US,D,20170306,000000,19.296,19.296,19.296,19.296,191,0
FTXN.US,D,20170308,000000,18.832,18.832,18.652,18.652,1033,0
FTXN.US,D,20170309,000000,18.469,18.469,18.443,18.443,245,0
FTXN.US,D,20170315,000000,18.838,18.882,18.838,18.882,749,0
FTXN.US,D,20170320,000000,18.681,18.681,18.681,18.681,486,0
FTXN.US,D,20170321,000000,18.582,18.582,18.582,18.582,109,0
FTXN.US,D,20170322,000000,18.469,18.478,18.469,18.478,763,0
FTXN.US,D,20170323,000000,18.435,18.645,18.416,18.645,1683,0
FTXN.US,D,20170327,000000,18.212,18.212,18.206,18.206,324,0
FTXN.US,D,20170328,000000,18.459,18.459,18.459,18.459,170,0
FTXN.US,D,20170329,000000,18.894,18.894,18.894,18.894,574,0
FTXN.US,D,20170403,000000,18.95,18.95,18.95,18.95,125,0
FTXN.US,D,20170406,000000,19.153,19.153,19.153,19.153,683,0
FTXN.US,D,20170407,000000,19.198,19.207,19.198,19.207,624,0
FTXN.US,D,20170419,000000,17.917,17.917,17.917,17.917,220,0
FTXN.US,D,20170424,000000,18.072,18.118,18.072,18.118,515,0
FTXN.US,D,20170426,000000,18.406,18.406,18.306,18.306,220,0
FTXN.US,D,20170428,000000,17.946,17.946,17.946,17.946,112,0
FTXN.US,D,20170501,000000,17.789,17.835,17.789,17.835,1164,0
FTXN.US,D,20170503,000000,17.633,17.633,17.607,17.607,1315,0
FTXN.US,D,20170504,000000,17.328,17.51,17.328,17.443,532,0
FTXN.US,D,20170505,000000,17.394,17.487,17.394,17.487,220,0
FTXN.US,D,20170508,000000,17.734,17.734,17.71,17.71,811,0
FTXN.US,D,20170509,000000,17.568,17.568,17.548,17.548,1628,0
FTXN.US,D,20170510,000000,17.734,17.928,17.734,17.928,1330,0
FTXN.US,D,20170511,000000,17.871,17.881,17.798,17.798,4563,0
FTXN.US,D,20170515,000000,17.986,17.986,17.986,17.986,244,0
FTXN.US,D,20170518,000000,17.578,17.578,17.578,17.578,1987,0
FTXN.US,D,20170522,000000,17.843,17.843,17.843,17.843,271,0
FTXN.US,D,20170523,000000,17.759,17.759,17.759,17.759,270,0
FTXN.US,D,20170524,000000,17.572,17.572,17.572,17.572,109,0
FTXN.US,D,20170525,000000,17.625,17.657,17.123,17.123,2441,0
FTXN.US,D,20170526,000000,17.043,17.076,17.043,17.076,976,0
FTXN.US,D,20170602,000000,16.592,16.592,16.582,16.582,9360,0
FTXN.US,D,20170605,000000,16.711,16.711,16.637,16.637,69952,0
FTXN.US,D,20170606,000000,16.606,16.73,16.555,16.73,15932,0
FTXN.US,D,20170608,000000,16.331,16.343,16.297,16.297,2565,0
FTXN.US,D,20170609,000000,16.371,16.767,16.371,16.767,3776,0
FTXN.US,D,20170613,000000,17.052,17.052,17.052,17.052,220,0
FTXN.US,D,20170614,000000,16.582,16.582,16.582,16.582,107,0
FTXN.US,D,20170616,000000,16.353,16.572,16.325,16.572,7871,0
FTXN.US,D,20170619,000000,16.611,16.611,16.582,16.582,5450,0
FTXN.US,D,20170620,000000,16.224,16.252,16.209,16.252,1203,0
FTXN.US,D,20170622,000000,16.093,16.093,16.093,16.093,561,0
FTXN.US,D,20170623,000000,15.89,16.139,15.89,16.093,7601,0
FTXN.US,D,20170626,000000,16.261,16.287,16.214,16.287,2056,0
FTXN.US,D,20170627,000000,16.309,16.309,16.309,16.309,1497,0
FTXN.US,D,20170630,000000,16.522,16.527,16.508,16.527,2897,0
FTXN.US,D,20170703,000000,16.812,16.812,16.812,16.812,107,0
FTXN.US,D,20170705,000000,16.518,16.518,16.445,16.445,389,0
FTXN.US,D,20170706,000000,16.306,16.306,16.306,16.306,182,0
FTXN.US,D,20170710,000000,16.399,16.399,16.374,16.399,4003,0
FTXN.US,D,20170712,000000,16.516,16.516,16.516,16.516,182,0
FTXN.US,D,20170713,000000,16.465,16.465,16.445,16.445,1788,0
FTXN.US,D,20170714,000000,16.518,16.546,16.518,16.538,11358,0
FTXN.US,D,20170717,000000,16.685,16.685,16.608,16.608,2012,0
FTXN.US,D,20170718,000000,16.685,16.685,16.488,16.491,2811,0
FTXN.US,D,20170719,000000,16.746,16.788,16.746,16.788,4448,0
FTXN.US,D,20170720,000000,16.879,16.879,16.739,16.739,3313,0
FTXN.US,D,20170721,000000,16.638,16.638,16.638,16.638,227,0
FTXN.US,D,20170724,000000,16.528,16.534,16.518,16.528,2209,0
FTXN.US,D,20170725,000000,16.879,16.898,16.826,16.871,4340,0
FTXN.US,D,20170726,000000,16.884,16.884,16.884,16.884,109,0
FTXN.US,D,20170727,000000,16.826,16.871,16.807,16.871,4795,0
FTXN.US,D,20170802,000000,16.927,16.927,16.927,16.927,107,0
FTXN.US,D,20170803,000000,16.57,16.57,16.57,16.57,187,0
