<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FTXO.US,D,20161011,000000,18.268,18.268,18.181,18.181,3705,0
FTXO.US,D,20161013,000000,17.814,17.814,17.814,17.814,2805,0
FTXO.US,D,20161014,000000,17.912,17.912,17.912,17.912,2805,0
FTXO.US,D,20161017,000000,17.781,17.789,17.781,17.789,5610,0
FTXO.US,D,20161018,000000,17.939,17.948,17.939,17.948,5610,0
FTXO.US,D,20161019,000000,18.406,18.406,18.397,18.397,508,0
FTXO.US,D,20161020,000000,18.518,18.518,18.484,18.484,269,0
FTXO.US,D,20161025,000000,18.571,18.626,18.557,18.626,1013,0
FTXO.US,D,20161026,000000,18.645,18.778,18.645,18.778,448,0
FTXO.US,D,20161027,000000,19.606,19.606,18.75,18.943,1796,0
FTXO.US,D,20161028,000000,18.831,18.831,18.699,18.699,652,0
FTXO.US,D,20161102,000000,18.51,18.51,18.439,18.439,560,0
FTXO.US,D,20161103,000000,18.582,18.582,18.582,18.582,560,0
FTXO.US,D,20161108,000000,18.936,18.94,18.936,18.94,1739,0
FTXO.US,D,20161109,000000,19.956,19.956,19.928,19.928,1178,0
FTXO.US,D,20161110,000000,20.672,20.72,20.303,20.705,12196,0
FTXO.US,D,20161111,000000,21.577,21.577,20.574,20.961,3121,0
FTXO.US,D,20161114,000000,21.619,22.289,21.302,21.486,43463,0
FTXO.US,D,20161115,000000,23.322,23.322,21.096,21.543,21175,0
FTXO.US,D,20161116,000000,21.32,21.32,21.129,21.183,26306,0
FTXO.US,D,20161117,000000,21.379,21.55,21.363,21.49,174155,0
FTXO.US,D,20161118,000000,21.543,21.768,21.363,21.754,39558,0
FTXO.US,D,20161121,000000,22.149,22.149,21.498,21.684,40798,0
FTXO.US,D,20161122,000000,21.834,22.226,21.61,21.751,72844,0
FTXO.US,D,20161123,000000,21.817,21.924,21.817,21.896,8505,0
FTXO.US,D,20161125,000000,22.067,22.067,21.861,21.943,11419,0
FTXO.US,D,20161128,000000,21.692,21.692,21.557,21.557,1682,0
FTXO.US,D,20161129,000000,21.646,21.746,21.602,21.606,6239,0
FTXO.US,D,20161130,000000,21.951,22.268,21.951,22.058,4758,0
FTXO.US,D,20161201,000000,22.742,22.742,22.205,22.407,24781,0
FTXO.US,D,20161202,000000,22.129,22.318,22.129,22.217,3296,0
FTXO.US,D,20161205,000000,22.473,22.507,22.396,22.396,3960,0
FTXO.US,D,20161206,000000,23.08,23.08,22.484,22.802,7600,0
FTXO.US,D,20161207,000000,23.241,23.241,22.71,23.048,6500,0
FTXO.US,D,20161208,000000,23.137,23.474,23.123,23.403,9248,0
FTXO.US,D,20161209,000000,23.222,23.385,23.181,23.359,13346,0
FTXO.US,D,20161212,000000,23.293,23.368,22.975,23.029,6750,0
