<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FTXR.US,D,20161116,000000,20.705,20.764,20.705,20.748,665,0
FTXR.US,D,20161117,000000,20.934,20.934,20.934,20.934,101,0
FTXR.US,D,20161118,000000,20.979,20.988,20.972,20.988,863,0
FTXR.US,D,20161121,000000,21.086,21.086,21.083,21.083,1051,0
FTXR.US,D,20161122,000000,21.115,21.115,21.1,21.1,714,0
FTXR.US,D,20161123,000000,21.258,21.306,21.244,21.306,4275,0
FTXR.US,D,20161128,000000,21.426,21.426,21.268,21.274,731,0
FTXR.US,D,20161129,000000,21.316,21.316,21.316,21.316,209,0
FTXR.US,D,20161130,000000,21.452,21.455,21.443,21.447,1000,0
FTXR.US,D,20161201,000000,21.667,21.667,21.644,21.644,420,0
FTXR.US,D,20161202,000000,21.693,21.693,21.459,21.459,2841,0
FTXR.US,D,20161206,000000,21.59,21.771,21.59,21.771,1096,0
FTXR.US,D,20161207,000000,21.911,22.359,21.911,22.351,1838,0
FTXR.US,D,20161208,000000,22.389,22.433,22.381,22.433,316,0
FTXR.US,D,20161212,000000,22.52,22.52,22.349,22.349,234,0
FTXR.US,D,20161213,000000,22.292,22.303,22.292,22.303,216,0
FTXR.US,D,20161215,000000,22.208,22.208,22.208,22.208,211,0
FTXR.US,D,20161216,000000,22.045,22.096,22.045,22.093,716,0
FTXR.US,D,20161219,000000,22.045,22.045,22.027,22.045,739,0
FTXR.US,D,20161220,000000,22.255,22.255,22.232,22.232,1681,0
FTXR.US,D,20161221,000000,22.22,22.258,22.22,22.232,11133,0
FTXR.US,D,20161222,000000,22,22,22,22,872,0
FTXR.US,D,20161227,000000,22.068,22.068,22.048,22.048,315,0
FTXR.US,D,20161228,000000,21.848,21.848,21.848,21.848,102,0
FTXR.US,D,20161229,000000,21.672,21.695,21.672,21.695,851,0
FTXR.US,D,20161230,000000,21.594,21.598,21.594,21.598,340,0
FTXR.US,D,20170103,000000,21.591,21.591,21.59,21.59,1156,0
FTXR.US,D,20170105,000000,21.933,21.933,21.933,21.933,101,0
FTXR.US,D,20170106,000000,21.777,21.83,21.777,21.83,922,0
FTXR.US,D,20170110,000000,22.048,22.048,22.048,22.048,315,0
FTXR.US,D,20170111,000000,22.217,22.217,22.217,22.217,101,0
FTXR.US,D,20170113,000000,22.167,22.172,22.167,22.172,315,0
FTXR.US,D,20170117,000000,22.01,22.018,22.01,22.018,456,0
FTXR.US,D,20170118,000000,21.965,21.965,21.965,21.965,101,0
FTXR.US,D,20170119,000000,22.211,22.363,22.124,22.124,1656,0
FTXR.US,D,20170123,000000,22.086,22.086,22.079,22.079,530,0
FTXR.US,D,20170125,000000,22.62,22.778,22.62,22.778,315,0
FTXR.US,D,20170126,000000,22.734,22.808,22.734,22.808,1125,0
FTXR.US,D,20170127,000000,22.588,22.588,22.588,22.588,264,0
FTXR.US,D,20170131,000000,22.027,22.048,22.027,22.048,315,0
FTXR.US,D,20170201,000000,22.169,22.169,21.908,21.908,634,0
FTXR.US,D,20170202,000000,21.803,21.803,21.788,21.788,315,0
FTXR.US,D,20170203,000000,22.035,22.089,22.035,22.089,1207,0
FTXR.US,D,20170206,000000,22.086,22.086,22.073,22.073,211,0
FTXR.US,D,20170208,000000,21.99,21.99,21.99,21.99,573,0
FTXR.US,D,20170209,000000,22.258,22.273,22.258,22.273,550,0
FTXR.US,D,20170210,000000,22.325,22.325,22.325,22.325,101,0
FTXR.US,D,20170215,000000,22.755,22.755,22.755,22.755,1049,0
FTXR.US,D,20170216,000000,22.627,22.627,22.627,22.627,211,0
FTXR.US,D,20170217,000000,22.62,22.7,22.507,22.7,3239,0
FTXR.US,D,20170221,000000,22.845,22.847,22.78,22.847,2036,0
FTXR.US,D,20170222,000000,22.697,22.697,22.697,22.697,414,0
FTXR.US,D,20170224,000000,22.459,22.563,22.456,22.563,1937,0
FTXR.US,D,20170227,000000,22.62,22.669,22.62,22.669,939,0
FTXR.US,D,20170228,000000,22.534,22.534,22.524,22.524,335,0
FTXR.US,D,20170301,000000,23.009,23.009,23.001,23.001,488,0
FTXR.US,D,20170302,000000,22.688,22.688,22.65,22.65,419,0
FTXR.US,D,20170303,000000,22.742,22.761,22.742,22.761,1519,0
FTXR.US,D,20170306,000000,22.469,22.515,22.469,22.515,648,0
FTXR.US,D,20170307,000000,22.488,22.488,22.488,22.488,101,0
FTXR.US,D,20170309,000000,22.327,22.327,22.161,22.161,3281,0
FTXR.US,D,20170313,000000,22.248,22.248,22.241,22.241,424,0
FTXR.US,D,20170315,000000,22,22.058,22,22.058,1681,0
FTXR.US,D,20170321,000000,21.933,21.933,21.428,21.428,690,0
FTXR.US,D,20170322,000000,21.365,21.428,21.355,21.428,1197,0
FTXR.US,D,20170327,000000,21.469,21.469,21.469,21.469,928,0
FTXR.US,D,20170329,000000,21.777,21.787,21.777,21.787,838,0
FTXR.US,D,20170403,000000,21.545,21.545,21.545,21.545,106,0
FTXR.US,D,20170405,000000,21.697,21.697,21.685,21.685,681,0
FTXR.US,D,20170406,000000,21.526,21.535,21.526,21.531,1650,0
FTXR.US,D,20170407,000000,21.449,21.449,21.449,21.449,210,0
FTXR.US,D,20170411,000000,21.449,21.603,21.449,21.603,660,0
FTXR.US,D,20170412,000000,21.564,21.564,21.564,21.564,293,0
FTXR.US,D,20170413,000000,21.516,21.516,21.516,21.516,526,0
FTXR.US,D,20170417,000000,21.383,21.506,21.383,21.506,696,0
FTXR.US,D,20170418,000000,21.449,21.449,21.318,21.42,1067,0
FTXR.US,D,20170419,000000,21.661,21.661,21.632,21.632,2020,0
FTXR.US,D,20170420,000000,21.984,22.034,21.96,21.965,6953,0
FTXR.US,D,20170421,000000,22.014,22.014,21.965,21.965,705,0
FTXR.US,D,20170424,000000,22.253,22.253,22.253,22.253,546,0
FTXR.US,D,20170425,000000,22.389,22.389,22.381,22.381,892,0
FTXR.US,D,20170426,000000,22.398,22.407,22.389,22.389,1348,0
FTXR.US,D,20170427,000000,22.109,22.215,22.08,22.215,8191,0
FTXR.US,D,20170428,000000,22.263,22.263,22.071,22.071,1973,0
FTXR.US,D,20170502,000000,21.965,21.984,21.965,21.984,562,0
FTXR.US,D,20170504,000000,22.158,22.158,22.119,22.119,1253,0
FTXR.US,D,20170505,000000,22.233,22.233,22.233,22.233,262,0
FTXR.US,D,20170508,000000,22.281,22.281,22.281,22.281,575,0
FTXR.US,D,20170509,000000,22.55,22.588,22.55,22.588,769,0
FTXR.US,D,20170510,000000,22.445,22.445,22.445,22.445,417,0
FTXR.US,D,20170516,000000,22.344,22.344,22.272,22.33,835,0
FTXR.US,D,20170517,000000,21.918,21.918,21.879,21.879,522,0
FTXR.US,D,20170518,000000,21.706,21.815,21.697,21.815,943,0
FTXR.US,D,20170519,000000,22.004,22.004,22.004,22.004,314,0
FTXR.US,D,20170522,000000,22.138,22.138,22.071,22.128,745,0
FTXR.US,D,20170523,000000,22.196,22.197,22.196,22.197,1778,0
FTXR.US,D,20170524,000000,22.158,22.165,22.158,22.165,417,0
FTXR.US,D,20170525,000000,22.339,22.339,22.339,22.339,101,0
FTXR.US,D,20170530,000000,22.666,22.666,22.607,22.607,424,0
FTXR.US,D,20170601,000000,23.037,23.037,23.033,23.033,417,0
FTXR.US,D,20170606,000000,23.067,23.067,23.037,23.037,510,0
FTXR.US,D,20170607,000000,23.038,23.113,23.038,23.113,314,0
FTXR.US,D,20170613,000000,23.161,23.161,23.117,23.131,721,0
FTXR.US,D,20170614,000000,23.063,23.063,23.024,23.024,971,0
FTXR.US,D,20170615,000000,22.913,22.913,22.913,22.913,417,0
FTXR.US,D,20170619,000000,23.051,23.067,23.051,23.067,1294,0
FTXR.US,D,20170621,000000,22.845,22.845,22.796,22.826,3340,0
FTXR.US,D,20170623,000000,22.948,22.998,22.948,22.998,471,0
FTXR.US,D,20170627,000000,23.029,23.062,22.989,23.002,73460,0
FTXR.US,D,20170628,000000,23.27,23.27,23.182,23.182,398,0
FTXR.US,D,20170629,000000,23.193,23.193,23.114,23.124,756,0
FTXR.US,D,20170630,000000,23.278,23.278,23.261,23.261,580,0
FTXR.US,D,20170705,000000,23.443,23.443,23.443,23.443,235,0
FTXR.US,D,20170706,000000,23.288,23.288,23.288,23.288,209,0
FTXR.US,D,20170707,000000,23.434,23.497,23.434,23.497,416,0
FTXR.US,D,20170711,000000,23.392,23.392,23.392,23.392,533,0
FTXR.US,D,20170712,000000,23.643,23.652,23.643,23.652,321,0
FTXR.US,D,20170714,000000,23.748,23.748,23.748,23.748,135,0
FTXR.US,D,20170717,000000,23.671,23.758,23.671,23.758,4607,0
FTXR.US,D,20170718,000000,23.586,23.586,23.566,23.566,845,0
FTXR.US,D,20170719,000000,23.472,23.472,23.327,23.376,752,0
FTXR.US,D,20170728,000000,22.388,22.388,22.329,22.329,209,0
FTXR.US,D,20170801,000000,22.07,22.07,22.07,22.07,627,0
FTXR.US,D,20170802,000000,21.944,21.963,21.944,21.953,537,0
FTXR.US,D,20170803,000000,22.149,22.17,22.149,22.17,762,0
FTXR.US,D,20170809,000000,22.108,22.112,22.108,22.112,209,0
FTXR.US,D,20170817,000000,22.055,22.055,22.055,22.055,101,0
FTXR.US,D,20170818,000000,21.589,21.601,21.589,21.601,323,0
FTXR.US,D,20170821,000000,21.531,21.531,21.531,21.531,627,0
FTXR.US,D,20170823,000000,21.455,21.485,21.455,21.485,885,0
FTXR.US,D,20170824,000000,21.341,21.341,21.341,21.341,101,0
FTXR.US,D,20170828,000000,21.619,21.627,21.619,21.627,520,0
FTXR.US,D,20170829,000000,21.58,21.58,21.58,21.58,397,0
FTXR.US,D,20170830,000000,21.784,21.784,21.784,21.784,312,0
FTXR.US,D,20170831,000000,21.734,21.881,21.734,21.867,533,0
FTXR.US,D,20170901,000000,22.022,22.022,22.022,22.022,101,0
FTXR.US,D,20170905,000000,21.848,21.848,21.829,21.829,651,0
FTXR.US,D,20170911,000000,22.136,22.136,22.136,22.136,248,0
FTXR.US,D,20170912,000000,22.535,22.535,22.535,22.535,209,0
FTXR.US,D,20170914,000000,22.588,22.588,22.588,22.588,101,0
FTXR.US,D,20170915,000000,22.607,22.607,22.607,22.607,274,0
FTXR.US,D,20170918,000000,22.607,22.607,22.607,22.607,180,0
FTXR.US,D,20170920,000000,22.654,22.694,22.654,22.694,1157,0
FTXR.US,D,20170922,000000,22.841,22.841,22.841,22.841,208,0
FTXR.US,D,20170927,000000,23.102,23.102,23.082,23.082,1794,0
FTXR.US,D,20170928,000000,23.159,23.159,23.159,23.159,101,0
FTXR.US,D,20170929,000000,23.285,23.285,23.258,23.258,331,0
FTXR.US,D,20171002,000000,23.374,23.374,23.374,23.374,1997,0
FTXR.US,D,20171006,000000,23.664,23.689,23.65,23.689,1389,0
FTXR.US,D,20171009,000000,23.669,23.669,23.598,23.634,1908,0
FTXR.US,D,20171010,000000,23.861,23.861,23.801,23.835,366,0
