<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FV.US,D,20140310,000000,19.333,19.333,19.161,19.294,228027,0
FV.US,D,20140311,000000,19.948,19.948,19.103,19.151,315122,0
FV.US,D,20140312,000000,19.122,19.216,18.975,19.168,166397,0
FV.US,D,20140313,000000,19.323,19.323,18.808,18.878,428496,0
FV.US,D,20140314,000000,18.888,18.965,18.808,18.858,702831,0
FV.US,D,20140317,000000,18.897,19.093,18.897,18.955,231173,0
FV.US,D,20140318,000000,19.113,19.255,19.044,19.253,263393,0
FV.US,D,20140319,000000,19.412,19.412,19.019,19.113,328043,0
FV.US,D,20140320,000000,19.141,19.197,19.015,19.103,240950,0
FV.US,D,20140321,000000,19.245,19.284,18.779,18.789,1110566,0
FV.US,D,20140324,000000,18.955,18.955,18.223,18.448,455357,0
FV.US,D,20140325,000000,18.633,18.691,18.263,18.418,676060,0
FV.US,D,20140326,000000,18.535,18.555,18.173,18.183,352438,0
FV.US,D,20140327,000000,18.273,18.293,17.931,18.183,214247,0
FV.US,D,20140328,000000,18.273,18.35,18.008,18.097,249693,0
FV.US,D,20140331,000000,18.303,18.389,18.188,18.37,561008,0
FV.US,D,20140401,000000,18.516,18.691,18.389,18.652,229329,0
FV.US,D,20140402,000000,18.858,18.858,18.603,18.701,607870,0
FV.US,D,20140403,000000,18.789,18.789,18.303,18.428,217996,0
FV.US,D,20140404,000000,18.554,18.633,17.882,17.969,255227,0
FV.US,D,20140407,000000,17.961,18.018,17.592,17.776,157919,0
FV.US,D,20140408,000000,17.746,17.882,17.629,17.843,198966,0
FV.US,D,20140409,000000,17.961,18.233,17.902,18.233,555162,0
FV.US,D,20140410,000000,18.283,18.283,17.495,17.601,200620,0
FV.US,D,20140411,000000,17.475,17.667,17.238,17.276,199828,0
FV.US,D,20140414,000000,17.524,17.553,17.143,17.367,128305,0
