<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FVC.US,D,20160321,000000,19.524,19.552,19.518,19.552,6185,0
FVC.US,D,20160322,000000,19.543,19.571,19.496,19.543,15233,0
FVC.US,D,20160323,000000,19.515,19.515,19.483,19.483,40196,0
FVC.US,D,20160324,000000,19.428,19.476,19.408,19.476,77737,0
FVC.US,D,20160328,000000,19.486,19.505,19.46,19.486,26517,0
FVC.US,D,20160329,000000,19.681,19.681,19.426,19.641,67758,0
FVC.US,D,20160330,000000,19.796,19.796,19.621,19.641,302536,0
FVC.US,D,20160331,000000,19.727,19.727,19.641,19.681,249519,0
FVC.US,D,20160401,000000,19.699,19.699,19.561,19.681,303374,0
FVC.US,D,20160404,000000,19.757,19.757,19.571,19.571,288899,0
FVC.US,D,20160405,000000,19.534,19.534,19.447,19.456,87218,0
FVC.US,D,20160406,000000,19.591,19.591,19.418,19.591,114801,0
FVC.US,D,20160407,000000,19.681,19.681,19.418,19.476,43021,0
FVC.US,D,20160408,000000,19.571,19.591,19.505,19.534,44247,0
FVC.US,D,20160411,000000,19.767,19.767,19.447,19.447,77670,0
FVC.US,D,20160412,000000,19.571,19.764,19.428,19.737,43853,0
FVC.US,D,20160413,000000,19.951,19.951,19.755,19.874,138673,0
FVC.US,D,20160414,000000,19.989,19.989,19.774,19.796,302532,0
FVC.US,D,20160415,000000,19.709,19.796,19.641,19.787,121791,0
FVC.US,D,20160418,000000,19.767,19.931,19.717,19.884,64210,0
FVC.US,D,20160419,000000,20.049,20.049,19.911,19.989,96136,0
FVC.US,D,20160420,000000,20.137,20.137,19.931,20.009,77549,0
FVC.US,D,20160421,000000,20.127,20.127,19.814,19.834,63400,0
FVC.US,D,20160422,000000,19.921,19.968,19.874,19.951,62095,0
FVC.US,D,20160425,000000,20.019,20.019,19.793,19.854,172341,0
FVC.US,D,20160426,000000,19.981,19.981,19.874,19.971,140543,0
FVC.US,D,20160427,000000,20.115,20.226,20.039,20.171,92194,0
FVC.US,D,20160428,000000,20.029,20.311,20.029,20.049,78992,0
FVC.US,D,20160429,000000,20.114,20.137,19.893,20.068,246875,0
FVC.US,D,20160502,000000,20.088,20.177,20.027,20.167,40064,0
FVC.US,D,20160503,000000,19.989,19.989,19.824,19.874,69456,0
FVC.US,D,20160504,000000,19.854,19.903,19.709,19.777,45380,0
FVC.US,D,20160505,000000,19.854,19.874,19.647,19.69,32584,0
FVC.US,D,20160506,000000,19.641,19.796,19.641,19.777,17196,0
FVC.US,D,20160509,000000,19.884,19.884,19.681,19.717,52341,0
FVC.US,D,20160510,000000,19.931,20.019,19.796,20.019,68885,0
FVC.US,D,20160511,000000,20.059,20.059,19.844,19.884,56443,0
FVC.US,D,20160512,000000,19.989,19.989,19.744,19.854,97272,0
FVC.US,D,20160513,000000,19.931,19.931,19.641,19.651,241267,0
FVC.US,D,20160516,000000,19.796,19.796,19.717,19.757,37795,0
FVC.US,D,20160517,000000,19.777,19.787,19.613,19.644,253392,0
FVC.US,D,20160518,000000,19.611,19.671,19.466,19.534,78294,0
FVC.US,D,20160519,000000,19.49,19.551,19.408,19.543,78586,0
FVC.US,D,20160520,000000,19.671,19.671,19.579,19.631,71552,0
FVC.US,D,20160523,000000,19.641,19.651,19.571,19.581,59878,0
FVC.US,D,20160524,000000,19.67,19.727,19.637,19.727,26821,0
FVC.US,D,20160525,000000,19.834,19.844,19.729,19.834,240869,0
FVC.US,D,20160526,000000,19.931,19.931,19.834,19.834,1304995,0
FVC.US,D,20160527,000000,19.931,19.931,19.834,19.911,245272,0
FVC.US,D,20160531,000000,19.976,19.989,19.887,19.941,34554,0
FVC.US,D,20160601,000000,20.117,20.117,19.884,19.989,68586,0
FVC.US,D,20160602,000000,19.951,20.029,19.931,20.029,69959,0
FVC.US,D,20160603,000000,20.019,20.078,19.951,20.009,254082,0
FVC.US,D,20160606,000000,20.167,20.167,20.059,20.137,36482,0
FVC.US,D,20160607,000000,19.981,20.236,19.981,20.207,90092,0
FVC.US,D,20160608,000000,20.274,20.274,20.187,20.226,1086227,0
FVC.US,D,20160609,000000,20.226,20.226,20.137,20.216,199736,0
FVC.US,D,20160610,000000,20.226,20.226,19.921,19.941,100597,0
FVC.US,D,20160613,000000,19.93,20.029,19.824,19.824,59161,0
FVC.US,D,20160614,000000,19.854,19.864,19.68,19.809,40951,0
FVC.US,D,20160615,000000,19.819,20.027,19.818,19.844,140125,0
FVC.US,D,20160616,000000,19.69,19.824,19.586,19.824,155482,0
FVC.US,D,20160617,000000,19.971,19.971,19.824,19.893,339882,0
FVC.US,D,20160620,000000,20.108,20.177,20.068,20.068,47502,0
FVC.US,D,20160621,000000,19.993,20.187,19.989,20.147,56733,0
FVC.US,D,20160622,000000,20.265,20.265,20.045,20.068,115703,0
FVC.US,D,20160623,000000,20.274,20.32,20.167,20.311,41593,0
FVC.US,D,20160624,000000,19.631,19.957,19.631,19.709,105862,0
FVC.US,D,20160627,000000,19.699,19.699,19.153,19.253,375583,0
FVC.US,D,20160628,000000,19.447,19.584,19.447,19.581,42597,0
FVC.US,D,20160629,000000,19.824,19.981,19.787,19.941,61756,0
FVC.US,D,20160630,000000,19.893,20.197,19.893,20.197,499430,0
FVC.US,D,20160701,000000,20.32,20.371,20.283,20.358,51317,0
FVC.US,D,20160705,000000,20.066,20.117,19.981,20.108,66415,0
FVC.US,D,20160706,000000,19.999,20.216,19.958,20.207,118105,0
FVC.US,D,20160707,000000,20.358,20.368,20.055,20.147,271741,0
FVC.US,D,20160708,000000,20.236,20.507,20.236,20.468,23029,0
FVC.US,D,20160711,000000,20.548,20.575,20.468,20.537,254157,0
FVC.US,D,20160712,000000,20.837,20.837,20.684,20.732,363049,0
FVC.US,D,20160713,000000,20.856,20.856,20.594,20.654,61253,0
FVC.US,D,20160714,000000,20.884,20.884,20.694,20.742,73610,0
FVC.US,D,20160715,000000,20.748,20.789,20.694,20.712,757615,0
FVC.US,D,20160718,000000,20.634,20.791,20.634,20.78,110524,0
FVC.US,D,20160719,000000,20.694,20.694,20.612,20.664,49034,0
FVC.US,D,20160720,000000,20.614,20.781,20.584,20.712,190907,0
FVC.US,D,20160721,000000,20.76,20.819,20.623,20.674,71038,0
FVC.US,D,20160722,000000,20.604,20.778,20.604,20.761,45944,0
FVC.US,D,20160725,000000,20.865,20.865,20.677,20.722,9911,0
FVC.US,D,20160726,000000,20.781,20.846,20.674,20.781,21624,0
FVC.US,D,20160727,000000,20.78,20.781,20.489,20.556,69584,0
FVC.US,D,20160728,000000,20.614,20.694,20.545,20.674,85141,0
