<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FYC.US,D,20110503,000000,20.416,20.416,20.387,20.387,7064,0
FYC.US,D,20110504,000000,20.08,20.416,20.08,20.189,918,0
FYC.US,D,20110505,000000,19.99,20.348,19.99,20.348,520,0
FYC.US,D,20110509,000000,20.416,20.444,20.416,20.436,2738,0
FYC.US,D,20110510,000000,20.682,20.799,20.682,20.799,1276,0
FYC.US,D,20110511,000000,20.78,20.78,20.436,20.436,703,0
FYC.US,D,20110512,000000,20.377,20.623,20.377,20.604,19109,0
FYC.US,D,20110513,000000,20.396,20.643,20.396,20.406,779,0
FYC.US,D,20110516,000000,20.179,20.179,20.169,20.169,30318,0
FYC.US,D,20110517,000000,19.93,19.93,19.871,19.871,32343,0
FYC.US,D,20110518,000000,20.02,20.268,20.02,20.219,10331,0
FYC.US,D,20110520,000000,20.298,20.298,20.119,20.298,806,0
FYC.US,D,20110523,000000,19.783,19.98,19.783,19.783,7183,0
FYC.US,D,20110524,000000,19.891,19.891,19.694,19.694,653,0
FYC.US,D,20110527,000000,20.494,20.494,20.406,20.416,5447,0
FYC.US,D,20110531,000000,20.484,20.484,20.484,20.484,2536,0
FYC.US,D,20110601,000000,20.574,20.574,20.07,20.07,2798,0
FYC.US,D,20110602,000000,20.08,20.119,20.08,20.08,708,0
FYC.US,D,20110603,000000,19.802,19.911,19.783,19.862,5171,0
FYC.US,D,20110607,000000,19.556,19.576,19.516,19.576,2738,0
FYC.US,D,20110608,000000,19.339,19.339,19.232,19.232,241,0
FYC.US,D,20110609,000000,19.399,19.399,19.399,19.399,337,0
FYC.US,D,20110613,000000,19.005,19.005,19.005,19.005,100,0
FYC.US,D,20110615,000000,19.242,19.242,19.242,19.242,1297,0
FYC.US,D,20110616,000000,19.134,19.193,18.956,18.956,5946,0
FYC.US,D,20110617,000000,19.252,19.272,19.252,19.272,708,0
FYC.US,D,20110620,000000,19.144,19.144,19.084,19.084,1473,0
FYC.US,D,20110621,000000,19.615,19.615,19.615,19.615,100,0
FYC.US,D,20110623,000000,19.674,19.674,19.674,19.674,277,0
FYC.US,D,20110624,000000,19.595,19.595,19.566,19.566,608,0
FYC.US,D,20110627,000000,19.625,19.674,19.625,19.674,1012,0
FYC.US,D,20110628,000000,20.05,20.06,20.05,20.06,311,0
FYC.US,D,20110629,000000,20.209,20.209,20.209,20.209,176,0
FYC.US,D,20110630,000000,20.426,20.426,20.396,20.396,851,0
FYC.US,D,20110701,000000,20.584,20.819,20.584,20.809,115552,0
FYC.US,D,20110705,000000,20.76,20.878,20.741,20.878,4401,0
FYC.US,D,20110706,000000,20.849,20.947,20.829,20.947,10363,0
FYC.US,D,20110707,000000,21.145,21.363,21.145,21.313,146353,0
FYC.US,D,20110708,000000,21.006,21.105,21.006,21.105,7923,0
FYC.US,D,20110711,000000,20.839,20.839,20.662,20.702,34497,0
FYC.US,D,20110712,000000,20.721,20.721,20.721,20.721,961,0
FYC.US,D,20110713,000000,20.878,20.878,20.76,20.77,18049,0
FYC.US,D,20110714,000000,20.809,20.888,20.406,20.406,28742,0
FYC.US,D,20110715,000000,20.494,20.494,20.396,20.494,15208,0
FYC.US,D,20110718,000000,20.308,20.308,20.1,20.238,5884,0
FYC.US,D,20110719,000000,20.426,20.741,20.426,20.731,8535,0
FYC.US,D,20110720,000000,20.524,20.614,20.464,20.574,5199,0
FYC.US,D,20110721,000000,20.751,20.77,20.672,20.692,8055,0
FYC.US,D,20110722,000000,20.643,20.643,20.643,20.643,608,0
FYC.US,D,20110725,000000,20.604,20.662,20.474,20.484,1583,0
FYC.US,D,20110726,000000,20.288,20.406,19.98,20.258,4639,0
FYC.US,D,20110727,000000,20,20.179,19.625,19.625,11167,0
FYC.US,D,20110728,000000,19.773,19.783,19.773,19.783,334,0
FYC.US,D,20110729,000000,19.753,19.753,19.704,19.704,3117,0
FYC.US,D,20110802,000000,19.536,19.536,19.438,19.438,3110,0
FYC.US,D,20110803,000000,18.719,19.045,18.719,19.045,6560,0
FYC.US,D,20110804,000000,18.599,18.937,18.028,18.028,124667,0
FYC.US,D,20110805,000000,17.623,17.85,17.367,17.762,113577,0
FYC.US,D,20110808,000000,17.093,17.485,16.196,16.196,13616,0
FYC.US,D,20110809,000000,16.395,17.15,15.899,17.15,41041,0
FYC.US,D,20110810,000000,16.865,16.865,16.491,16.491,2859,0
FYC.US,D,20110811,000000,16.825,16.914,16.825,16.914,1722,0
FYC.US,D,20110812,000000,17.456,17.456,17.397,17.397,620,0
FYC.US,D,20110815,000000,17.703,17.703,17.693,17.693,3617,0
FYC.US,D,20110816,000000,17.436,17.436,17.436,17.436,105,0
FYC.US,D,20110817,000000,17.357,17.357,17.357,17.357,1949,0
FYC.US,D,20110818,000000,16.385,16.385,16.385,16.385,2333,0
FYC.US,D,20110819,000000,16.443,16.443,16.405,16.405,2215,0
FYC.US,D,20110823,000000,16.395,17.033,16.385,16.994,10196,0
FYC.US,D,20110824,000000,17.17,17.189,17.17,17.189,6590,0
FYC.US,D,20110829,000000,17.623,18.008,17.573,18.008,91140,0
FYC.US,D,20110830,000000,17.85,18.158,17.84,18.148,27618,0
FYC.US,D,20110831,000000,18.207,18.207,17.86,18.018,2590,0
FYC.US,D,20110901,000000,18.197,18.197,17.743,17.743,939,0
FYC.US,D,20110902,000000,17.103,17.103,17.093,17.093,1631,0
FYC.US,D,20110906,000000,16.775,16.775,16.775,16.775,291,0
FYC.US,D,20110909,000000,17.199,17.199,16.647,16.795,2673,0
FYC.US,D,20110912,000000,16.885,16.885,16.885,16.885,3684,0
FYC.US,D,20110913,000000,17.131,17.218,17.131,17.218,4079,0
FYC.US,D,20110914,000000,17.141,17.762,17.141,17.762,2753,0
FYC.US,D,20110915,000000,17.723,17.81,17.723,17.81,718,0
FYC.US,D,20110916,000000,17.801,17.801,17.703,17.713,1216,0
FYC.US,D,20110919,000000,17.543,17.543,17.543,17.543,861,0
FYC.US,D,20110920,000000,17.762,17.762,17.762,17.762,100,0
FYC.US,D,20110921,000000,17.287,17.297,17.093,17.093,3907,0
FYC.US,D,20110922,000000,16.345,16.365,16.107,16.147,27289,0
FYC.US,D,20110923,000000,16.156,16.375,16.156,16.365,10504,0
FYC.US,D,20110926,000000,16.598,16.598,16.598,16.598,387,0
FYC.US,D,20110927,000000,17.267,17.267,17.063,17.063,403,0
FYC.US,D,20110928,000000,16.885,16.885,16.755,16.755,1113,0
FYC.US,D,20110929,000000,16.895,17.083,16.895,16.895,760,0
FYC.US,D,20110930,000000,16.51,16.51,16.405,16.405,8103,0
FYC.US,D,20111003,000000,15.8,15.8,15.375,15.375,5069,0
FYC.US,D,20111004,000000,15.8,16.315,15.454,16.315,8740,0
FYC.US,D,20111006,000000,16.686,16.984,16.686,16.984,8234,0
FYC.US,D,20111007,000000,16.696,16.785,16.696,16.745,1611,0
FYC.US,D,20111010,000000,17.189,17.189,17.189,17.189,2940,0
FYC.US,D,20111011,000000,17.247,17.247,17.199,17.199,2113,0
FYC.US,D,20111012,000000,17.426,17.534,17.426,17.534,2998,0
FYC.US,D,20111013,000000,17.377,17.426,17.347,17.367,1099,0
FYC.US,D,20111019,000000,17.553,17.553,17.317,17.337,74526,0
FYC.US,D,20111020,000000,17.436,17.436,17.416,17.436,4764,0
FYC.US,D,20111024,000000,18.364,18.404,18.304,18.304,1485,0
FYC.US,D,20111025,000000,18.078,18.078,18.078,18.078,181,0
FYC.US,D,20111026,000000,17.959,17.959,17.959,17.959,861,0
FYC.US,D,20111027,000000,18.669,19.114,18.669,18.985,6333,0
FYC.US,D,20111028,000000,18.966,19.045,18.917,18.917,2751,0
FYC.US,D,20111101,000000,18.088,18.098,18.088,18.098,1113,0
FYC.US,D,20111102,000000,18.344,18.354,18.168,18.354,20078,0
FYC.US,D,20111104,000000,18.55,18.55,18.55,18.55,336,0
FYC.US,D,20111109,000000,18.404,18.404,18.404,18.404,463,0
FYC.US,D,20111110,000000,18.207,18.207,18.207,18.207,2230,0
FYC.US,D,20111115,000000,18.503,18.503,18.473,18.473,374,0
FYC.US,D,20111118,000000,18.178,18.178,18.138,18.138,1261,0
FYC.US,D,20111122,000000,17.949,17.949,17.743,17.743,911,0
FYC.US,D,20111123,000000,17.267,17.267,17.267,17.267,708,0
FYC.US,D,20111128,000000,17.663,17.693,17.663,17.693,496,0
FYC.US,D,20111129,000000,17.643,17.693,17.643,17.653,841,0
FYC.US,D,20111130,000000,18.255,18.512,18.255,18.512,6152,0
FYC.US,D,20111201,000000,18.493,18.493,18.493,18.493,928,0
FYC.US,D,20111202,000000,18.659,18.659,18.493,18.493,11860,0
FYC.US,D,20111205,000000,18.779,18.799,18.779,18.799,3145,0
FYC.US,D,20111206,000000,18.599,18.599,18.599,18.599,530,0
FYC.US,D,20111207,000000,18.404,18.55,18.404,18.55,1639,0
FYC.US,D,20111208,000000,18.473,18.473,18.384,18.384,2627,0
FYC.US,D,20111209,000000,18.59,18.719,18.59,18.719,3809,0
FYC.US,D,20111213,000000,18.028,18.028,18.028,18.028,505,0
FYC.US,D,20111214,000000,18.118,18.118,18.018,18.018,728,0
FYC.US,D,20111215,000000,18.274,18.274,18.265,18.265,362,0
FYC.US,D,20111216,000000,18.522,18.522,18.404,18.404,251,0
FYC.US,D,20111219,000000,18.384,18.384,18.384,18.384,505,0
FYC.US,D,20111220,000000,18.699,18.699,18.699,18.699,3192,0
FYC.US,D,20111221,000000,18.503,18.503,18.503,18.503,146,0
FYC.US,D,20111222,000000,18.877,18.877,18.837,18.837,2578,0
FYC.US,D,20111223,000000,18.927,18.927,18.907,18.907,608,0
FYC.US,D,20111227,000000,18.897,19.035,18.897,19.035,861,0
FYC.US,D,20111228,000000,18.847,18.867,18.639,18.669,1374,0
FYC.US,D,20111229,000000,18.818,18.917,18.818,18.917,4866,0
FYC.US,D,20120103,000000,19.242,19.242,18.828,18.927,2438,0
FYC.US,D,20120104,000000,18.59,18.779,18.59,18.739,2035,0
FYC.US,D,20120105,000000,18.907,18.907,18.867,18.867,1988,0
FYC.US,D,20120106,000000,18.857,18.947,18.857,18.887,902,0
FYC.US,D,20120110,000000,18.995,19.005,18.995,19.005,272,0
FYC.US,D,20120111,000000,19.074,19.074,19.045,19.045,811,0
FYC.US,D,20120112,000000,19.153,19.153,19.153,19.153,100,0
FYC.US,D,20120113,000000,18.966,19.055,18.966,19.035,1035,0
FYC.US,D,20120118,000000,19.104,19.222,19.104,19.222,588,0
FYC.US,D,20120119,000000,19.399,19.399,19.369,19.369,445,0
FYC.US,D,20120120,000000,19.312,19.369,19.282,19.349,9186,0
FYC.US,D,20120123,000000,19.379,19.379,19.163,19.232,8523,0
FYC.US,D,20120124,000000,19.379,19.448,19.379,19.438,877,0
FYC.US,D,20120125,000000,19.496,19.496,19.496,19.496,2225,0
FYC.US,D,20120126,000000,19.438,19.506,19.438,19.448,3830,0
FYC.US,D,20120127,000000,19.467,19.536,19.467,19.536,1205,0
FYC.US,D,20120130,000000,19.496,19.496,19.448,19.457,16172,0
FYC.US,D,20120131,000000,19.55,19.56,19.353,19.49,7080,0
FYC.US,D,20120201,000000,19.605,19.713,19.605,19.664,10376,0
FYC.US,D,20120202,000000,19.95,20.03,19.94,19.97,5232,0
FYC.US,D,20120203,000000,20.504,20.504,20.406,20.454,9473,0
FYC.US,D,20120206,000000,20.367,20.367,20.248,20.308,6252,0
FYC.US,D,20120207,000000,20.298,20.298,20.298,20.298,3407,0
FYC.US,D,20120208,000000,20.377,20.377,20.228,20.338,939,0
FYC.US,D,20120209,000000,20.308,20.338,20.219,20.308,3570,0
FYC.US,D,20120210,000000,20.07,20.07,19.99,20,573,0
FYC.US,D,20120213,000000,20.209,20.228,20.209,20.228,871,0
FYC.US,D,20120214,000000,20.03,20.159,20.03,20.04,12352,0
FYC.US,D,20120215,000000,20.219,20.258,19.99,19.99,3240,0
FYC.US,D,20120216,000000,20.209,20.288,20.05,20.248,2383,0
FYC.US,D,20120217,000000,20.504,20.504,20.318,20.348,5125,0
FYC.US,D,20120221,000000,20.454,20.454,20.228,20.228,1924,0
FYC.US,D,20120222,000000,20.169,20.169,20.169,20.169,505,0
FYC.US,D,20120224,000000,20.444,20.444,20.396,20.406,1584,0
FYC.US,D,20120227,000000,20.396,20.484,20.396,20.396,393,0
FYC.US,D,20120229,000000,20.293,20.362,20.273,20.273,4262,0
FYC.US,D,20120301,000000,20.318,20.357,20.258,20.258,3770,0
FYC.US,D,20120302,000000,20.278,20.298,19.891,19.98,2631,0
FYC.US,D,20120306,000000,19.733,19.733,19.536,19.536,6884,0
FYC.US,D,20120307,000000,19.773,19.871,19.773,19.871,1740,0
FYC.US,D,20120308,000000,19.911,19.911,19.911,19.911,251,0
FYC.US,D,20120309,000000,20.406,20.406,20.387,20.387,811,0
FYC.US,D,20120312,000000,20.387,20.436,20.387,20.436,1924,0
FYC.US,D,20120313,000000,20.474,20.604,20.474,20.574,2980,0
FYC.US,D,20120314,000000,20.731,20.731,20.652,20.652,2113,0
FYC.US,D,20120316,000000,20.741,20.741,20.731,20.731,560,0
FYC.US,D,20120319,000000,21.006,21.006,20.898,20.918,51311,0
FYC.US,D,20120320,000000,20.789,20.789,20.789,20.789,1848,0
FYC.US,D,20120321,000000,20.721,20.839,20.721,20.77,2581,0
FYC.US,D,20120323,000000,20.829,20.829,20.829,20.829,191,0
FYC.US,D,20120326,000000,21.283,21.283,21.264,21.264,1345,0
FYC.US,D,20120327,000000,21.313,21.313,21.175,21.175,2014,0
FYC.US,D,20120328,000000,21.085,21.085,20.859,20.859,2690,0
FYC.US,D,20120329,000000,20.898,20.967,20.692,20.967,7241,0
FYC.US,D,20120402,000000,20.987,21.194,20.957,21.135,41385,0
FYC.US,D,20120403,000000,21.184,21.184,21.066,21.076,13556,0
FYC.US,D,20120404,000000,20.712,20.721,20.712,20.721,1029,0
FYC.US,D,20120405,000000,20.849,20.849,20.78,20.78,3145,0
FYC.US,D,20120409,000000,20.474,20.504,20.474,20.504,3201,0
FYC.US,D,20120412,000000,20.219,20.574,20.219,20.574,1111,0
FYC.US,D,20120413,000000,20.406,20.406,20.298,20.348,1215,0
FYC.US,D,20120416,000000,20.514,20.514,20.209,20.406,560,0
FYC.US,D,20120417,000000,20.672,20.672,20.672,20.672,403,0
FYC.US,D,20120420,000000,20.643,20.643,20.464,20.504,2379,0
FYC.US,D,20120424,000000,20.169,20.357,20.149,20.149,454,0
FYC.US,D,20120425,000000,20.604,20.672,20.554,20.643,767,0
FYC.US,D,20120426,000000,20.859,20.859,20.859,20.859,3340,0
FYC.US,D,20120430,000000,20.972,20.972,20.972,20.972,811,0
FYC.US,D,20120501,000000,21.323,21.323,21.283,21.283,11853,0
FYC.US,D,20120503,000000,21.638,21.638,20.947,20.947,861,0
FYC.US,D,20120504,000000,20.692,20.692,20.504,20.574,9262,0
FYC.US,D,20120507,000000,20.614,20.623,20.614,20.623,1316,0
FYC.US,D,20120509,000000,19.713,20.426,19.713,20.338,918,0
FYC.US,D,20120510,000000,20.454,20.554,20.454,20.554,5822,0
FYC.US,D,20120511,000000,20.544,20.544,20.504,20.504,688,0
FYC.US,D,20120514,000000,20.219,20.338,20.06,20.338,1842,0
FYC.US,D,20120516,000000,20.248,20.288,20.159,20.159,966,0
FYC.US,D,20120517,000000,20.08,20.08,19.586,19.595,6376,0
FYC.US,D,20120518,000000,19.163,19.645,19.163,19.339,5012,0
FYC.US,D,20120521,000000,19.448,19.812,19.379,19.812,5725,0
