<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FYT.US,D,20110503,000000,18.544,18.544,18.544,18.544,425,0
FYT.US,D,20110505,000000,18.317,18.317,18.317,18.317,272,0
FYT.US,D,20110509,000000,18.391,18.492,18.391,18.492,762,0
FYT.US,D,20110510,000000,18.761,18.761,18.742,18.742,536,0
FYT.US,D,20110511,000000,18.572,18.572,18.572,18.572,964,0
FYT.US,D,20110512,000000,18.651,18.651,18.643,18.651,19053,0
FYT.US,D,20110517,000000,18.157,18.157,18.157,18.157,11850,0
FYT.US,D,20110518,000000,18.182,18.326,18.182,18.326,1045,0
FYT.US,D,20110520,000000,18.317,18.411,18.308,18.308,865,0
FYT.US,D,20110524,000000,17.912,17.912,17.912,17.912,218,0
FYT.US,D,20110525,000000,17.984,17.984,17.984,17.984,717,0
FYT.US,D,20110527,000000,18.273,18.273,18.273,18.273,498,0
FYT.US,D,20110531,000000,18.475,18.475,18.475,18.475,2768,0
FYT.US,D,20110607,000000,17.65,17.65,17.65,17.65,304,0
FYT.US,D,20110609,000000,17.524,17.524,17.524,17.524,378,0
FYT.US,D,20110616,000000,17.47,17.47,17.333,17.333,1891,0
FYT.US,D,20110617,000000,17.615,17.615,17.39,17.39,1953,0
FYT.US,D,20110623,000000,17.596,17.795,17.578,17.795,1697,0
FYT.US,D,20110629,000000,18.138,18.138,18.1,18.138,304,0
FYT.US,D,20110630,000000,18.323,18.323,18.323,18.323,278,0
FYT.US,D,20110701,000000,18.564,18.58,18.564,18.58,2535,0
FYT.US,D,20110706,000000,18.722,18.722,18.722,18.722,278,0
FYT.US,D,20110707,000000,18.96,18.988,18.96,18.979,762,0
FYT.US,D,20110708,000000,18.742,18.742,18.742,18.742,220,0
FYT.US,D,20110711,000000,18.572,18.572,18.572,18.572,1108,0
FYT.US,D,20110713,000000,18.679,18.679,18.58,18.58,330,0
FYT.US,D,20110714,000000,18.364,18.364,18.364,18.364,103,0
FYT.US,D,20110715,000000,18.42,18.42,18.42,18.42,994,0
FYT.US,D,20110718,000000,18.118,18.128,18.118,18.118,218,0
FYT.US,D,20110720,000000,18.475,18.475,18.475,18.475,330,0
