<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FYX.US,D,20070510,000000,27.888,27.888,27.775,27.775,2148,0
FYX.US,D,20070515,000000,27.7,27.7,27.7,27.7,1077,0
FYX.US,D,20070518,000000,27.423,27.647,27.415,27.639,4733,0
FYX.US,D,20070523,000000,28.323,28.323,28.203,28.203,1720,0
FYX.US,D,20070525,000000,27.947,27.947,27.947,27.947,860,0
FYX.US,D,20070530,000000,28.38,28.38,28.38,28.38,1077,0
FYX.US,D,20070531,000000,28.558,28.586,28.558,28.586,3228,0
FYX.US,D,20070601,000000,28.782,28.782,28.782,28.782,967,0
FYX.US,D,20070604,000000,28.678,28.678,28.621,28.658,1077,0
FYX.US,D,20070605,000000,28.649,28.687,28.548,28.548,86570,0
FYX.US,D,20070606,000000,28.268,28.288,28.268,28.288,32904,0
FYX.US,D,20070613,000000,27.888,27.888,27.888,27.888,100,0
FYX.US,D,20070615,000000,28.586,28.586,28.586,28.586,318,0
FYX.US,D,20070618,000000,28.437,28.437,28.437,28.437,1181,0
FYX.US,D,20070622,000000,28.148,28.148,27.982,27.982,1181,0
FYX.US,D,20070625,000000,28.048,28.075,27.795,27.795,17527,0
FYX.US,D,20070629,000000,28.38,28.38,28.039,28.039,1613,0
FYX.US,D,20070702,000000,28.37,28.37,28.37,28.37,541,0
FYX.US,D,20070703,000000,28.447,28.447,28.447,28.447,100,0
FYX.US,D,20070706,000000,28.538,28.548,28.538,28.548,7848,0
FYX.US,D,20070709,000000,28.705,28.705,28.705,28.705,2148,0
FYX.US,D,20070710,000000,28.296,28.296,28.296,28.296,1827,0
FYX.US,D,20070711,000000,28.24,28.361,28.24,28.361,431,0
FYX.US,D,20070712,000000,28.744,28.744,28.744,28.744,100,0
FYX.US,D,20070713,000000,28.697,28.754,28.697,28.754,10860,0
FYX.US,D,20070716,000000,28.744,28.744,28.744,28.744,646,0
FYX.US,D,20070717,000000,28.791,28.91,28.782,28.847,9568,0
FYX.US,D,20070719,000000,28.856,28.856,28.847,28.847,212,0
FYX.US,D,20070720,000000,28.754,28.754,28.25,28.447,10752,0
FYX.US,D,20070723,000000,28.492,28.492,28.492,28.492,100,0
FYX.US,D,20070724,000000,28.01,28.01,27.956,27.956,19249,0
FYX.US,D,20070725,000000,27.488,27.63,27.488,27.63,749,0
FYX.US,D,20070726,000000,26.883,26.921,26.512,26.844,3869,0
FYX.US,D,20070727,000000,26.512,26.893,26.512,26.55,1507,0
FYX.US,D,20070730,000000,26.232,26.55,26.232,26.55,431,0
FYX.US,D,20070731,000000,26.817,26.817,26.287,26.287,3764,0
FYX.US,D,20070801,000000,26.411,26.457,26.185,26.232,1827,0
FYX.US,D,20070802,000000,26.457,26.542,26.421,26.542,12902,0
FYX.US,D,20070803,000000,26.27,26.27,25.532,25.532,2042,0
FYX.US,D,20070806,000000,25.266,25.266,25.266,25.266,1936,0
FYX.US,D,20070807,000000,25.815,25.815,25.815,25.815,1181,0
FYX.US,D,20070808,000000,25.923,26.159,25.923,26.159,8814,0
FYX.US,D,20070809,000000,25.858,25.884,25.848,25.884,1720,0
FYX.US,D,20070810,000000,25.552,26.578,25.552,26.278,9679,0
FYX.US,D,20070813,000000,26.447,26.447,26.215,26.215,15810,0
FYX.US,D,20070815,000000,25.304,25.304,25.304,25.304,318,0
FYX.US,D,20070816,000000,25.424,25.441,25.424,25.441,4411,0
FYX.US,D,20070817,000000,26.185,26.371,26.168,26.168,967,0
FYX.US,D,20070820,000000,26.278,26.278,26.278,26.278,860,0
FYX.US,D,20070821,000000,26.176,26.176,26.176,26.176,318,0
FYX.US,D,20070822,000000,26.706,26.706,26.522,26.559,3869,0
FYX.US,D,20070823,000000,26.364,26.364,26.364,26.364,967,0
FYX.US,D,20070827,000000,26.522,26.615,26.447,26.447,860,0
FYX.US,D,20070828,000000,26.252,26.252,25.798,25.798,4733,0
FYX.US,D,20070830,000000,26.503,26.503,26.114,26.114,967,0
FYX.US,D,20070904,000000,26.652,26.715,26.652,26.715,860,0
FYX.US,D,20070905,000000,26.477,26.477,26.326,26.326,749,0
FYX.US,D,20070906,000000,26.401,26.401,26.401,26.401,318,0
FYX.US,D,20070911,000000,26.019,26.094,26.019,26.056,749,0
FYX.US,D,20070912,000000,26.037,26.037,26.037,26.037,212,0
FYX.US,D,20070913,000000,26.047,26.047,26.047,26.047,100,0
FYX.US,D,20070914,000000,26.01,26.133,26.01,26.066,2366,0
FYX.US,D,20070917,000000,26.066,26.066,26.066,26.066,967,0
FYX.US,D,20070918,000000,26.075,26.075,26.075,26.075,431,0
FYX.US,D,20070919,000000,27.479,27.479,27.349,27.397,1827,0
FYX.US,D,20070920,000000,27.199,27.405,27.098,27.098,2798,0
FYX.US,D,20070921,000000,27.274,27.274,27.164,27.164,2902,0
FYX.US,D,20070924,000000,27.155,27.189,26.863,26.893,2581,0
FYX.US,D,20070925,000000,26.595,26.768,26.595,26.768,6669,0
FYX.US,D,20070926,000000,26.903,27.024,26.835,26.903,8710,0
FYX.US,D,20070927,000000,26.996,27.004,26.996,27.004,1613,0
FYX.US,D,20070928,000000,26.911,26.911,26.873,26.873,541,0
FYX.US,D,20071001,000000,27.078,27.274,27.078,27.274,860,0
FYX.US,D,20071002,000000,27.423,27.583,27.423,27.583,1613,0
FYX.US,D,20071003,000000,27.368,27.368,27.329,27.349,10965,0
FYX.US,D,20071008,000000,27.765,27.765,27.765,27.765,541,0
FYX.US,D,20071009,000000,27.795,27.795,27.681,27.709,749,0
FYX.US,D,20071010,000000,27.755,27.859,27.755,27.822,1181,0
FYX.US,D,20071011,000000,27.63,27.63,27.516,27.516,3441,0
FYX.US,D,20071015,000000,27.179,27.284,27.179,27.284,1401,0
FYX.US,D,20071016,000000,27.147,27.199,27.043,27.043,1613,0
FYX.US,D,20071018,000000,26.893,26.967,26.893,26.967,318,0
FYX.US,D,20071019,000000,26.595,26.595,26.168,26.168,1401,0
FYX.US,D,20071022,000000,26.391,26.401,26.242,26.242,1720,0
FYX.US,D,20071023,000000,26.421,26.532,26.421,26.532,749,0
FYX.US,D,20071024,000000,26.522,26.522,26.447,26.477,541,0
FYX.US,D,20071025,000000,26.559,26.615,26.168,26.297,5483,0
FYX.US,D,20071026,000000,26.715,26.742,26.715,26.742,1720,0
FYX.US,D,20071029,000000,26.652,26.75,26.605,26.652,5591,0
FYX.US,D,20071030,000000,26.687,26.687,26.605,26.634,5914,0
FYX.US,D,20071031,000000,26.569,26.873,26.512,26.873,22473,0
FYX.US,D,20071101,000000,26.224,26.224,25.769,25.769,3764,0
FYX.US,D,20071102,000000,25.848,25.876,25.532,25.807,16131,0
FYX.US,D,20071105,000000,25.581,25.628,25.509,25.509,8391,0
FYX.US,D,20071107,000000,25.552,25.552,24.996,25.101,10752,0
FYX.US,D,20071108,000000,25.032,25.032,24.662,24.939,1936,0
FYX.US,D,20071109,000000,24.801,25.081,24.707,25.062,860,0
FYX.US,D,20071112,000000,24.82,25.174,24.782,24.782,3228,0
FYX.US,D,20071113,000000,25.147,25.451,25.117,25.451,2366,0
FYX.US,D,20071114,000000,25.424,25.424,25.414,25.414,2471,0
FYX.US,D,20071115,000000,24.939,24.939,24.939,24.939,100,0
FYX.US,D,20071116,000000,24.652,24.875,24.622,24.866,3473,0
FYX.US,D,20071119,000000,24.382,24.382,24.382,24.382,431,0
FYX.US,D,20071120,000000,24.593,24.593,24.029,24.029,2581,0
FYX.US,D,20071126,000000,24.288,24.288,23.928,23.928,1827,0
FYX.US,D,20071127,000000,24.161,24.161,23.981,23.981,318,0
FYX.US,D,20071128,000000,24.603,24.901,24.55,24.901,6346,0
FYX.US,D,20071129,000000,24.801,24.939,24.632,24.632,1936,0
FYX.US,D,20071203,000000,24.849,24.849,24.707,24.707,541,0
FYX.US,D,20071204,000000,24.484,24.484,24.458,24.458,541,0
FYX.US,D,20071205,000000,24.839,24.839,24.541,24.764,18817,0
FYX.US,D,20071206,000000,24.929,25.275,24.929,25.275,967,0
FYX.US,D,20071207,000000,25.491,25.491,25.367,25.471,4733,0
FYX.US,D,20071210,000000,25.599,25.695,25.572,25.572,2258,0
FYX.US,D,20071211,000000,25.542,25.807,24.866,24.885,55596,0
FYX.US,D,20071212,000000,25.004,25.004,24.764,24.901,6346,0
FYX.US,D,20071213,000000,24.69,24.976,24.69,24.976,1507,0
FYX.US,D,20071214,000000,24.697,24.849,24.458,24.458,2296,0
FYX.US,D,20071217,000000,24.178,24.205,23.796,23.796,1181,0
FYX.US,D,20071218,000000,24.096,24.187,24.096,24.114,4514,0
FYX.US,D,20071219,000000,24.363,24.4,24.243,24.4,1401,0
FYX.US,D,20071220,000000,24.541,24.541,24.541,24.541,1936,0
FYX.US,D,20071221,000000,25.091,25.246,25.091,25.246,9892,0
FYX.US,D,20071224,000000,25.5,25.591,25.5,25.542,12582,0
FYX.US,D,20071226,000000,25.341,25.341,25.341,25.341,318,0
FYX.US,D,20071227,000000,25.207,25.236,25.199,25.199,1720,0
FYX.US,D,20071228,000000,25.19,25.294,24.996,24.996,1936,0
FYX.US,D,20071231,000000,24.792,24.875,24.584,24.875,8925,0
FYX.US,D,20080102,000000,24.354,24.593,24.354,24.382,14943,0
FYX.US,D,20080103,000000,24.514,24.532,24.086,24.086,1507,0
FYX.US,D,20080104,000000,23.63,23.638,23.209,23.324,4194,0
FYX.US,D,20080107,000000,23.48,23.5,23.079,23.5,16131,0
FYX.US,D,20080108,000000,23.58,23.58,22.783,22.783,2366,0
FYX.US,D,20080109,000000,22.72,22.892,22.29,22.867,9353,0
FYX.US,D,20080110,000000,22.884,23.247,22.884,23.247,10860,0
FYX.US,D,20080111,000000,22.792,22.828,22.569,22.635,20754,0
FYX.US,D,20080114,000000,22.711,22.711,22.681,22.681,2042,0
FYX.US,D,20080115,000000,22.532,22.532,22.241,22.251,2042,0
FYX.US,D,20080116,000000,22.17,22.625,22.17,22.514,1936,0
FYX.US,D,20080117,000000,22.29,22.328,21.966,21.966,11186,0
FYX.US,D,20080118,000000,21.9,21.9,21.563,21.767,3120,0
FYX.US,D,20080122,000000,21.51,21.966,21.51,21.823,23229,0
FYX.US,D,20080123,000000,21.589,22.597,21.554,22.597,4514,0
FYX.US,D,20080124,000000,22.941,22.941,22.42,22.429,3334,0
FYX.US,D,20080125,000000,22.792,22.892,22.366,22.366,1507,0
FYX.US,D,20080128,000000,22.29,22.875,22.29,22.792,4080,0
FYX.US,D,20080129,000000,23.024,23.128,23.024,23.128,541,0
FYX.US,D,20080130,000000,23.069,23.069,23.069,23.069,860,0
FYX.US,D,20080131,000000,23.62,23.62,23.315,23.47,19896,0
FYX.US,D,20080201,000000,23.73,24.243,23.73,24.243,3228,0
FYX.US,D,20080204,000000,23.928,23.928,23.928,23.928,2042,0
