<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GENY.US,D,20160823,000000,24.523,24.595,24.523,24.567,4007,0
GENY.US,D,20160825,000000,24.219,24.219,24.219,24.219,821,0
GENY.US,D,20160829,000000,24.333,24.4,24.294,24.4,1750,0
GENY.US,D,20160830,000000,24.787,24.787,24.34,24.34,5616,0
GENY.US,D,20160831,000000,24.787,24.787,24.787,24.787,216,0
GENY.US,D,20160901,000000,24.246,24.256,24.188,24.188,2364,0
GENY.US,D,20160902,000000,24.256,24.256,24.207,24.207,212,0
GENY.US,D,20160907,000000,24.693,24.7,24.532,24.7,1626,0
GENY.US,D,20160908,000000,24.557,24.557,24.557,24.557,100,0
GENY.US,D,20160909,000000,24.518,24.518,23.981,23.981,4940,0
GENY.US,D,20160912,000000,24,24.04,23.959,24.04,1162,0
GENY.US,D,20160913,000000,24.108,24.108,24.02,24.02,409,0
GENY.US,D,20160914,000000,24.001,24.098,23.971,23.971,1234,0
GENY.US,D,20160915,000000,24.294,24.294,24.294,24.294,1204,0
GENY.US,D,20160916,000000,24.162,24.182,24.162,24.182,587,0
GENY.US,D,20160920,000000,24.207,24.207,24.207,24.207,100,0
GENY.US,D,20160921,000000,24.257,24.488,24.257,24.467,2474,0
GENY.US,D,20160922,000000,24.673,24.693,24.635,24.693,512,0
GENY.US,D,20160923,000000,24.616,24.626,24.498,24.567,1133,0
GENY.US,D,20160926,000000,24.207,24.207,24.207,24.207,409,0
GENY.US,D,20160927,000000,24.39,24.488,24.39,24.488,948,0
GENY.US,D,20160929,000000,24.538,24.538,24.303,24.303,1339,0
GENY.US,D,20160930,000000,24.508,24.508,24.459,24.459,419,0
GENY.US,D,20161006,000000,24.452,24.462,24.452,24.462,647,0
GENY.US,D,20161010,000000,24.35,24.377,24.35,24.355,512,0
GENY.US,D,20161019,000000,24.355,24.355,24.355,24.355,100,0
GENY.US,D,20161020,000000,24.229,24.229,24.229,24.229,100,0
GENY.US,D,20161024,000000,24.472,24.472,24.472,24.472,164,0
GENY.US,D,20161025,000000,24.297,24.297,24.297,24.297,100,0
GENY.US,D,20161026,000000,24.21,24.21,24.21,24.21,100,0
GENY.US,D,20161027,000000,24.013,24.013,24.013,24.013,172,0
GENY.US,D,20161028,000000,24.033,24.033,23.944,23.944,409,0
GENY.US,D,20161103,000000,23.605,23.605,23.579,23.579,307,0
GENY.US,D,20161108,000000,23.944,23.944,23.944,23.944,100,0
GENY.US,D,20161109,000000,23.973,24.032,23.964,24.032,1249,0
GENY.US,D,20161110,000000,23.759,23.759,23.759,23.759,202,0
GENY.US,D,20161114,000000,23.615,23.652,23.615,23.652,7620,0
GENY.US,D,20161117,000000,24.21,24.21,24.21,24.21,233,0
GENY.US,D,20161118,000000,24.229,24.229,24.121,24.121,587,0
GENY.US,D,20161121,000000,24.151,24.249,24.151,24.249,1610,0
GENY.US,D,20161123,000000,24.306,24.306,24.306,24.306,100,0
GENY.US,D,20161128,000000,24.336,24.336,24.336,24.336,206,0
GENY.US,D,20161129,000000,24.22,24.22,24.22,24.22,161,0
GENY.US,D,20161130,000000,24.117,24.117,24.117,24.117,121,0
GENY.US,D,20161205,000000,24.033,24.033,24.033,24.033,100,0
GENY.US,D,20161207,000000,24.452,24.452,24.452,24.452,114,0
GENY.US,D,20161209,000000,24.561,24.561,24.21,24.507,3997,0
GENY.US,D,20161213,000000,24.561,24.561,24.561,24.561,110,0
GENY.US,D,20161215,000000,24.364,24.364,24.328,24.328,408,0
GENY.US,D,20161216,000000,24.601,24.601,24.601,24.601,100,0
GENY.US,D,20161221,000000,24.367,24.395,24.367,24.395,493,0
GENY.US,D,20161223,000000,24.357,24.357,24.357,24.357,227,0
GENY.US,D,20161227,000000,24.241,24.283,24.241,24.283,290,0
GENY.US,D,20161228,000000,24.312,24.312,24.312,24.312,141,0
GENY.US,D,20161229,000000,24.326,24.332,24.326,24.332,308,0
GENY.US,D,20170103,000000,24.202,24.202,24.202,24.202,206,0
GENY.US,D,20170104,000000,24.517,24.517,24.517,24.517,1028,0
GENY.US,D,20170105,000000,24.428,24.428,24.428,24.428,147,0
GENY.US,D,20170106,000000,24.537,24.537,24.537,24.537,108,0
GENY.US,D,20170109,000000,24.655,24.694,24.655,24.694,1219,0
GENY.US,D,20170110,000000,24.635,24.769,24.635,24.722,794,0
GENY.US,D,20170111,000000,24.741,24.741,24.732,24.741,776,0
GENY.US,D,20170119,000000,24.769,24.769,24.737,24.737,276,0
GENY.US,D,20170120,000000,24.674,24.674,24.672,24.672,1322,0
GENY.US,D,20170124,000000,24.848,25.063,24.848,25.063,707,0
GENY.US,D,20170125,000000,25.211,25.211,25.211,25.211,150,0
GENY.US,D,20170130,000000,24.916,24.916,24.916,24.916,407,0
GENY.US,D,20170131,000000,24.878,24.878,24.809,24.809,206,0
