<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GIGE.US,D,20190509,000000,19.537,19.72,19.347,19.72,1875,0
GIGE.US,D,20190510,000000,19.696,19.866,19.298,19.565,5948,0
GIGE.US,D,20190513,000000,19.177,19.177,18.74,18.82,6009,0
GIGE.US,D,20190514,000000,18.969,19.218,18.968,19.218,61444,0
GIGE.US,D,20190515,000000,19.078,19.507,19.078,19.487,13316,0
GIGE.US,D,20190516,000000,19.542,19.746,19.497,19.647,10664,0
GIGE.US,D,20190517,000000,19.182,19.437,19.182,19.298,16860,0
GIGE.US,D,20190520,000000,18.929,18.929,18.819,18.829,9696,0
GIGE.US,D,20190521,000000,19.059,19.148,19.059,19.103,8397,0
GIGE.US,D,20190522,000000,19.228,19.238,19.068,19.068,10941,0
GIGE.US,D,20190523,000000,18.759,18.799,18.63,18.705,18683,0
GIGE.US,D,20190524,000000,18.849,18.869,18.74,18.819,14874,0
GIGE.US,D,20190528,000000,19.039,19.039,18.839,18.839,20176,0
GIGE.US,D,20190529,000000,18.734,18.769,18.63,18.65,21320,0
GIGE.US,D,20190530,000000,18.74,18.769,18.641,18.73,10912,0
GIGE.US,D,20190531,000000,18.391,18.64,18.391,18.59,23901,0
GIGE.US,D,20190603,000000,18.221,18.251,18.092,18.092,8961,0
GIGE.US,D,20190604,000000,18.407,18.535,18.407,18.535,11234,0
GIGE.US,D,20190605,000000,18.74,18.74,18.4,18.55,13185,0
GIGE.US,D,20190606,000000,18.605,18.819,18.605,18.819,10579,0
GIGE.US,D,20190607,000000,19.049,19.178,19.039,19.128,18198,0
GIGE.US,D,20190610,000000,19.447,19.557,19.344,19.344,14558,0
GIGE.US,D,20190611,000000,19.517,19.517,19.318,19.318,14653,0
GIGE.US,D,20190612,000000,19.248,19.387,19.248,19.387,12079,0
GIGE.US,D,20190613,000000,19.348,19.447,19.346,19.397,11679,0
GIGE.US,D,20190614,000000,19.238,19.318,19.238,19.318,8359,0
GIGE.US,D,20190617,000000,19.318,19.577,19.318,19.567,8282,0
GIGE.US,D,20190618,000000,19.846,19.936,19.736,19.806,21080,0
GIGE.US,D,20190619,000000,19.756,19.756,19.635,19.667,19981,0
GIGE.US,D,20190620,000000,20.097,20.097,19.776,19.936,19417,0
GIGE.US,D,20190621,000000,19.866,19.896,19.806,19.816,3786,0
GIGE.US,D,20190624,000000,19.866,19.866,19.665,19.686,3376,0
GIGE.US,D,20190625,000000,19.427,19.427,19.258,19.407,3493,0
GIGE.US,D,20190626,000000,19.477,19.585,19.477,19.487,5310,0
GIGE.US,D,20190627,000000,19.686,19.686,19.686,19.686,150,0
GIGE.US,D,20190628,000000,19.756,19.94,19.696,19.842,6141,0
GIGE.US,D,20190701,000000,20.225,20.225,19.846,19.846,8264,0
GIGE.US,D,20190702,000000,19.891,19.891,19.776,19.816,3824,0
GIGE.US,D,20190703,000000,19.906,19.906,19.847,19.852,1513,0
GIGE.US,D,20190705,000000,19.836,19.841,19.686,19.695,7387,0
GIGE.US,D,20190708,000000,19.742,19.754,19.742,19.754,959,0
GIGE.US,D,20190709,000000,19.696,19.957,19.696,19.957,1812,0
GIGE.US,D,20190710,000000,19.966,20.07,19.908,19.978,5092,0
GIGE.US,D,20190711,000000,19.943,19.943,19.886,19.916,989,0
GIGE.US,D,20190712,000000,20.025,20.025,20.006,20.006,585,0
GIGE.US,D,20190716,000000,20.035,20.085,19.985,19.991,13921,0
GIGE.US,D,20190717,000000,20.045,20.055,19.905,19.905,5692,0
GIGE.US,D,20190718,000000,19.886,19.886,19.746,19.746,2593,0
GIGE.US,D,20190719,000000,20.035,20.035,20.035,20.035,260,0
GIGE.US,D,20190722,000000,19.985,20.005,19.846,19.956,3170,0
GIGE.US,D,20190723,000000,20.025,20.025,19.87,19.906,5296,0
GIGE.US,D,20190724,000000,20.215,20.215,20.215,20.215,574,0
GIGE.US,D,20190726,000000,20.227,20.227,20.227,20.227,164,0
GIGE.US,D,20190729,000000,20.195,20.195,20.195,20.195,391,0
GIGE.US,D,20190730,000000,19.866,19.866,19.866,19.866,327,0
GIGE.US,D,20190731,000000,19.846,19.886,19.806,19.806,1189,0
GIGE.US,D,20190801,000000,19.856,19.886,19.856,19.886,665,0
GIGE.US,D,20190802,000000,19.367,19.367,19.249,19.249,1604,0
GIGE.US,D,20190805,000000,18.799,18.829,18.161,18.194,4126,0
GIGE.US,D,20190806,000000,18.64,18.64,18.311,18.311,5515,0
GIGE.US,D,20190807,000000,18.449,18.449,18.449,18.449,327,0
GIGE.US,D,20190808,000000,19.198,19.198,19.165,19.165,2227,0
GIGE.US,D,20190809,000000,18.929,18.929,18.879,18.879,730,0
GIGE.US,D,20190812,000000,18.381,18.61,18.241,18.301,5729,0
GIGE.US,D,20190813,000000,18.811,18.811,18.74,18.77,804,0
GIGE.US,D,20190815,000000,18.063,18.182,18.063,18.083,1567,0
GIGE.US,D,20190816,000000,18.459,18.459,18.441,18.441,502,0
GIGE.US,D,20190819,000000,18.69,18.69,18.69,18.69,428,0
GIGE.US,D,20190820,000000,18.691,18.768,18.691,18.768,705,0
GIGE.US,D,20190822,000000,18.989,18.989,18.771,18.771,619,0
GIGE.US,D,20190823,000000,18.62,18.62,18.361,18.361,606,0
GIGE.US,D,20190826,000000,18.55,18.55,18.391,18.391,377,0
GIGE.US,D,20190828,000000,18.261,18.261,18.261,18.261,275,0
GIGE.US,D,20190829,000000,18.689,18.689,18.689,18.689,170,0
GIGE.US,D,20190903,000000,18.47,18.47,18.47,18.47,361,0
GIGE.US,D,20190904,000000,18.646,18.72,18.646,18.673,4870,0
GIGE.US,D,20190906,000000,18.922,18.922,18.901,18.901,408,0
GIGE.US,D,20190909,000000,18.779,18.795,18.769,18.795,666,0
GIGE.US,D,20190911,000000,18.93,18.93,18.93,18.93,240,0
GIGE.US,D,20190912,000000,18.945,18.945,18.945,18.945,409,0
GIGE.US,D,20190913,000000,18.959,18.959,18.953,18.953,337,0
GIGE.US,D,20190916,000000,18.779,18.959,18.779,18.959,5767,0
GIGE.US,D,20190920,000000,18.824,18.836,18.824,18.836,306,0
GIGE.US,D,20190923,000000,18.693,18.693,18.69,18.69,1122,0
GIGE.US,D,20190924,000000,18.01,18.01,18.01,18.01,163,0
GIGE.US,D,20190925,000000,17.889,17.889,17.889,17.889,438,0
GIGE.US,D,20190927,000000,17.862,17.862,17.803,17.803,1662,0
GIGE.US,D,20190930,000000,17.97,17.97,17.97,17.97,225,0
GIGE.US,D,20191002,000000,17.553,17.553,17.396,17.553,1074,0
GIGE.US,D,20191007,000000,18.06,18.06,18.06,18.06,167,0
GIGE.US,D,20191009,000000,17.722,17.722,17.722,17.722,1378,0
GIGE.US,D,20191010,000000,17.749,17.749,17.713,17.713,627,0
GIGE.US,D,20191011,000000,17.972,17.972,17.972,17.972,138,0
GIGE.US,D,20191015,000000,18.032,18.042,18.032,18.042,294,0
GIGE.US,D,20191017,000000,18.141,18.141,18.141,18.141,441,0
GIGE.US,D,20191018,000000,18.161,18.161,17.842,17.863,779,0
GIGE.US,D,20191021,000000,18.002,18.002,18.002,18.002,2193,0
GIGE.US,D,20191022,000000,18.04,18.04,17.855,17.855,302,0
GIGE.US,D,20191023,000000,17.8,17.8,17.769,17.769,549,0
