<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GLDI.US,D,20130201,000000,14.981,14.981,9.4972,9.515,130210,0
GLDI.US,D,20130204,000000,9.501,9.554,9.4972,9.54,75623,0
GLDI.US,D,20130205,000000,9.571,9.571,9.511,9.532,73040,0
GLDI.US,D,20130206,000000,9.532,9.563,9.532,9.561,67200,0
GLDI.US,D,20130207,000000,9.512,9.576,9.4972,9.54,57033,0
GLDI.US,D,20130208,000000,9.523,9.535,9.512,9.515,30176,0
GLDI.US,D,20130211,000000,10.813,10.813,9.4164,9.4311,82786,0
GLDI.US,D,20130212,000000,9.4223,9.4594,9.3978,9.439,72395,0
GLDI.US,D,20130213,000000,9.4164,9.4223,9.3802,9.3842,33342,0
GLDI.US,D,20130214,000000,9.4223,9.4233,9.3567,9.3664,18915,0
GLDI.US,D,20130215,000000,9.2616,9.2616,9.1808,9.1962,71900,0
GLDI.US,D,20130219,000000,9.2096,9.224,9.1808,9.1808,22282,0
GLDI.US,D,20130220,000000,9.0934,9.1038,8.9582,8.9582,20985,0
GLDI.US,D,20130221,000000,9.0042,9.0705,9.0042,9.0295,19987,0
GLDI.US,D,20130222,000000,9.0295,9.0543,9.0295,9.0543,19468,0
GLDI.US,D,20130225,000000,9.0981,9.1578,9.0791,9.1464,53062,0
GLDI.US,D,20130226,000000,9.1124,9.2549,9.1124,9.2549,55980,0
GLDI.US,D,20130227,000000,9.2096,9.2096,9.1319,9.1539,21965,0
GLDI.US,D,20130228,000000,9.1038,9.1038,9.0201,9.0505,49636,0
GLDI.US,D,20130301,000000,9.0657,9.0657,9.0295,9.0295,45736,0
GLDI.US,D,20130304,000000,9.0505,9.0505,9.0004,9.0004,26804,0
GLDI.US,D,20130305,000000,9.0628,9.0628,8.9911,9.0201,14277,0
GLDI.US,D,20130306,000000,9.0097,9.0705,9.0097,9.0628,62424,0
GLDI.US,D,20130307,000000,9.037,9.037,9.0219,9.0314,46976,0
GLDI.US,D,20130308,000000,9.2995,10.679,8.962,9.0426,228378,0
GLDI.US,D,20130311,000000,9.1095,9.1095,9.0426,9.0628,21000,0
GLDI.US,D,20130312,000000,9.1223,9.127,9.1095,9.1213,22199,0
GLDI.US,D,20130313,000000,9.1319,9.1319,9.0819,9.0981,82911,0
GLDI.US,D,20130314,000000,9.0705,9.1223,9.0705,9.0981,37340,0
GLDI.US,D,20130315,000000,9.1279,9.1319,9.1182,9.1182,12407,0
GLDI.US,D,20130318,000000,9.2733,9.2733,9.1501,9.1597,40530,0
GLDI.US,D,20130319,000000,9.1721,9.1798,9.1654,9.1721,14769,0
GLDI.US,D,20130320,000000,9.1674,9.1886,9.1444,9.1674,16970,0
GLDI.US,D,20130321,000000,9.1838,9.1932,9.1798,9.1932,17280,0
GLDI.US,D,20130322,000000,9.1674,9.1798,9.1674,9.1771,22790,0
GLDI.US,D,20130325,000000,9.1338,9.1798,9.1338,9.1761,44263,0
GLDI.US,D,20130326,000000,9.1424,9.1674,9.1424,9.1674,6492,0
GLDI.US,D,20130327,000000,9.1597,9.1932,9.1597,9.1798,137710,0
GLDI.US,D,20130328,000000,9.1597,9.1674,9.1464,9.1464,3163,0
GLDI.US,D,20130401,000000,9.1501,9.1721,9.1444,9.1568,21590,0
GLDI.US,D,20130402,000000,9.1,9.1095,9.0553,9.0553,63286,0
GLDI.US,D,20130403,000000,9.0454,9.0676,8.9347,8.9677,198871,0
GLDI.US,D,20130404,000000,8.8953,8.9582,8.8953,8.931,9408,0
GLDI.US,D,20130405,000000,9.0201,9.0904,9.0172,9.0628,28999,0
GLDI.US,D,20130408,000000,9.0628,9.0628,9.0333,9.0454,3775,0
GLDI.US,D,20130409,000000,9.1252,9.1289,9.1152,9.1252,28431,0
GLDI.US,D,20130410,000000,9.0454,9.0734,8.959,8.959,36665,0
GLDI.US,D,20130411,000000,9.0014,9.0116,8.9789,8.9789,3989,0
GLDI.US,D,20130412,000000,8.8467,8.8559,8.5657,8.5705,176812,0
GLDI.US,D,20130415,000000,8.1446,8.1446,7.7664,7.8429,267476,0
GLDI.US,D,20130416,000000,8.2673,8.2673,7.8715,7.891,10605,0
GLDI.US,D,20130417,000000,8.0228,8.0279,7.918,7.9386,11321,0
GLDI.US,D,20130418,000000,8.0585,8.0842,8.0097,8.0097,258918,0
GLDI.US,D,20130419,000000,8.1482,8.1482,8.0628,8.0893,11805,0
GLDI.US,D,20130422,000000,8.1737,8.2319,8.1737,8.2191,39471,0
GLDI.US,D,20130423,000000,8.1737,8.1978,8.1242,8.1737,20949,0
GLDI.US,D,20130424,000000,8.2578,8.2578,8.2116,8.2467,35850,0
GLDI.US,D,20130425,000000,8.3717,8.5218,8.3402,8.4526,45182,0
GLDI.US,D,20130426,000000,8.4876,8.5363,8.3911,8.4185,72528,0
GLDI.US,D,20130429,000000,8.4613,8.5896,8.456,8.4876,28188,0
GLDI.US,D,20130430,000000,8.4753,8.5055,8.456,8.5055,22140,0
GLDI.US,D,20130501,000000,8.4359,8.4813,8.327,8.4015,17833,0
GLDI.US,D,20130502,000000,8.4804,8.4804,8.4484,8.4649,4784,0
GLDI.US,D,20130503,000000,8.5055,8.5055,8.4457,8.4649,13140,0
GLDI.US,D,20130506,000000,8.5308,8.5363,8.4613,8.4876,18758,0
GLDI.US,D,20130507,000000,8.4876,8.8768,8.3497,8.3911,144517,0
GLDI.US,D,20130508,000000,8.7067,8.7067,8.4501,8.5028,43488,0
GLDI.US,D,20130509,000000,8.4467,8.4921,8.4085,8.4129,20693,0
GLDI.US,D,20130510,000000,8.2467,8.3444,8.2133,8.3444,22319,0
GLDI.US,D,20130513,000000,8.2966,8.2991,8.2802,8.2802,11673,0
GLDI.US,D,20130514,000000,8.2956,8.3095,8.2388,8.2528,14489,0
