<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GNMA.US,D,20120222,000000,42.975,42.975,42.975,42.975,213,0
GNMA.US,D,20120223,000000,42.985,42.985,42.985,42.985,692,0
GNMA.US,D,20120224,000000,42.985,42.985,42.985,42.985,342,0
GNMA.US,D,20120301,000000,42.966,42.975,42.939,42.975,1682,0
GNMA.US,D,20120302,000000,42.992,42.992,42.992,42.992,2560,0
GNMA.US,D,20120305,000000,43.022,43.022,43.022,43.022,464,0
GNMA.US,D,20120306,000000,43.022,43.022,43.022,43.022,100,0
GNMA.US,D,20120307,000000,43.022,43.038,43.013,43.038,3221,0
GNMA.US,D,20120308,000000,43.057,43.067,43.057,43.057,464,0
GNMA.US,D,20120309,000000,43.038,43.038,43.013,43.022,1739,0
GNMA.US,D,20120313,000000,43.084,43.084,43.084,43.084,213,0
GNMA.US,D,20120314,000000,43.076,43.076,43.03,43.067,1517,0
GNMA.US,D,20120315,000000,42.998,42.998,42.985,42.985,2510,0
GNMA.US,D,20120316,000000,42.739,42.739,42.739,42.739,692,0
GNMA.US,D,20120319,000000,42.985,42.985,42.905,42.966,1046,0
GNMA.US,D,20120320,000000,42.878,42.878,42.842,42.871,2917,0
GNMA.US,D,20120321,000000,42.805,42.823,42.721,42.721,3113,0
GNMA.US,D,20120322,000000,43.006,43.038,43.006,43.038,12795,0
GNMA.US,D,20120326,000000,42.939,42.939,42.851,42.851,851,0
GNMA.US,D,20120327,000000,42.905,43.067,42.896,43.067,2327,0
GNMA.US,D,20120329,000000,43.101,43.101,43.101,43.101,100,0
GNMA.US,D,20120330,000000,43,43,43,43,465,0
GNMA.US,D,20120403,000000,43.04,43.04,43.04,43.04,625,0
GNMA.US,D,20120404,000000,42.814,42.814,42.814,42.814,213,0
GNMA.US,D,20120411,000000,43.52,43.52,43.22,43.22,843,0
GNMA.US,D,20120412,000000,43.207,43.207,43.207,43.207,752,0
GNMA.US,D,20120413,000000,43.076,43.181,43.076,43.181,669,0
GNMA.US,D,20120416,000000,43.237,43.237,43.22,43.22,1158,0
GNMA.US,D,20120417,000000,43.24,43.24,43.24,43.24,1627,0
GNMA.US,D,20120418,000000,43.245,43.245,43.245,43.245,161,0
GNMA.US,D,20120419,000000,43.286,43.322,43.286,43.322,595,0
GNMA.US,D,20120420,000000,43.23,43.23,43.148,43.23,1355,0
GNMA.US,D,20120423,000000,43.198,43.198,43.198,43.198,1456,0
GNMA.US,D,20120424,000000,43.146,43.22,43.146,43.22,464,0
GNMA.US,D,20120425,000000,43.303,43.303,43.181,43.181,932,0
GNMA.US,D,20120426,000000,43.173,43.173,43.173,43.173,697,0
GNMA.US,D,20120427,000000,43.254,43.254,43.254,43.254,953,0
GNMA.US,D,20120501,000000,43.149,43.149,43.149,43.149,464,0
GNMA.US,D,20120502,000000,43.207,43.207,43.207,43.207,213,0
GNMA.US,D,20120503,000000,43.264,43.264,43.264,43.264,574,0
GNMA.US,D,20120504,000000,43.408,43.408,43.365,43.365,746,0
GNMA.US,D,20120507,000000,43.45,43.45,43.272,43.272,1754,0
GNMA.US,D,20120508,000000,43.313,43.339,43.313,43.339,691,0
GNMA.US,D,20120509,000000,43.417,43.417,43.417,43.417,100,0
GNMA.US,D,20120510,000000,47.341,47.341,43.391,43.41,2842,0
GNMA.US,D,20120511,000000,43.408,43.432,43.383,43.432,5193,0
GNMA.US,D,20120514,000000,43.494,43.494,43.494,43.494,782,0
GNMA.US,D,20120515,000000,43.494,43.494,43.424,43.424,870,0
GNMA.US,D,20120516,000000,43.855,43.855,43.855,43.855,2158,0
GNMA.US,D,20120518,000000,43.522,43.641,43.522,43.624,2249,0
GNMA.US,D,20120521,000000,43.357,43.556,43.357,43.484,3898,0
GNMA.US,D,20120522,000000,43.548,43.624,43.548,43.624,3702,0
GNMA.US,D,20120523,000000,43.651,43.651,43.514,43.619,3135,0
GNMA.US,D,20120529,000000,43.901,43.901,43.711,43.762,1223,0
GNMA.US,D,20120530,000000,43.901,46.989,43.494,43.494,15059,0
GNMA.US,D,20120531,000000,43.989,43.989,43.989,43.989,100,0
GNMA.US,D,20120601,000000,43.478,43.485,43.442,43.485,816,0
