<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GNOM.US,D,20190410,000000,15.281,15.361,15.281,15.351,106478,0
GNOM.US,D,20190411,000000,15.371,15.371,15.04,15.041,31551,0
GNOM.US,D,20190412,000000,15.191,15.191,15.001,15.001,16531,0
GNOM.US,D,20190415,000000,15.081,15.091,14.784,14.891,9502,0
GNOM.US,D,20190416,000000,14.981,15.031,14.901,14.931,40362,0
GNOM.US,D,20190417,000000,14.861,14.861,14.172,14.172,21853,0
GNOM.US,D,20190418,000000,14.242,14.252,13.903,14.087,11320,0
GNOM.US,D,20190422,000000,14.162,14.232,14.032,14.152,5673,0
GNOM.US,D,20190423,000000,14.162,14.517,14.132,14.517,3481,0
GNOM.US,D,20190424,000000,14.602,14.602,14.372,14.412,4449,0
GNOM.US,D,20190425,000000,14.362,14.492,14.317,14.489,6291,0
GNOM.US,D,20190426,000000,14.432,14.496,14.432,14.496,2650,0
GNOM.US,D,20190429,000000,14.561,14.653,14.532,14.532,5989,0
GNOM.US,D,20190430,000000,14.584,14.584,14.32,14.32,4440,0
GNOM.US,D,20190501,000000,14.262,14.362,14.252,14.272,7117,0
GNOM.US,D,20190502,000000,14.032,14.292,14.032,14.182,4789,0
GNOM.US,D,20190503,000000,14.322,14.492,14.282,14.462,9273,0
GNOM.US,D,20190506,000000,14.232,14.482,14.202,14.482,2307,0
GNOM.US,D,20190507,000000,14.21,14.222,13.988,13.988,14463,0
GNOM.US,D,20190508,000000,13.943,14.006,13.863,13.923,9836,0
GNOM.US,D,20190509,000000,13.793,13.943,13.58,13.943,1227,0
GNOM.US,D,20190510,000000,13.893,14.072,13.748,14.043,6551,0
GNOM.US,D,20190513,000000,13.703,13.703,13.41,13.443,8533,0
GNOM.US,D,20190514,000000,13.623,13.643,13.493,13.643,2167,0
GNOM.US,D,20190515,000000,13.553,13.803,13.553,13.803,1954,0
GNOM.US,D,20190516,000000,14.012,14.065,13.973,14.022,1677,0
GNOM.US,D,20190517,000000,13.787,14.012,13.787,13.813,14996,0
GNOM.US,D,20190520,000000,13.723,13.723,13.465,13.503,2633,0
GNOM.US,D,20190521,000000,13.633,13.813,13.633,13.801,2012,0
GNOM.US,D,20190522,000000,13.863,13.863,13.753,13.773,2369,0
GNOM.US,D,20190523,000000,13.483,13.586,13.483,13.586,2769,0
GNOM.US,D,20190524,000000,13.753,13.753,13.747,13.747,473,0
GNOM.US,D,20190528,000000,13.883,13.949,13.883,13.949,1900,0
GNOM.US,D,20190529,000000,13.545,13.703,13.545,13.643,2820,0
GNOM.US,D,20190530,000000,13.662,13.662,13.6,13.6,5914,0
GNOM.US,D,20190531,000000,13.383,13.409,13.297,13.303,4455,0
GNOM.US,D,20190603,000000,13.383,13.543,13.383,13.406,3048,0
GNOM.US,D,20190604,000000,13.483,13.793,13.483,13.793,1689,0
GNOM.US,D,20190605,000000,13.833,13.833,13.762,13.762,571,0
GNOM.US,D,20190606,000000,13.792,13.792,13.772,13.772,1721,0
GNOM.US,D,20190607,000000,13.883,14.056,13.883,14.056,1658,0
GNOM.US,D,20190610,000000,14.23,14.272,14.229,14.229,3725,0
GNOM.US,D,20190611,000000,14.212,14.212,13.833,13.896,4936,0
GNOM.US,D,20190612,000000,13.968,13.968,13.968,13.968,424,0
GNOM.US,D,20190613,000000,14.212,14.264,14.182,14.237,1972,0
GNOM.US,D,20190614,000000,14.251,14.251,14.192,14.192,686,0
GNOM.US,D,20190617,000000,14.273,14.674,14.273,14.674,7483,0
GNOM.US,D,20190618,000000,14.891,14.991,14.891,14.971,12193,0
GNOM.US,D,20190619,000000,14.991,14.991,14.921,14.941,760,0
GNOM.US,D,20190620,000000,15.171,15.185,14.938,14.956,9590,0
GNOM.US,D,20190621,000000,14.991,14.991,14.772,14.952,5938,0
GNOM.US,D,20190624,000000,15.091,15.091,14.602,14.615,5522,0
GNOM.US,D,20190625,000000,14.602,14.632,14.519,14.519,7681,0
GNOM.US,D,20190626,000000,14.542,14.545,14.403,14.403,4299,0
GNOM.US,D,20190627,000000,14.592,14.612,14.592,14.612,244,0
GNOM.US,D,20190628,000000,14.732,15.101,14.732,15.101,2073,0
GNOM.US,D,20190701,000000,15.311,15.311,15.091,15.121,12786,0
GNOM.US,D,20190702,000000,15.071,15.091,14.981,15.001,2152,0
