<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GRID.US,D,20091117,000000,26.713,26.903,26.602,26.756,49046,0
GRID.US,D,20091118,000000,27.209,27.303,26.834,26.92,232855,0
GRID.US,D,20091119,000000,27.039,27.039,25.752,26.197,120562,0
GRID.US,D,20091120,000000,26.248,26.248,25.957,26.025,33604,0
GRID.US,D,20091123,000000,26.739,26.868,26.443,26.658,33026,0
GRID.US,D,20091124,000000,26.8,26.8,26.3,26.773,84924,0
GRID.US,D,20091125,000000,26.658,27.056,26.658,27.002,70132,0
GRID.US,D,20091127,000000,26.576,26.612,26.159,26.505,24302,0
GRID.US,D,20091130,000000,26.612,26.612,26.29,26.452,12270,0
GRID.US,D,20091201,000000,26.668,27.218,26.64,27.098,36438,0
GRID.US,D,20091202,000000,27.243,27.502,27.089,27.243,18524,0
GRID.US,D,20091203,000000,27.979,27.979,27.066,27.146,34927,0
GRID.US,D,20091204,000000,27.468,27.678,26.964,27.295,21847,0
GRID.US,D,20091207,000000,27.155,27.658,27.155,27.589,18019,0
GRID.US,D,20091208,000000,27.58,27.58,27.19,27.359,14976,0
GRID.US,D,20091209,000000,27.598,27.598,26.964,27.27,12509,0
GRID.US,D,20091210,000000,27.089,27.42,27.089,27.385,16971,0
GRID.US,D,20091211,000000,27.509,27.554,27.378,27.509,10997,0
GRID.US,D,20091214,000000,28.22,28.22,27.458,27.998,21033,0
GRID.US,D,20091215,000000,27.979,28.121,27.678,27.988,19197,0
GRID.US,D,20091216,000000,28.166,28.369,28.112,28.238,23304,0
GRID.US,D,20091217,000000,28.139,28.139,27.702,27.774,21188,0
GRID.US,D,20091218,000000,28.008,28.016,27.729,28.016,34892,0
GRID.US,D,20091221,000000,27.924,28.326,27.792,28.264,15653,0
GRID.US,D,20091222,000000,28.447,28.723,28.447,28.648,25537,0
GRID.US,D,20091223,000000,28.841,28.841,28.484,28.723,19609,0
GRID.US,D,20091224,000000,28.91,28.91,28.752,28.91,123390,0
GRID.US,D,20091228,000000,28.831,28.979,28.733,28.851,21271,0
GRID.US,D,20091229,000000,28.938,28.938,28.639,28.696,17027,0
GRID.US,D,20091230,000000,28.798,28.798,28.529,28.664,11862,0
GRID.US,D,20091231,000000,28.816,28.816,28.493,28.493,11111,0
GRID.US,D,20100104,000000,28.824,29.149,28.824,29.123,13131,0
GRID.US,D,20100105,000000,29.283,29.442,29.195,29.326,24081,0
GRID.US,D,20100106,000000,29.369,29.708,29.369,29.603,16854,0
GRID.US,D,20100107,000000,29.531,29.621,29.205,29.612,27885,0
GRID.US,D,20100108,000000,29.567,29.726,29.343,29.726,28822,0
GRID.US,D,20100111,000000,29.922,29.922,29.471,29.603,25663,0
GRID.US,D,20100112,000000,29.612,29.612,29.13,29.3,25526,0
GRID.US,D,20100113,000000,29.471,29.64,28.954,29.612,15733,0
GRID.US,D,20100114,000000,29.64,29.693,29.504,29.55,10702,0
GRID.US,D,20100115,000000,29.334,29.334,28.545,28.752,15599,0
GRID.US,D,20100119,000000,28.723,28.989,28.519,28.989,5845,0
GRID.US,D,20100120,000000,28.573,28.62,28.06,28.334,22568,0
GRID.US,D,20100121,000000,28.484,28.484,27.468,27.617,28034,0
GRID.US,D,20100122,000000,27.678,27.678,26.686,26.686,45809,0
GRID.US,D,20100125,000000,27.774,27.774,26.791,26.927,28155,0
GRID.US,D,20100126,000000,26.945,27.155,26.621,26.773,47125,0
GRID.US,D,20100127,000000,26.868,26.868,26.275,26.852,54401,0
GRID.US,D,20100128,000000,26.894,26.945,26.122,26.3,38617,0
GRID.US,D,20100129,000000,26.31,26.764,26.069,26.114,28263,0
GRID.US,D,20100201,000000,26.461,26.602,26.31,26.522,27733,0
GRID.US,D,20100202,000000,26.631,26.973,26.532,26.955,64235,0
GRID.US,D,20100203,000000,26.703,26.936,26.594,26.668,3772,0
GRID.US,D,20100204,000000,26.197,26.197,25.646,25.646,19571,0
GRID.US,D,20100205,000000,25.646,25.646,24.846,25.404,19370,0
GRID.US,D,20100208,000000,25.529,25.699,25.244,25.253,5587,0
GRID.US,D,20100209,000000,25.371,25.965,25.371,25.724,24652,0
GRID.US,D,20100210,000000,25.592,25.681,25.333,25.592,7125,0
GRID.US,D,20100211,000000,25.752,26.017,25.38,25.93,2663,0
GRID.US,D,20100212,000000,25.821,25.821,25.361,25.716,4760,0
GRID.US,D,20100216,000000,25.742,26.436,25.742,26.088,9982,0
GRID.US,D,20100217,000000,26.248,26.284,26.114,26.15,5214,0
GRID.US,D,20100218,000000,25.947,26.668,25.947,26.621,3451,0
GRID.US,D,20100219,000000,26.328,26.602,26.197,26.602,3662,0
GRID.US,D,20100222,000000,26.843,26.843,26.505,26.568,2423,0
GRID.US,D,20100223,000000,26.224,26.224,25.965,26.069,2702,0
GRID.US,D,20100224,000000,26.105,26.275,26.069,26.131,2661,0
GRID.US,D,20100225,000000,25.716,25.733,25.46,25.733,5314,0
GRID.US,D,20100226,000000,25.691,25.804,25.681,25.796,30079,0
GRID.US,D,20100301,000000,27.081,27.081,25.974,26.29,95886,0
GRID.US,D,20100302,000000,26.496,26.686,26.428,26.559,66953,0
GRID.US,D,20100303,000000,26.703,27.002,26.676,26.764,31349,0
GRID.US,D,20100304,000000,26.876,26.894,26.55,26.739,34726,0
GRID.US,D,20100305,000000,26.945,27.039,26.764,26.993,28837,0
GRID.US,D,20100308,000000,27.218,27.218,26.964,27.047,32307,0
GRID.US,D,20100309,000000,27.022,27.081,26.8,26.912,45810,0
GRID.US,D,20100310,000000,27.108,27.209,26.955,27.098,9624,0
GRID.US,D,20100311,000000,27.056,27.322,26.955,27.322,25262,0
GRID.US,D,20100312,000000,27.509,27.509,27.226,27.41,21664,0
GRID.US,D,20100315,000000,27.449,27.449,26.964,27.066,24071,0
GRID.US,D,20100316,000000,27.27,27.368,27.117,27.368,8475,0
GRID.US,D,20100317,000000,27.527,27.617,27.477,27.477,12684,0
GRID.US,D,20100318,000000,27.527,27.527,27.251,27.385,7564,0
GRID.US,D,20100319,000000,27.218,27.226,26.912,26.973,10395,0
GRID.US,D,20100322,000000,26.843,27.295,26.8,27.295,4204,0
GRID.US,D,20100323,000000,27.41,27.668,27.27,27.668,9149,0
GRID.US,D,20100324,000000,27.617,27.617,27.285,27.295,8166,0
GRID.US,D,20100325,000000,27.402,27.678,27.261,27.261,8989,0
GRID.US,D,20100326,000000,27.554,27.554,27.243,27.322,8820,0
GRID.US,D,20100329,000000,27.477,27.562,27.477,27.562,3358,0
GRID.US,D,20100330,000000,27.729,27.729,27.341,27.392,5603,0
GRID.US,D,20100331,000000,27.209,27.544,27.209,27.277,24219,0
GRID.US,D,20100401,000000,27.527,27.607,27.449,27.562,8206,0
GRID.US,D,20100405,000000,27.783,27.802,27.686,27.792,5767,0
GRID.US,D,20100406,000000,27.809,27.988,27.774,27.988,18434,0
GRID.US,D,20100407,000000,27.998,28.025,27.883,27.934,4939,0
GRID.US,D,20100408,000000,27.774,28.094,27.746,28.094,6703,0
GRID.US,D,20100409,000000,28.086,28.211,28.086,28.185,7976,0
GRID.US,D,20100412,000000,28.202,28.273,28.166,28.22,9082,0
GRID.US,D,20100413,000000,28.185,28.185,27.907,28.185,10636,0
GRID.US,D,20100414,000000,28.264,28.283,28.264,28.283,1522,0
GRID.US,D,20100415,000000,28.342,28.705,28.342,28.696,4839,0
GRID.US,D,20100416,000000,28.519,28.519,27.998,28.086,16830,0
GRID.US,D,20100419,000000,27.746,27.829,27.492,27.774,11276,0
GRID.US,D,20100420,000000,27.998,28.484,27.998,28.466,8574,0
GRID.US,D,20100421,000000,28.414,28.423,28.202,28.293,6448,0
GRID.US,D,20100422,000000,28.05,28.293,27.809,28.293,4486,0
GRID.US,D,20100423,000000,28.3,28.601,28.3,28.601,11292,0
GRID.US,D,20100426,000000,28.456,28.771,28.456,28.519,7818,0
GRID.US,D,20100427,000000,28.317,28.414,27.617,27.668,11497,0
GRID.US,D,20100428,000000,27.729,27.729,27.303,27.571,17424,0
GRID.US,D,20100429,000000,27.855,28.423,27.855,28.423,7034,0
GRID.US,D,20100430,000000,28.62,28.62,28.157,28.157,2932,0
GRID.US,D,20100503,000000,28.273,28.639,28.273,28.639,6168,0
GRID.US,D,20100504,000000,28.129,28.129,27.285,27.312,22917,0
GRID.US,D,20100505,000000,26.993,27.155,26.505,26.92,9965,0
GRID.US,D,20100506,000000,26.782,27.378,24.411,25.752,28088,0
GRID.US,D,20100507,000000,26.025,26.178,25.28,25.63,15498,0
GRID.US,D,20100510,000000,27.303,27.303,26.825,26.983,6633,0
GRID.US,D,20100511,000000,26.973,27.378,26.739,27.047,34418,0
GRID.US,D,20100512,000000,27.385,27.729,27.385,27.729,4183,0
GRID.US,D,20100513,000000,27.934,28.139,27.792,27.819,12147,0
GRID.US,D,20100514,000000,27.509,27.509,26.894,26.993,12222,0
GRID.US,D,20100517,000000,27.056,27.081,26.391,26.945,16747,0
GRID.US,D,20100518,000000,27.359,27.485,26.505,26.576,20285,0
GRID.US,D,20100519,000000,26.621,26.621,25.849,26.318,8294,0
GRID.US,D,20100520,000000,25.733,25.733,24.888,25.104,21889,0
GRID.US,D,20100521,000000,24.846,25.646,24.83,25.432,7883,0
GRID.US,D,20100524,000000,25.299,25.46,25.132,25.132,1913,0
GRID.US,D,20100525,000000,24.43,24.925,23.959,24.83,26130,0
GRID.US,D,20100526,000000,25.423,25.47,25.016,25.016,991,0
GRID.US,D,20100527,000000,25.742,25.957,25.716,25.957,5547,0
GRID.US,D,20100528,000000,26.097,26.097,25.555,25.654,3944,0
GRID.US,D,20100601,000000,25.639,26,25.272,25.29,9799,0
GRID.US,D,20100602,000000,25.361,25.796,25.168,25.787,9546,0
GRID.US,D,20100603,000000,26.169,26.169,25.904,26.06,5910,0
GRID.US,D,20100604,000000,25.991,25.991,25.067,25.067,6678,0
GRID.US,D,20100607,000000,25.183,25.183,24.333,24.341,7254,0
GRID.US,D,20100608,000000,24.403,24.42,24.04,24.171,5774,0
GRID.US,D,20100609,000000,24.627,24.812,24.26,24.367,9467,0
GRID.US,D,20100610,000000,24.838,25.244,24.838,25.244,12059,0
GRID.US,D,20100611,000000,25.198,25.63,25.198,25.63,2388,0
GRID.US,D,20100614,000000,25.965,26.097,25.787,25.787,5861,0
GRID.US,D,20100615,000000,26.178,26.621,26.114,26.621,9295,0
GRID.US,D,20100616,000000,26.522,26.834,26.522,26.676,7735,0
GRID.US,D,20100617,000000,26.912,26.912,26.418,26.602,5364,0
GRID.US,D,20100618,000000,26.602,26.602,26.568,26.568,1187,0
GRID.US,D,20100621,000000,27.031,27.039,26.41,26.436,3495,0
GRID.US,D,20100622,000000,26.428,26.541,25.947,26,16048,0
GRID.US,D,20100623,000000,25.654,26.043,25.512,25.867,3807,0
GRID.US,D,20100624,000000,25.829,25.829,25.253,25.253,7510,0
GRID.US,D,20100625,000000,25.423,25.592,25.168,25.592,5003,0
GRID.US,D,20100628,000000,25.646,25.804,25.361,25.512,3464,0
GRID.US,D,20100629,000000,25.168,25.168,24.324,24.393,47444,0
GRID.US,D,20100630,000000,24.482,24.708,24.197,24.206,2776,0
GRID.US,D,20100701,000000,24.386,24.482,23.816,24.376,15026,0
GRID.US,D,20100702,000000,24.386,24.403,24.146,24.403,2224,0
GRID.US,D,20100706,000000,25.067,25.29,24.775,24.775,6076,0
GRID.US,D,20100707,000000,24.775,25.413,24.767,25.413,15243,0
GRID.US,D,20100708,000000,25.662,25.778,25.502,25.768,1690,0
GRID.US,D,20100709,000000,25.787,26,25.742,26,6846,0
GRID.US,D,20100712,000000,26.069,26.069,25.759,25.759,2028,0
GRID.US,D,20100713,000000,26.248,26.496,26.238,26.496,1354,0
GRID.US,D,20100714,000000,26.418,26.621,26.391,26.488,2334,0
GRID.US,D,20100715,000000,26.756,26.756,26.14,26.612,8215,0
GRID.US,D,20100716,000000,26.4,26.418,25.432,25.502,6802,0
GRID.US,D,20100719,000000,25.387,25.742,25.387,25.742,1464,0
GRID.US,D,20100720,000000,25.253,25.813,25.198,25.813,3404,0
GRID.US,D,20100721,000000,25.859,25.983,25.537,25.555,5910,0
GRID.US,D,20100722,000000,26.017,26.843,26.017,26.843,3913,0
GRID.US,D,20100723,000000,26.756,27.331,26.756,27.285,16632,0
GRID.US,D,20100726,000000,27.492,27.702,27.251,27.702,5356,0
GRID.US,D,20100727,000000,27.64,27.64,27.402,27.477,2178,0
GRID.US,D,20100728,000000,27.509,27.509,26.993,27.039,4761,0
GRID.US,D,20100729,000000,27.458,27.485,26.791,27.089,21071,0
GRID.US,D,20100730,000000,27.108,27.736,27.108,27.527,3650,0
GRID.US,D,20100802,000000,28.211,28.3,28.166,28.185,10633,0
GRID.US,D,20100803,000000,27.819,28.094,27.819,27.864,6080,0
GRID.US,D,20100804,000000,27.829,27.829,27.617,27.765,3053,0
GRID.US,D,20100805,000000,27.72,27.729,27.607,27.631,5333,0
GRID.US,D,20100806,000000,27.589,27.589,27.27,27.517,2495,0
GRID.US,D,20100809,000000,27.544,27.792,27.544,27.792,4797,0
GRID.US,D,20100810,000000,27.544,27.544,27.022,27.429,3043,0
GRID.US,D,20100811,000000,26.86,26.86,26.15,26.15,2382,0
GRID.US,D,20100812,000000,25.691,25.983,25.62,25.759,5183,0
GRID.US,D,20100813,000000,25.768,25.768,25.575,25.62,783,0
GRID.US,D,20100816,000000,25.343,25.742,25.343,25.584,1127,0
GRID.US,D,20100817,000000,25.829,26.41,25.829,26.363,1486,0
GRID.US,D,20100818,000000,26.131,26.372,26.131,26.29,2416,0
GRID.US,D,20100819,000000,26.088,26.088,25.555,25.63,8134,0
GRID.US,D,20100820,000000,25.46,25.46,25.225,25.307,4318,0
GRID.US,D,20100823,000000,25.299,25.333,25.299,25.333,383,0
GRID.US,D,20100824,000000,24.916,24.916,24.454,24.637,8458,0
GRID.US,D,20100825,000000,24.216,24.591,24.121,24.591,3780,0
GRID.US,D,20100826,000000,24.627,24.627,24.491,24.599,3188,0
GRID.US,D,20100827,000000,24.679,25.272,24.679,25.272,5351,0
GRID.US,D,20100830,000000,25.244,25.244,24.822,24.822,896,0
GRID.US,D,20100831,000000,24.645,24.96,24.591,24.767,9886,0
GRID.US,D,20100901,000000,25.124,25.724,25.124,25.724,4218,0
GRID.US,D,20100902,000000,25.859,25.93,25.691,25.921,8801,0
GRID.US,D,20100903,000000,26.017,26.097,26.017,26.097,1814,0
GRID.US,D,20100907,000000,26.178,26.178,25.662,25.681,26881,0
GRID.US,D,20100908,000000,25.778,25.965,25.778,25.804,15428,0
GRID.US,D,20100909,000000,26.114,26.114,25.752,25.884,6144,0
GRID.US,D,20100910,000000,25.94,26,25.94,26,1384,0
GRID.US,D,20100913,000000,26.522,26.522,26.318,26.4,5075,0
GRID.US,D,20100914,000000,26.353,26.621,26.353,26.452,9935,0
GRID.US,D,20100915,000000,26.224,26.31,26.105,26.105,4397,0
GRID.US,D,20100916,000000,26.088,26.097,25.911,25.974,3554,0
GRID.US,D,20100917,000000,26.088,26.088,25.662,25.804,6184,0
GRID.US,D,20100920,000000,26.069,26.382,26.069,26.382,2416,0
GRID.US,D,20100921,000000,26.131,26.47,26.131,26.328,5019,0
GRID.US,D,20100922,000000,26.275,26.353,26.187,26.224,2463,0
GRID.US,D,20100923,000000,25.849,26.06,25.787,25.947,2537,0
GRID.US,D,20100924,000000,26.443,26.602,26.443,26.585,6537,0
GRID.US,D,20100927,000000,26.585,26.703,26.436,26.55,14263,0
GRID.US,D,20100928,000000,26.55,26.729,26.343,26.729,7932,0
GRID.US,D,20100929,000000,26.631,26.903,26.631,26.868,3604,0
GRID.US,D,20100930,000000,26.903,27.108,26.825,26.834,6584,0
GRID.US,D,20101001,000000,27.19,27.19,26.843,26.983,8578,0
GRID.US,D,20101004,000000,26.868,26.894,26.461,26.522,2126,0
GRID.US,D,20101005,000000,26.973,27.341,26.973,27.303,10393,0
GRID.US,D,20101006,000000,27.468,27.631,27.449,27.509,22939,0
GRID.US,D,20101007,000000,27.765,27.819,27.502,27.802,12475,0
GRID.US,D,20101008,000000,27.838,27.898,27.535,27.873,14671,0
GRID.US,D,20101011,000000,27.702,27.962,27.702,27.756,5334,0
GRID.US,D,20101012,000000,27.686,27.969,27.686,27.934,1522,0
GRID.US,D,20101013,000000,28.211,28.545,28.211,28.423,3435,0
GRID.US,D,20101014,000000,28.519,28.664,28.51,28.51,9002,0
GRID.US,D,20101015,000000,28.841,28.841,28.404,28.529,2308,0
GRID.US,D,20101018,000000,28.733,28.733,28.629,28.68,1956,0
GRID.US,D,20101019,000000,28.016,28.3,27.819,27.864,5922,0
GRID.US,D,20101020,000000,28.202,28.414,28.202,28.414,8590,0
GRID.US,D,20101021,000000,28.456,28.841,28.394,28.394,5926,0
GRID.US,D,20101022,000000,28.664,28.68,28.656,28.68,7673,0
GRID.US,D,20101025,000000,28.816,28.91,28.771,28.867,2970,0
