<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GXTG.US,D,20191105,000000,25.906,25.906,25.698,25.698,2515,0
GXTG.US,D,20191106,000000,25.509,25.509,25.509,25.509,164,0
GXTG.US,D,20191107,000000,25.853,25.885,25.808,25.885,926,0
GXTG.US,D,20191108,000000,25.739,25.739,25.739,25.739,446,0
GXTG.US,D,20191111,000000,25.681,25.768,25.681,25.768,3387,0
GXTG.US,D,20191112,000000,25.765,25.765,25.575,25.609,2310,0
GXTG.US,D,20191118,000000,25.926,25.926,25.891,25.891,1299,0
GXTG.US,D,20191119,000000,25.817,25.852,25.739,25.852,4074,0
GXTG.US,D,20191120,000000,25.837,25.837,25.704,25.704,2120,0
GXTG.US,D,20191125,000000,26.123,26.213,26.123,26.213,1047,0
GXTG.US,D,20191126,000000,26.223,26.285,26.223,26.285,523,0
GXTG.US,D,20191127,000000,26.439,26.44,26.403,26.403,316,0
GXTG.US,D,20191129,000000,26.391,26.391,26.391,26.391,442,0
GXTG.US,D,20191202,000000,25.975,25.975,25.941,25.956,1111,0
GXTG.US,D,20191203,000000,25.827,25.886,25.827,25.886,1617,0
GXTG.US,D,20191204,000000,26.163,26.163,26.053,26.053,567,0
GXTG.US,D,20191205,000000,26.103,26.103,26.103,26.103,179,0
GXTG.US,D,20191209,000000,26.272,26.509,26.104,26.104,6004,0
GXTG.US,D,20191210,000000,26.193,26.193,26.079,26.079,2088,0
GXTG.US,D,20191211,000000,27.341,27.341,26.034,26.172,929,0
GXTG.US,D,20191212,000000,26.381,26.464,26.381,26.464,317,0
GXTG.US,D,20191213,000000,26.529,26.609,26.529,26.562,3369,0
GXTG.US,D,20191216,000000,26.788,26.788,26.763,26.763,566,0
GXTG.US,D,20191217,000000,26.809,26.853,26.809,26.821,449,0
GXTG.US,D,20191218,000000,26.848,26.856,26.816,26.816,12143,0
GXTG.US,D,20191219,000000,26.985,27.005,26.941,26.941,1162,0
GXTG.US,D,20191220,000000,27.055,27.055,26.995,27.034,1263,0
GXTG.US,D,20191223,000000,27.078,27.154,27.075,27.108,1675,0
GXTG.US,D,20191224,000000,27.144,27.144,27.05,27.106,563,0
GXTG.US,D,20191227,000000,27.252,27.361,27.252,27.276,2952,0
GXTG.US,D,20191230,000000,27.341,27.341,27.341,27.341,284,0
GXTG.US,D,20191231,000000,27.044,27.098,27.044,27.098,221,0
GXTG.US,D,20200102,000000,27.49,27.584,27.49,27.584,239,0
GXTG.US,D,20200103,000000,27.362,27.401,27.361,27.361,690,0
GXTG.US,D,20200106,000000,27.154,27.362,27.154,27.362,567,0
GXTG.US,D,20200107,000000,27.54,27.61,27.482,27.55,2026,0
GXTG.US,D,20200109,000000,27.823,27.868,27.823,27.839,5225,0
GXTG.US,D,20200114,000000,28.321,28.38,28.319,28.319,332,0
GXTG.US,D,20200115,000000,28.474,28.483,28.34,28.34,4840,0
GXTG.US,D,20200116,000000,28.522,28.568,28.522,28.568,109,0
GXTG.US,D,20200117,000000,28.613,28.642,28.613,28.642,2911,0
GXTG.US,D,20200121,000000,28.484,28.513,28.444,28.464,11358,0
GXTG.US,D,20200122,000000,28.628,28.701,28.522,28.522,3306,0
GXTG.US,D,20200123,000000,28.384,28.494,28.384,28.494,689,0
GXTG.US,D,20200124,000000,28.691,28.691,28.182,28.182,1335,0
GXTG.US,D,20200127,000000,27.52,27.587,27.271,27.543,4949,0
GXTG.US,D,20200129,000000,28.076,28.076,27.99,27.99,2016,0
GXTG.US,D,20200130,000000,27.788,27.788,27.492,27.669,1873,0
GXTG.US,D,20200131,000000,27.351,27.351,27.234,27.234,775,0
GXTG.US,D,20200203,000000,27.64,27.678,27.64,27.658,591,0
GXTG.US,D,20200205,000000,28.625,28.625,28.424,28.424,5625,0
GXTG.US,D,20200206,000000,28.682,28.682,28.562,28.617,5835,0
GXTG.US,D,20200207,000000,28.404,28.425,28.265,28.278,1113,0
GXTG.US,D,20200210,000000,28.265,29.017,28.245,28.489,3421,0
GXTG.US,D,20200211,000000,28.79,28.845,28.78,28.79,1671,0
GXTG.US,D,20200212,000000,29.119,29.149,29.049,29.149,7193,0
GXTG.US,D,20200213,000000,29.039,29.083,29.039,29.079,1550,0
GXTG.US,D,20200214,000000,29.158,29.158,29.129,29.129,75723,0
GXTG.US,D,20200218,000000,29.158,29.158,28.99,29.079,75852,0
GXTG.US,D,20200219,000000,29.407,29.437,29.297,29.387,5682,0
GXTG.US,D,20200220,000000,29.566,29.586,29.139,29.389,37062,0
GXTG.US,D,20200221,000000,28.951,28.97,28.9,28.92,1744,0
GXTG.US,D,20200224,000000,27.828,27.858,27.768,27.782,1791,0
GXTG.US,D,20200225,000000,27.699,27.699,27.174,27.174,592,0
GXTG.US,D,20200226,000000,27.321,27.321,27.104,27.104,957,0
GXTG.US,D,20200227,000000,26.378,26.776,25.971,26.092,4219,0
GXTG.US,D,20200228,000000,25.078,25.902,25.078,25.867,2679,0
GXTG.US,D,20200302,000000,25.754,26.625,25.754,26.625,4085,0
GXTG.US,D,20200303,000000,26.605,27.164,25.872,26.1,5789,0
GXTG.US,D,20200304,000000,26.418,26.945,26.418,26.915,8095,0
GXTG.US,D,20200305,000000,26.507,26.637,26.12,26.325,2812,0
GXTG.US,D,20200306,000000,25.644,26.001,25.409,25.794,1973,0
GXTG.US,D,20200309,000000,19.637,24.439,19.637,23.967,4433,0
GXTG.US,D,20200310,000000,24.374,24.82,24.025,24.82,7404,0
GXTG.US,D,20200311,000000,23.837,23.927,23.386,23.66,1914,0
GXTG.US,D,20200312,000000,21.464,21.832,21.375,21.39,2847,0
GXTG.US,D,20200313,000000,21.395,22.556,21.395,22.522,2164,0
GXTG.US,D,20200316,000000,20.948,20.958,19.778,19.778,2815,0
GXTG.US,D,20200317,000000,19.789,20.592,19.789,20.592,809,0
GXTG.US,D,20200318,000000,19.885,19.885,18.139,18.997,2414,0
GXTG.US,D,20200319,000000,19.37,19.668,19.37,19.668,391,0
GXTG.US,D,20200320,000000,20.382,20.382,19.259,19.259,3163,0
GXTG.US,D,20200323,000000,19.142,19.142,18.863,18.863,2094,0
GXTG.US,D,20200324,000000,20.621,20.9,20.402,20.9,904,0
GXTG.US,D,20200325,000000,21.335,22.188,21.332,21.545,928,0
GXTG.US,D,20200326,000000,21.971,22.546,21.971,22.416,749,0
GXTG.US,D,20200327,000000,21.872,21.921,21.872,21.921,451,0
GXTG.US,D,20200331,000000,22.288,22.288,21.897,21.897,898,0
GXTG.US,D,20200401,000000,21.316,21.435,20.964,20.964,912,0
GXTG.US,D,20200402,000000,21.196,21.196,21.196,21.196,344,0
